Line,Galaxy Name,In_lhood?,Obs,Model,Resid_Stds,Obs_S/N
hbeta,ECO00001,Y,1.00000,1.00000,0.00000,112.62577
oiii4959,ECO00001,Y,0.11520,0.14414,-5.04834,20.09567
oiii5007,ECO00001,Y,0.40043,0.43005,-4.13533,55.90454
oi6300,ECO00001,Y,0.06444,0.05265,2.61927,14.31097
nii6548,ECO00001,Y,0.37712,0.58495,-76.58225,138.95872
halpha,ECO00001,Y,2.86000,2.82549,2.03822,168.92101
nii6584,ECO00001,Y,1.13318,1.72437,-72.22324,138.43370
sii6717,ECO00001,Y,0.46090,0.83199,-55.50365,68.93885
sii6731,ECO00001,Y,0.32358,0.63509,-47.54222,49.38359
hbeta,ECO00003,Y,1.00000,1.00000,0.00000,9.31327
oiii4959,ECO00003,Y,0.15930,0.19964,-0.40299,1.59151
oiii5007,ECO00003,Y,0.87723,0.59562,2.51702,7.84054
oi6300,ECO00003,Y,0.28847,0.08436,2.54395,3.59535
nii6548,ECO00003,Y,0.14887,0.15959,-0.45115,6.26522
halpha,ECO00003,Y,2.86000,2.80682,0.53994,29.03496
nii6584,ECO00003,Y,0.44797,0.47045,-0.31362,6.25034
sii6717,ECO00003,Y,0.92671,0.63766,3.02396,9.69481
sii6731,ECO00003,Y,0.55312,0.48438,0.88620,7.13038
hbeta,ECO00004,Y,1.00000,1.00000,0.00000,40.18111
oiii4959,ECO00004,Y,1.28171,0.93188,12.15132,44.52043
oiii5007,ECO00004,Y,3.87465,2.78035,22.74616,80.53828
oi6300,ECO00004,Y,0.06537,0.03009,3.30400,6.12133
nii6548,ECO00004,Y,0.05478,0.06254,-2.22549,15.69537
halpha,ECO00004,Y,2.86000,2.79782,1.84727,84.96703
nii6584,ECO00004,Y,0.16533,0.18436,-1.80810,15.70615
sii6717,ECO00004,Y,0.29532,0.24833,3.11250,19.56069
sii6731,ECO00004,Y,0.21385,0.18914,1.94327,16.81667
hbeta,ECO00005,Y,1.00000,1.00000,0.00000,58.04405
oiii4959,ECO00005,Y,0.62536,0.47219,9.89622,40.40450
oiii5007,ECO00005,Y,1.76042,1.40881,16.00859,80.15044
oi6300,ECO00005,Y,0.09306,0.05589,3.94598,9.87963
nii6548,ECO00005,Y,0.10969,0.12202,-3.78859,33.70120
halpha,ECO00005,Y,2.86000,2.80167,2.24803,110.22316
nii6584,ECO00005,Y,0.32986,0.35968,-3.03809,33.60054
sii6717,ECO00005,Y,0.59124,0.45258,10.53362,44.91550
sii6731,ECO00005,Y,0.38845,0.34419,3.25591,28.57101
hbeta,ECO00006,Y,1.00000,1.00000,0.00000,25.52925
oiii4959,ECO00006,Y,0.59316,0.49523,2.68724,16.27689
oiii5007,ECO00006,Y,2.01987,1.47753,10.03189,37.36199
oi6300,ECO00006,Y,0.06161,0.04439,0.84621,3.02739
nii6548,ECO00006,Y,0.06357,0.07840,-2.27095,9.73646
halpha,ECO00006,Y,2.86000,2.80857,1.32254,73.54941
nii6584,ECO00006,Y,0.19142,0.23110,-2.01474,9.72007
sii6717,ECO00006,Y,0.49171,0.33705,6.16001,19.58491
sii6731,ECO00006,Y,0.38537,0.25664,4.93868,14.78467
hbeta,ECO00008,Y,1.00000,1.00000,0.00000,14.76135
oiii4959,ECO00008,Y,0.43725,0.32838,1.53127,6.15021
oiii5007,ECO00008,Y,1.35287,0.97972,3.85776,13.98633
oi6300,ECO00008,Y,0.16616,0.05590,2.27370,3.42640
nii6548,ECO00008,Y,0.07650,0.09600,-1.43632,5.63481
halpha,ECO00008,Y,2.86000,2.81130,0.76470,44.91153
nii6584,ECO00008,Y,0.23084,0.28298,-1.27342,5.63715
sii6717,ECO00008,Y,0.65198,0.41466,4.66230,12.80828
sii6731,ECO00008,Y,0.35923,0.31545,0.84256,6.91356
hbeta,ECO00009,Y,1.00000,1.00000,0.00000,12.95253
oiii4959,ECO00009,Y,0.34791,0.26623,1.13010,4.81362
oiii5007,ECO00009,Y,0.97388,0.79430,2.29585,12.45029
oi6300,ECO00009,Y,0.08586,0.07052,0.34148,1.91098
nii6548,ECO00009,Y,0.11033,0.12840,-1.13730,6.94439
halpha,ECO00009,Y,2.86000,2.80837,0.68976,38.20665
nii6584,ECO00009,Y,0.33268,0.37850,-0.95618,6.94202
sii6717,ECO00009,Y,1.12539,0.52995,2.72119,5.14304
sii6731,ECO00009,Y,0.45245,0.40278,0.82540,7.51842
hbeta,ECO00010,Y,1.00000,1.00000,0.00000,6.97086
oiii4959,ECO00010,Y,0.37992,0.30153,0.60380,2.92638
oiii5007,ECO00010,Y,1.26453,0.89962,2.33289,8.08411
oi6300,ECO00010,Y,0.41244,0.06464,2.90395,3.44364
nii6548,ECO00010,Y,0.09436,0.11854,-0.90641,3.53717
halpha,ECO00010,Y,2.86000,2.80857,0.41224,22.92640
nii6584,ECO00010,Y,0.28469,0.34943,-0.80457,3.53812
sii6717,ECO00010,Y,0.71368,0.48807,2.35284,7.44300
sii6731,ECO00010,Y,0.49654,0.37107,0.97007,3.83895
hbeta,ECO00011,Y,1.00000,1.00000,0.00000,5.44613
oiii4959,ECO00011,Y,-0.28883,0.17998,-3.03285,-1.86852
oiii5007,ECO00011,Y,0.81066,0.53696,1.63775,4.85074
oi6300,ECO00011,Y,-0.20354,0.08445,-2.58259,-1.82524
nii6548,ECO00011,Y,0.12607,0.15024,-0.67993,3.54586
halpha,ECO00011,Y,2.86000,2.80822,0.36275,20.03761
nii6584,ECO00011,Y,0.37920,0.44287,-0.59374,3.53612
sii6717,ECO00011,Y,0.99931,0.62779,2.80425,7.54279
sii6731,ECO00011,Y,0.91694,0.47689,1.54644,3.22233
hbeta,ECO00012,Y,1.00000,1.00000,0.00000,17.71562
oiii4959,ECO00012,Y,0.33234,0.34410,-0.23700,6.69492
oiii5007,ECO00012,Y,1.47610,1.02664,7.33825,24.09990
oi6300,ECO00012,Y,0.10322,0.06807,0.86342,2.53544
nii6548,ECO00012,Y,0.16439,0.14920,1.06761,11.55729
halpha,ECO00012,Y,2.86000,2.80283,0.93402,46.72569
nii6584,ECO00012,Y,0.49288,0.43980,1.23715,11.48869
sii6717,ECO00012,Y,0.72502,0.54410,4.13156,16.55669
sii6731,ECO00012,Y,0.47704,0.41355,1.11200,8.35529
hbeta,ECO00013,Y,1.00000,1.00000,0.00000,10.73497
oiii4959,ECO00013,Y,0.35134,0.33718,0.16271,4.03794
oiii5007,ECO00013,Y,1.53936,1.00598,5.20331,15.01698
oi6300,ECO00013,Y,0.16361,0.06279,1.73117,2.80925
nii6548,ECO00013,Y,0.08365,0.12252,-2.33932,5.03323
halpha,ECO00013,Y,2.86000,2.80639,0.63385,33.81323
nii6584,ECO00013,Y,0.25184,0.36116,-2.18091,5.02423
sii6717,ECO00013,Y,0.77366,0.48539,2.96086,7.94637
sii6731,ECO00013,Y,0.49962,0.36908,1.74485,6.67809
hbeta,ECO00014,Y,1.00000,1.00000,0.00000,8.83803
oiii4959,ECO00014,Y,0.28345,0.26663,0.17262,2.90899
oiii5007,ECO00014,Y,1.03140,0.79550,2.35258,10.28571
oi6300,ECO00014,Y,0.09755,0.06216,0.48157,1.32716
nii6548,ECO00014,Y,0.11170,0.10030,0.51699,5.06722
halpha,ECO00014,Y,2.86000,2.81319,0.44608,27.25543
nii6584,ECO00014,Y,0.33566,0.29567,0.60144,5.04837
sii6717,ECO00014,Y,0.95259,0.44917,0.24750,0.46831
sii6731,ECO00014,Y,0.42484,0.34153,1.08316,5.52348
hbeta,ECO00015,Y,1.00000,1.00000,0.00000,8.52936
oiii4959,ECO00015,Y,0.28717,0.21941,0.60562,2.56650
oiii5007,ECO00015,Y,0.79257,0.65461,1.21034,6.95341
oi6300,ECO00015,Y,0.21088,0.07416,1.46482,2.25941
nii6548,ECO00015,Y,0.13504,0.12748,0.30966,5.53153
halpha,ECO00015,Y,2.86000,2.81050,0.48366,27.94733
nii6584,ECO00015,Y,0.40706,0.37579,0.42458,5.52791
sii6717,ECO00015,Y,0.69639,0.54529,1.56264,7.20165
sii6731,ECO00015,Y,0.45869,0.41435,0.53672,5.55241
hbeta,ECO00016,Y,1.00000,1.00000,0.00000,26.93902
oiii4959,ECO00016,Y,0.55034,0.43993,3.26856,16.29290
oiii5007,ECO00016,Y,1.63677,1.31256,7.29934,36.85097
