Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
LOGQ,ECO00001,7.29387,7.09943,7.45951,6.99140,7.61074,Y,Y,N,N,0.01819,0.00000,N,N,2,44
LOGZ,ECO00001,8.83687,8.59294,8.88962,8.38197,8.95554,Y,Y,N,N,0.00000,0.00000,N,N,2,209
LOGQ,ECO00003,7.02021,6.99860,7.15704,-inf,7.32268,Y,Y,N,N,0.07572,0.00000,N,N,1,6
LOGZ,ECO00003,8.25670,8.18418,8.38197,8.11166,8.58635,Y,Y,N,N,0.00000,0.00000,N,N,1,121
LOGQ,ECO00004,7.62515,7.55313,7.79799,7.47391,7.99963,Y,Y,N,N,0.00000,0.00000,N,N,1,90
LOGZ,ECO00004,8.14463,8.07210,8.30945,7.99958,8.46108,Y,Y,N,N,0.00000,0.00000,N,N,1,104
LOGQ,ECO00005,7.28667,7.22906,7.41630,7.16424,7.58914,Y,Y,N,N,0.00000,0.00000,N,N,1,43
LOGZ,ECO00005,8.23033,8.15122,8.34241,8.08529,8.49405,Y,Y,N,N,0.00000,0.00000,N,N,1,117
LOGQ,ECO00006,7.32988,7.27947,7.49552,7.21465,7.71157,Y,Y,N,N,0.00000,0.00000,N,N,1,49
LOGZ,ECO00006,8.09848,8.03914,8.25670,7.96662,8.46767,Y,Y,N,N,0.00000,0.00000,N,N,1,97
LOGQ,ECO00008,7.18585,7.12823,7.31548,7.07062,7.47391,Y,Y,N,N,0.00004,0.00000,N,N,1,29
LOGZ,ECO00008,8.11825,8.05233,8.26330,7.97980,8.40834,Y,Y,N,N,0.00000,0.00000,N,N,1,100
LOGQ,ECO00009,7.09943,7.05622,7.25066,7.00581,7.45951,Y,Y,N,N,0.00772,0.00000,N,N,1,17
LOGZ,ECO00009,8.19737,8.11825,8.33582,8.03914,8.60612,Y,Y,N,N,0.00000,0.00000,N,N,2,112
LOGQ,ECO00010,7.14264,7.08502,7.29387,7.02741,7.48832,Y,Y,N,N,0.00227,0.00000,N,N,1,23
LOGZ,ECO00010,8.17759,8.09188,8.31604,8.00618,8.51382,Y,Y,N,N,0.00000,0.00000,N,N,1,109
LOGQ,ECO00011,6.99860,7.00581,7.27947,-inf,7.56033,N,Y,N,N,0.07083,0.00000,N,N,1,3
LOGZ,ECO00011,8.23693,8.15781,8.45449,8.07210,8.81709,Y,Y,N,N,0.00000,0.00000,N,N,1,118
LOGQ,ECO00012,7.17865,7.12823,7.37309,7.06342,7.62515,Y,Y,N,N,0.00004,0.00000,N,N,1,28
LOGZ,ECO00012,8.26330,8.19737,8.40175,8.13144,8.65887,Y,Y,N,N,0.00000,0.00000,N,N,1,122
LOGQ,ECO00013,7.17865,7.12103,7.32268,7.06342,7.50992,Y,Y,N,N,0.00005,0.00000,N,N,1,28
LOGZ,ECO00013,8.19737,8.11166,8.32922,8.03255,8.54020,Y,Y,N,N,0.00000,0.00000,N,N,1,112
LOGQ,ECO00014,7.11383,7.06342,7.27947,7.00581,7.58914,Y,Y,N,N,0.00710,0.00000,N,N,1,19
LOGZ,ECO00014,8.11825,8.04573,8.26330,7.96662,8.54020,Y,Y,N,N,0.00000,0.00000,N,N,3,100
LOGQ,ECO00015,7.04902,7.02021,7.20745,6.98420,7.43070,Y,Y,N,N,0.04265,0.00000,N,N,1,10
LOGZ,ECO00015,8.18418,8.11166,8.30945,8.03914,8.54020,Y,Y,N,N,0.00000,0.00000,N,N,1,110
LOGQ,ECO00016,7.26507,7.20025,7.40910,7.13544,7.60354,Y,Y,N,N,0.00000,0.00000,N,N,1,40
LOGZ,ECO00016,8.22374,8.14463,8.34241,8.08529,8.52701,Y,Y,N,N,0.00000,0.00000,N,N,1,116
LOGQ,ECO00017,7.51712,7.43791,7.66836,7.36589,7.87000,Y,Y,N,N,0.00000,0.00000,N,N,1,75
LOGZ,ECO00017,8.09848,8.03914,8.26330,7.96662,8.43471,Y,Y,N,N,0.00000,0.00000,N,N,1,97
LOGQ,ECO00018,7.35149,7.30107,7.51712,7.23626,7.73317,Y,Y,N,N,0.00000,0.00000,N,N,1,52
LOGZ,ECO00018,8.14463,8.07870,8.29626,8.00618,8.46767,Y,Y,N,N,0.00000,0.00000,N,N,1,104
LOGQ,ECO00019,7.32268,7.28667,7.83400,7.18585,8.07165,Y,Y,N,N,0.00000,0.00000,N,N,2,48
LOGZ,ECO00019,8.26989,8.20396,8.61931,8.11825,8.81709,Y,Y,N,N,0.00000,0.00000,N,N,2,123
LOGQ,ECO00020,7.34428,7.27947,7.48832,7.20745,7.66836,Y,Y,N,N,0.00000,0.00000,N,N,1,51
LOGZ,ECO00020,7.93365,7.86113,8.05233,7.80180,8.20396,Y,Y,N,N,0.00000,0.00000,N,N,3,72
LOGQ,ECO00021,7.48832,7.22906,7.63235,7.11383,7.79799,Y,Y,N,N,0.00011,0.00000,N,N,2,71
LOGZ,ECO00021,8.37537,8.31604,8.64568,8.22374,8.80391,Y,Y,N,N,0.00000,0.00000,N,N,1,139
LOGQ,ECO00022,7.10663,7.05622,7.24346,7.00581,7.42350,Y,Y,N,N,0.00660,0.00000,N,N,1,18
LOGZ,ECO00022,8.23033,8.15122,8.34241,8.08529,8.54020,Y,Y,N,N,0.00000,0.00000,N,N,1,117
LOGQ,ECO00023,7.28667,7.22186,7.40910,7.15704,7.57474,Y,Y,N,N,0.00000,0.00000,N,N,1,43
LOGZ,ECO00023,8.22374,8.13144,8.33582,8.06551,8.48086,Y,Y,N,N,0.00000,0.00000,N,N,1,116
LOGQ,ECO00024,7.33708,7.27947,7.53153,7.20025,7.77638,Y,Y,N,N,0.00000,0.00000,N,N,1,50
LOGZ,ECO00024,8.23693,8.14463,8.37537,8.07210,8.57975,Y,Y,N,N,0.00000,0.00000,N,N,1,118
LOGQ,ECO00025,7.36589,7.30828,7.60354,7.23626,7.92762,Y,Y,N,N,0.00000,0.00000,N,N,1,54
LOGZ,ECO00025,8.12485,8.06551,8.30945,7.99299,8.63909,Y,Y,N,N,0.00000,0.00000,N,N,2,101
LOGQ,ECO00027,7.41630,7.36589,7.55313,7.30107,7.69716,Y,Y,N,N,0.00000,0.00000,N,N,1,61
LOGZ,ECO00027,8.15781,8.08529,8.29626,8.01277,8.43471,Y,Y,N,N,0.00000,0.00000,N,N,1,106
LOGQ,ECO00028,7.32988,7.27947,7.50992,7.20745,7.76198,Y,Y,N,N,0.00000,0.00000,N,N,1,49
