Line,Galaxy Name,In_lhood?,Obs,Model,Resid_Stds,Obs_S/N
hbeta,ECO00001,Y,1.00000,1.00000,0.00000,112.62577
oiii4959,ECO00001,Y,0.11520,0.11631,-0.19434,20.09567
oiii5007,ECO00001,Y,0.40043,0.34703,7.45511,55.90454
oi6300,ECO00001,Y,0.06444,0.04750,3.76265,14.31097
nii6548,ECO00001,Y,0.37712,0.33511,15.47767,138.95872
halpha,ECO00001,Y,2.86000,2.82853,1.85878,168.92101
nii6584,ECO00001,Y,1.13318,0.98783,17.75613,138.43370
sii6717,ECO00001,Y,0.46090,0.80034,-50.77021,68.93885
sii6731,ECO00001,Y,0.32358,0.61229,-44.06172,49.38359
hbeta,ECO00001,Y,1.00000,1.00000,0.00000,112.62577
oiii4959,ECO00001,Y,0.11520,0.11631,-0.19434,20.09567
oiii5007,ECO00001,Y,0.40043,0.34703,7.45511,55.90454
oi6300,ECO00001,Y,0.06444,0.04750,3.76265,14.31097
nii6548,ECO00001,Y,0.37712,0.33511,15.47767,138.95872
halpha,ECO00001,Y,2.86000,2.82853,1.85878,168.92101
nii6584,ECO00001,Y,1.13318,0.98783,17.75613,138.43370
sii6717,ECO00001,Y,0.46090,0.80034,-50.77021,68.93885
sii6731,ECO00001,Y,0.32358,0.61229,-44.06172,49.38359
hbeta,ECO00003,Y,1.00000,1.00000,0.00000,9.31327
oiii4959,ECO00003,Y,0.15930,0.20711,-0.47765,1.59151
oiii5007,ECO00003,Y,0.87723,0.61795,2.31747,7.84054
oi6300,ECO00003,Y,0.28847,0.09162,2.45351,3.59535
nii6548,ECO00003,Y,0.14887,0.13367,0.63970,6.26522
halpha,ECO00003,Y,2.86000,2.80031,0.60594,29.03496
nii6584,ECO00003,Y,0.44797,0.39405,0.75228,6.25034
sii6717,ECO00003,Y,0.92671,0.74325,1.91932,9.69481
sii6731,ECO00003,Y,0.55312,0.56435,-0.14476,7.13038
hbeta,ECO00004,Y,1.00000,1.00000,0.00000,40.18111
oiii4959,ECO00004,Y,1.28171,0.95610,11.31010,44.52043
oiii5007,ECO00004,Y,3.87465,2.85256,21.24517,80.53828
oi6300,ECO00004,Y,0.06537,0.03296,3.03538,6.12133
nii6548,ECO00004,Y,0.05478,0.04960,1.48300,15.69537
halpha,ECO00004,Y,2.86000,2.79249,2.00564,84.96703
nii6584,ECO00004,Y,0.16533,0.14621,1.81620,15.70615
sii6717,ECO00004,Y,0.29532,0.28715,0.54089,19.56069
sii6731,ECO00004,Y,0.21385,0.21828,-0.34811,16.81667
hbeta,ECO00005,Y,1.00000,1.00000,0.00000,58.04405
oiii4959,ECO00005,Y,0.62536,0.49486,8.43181,40.40450
oiii5007,ECO00005,Y,1.76042,1.47647,12.92819,80.15044
oi6300,ECO00005,Y,0.09306,0.05921,3.59339,9.87963
nii6548,ECO00005,Y,0.10969,0.09821,3.52717,33.70120
halpha,ECO00005,Y,2.86000,2.79679,2.43623,110.22316
nii6584,ECO00005,Y,0.32986,0.28951,4.11008,33.60054
sii6717,ECO00005,Y,0.59124,0.51009,6.16460,44.91550
sii6731,ECO00005,Y,0.38845,0.38748,0.07164,28.57101
hbeta,ECO00006,Y,1.00000,1.00000,0.00000,25.52925
oiii4959,ECO00006,Y,0.59316,0.52919,1.75530,16.27689
oiii5007,ECO00006,Y,2.01987,1.57887,8.15739,37.36199
oi6300,ECO00006,Y,0.06161,0.04876,0.63134,3.02739
nii6548,ECO00006,Y,0.06357,0.06236,0.18586,9.73646
halpha,ECO00006,Y,2.86000,2.80081,1.52221,73.54941
nii6584,ECO00006,Y,0.19142,0.18382,0.38607,9.72007
sii6717,ECO00006,Y,0.49171,0.39306,3.92936,19.58491
sii6731,ECO00006,Y,0.38537,0.29892,3.31645,14.78467
hbeta,ECO00008,Y,1.00000,1.00000,0.00000,14.76135
oiii4959,ECO00008,Y,0.43725,0.34613,1.28156,6.15021
oiii5007,ECO00008,Y,1.35287,1.03272,3.30985,13.98633
oi6300,ECO00008,Y,0.16616,0.06255,2.13666,3.42640
nii6548,ECO00008,Y,0.07650,0.07699,-0.03641,5.63481
halpha,ECO00008,Y,2.86000,2.80278,0.89849,44.91153
nii6584,ECO00008,Y,0.23084,0.22696,0.09462,5.63715
sii6717,ECO00008,Y,0.65198,0.49216,3.13970,12.80828
sii6731,ECO00008,Y,0.35923,0.37412,-0.28645,6.91356
hbeta,ECO00009,Y,1.00000,1.00000,0.00000,12.95253
oiii4959,ECO00009,Y,0.34791,0.28246,0.90558,4.81362
oiii5007,ECO00009,Y,0.97388,0.84274,1.67652,12.45029
oi6300,ECO00009,Y,0.08586,0.07647,0.20890,1.91098
nii6548,ECO00009,Y,0.11033,0.10379,0.41211,6.94439
halpha,ECO00009,Y,2.86000,2.80132,0.78394,38.20665
nii6584,ECO00009,Y,0.33268,0.30595,0.55777,6.94202
sii6717,ECO00009,Y,1.12539,0.61121,2.34982,5.14304
sii6731,ECO00009,Y,0.45245,0.46427,-0.19643,7.51842
hbeta,ECO00010,Y,1.00000,1.00000,0.00000,6.97086
oiii4959,ECO00010,Y,0.37992,0.31532,0.49758,2.92638
oiii5007,ECO00010,Y,1.26453,0.94079,2.06969,8.08411
oi6300,ECO00010,Y,0.41244,0.06982,2.86065,3.44364
nii6548,ECO00010,Y,0.09436,0.09145,0.10918,3.53717
halpha,ECO00010,Y,2.86000,2.80170,0.46736,22.92640
nii6584,ECO00010,Y,0.28469,0.26958,0.18786,3.53812
sii6717,ECO00010,Y,0.71368,0.55556,1.64907,7.44300
sii6731,ECO00010,Y,0.49654,0.42212,0.57539,3.83895
hbeta,ECO00011,Y,1.00000,1.00000,0.00000,5.44613
oiii4959,ECO00011,Y,-0.28883,0.18862,-3.08878,-1.86852
oiii5007,ECO00011,Y,0.81066,0.56278,1.48325,4.85074
oi6300,ECO00011,Y,-0.20354,0.09425,-2.67044,-1.82524
nii6548,ECO00011,Y,0.12607,0.13521,-0.25730,3.54586
halpha,ECO00011,Y,2.86000,2.80068,0.41563,20.03761
nii6584,ECO00011,Y,0.37920,0.39860,-0.18086,3.53612
sii6717,ECO00011,Y,0.99931,0.75990,1.80704,7.54279
sii6731,ECO00011,Y,0.91694,0.57698,1.19470,3.22233
