Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
LOGQ,ECO00001,7.26507,7.12823,7.38029,7.02021,7.48832,Y,Y,N,N,0.00642,0,N,N,1,40
LOGZ,ECO00001,8.84347,8.71161,8.88962,8.60612,8.93577,Y,Y,N,N,0,0,N,N,1,210
LOGQ,ECO00003,7.04181,7.01301,7.20745,6.9842,7.37309,Y,Y,N,N,0.0486,0,N,N,1,9
LOGZ,ECO00003,8.37537,8.30945,8.52701,8.23033,8.68524,Y,Y,N,N,0,0,N,N,1,139
LOGQ,ECO00004,7.63235,7.55313,7.79799,7.46671,7.92762,Y,Y,N,N,0,0,N,N,1,91
LOGZ,ECO00004,8.25011,8.17759,8.38856,8.10507,8.50723,Y,Y,N,N,0,0,N,N,1,120
LOGQ,ECO00005,7.31548,7.25066,7.44511,7.17865,7.56033,Y,Y,N,N,0,0,N,N,1,47
LOGZ,ECO00005,8.33582,8.2633,8.46108,8.19078,8.57975,Y,Y,N,N,0,0,N,N,1,133
LOGQ,ECO00006,7.34428,7.28667,7.53153,7.21465,7.71877,Y,Y,N,N,0,0,N,N,1,51
LOGZ,ECO00006,8.19737,8.13144,8.36219,8.05892,8.57316,Y,Y,N,N,0,0,N,N,1,112
LOGQ,ECO00008,7.19305,7.13544,7.33708,7.07062,7.50992,Y,Y,N,N,0.00004,0,N,N,1,30
LOGZ,ECO00008,8.22374,8.14463,8.3556,8.0721,8.52701,Y,Y,N,N,0,0,N,N,1,116
LOGQ,ECO00009,7.12103,7.07062,7.30107,7.01301,7.51712,Y,Y,N,N,0.00528,0,N,N,1,20
LOGZ,ECO00009,8.30285,8.23693,8.49405,8.15781,8.7182,Y,Y,N,N,0,0,N,N,1,128
LOGQ,ECO00010,7.15704,7.09223,7.32988,7.02741,7.54593,Y,Y,N,N,0.00189,0,N,N,1,25
LOGZ,ECO00010,8.26989,8.19078,8.43471,8.10507,8.63909,Y,Y,N,N,0,0,N,N,1,123
LOGQ,ECO00011,7.02021,7.02021,7.33708,6.9842,7.57474,Y,Y,N,N,0.04618,0,N,N,1,6
LOGZ,ECO00011,8.37537,8.28967,8.65227,8.17759,8.86984,Y,Y,N,N,0,0,N,N,1,139
LOGQ,ECO00012,7.25786,7.17865,7.48112,7.09223,7.66836,Y,Y,N,N,0.00001,0,N,N,1,39
LOGZ,ECO00012,8.42812,8.3556,8.6259,8.28307,8.77754,Y,Y,N,N,0,0,N,N,1,147
LOGQ,ECO00013,7.19305,7.13544,7.34428,7.07062,7.51712,Y,Y,N,N,0.00003,0,N,N,1,30
LOGZ,ECO00013,8.2567,8.19078,8.41493,8.11166,8.59953,Y,Y,N,N,0,0,N,N,1,121
LOGQ,ECO00014,7.12103,7.07062,7.4163,7.01301,7.90601,Y,Y,N,N,0.00618,0.00001,N,N,1,20
LOGZ,ECO00014,8.26989,8.19737,8.5336,8.11166,8.87643,Y,Y,N,N,0,0,N,N,2,123
LOGQ,ECO00015,7.07062,7.03461,7.31548,6.9842,7.63235,Y,Y,N,N,0.02802,0,N,N,1,13
LOGZ,ECO00015,8.32263,8.2567,8.5336,8.171,8.81709,Y,Y,N,N,0,0,N,N,1,131
LOGQ,ECO00016,7.29387,7.22186,7.45231,7.14984,7.60354,Y,Y,N,N,0,0,N,N,1,44
LOGZ,ECO00016,8.34241,8.26989,8.49405,8.19737,8.6259,Y,Y,N,N,0,0,N,N,1,134
LOGQ,ECO00017,7.52433,7.43791,7.67556,7.36589,7.8412,Y,Y,N,N,0,0,N,N,1,76
LOGZ,ECO00017,8.21715,8.13803,8.3556,8.06551,8.49405,Y,Y,N,N,0,0,N,N,1,115
LOGQ,ECO00018,7.35869,7.30107,7.54593,7.23626,7.73317,Y,Y,N,N,0,0,N,N,1,53
LOGZ,ECO00018,8.2567,8.19078,8.41493,8.11825,8.57316,Y,Y,N,N,0,0,N,N,1,121
LOGQ,ECO00019,7.68276,7.3947,7.88441,7.25066,8.08605,Y,Y,N,N,0,0,N,N,1,98
