Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
LOGQ,ECO00001,7.12526,7.05934,7.23734,7.01319,7.32964,Y,Y,N,N,0.02036,0,N,N,1,19
LOGZ,ECO00001,8.59183,8.49294,8.69732,8.41382,8.76984,Y,Y,N,N,0,0,N,N,1,187
LOGQ,ECO00003,7.12526,7.07911,7.24394,7.02637,7.36261,Y,Y,N,N,0.0063,0,N,N,1,19
LOGZ,ECO00003,8.30834,8.26219,8.49294,8.19626,8.64457,Y,Y,N,N,0,0,N,N,1,144
LOGQ,ECO00004,7.69884,7.62632,7.76477,7.56039,7.8307,Y,Y,N,N,0,0,N,N,1,106
LOGZ,ECO00004,8.26219,8.19626,8.29515,8.13033,8.35449,Y,Y,N,N,0,0,N,N,1,137
LOGQ,ECO00005,7.35601,7.29668,7.40876,7.24394,7.4615,Y,Y,N,N,0,0,N,N,1,54
LOGZ,ECO00005,8.26219,8.23582,8.33471,8.18967,8.41382,Y,Y,N,N,0,0,N,N,1,137
LOGQ,ECO00006,7.42853,7.37579,7.51424,7.32964,7.60654,Y,Y,N,N,0,0,N,N,1,65
LOGZ,ECO00006,8.26219,8.19626,8.36108,8.12374,8.49953,Y,Y,N,N,0,0,N,N,1,137
LOGQ,ECO00008,7.32964,7.23734,7.41535,7.17801,7.52083,Y,Y,N,N,0,0,N,N,2,50
LOGZ,ECO00008,8.26219,8.18307,8.37427,8.11055,8.54568,Y,Y,N,N,0,0,N,N,1,137
LOGQ,ECO00009,7.20438,7.15164,7.34283,7.0923,7.46809,Y,Y,N,N,0.00002,0,N,N,1,31
LOGZ,ECO00009,8.26219,8.20945,8.4402,8.13033,8.6182,Y,Y,N,N,0,0,N,N,1,137
LOGQ,ECO00010,7.25053,7.19119,7.40216,7.12526,7.52743,Y,Y,N,N,0.00002,0,N,N,2,38
LOGZ,ECO00010,8.26219,8.19626,8.42042,8.11055,8.60502,Y,Y,N,N,0,0,N,N,1,137
