Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
LOGQ,ECO00001,7.26271,7.08414,7.40557,-inf,7.54843,Y,Y,N,N,0.08358,0.00000,N,N,1,8
LOGZ,ECO00001,0.07216,-0.12401,0.13755,-0.28748,0.17025,Y,Y,N,N,0.00000,0.00024,N,N,1,42
LOGQ,ECO00004,7.61986,7.51271,7.76271,7.44129,7.90557,Y,Y,N,N,0.00000,0.00000,N,N,1,18
LOGZ,ECO00004,-0.54904,-0.64713,-0.38557,-0.71252,-0.28748,Y,Y,N,N,0.00000,0.00000,N,N,1,23
LOGQ,ECO00008,7.15557,7.08414,7.33414,7.04843,7.47700,Y,Y,N,N,0.02451,0.00000,N,N,1,5
LOGZ,ECO00008,-0.54904,-0.64713,-0.38557,-0.71252,-0.22209,Y,Y,N,N,0.00000,0.00000,N,N,1,23
LOGQ,ECO00017,7.51271,7.40557,7.65557,7.33414,7.83414,Y,Y,N,N,0.00000,0.00000,N,N,1,15
LOGZ,ECO00017,-0.58174,-0.67982,-0.41826,-0.74521,-0.28748,Y,Y,N,N,0.00000,0.00000,N,N,1,22
LOGQ,ECO00018,7.33414,7.26271,7.51271,7.19129,7.72700,Y,Y,N,N,0.00001,0.00000,N,N,1,10
LOGZ,ECO00018,-0.54904,-0.61443,-0.38557,-0.71252,-0.18940,Y,Y,N,N,0.00000,0.00000,N,N,1,23
LOGQ,ECO00023,7.26271,7.19129,7.40557,7.11986,7.54843,Y,Y,N,N,0.00008,0.00000,N,N,1,8
LOGZ,ECO00023,-0.48365,-0.58174,-0.35287,-0.64713,-0.22209,Y,Y,N,N,0.00000,0.00000,N,N,1,25
LOGQ,ECO00027,7.40557,7.33414,7.54843,7.29843,7.69129,Y,Y,N,N,0.00000,0.00000,N,N,1,12
LOGZ,ECO00027,-0.54904,-0.64713,-0.41826,-0.71252,-0.28748,Y,Y,N,N,0.00000,0.00000,N,N,1,23
