Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
LOGQ,ECO00001,7.33414,7.11986,7.47700,-inf,7.61986,Y,Y,N,N,0.06079,0.00000,N,N,2,10
LOGZ,ECO00001,0.10486,-0.09131,0.17025,-0.28748,0.23564,Y,Y,N,N,0.00000,0.00541,N,N,1,43
LOGQ,ECO00004,7.54843,7.44129,7.72700,7.36986,7.90557,Y,Y,N,N,0.00000,0.00000,N,N,1,16
LOGZ,ECO00004,-0.64713,-0.71252,-0.45096,-0.81060,-0.28748,Y,Y,N,N,0.00000,0.00000,N,N,1,20
LOGQ,ECO00008,7.11986,7.04843,7.26271,-inf,7.40557,Y,Y,N,N,0.11556,0.00000,N,N,1,4
LOGZ,ECO00008,-0.61443,-0.67982,-0.41826,-0.77791,-0.25479,Y,Y,N,N,0.00000,0.00000,N,N,1,21
LOGQ,ECO00017,7.40557,7.33414,7.61986,7.26271,7.76271,Y,Y,N,N,0.00000,0.00000,N,N,1,12
LOGZ,ECO00017,-0.67982,-0.74521,-0.48365,-0.84330,-0.28748,Y,Y,N,N,0.00000,0.00000,N,N,1,19
LOGQ,ECO00018,7.29843,7.19129,7.44129,7.11986,7.65557,Y,Y,N,N,0.00049,0.00000,N,N,1,9
LOGZ,ECO00018,-0.61443,-0.71252,-0.41826,-0.77791,-0.22209,Y,Y,N,N,0.00000,0.00000,N,N,1,21
LOGQ,ECO00023,7.19129,7.11986,7.36986,7.08414,7.51271,Y,Y,N,N,0.00304,0.00000,N,N,1,6
LOGZ,ECO00023,-0.54904,-0.64713,-0.38557,-0.71252,-0.22209,Y,Y,N,N,0.00000,0.00000,N,N,1,23
LOGQ,ECO00027,7.36986,7.29843,7.54843,7.22700,7.69129,Y,Y,N,N,0.00000,0.00000,N,N,1,11
LOGZ,ECO00027,-0.64713,-0.71252,-0.45096,-0.77791,-0.28748,Y,Y,N,N,0.00000,0.00000,N,N,1,20
LOGQ,ECO00035,7.11986,7.08414,7.33414,7.01271,7.54843,Y,Y,N,N,0.05509,0.00000,N,N,1,4
LOGZ,ECO00035,-0.48365,-0.58174,-0.28748,-0.64713,-0.09131,Y,Y,N,N,0.00000,0.00000,N,N,1,25
LOGQ,ECO00036,7.47700,7.40557,7.69129,7.33414,7.86986,Y,Y,N,N,0.00000,0.00000,N,N,1,14
LOGZ,ECO00036,-0.61443,-0.71252,-0.38557,-0.77791,-0.22209,Y,Y,N,N,0.00000,0.00000,N,N,1,21
LOGQ,ECO00054,7.29843,7.19129,7.44129,7.11986,7.61986,Y,Y,N,N,0.00004,0.00000,N,N,1,9
LOGZ,ECO00054,-0.71252,-0.81060,-0.54904,-0.87599,-0.35287,Y,Y,N,N,0.00000,0.00000,N,N,1,18
LOGQ,ECO00058,7.19129,7.11986,7.36986,7.08414,7.51271,Y,Y,N,N,0.00354,0.00000,N,N,1,6
LOGZ,ECO00058,-0.64713,-0.74521,-0.48365,-0.84330,-0.28748,Y,Y,N,N,0.00000,0.00000,N,N,1,20
LOGQ,ECO00061,7.08414,7.04843,7.22700,-inf,7.33414,Y,Y,N,N,0.15645,0.00000,N,N,1,3
LOGZ,ECO00061,-0.45096,-0.54904,-0.32018,-0.64713,-0.18940,Y,Y,N,N,0.00000,0.00000,N,N,1,26
LOGQ,ECO00068,7.29843,7.22700,7.44129,7.15557,7.58414,Y,Y,N,N,0.00003,0.00000,N,N,1,9
LOGZ,ECO00068,-0.54904,-0.67982,-0.38557,-0.74521,-0.22209,Y,Y,N,N,0.00000,0.00000,N,N,1,23
LOGQ,ECO00069,7.29843,7.22700,7.44129,7.15557,7.58414,Y,Y,N,N,0.00000,0.00000,N,N,1,9
LOGZ,ECO00069,-0.61443,-0.71252,-0.45096,-0.77791,-0.28748,Y,Y,N,N,0.00000,0.00000,N,N,1,21
LOGQ,ECO00073,7.36986,7.29843,7.54843,7.22700,7.69129,Y,Y,N,N,0.00000,0.00000,N,N,1,11
LOGZ,ECO00073,-0.54904,-0.64713,-0.38557,-0.71252,-0.25479,Y,Y,N,N,0.00000,0.00000,N,N,1,23
LOGQ,ECO00102,7.08414,7.01271,7.36986,-inf,7.61986,Y,Y,N,N,0.17728,0.00000,N,N,1,3
LOGZ,ECO00102,-0.48365,-0.58174,-0.18940,-0.64713,0.03947,Y,Y,N,N,0.00000,0.00000,N,N,1,25
LOGQ,ECO00103,7.79843,7.69129,7.97700,7.58414,8.15557,Y,Y,N,N,0.00000,0.00000,N,N,1,23
LOGZ,ECO00103,-0.90869,-1.00677,-0.74521,-1.07216,-0.54904,Y,Y,N,N,0.00000,0.00000,N,N,1,12
LOGQ,ECO00105,7.19129,7.11986,7.33414,7.04843,7.44129,Y,Y,N,N,0.00676,0.00000,N,N,1,6
LOGZ,ECO00105,-0.64713,-0.74521,-0.48365,-0.81060,-0.32018,Y,Y,N,N,0.00000,0.00000,N,N,1,20
LOGQ,ECO00117,7.19129,7.11986,7.61986,7.04843,7.79843,Y,Y,N,N,0.02279,0.00000,N,N,3,6
LOGZ,ECO00117,-0.48365,-0.54904,-0.09131,-0.64713,0.03947,Y,Y,N,N,0.00000,0.00000,N,N,2,25
LOGQ,ECO00124,7.40557,7.33414,7.79843,7.22700,8.01271,Y,Y,N,N,0.00000,0.00000,N,N,1,12
LOGZ,ECO00124,-0.61443,-0.67982,-0.28748,-0.77791,-0.05862,Y,Y,N,N,0.00000,0.00000,N,N,1,21
LOGQ,ECO00139,7.54843,7.47700,7.76271,7.36986,7.90557,Y,Y,N,N,0.00000,0.00000,N,N,1,16
LOGZ,ECO00139,-0.71252,-0.77791,-0.48365,-0.84330,-0.28748,Y,Y,N,N,0.00000,0.00000,N,N,1,18
LOGQ,ECO00141,7.19129,7.11986,7.33414,7.04843,7.44129,Y,Y,N,N,0.00443,0.00000,N,N,1,6
LOGZ,ECO00141,-0.54904,-0.64713,-0.38557,-0.71252,-0.25479,Y,Y,N,N,0.00000,0.00000,N,N,1,23
LOGQ,ECO00142,7.33414,7.26271,7.47700,7.15557,7.61986,Y,Y,N,N,0.00001,0.00000,N,N,1,10
LOGZ,ECO00142,-0.54904,-0.64713,-0.38557,-0.74521,-0.25479,Y,Y,N,N,0.00000,0.00000,N,N,1,23
LOGQ,ECO00145,7.08414,7.01271,7.22700,-inf,7.33414,Y,Y,N,N,0.20531,0.00000,N,N,1,3
LOGZ,ECO00145,-0.71252,-0.81060,-0.51635,-0.87599,-0.35287,Y,Y,N,N,0.00000,0.00000,N,N,1,18
LOGQ,ECO00161,7.01271,-inf,7.15557,-inf,7.26271,Y,Y,Y,N,0.44827,0.00000,N,N,1,1
LOGZ,ECO00161,-0.38557,-0.48365,-0.22209,-0.54904,-0.12401,Y,Y,N,N,0.00000,0.00000,N,N,1,28
LOGQ,ECO00169,7.11986,7.04843,7.29843,-inf,7.44129,Y,Y,N,N,0.10379,0.00000,N,N,1,4
LOGZ,ECO00169,-0.51635,-0.58174,-0.32018,-0.67982,-0.15670,Y,Y,N,N,0.00000,0.00000,N,N,1,24
LOGQ,ECO00176,7.04843,7.01271,7.22700,-inf,7.36986,Y,Y,Y,N,0.27652,0.00000,N,N,1,2
LOGZ,ECO00176,-0.61443,-0.67982,-0.41826,-0.74521,-0.22209,Y,Y,N,N,0.00000,0.00000,N,N,1,21
LOGQ,ECO00185,7.33414,7.26271,7.51271,7.19129,7.72700,Y,Y,N,N,0.00000,0.00000,N,N,1,10
LOGZ,ECO00185,-0.64713,-0.71252,-0.41826,-0.81060,-0.18940,Y,Y,N,N,0.00000,0.00000,N,N,1,20
LOGQ,ECO00190,7.22700,7.15557,7.36986,7.08414,7.47700,Y,Y,N,N,0.00070,0.00000,N,N,1,7
LOGZ,ECO00190,-0.54904,-0.64713,-0.41826,-0.74521,-0.25479,Y,Y,N,N,0.00000,0.00000,N,N,1,23
LOGQ,ECO00194,7.72700,7.65557,7.97700,7.54843,8.19129,Y,Y,N,N,0.00000,0.00000,N,N,1,21
LOGZ,ECO00194,-0.77791,-0.84330,-0.54904,-0.94138,-0.32018,Y,Y,N,N,0.00000,0.00000,N,N,1,16
LOGQ,ECO00200,7.40557,7.33414,7.61986,7.26271,7.79843,Y,Y,N,N,0.00000,0.00000,N,N,1,12
LOGZ,ECO00200,-0.71252,-0.77791,-0.51635,-0.84330,-0.32018,Y,Y,N,N,0.00000,0.00000,N,N,1,18
LOGQ,ECO00201,7.11986,7.04843,7.29843,7.01271,7.47700,Y,Y,N,N,0.07285,0.00000,N,N,1,4
LOGZ,ECO00201,-0.54904,-0.61443,-0.35287,-0.71252,-0.15670,Y,Y,N,N,0.00000,0.00000,N,N,1,23
LOGQ,ECO00210,7.15557,7.08414,7.29843,7.04843,7.44129,Y,Y,N,N,0.01193,0.00000,N,N,1,5
LOGZ,ECO00210,-0.45096,-0.54904,-0.32018,-0.64713,-0.18940,Y,Y,N,N,0.00000,0.00000,N,N,1,26
LOGQ,ECO00213,7.33414,7.26271,7.51271,7.19129,7.69129,Y,Y,N,N,0.00000,0.00000,N,N,1,10
LOGZ,ECO00213,-0.61443,-0.71252,-0.41826,-0.77791,-0.18940,Y,Y,N,N,0.00000,0.00000,N,N,1,21
LOGQ,ECO00220,7.40557,7.33414,7.58414,7.26271,7.69129,Y,Y,N,N,0.00000,0.00000,N,N,1,12
LOGZ,ECO00220,-0.64713,-0.71252,-0.45096,-0.77791,-0.32018,Y,Y,N,N,0.00000,0.00000,N,N,1,20
LOGQ,ECO00231,7.36986,7.19129,7.54843,7.01271,7.69129,Y,Y,N,N,0.03600,0.00000,N,N,2,11
LOGZ,ECO00231,0.20294,0.00677,0.23564,-0.22209,0.26833,Y,Y,N,Y,0.00000,0.10283,N,N,1,46
LOGQ,ECO00237,7.86986,7.76271,8.04843,7.65557,8.22700,Y,Y,N,N,0.00000,0.00000,N,N,1,25
LOGZ,ECO00237,-0.81060,-0.87599,-0.58174,-0.94138,-0.38557,Y,Y,N,N,0.00000,0.00000,N,N,1,15
LOGQ,ECO00242,7.69129,7.58414,7.86986,7.51271,8.04843,Y,Y,N,N,0.00000,0.00000,N,N,1,20
LOGZ,ECO00242,-0.81060,-0.87599,-0.58174,-0.94138,-0.38557,Y,Y,N,N,0.00000,0.00000,N,N,1,15
LOGQ,ECO00253,7.86986,7.76271,8.08414,7.65557,8.29843,Y,Y,N,N,0.00000,0.00002,N,N,1,25
LOGZ,ECO00253,-0.81060,-0.90869,-0.61443,-0.97408,-0.38557,Y,Y,N,N,0.00000,0.00000,N,N,1,15
