Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
AGNFRAC,ECO00001,0.00000,-inf,0.16327,-inf,0.32653,Y,Y,Y,N,0.34056,0.00010,N,N,1,0
LOGQ,ECO00001,7.36986,7.19129,7.58414,7.01271,7.90557,Y,Y,N,N,0.03090,0.00003,N,N,1,11
LOGZ,ECO00001,0.23564,0.00677,0.26833,-0.18940,inf,Y,Y,N,Y,0.00000,0.22108,N,N,2,47
AGNFRAC,ECO00004,0.20408,0.10204,0.63265,-inf,0.91837,Y,Y,N,N,0.05389,0.01028,N,N,1,10
LOGQ,ECO00004,7.51271,7.40557,7.79843,7.29843,8.22700,Y,Y,N,N,0.00000,0.00153,N,N,1,15
LOGZ,ECO00004,-0.71252,-0.81060,-0.51635,-0.87599,-0.22209,Y,Y,N,N,0.00000,0.00090,N,N,1,18
AGNFRAC,ECO00008,0.44898,0.20408,0.81633,0.04082,0.97959,Y,Y,N,N,0.02341,0.03141,N,N,1,22
LOGQ,ECO00008,7.01271,-inf,7.19129,-inf,7.36986,Y,Y,Y,N,0.39034,0.00000,N,N,1,1
LOGZ,ECO00008,-0.74521,-0.84330,-0.61443,-0.90869,-0.45096,Y,Y,N,N,0.00000,0.00013,N,N,1,17
AGNFRAC,ECO00017,0.28571,0.14286,0.71429,0.02041,0.95918,Y,Y,N,N,0.03811,0.01634,N,N,1,14
LOGQ,ECO00017,7.36986,7.29843,7.61986,7.19129,7.94129,Y,Y,N,N,0.00007,0.00030,N,N,1,11
LOGZ,ECO00017,-0.77791,-0.84330,-0.61443,-0.90869,-0.38557,Y,Y,N,N,0.00000,0.00045,N,N,1,16
AGNFRAC,ECO00018,0.26531,0.12245,0.71429,0.02041,0.93878,Y,Y,N,N,0.04238,0.01606,N,N,1,13
LOGQ,ECO00018,7.19129,7.08414,7.36986,7.01271,7.65557,Y,Y,N,N,0.03647,0.00004,N,N,1,6
LOGZ,ECO00018,-0.71252,-0.81060,-0.58174,-0.87599,-0.38557,Y,Y,N,N,0.00000,0.00052,N,N,1,18
AGNFRAC,ECO00023,0.20408,0.10204,0.69388,0.02041,0.93878,Y,Y,N,N,0.04892,0.01412,N,N,1,10
LOGQ,ECO00023,7.11986,7.04843,7.29843,-inf,7.51271,Y,Y,N,N,0.13647,0.00000,N,N,1,4
LOGZ,ECO00023,-0.67982,-0.74521,-0.51635,-0.81060,-0.32018,Y,Y,N,N,0.00000,0.00052,N,N,1,19
AGNFRAC,ECO00027,0.18367,0.10204,0.63265,-inf,0.91837,Y,Y,N,N,0.05890,0.01079,N,N,1,9
