Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
AGNFRAC,ECO00001,0.00000,0.04082,0.51020,-inf,0.87755,N,Y,Y,N,0.15185,0.00714,N,N,1,0
LOGQ,ECO00001,8.22697,7.54840,8.51268,7.01268,8.69126,Y,Y,N,N,0.04231,0.04316,N,N,2,35
LOGZ,ECO00001,0.30103,-0.12401,inf,-0.35287,inf,Y,Y,N,Y,0.00000,0.37545,N,N,2,49
AGNFRAC,ECO00004,0.14286,0.08163,0.63265,-inf,0.91837,Y,Y,N,N,0.06598,0.01088,N,N,1,7
LOGQ,ECO00004,7.47697,7.36983,7.79840,7.29840,8.22697,Y,Y,N,N,0.00000,0.00173,N,N,1,14
LOGZ,ECO00004,-0.74521,-0.81060,-0.54904,-0.87599,-0.28748,Y,Y,N,N,0.00000,0.00015,N,N,2,17
AGNFRAC,ECO00008,0.46939,0.20408,0.83673,0.02041,0.97959,Y,Y,N,N,0.02526,0.03328,N,N,1,23
LOGQ,ECO00008,7.01268,-inf,7.19126,-inf,7.33411,Y,Y,Y,N,0.43135,0.00000,N,N,1,1
LOGZ,ECO00008,-0.74521,-0.84330,-0.61443,-0.90869,-0.51635,Y,Y,N,N,0.00000,0.00003,N,N,2,17
AGNFRAC,ECO00017,0.24490,0.12245,0.71429,0.02041,0.95918,Y,Y,N,N,0.04868,0.01658,N,N,1,12
LOGQ,ECO00017,7.36983,7.26268,7.58411,7.19126,7.90554,Y,Y,N,N,0.00009,0.00037,N,N,1,11
LOGZ,ECO00017,-0.77791,-0.84330,-0.61443,-0.90869,-0.45096,Y,Y,N,N,0.00000,0.00010,N,N,2,16
AGNFRAC,ECO00018,0.24490,0.12245,0.71429,0.02041,0.95918,Y,Y,N,N,0.04837,0.01673,N,N,1,12
LOGQ,ECO00018,7.15554,7.08411,7.36983,7.01268,7.61983,Y,Y,N,N,0.05043,0.00009,N,N,1,5
LOGZ,ECO00018,-0.71252,-0.81060,-0.58174,-0.87599,-0.45096,Y,Y,N,N,0.00000,0.00015,N,N,2,18
AGNFRAC,ECO00023,0.22449,0.10204,0.71429,-inf,0.93878,Y,Y,N,N,0.05283,0.01583,N,N,1,11
LOGQ,ECO00023,7.08411,7.01268,7.26268,-inf,7.47697,Y,Y,N,N,0.18220,0.00003,N,N,1,3
LOGZ,ECO00023,-0.64713,-0.74521,-0.54904,-0.81060,-0.41826,Y,Y,N,N,0.00000,0.00022,N,N,2,20
AGNFRAC,ECO00027,0.14286,0.08163,0.65306,-inf,0.91837,Y,Y,N,N,0.06469,0.01165,N,N,1,7
LOGQ,ECO00027,7.29840,7.19126,7.51268,7.11983,7.83411,Y,Y,N,N,0.00136,0.00036,N,N,1,9
LOGZ,ECO00027,-0.71252,-0.81060,-0.58174,-0.87599,-0.38557,Y,Y,N,N,0.00000,0.00024,N,N,2,18
AGNFRAC,ECO00035,0.00000,0.06122,0.55102,-inf,0.87755,N,Y,Y,N,0.10253,0.00692,N,N,1,0
LOGQ,ECO00035,6.97697,-inf,7.19126,-inf,7.47697,Y,Y,Y,N,0.43792,0.00006,N,N,1,0
LOGZ,ECO00035,-0.58174,-0.67982,-0.48365,-0.71252,-0.28748,Y,Y,N,N,0.00000,0.00097,N,N,2,22
AGNFRAC,ECO00036,0.18367,0.10204,0.69388,-inf,0.93878,Y,Y,N,N,0.05837,0.01467,N,N,1,9
LOGQ,ECO00036,7.40554,7.29840,7.65554,7.22697,8.04840,Y,Y,N,N,0.00003,0.00089,N,N,1,12
LOGZ,ECO00036,-0.71252,-0.81060,-0.54904,-0.87599,-0.32018,Y,Y,N,N,0.00000,0.00035,N,N,2,18
AGNFRAC,ECO00054,0.14286,0.10204,0.69388,-inf,0.93878,Y,Y,N,N,0.05967,0.01580,N,N,1,7
LOGQ,ECO00054,7.19126,7.11983,7.40554,7.04840,7.61983,Y,Y,N,N,0.01834,0.00009,N,N,1,6
LOGZ,ECO00054,-0.81060,-0.90869,-0.67982,-0.94138,-0.54904,Y,Y,N,N,0.00000,0.00004,N,N,2,15
AGNFRAC,ECO00058,0.63265,0.26531,0.85714,0.04082,0.97959,Y,Y,N,N,0.01624,0.04409,N,N,1,31
LOGQ,ECO00058,7.11983,7.04840,7.29840,-inf,7.47697,Y,Y,N,N,0.08756,0.00001,N,N,1,4
LOGZ,ECO00058,-0.81060,-0.90869,-0.67982,-0.97408,-0.54904,Y,Y,N,N,0.00000,0.00002,N,N,2,15
AGNFRAC,ECO00061,0.71429,0.24490,0.87755,0.04082,0.97959,Y,Y,N,N,0.02102,0.04808,N,N,1,35
LOGQ,ECO00061,6.97697,-inf,7.15554,-inf,7.29840,Y,Y,Y,N,0.57138,0.00000,Y,N,1,0
LOGZ,ECO00061,-0.67982,-0.77791,-0.51635,-0.84330,-0.38557,Y,Y,N,N,0.00000,0.00010,N,N,2,19
AGNFRAC,ECO00068,0.48980,0.22449,0.83673,0.04082,0.97959,Y,Y,N,N,0.02210,0.03573,N,N,1,24
LOGQ,ECO00068,7.19126,7.08411,7.36983,7.01268,7.54840,Y,Y,N,N,0.02934,0.00002,N,N,1,6
LOGZ,ECO00068,-0.74521,-0.84330,-0.61443,-0.90869,-0.48365,Y,Y,N,N,0.00000,0.00013,N,N,2,17
AGNFRAC,ECO00069,0.38776,0.18367,0.81633,0.02041,0.97959,Y,Y,N,N,0.02562,0.02859,N,N,1,19
LOGQ,ECO00069,7.22697,7.11983,7.40554,7.04840,7.61983,Y,Y,N,N,0.01049,0.00003,N,N,1,7
LOGZ,ECO00069,-0.77791,-0.84330,-0.64713,-0.90869,-0.51635,Y,Y,N,N,0.00000,0.00007,N,N,2,16
AGNFRAC,ECO00073,0.26531,0.12245,0.69388,0.02041,0.93878,Y,Y,N,N,0.04602,0.01429,N,N,1,13
LOGQ,ECO00073,7.26268,7.19126,7.51268,7.08411,7.83411,Y,Y,N,N,0.00297,0.00026,N,N,1,8
LOGZ,ECO00073,-0.67982,-0.74521,-0.51635,-0.81060,-0.35287,Y,Y,N,N,0.00000,0.00025,N,N,2,19
AGNFRAC,ECO00102,0.00000,0.04082,0.46939,-inf,0.83673,N,Y,Y,N,0.13738,0.00470,N,N,1,0
LOGQ,ECO00102,6.97697,-inf,7.19126,-inf,7.61983,Y,Y,Y,N,0.53603,0.00016,Y,N,1,0
LOGZ,ECO00102,-0.58174,-0.64713,-0.45096,-0.71252,-0.22209,Y,Y,N,N,0.00000,0.00262,N,N,2,22
AGNFRAC,ECO00103,0.34694,0.14286,0.71429,0.02041,0.93878,Y,Y,N,N,0.03715,0.01425,N,N,1,17
LOGQ,ECO00103,7.90554,7.76268,8.22697,7.65554,8.54840,Y,Y,N,N,0.00000,0.00645,N,N,1,26
