Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
LOGQ,ECO00001,7.36986,7.19129,7.54843,7.01271,7.65557,Y,Y,N,N,0.03635,0.00000,N,N,2,11
LOGZ,ECO00001,0.10486,-0.05862,0.13755,-0.22209,0.20294,Y,Y,N,N,0.00000,0.00030,N,N,1,43
LOGQ,ECO00004,7.51271,7.44129,7.72700,7.36986,7.90557,Y,Y,N,N,0.00000,0.00000,N,N,1,15
LOGZ,ECO00004,-0.64713,-0.74521,-0.45096,-0.81060,-0.25479,Y,Y,N,N,0.00000,0.00000,N,N,1,20
LOGQ,ECO00008,7.08414,7.01271,7.22700,-inf,7.36986,Y,Y,N,N,0.17660,0.00000,N,N,1,3
LOGZ,ECO00008,-0.61443,-0.71252,-0.45096,-0.77791,-0.25479,Y,Y,N,N,0.00000,0.00000,N,N,1,21
LOGQ,ECO00017,7.40557,7.33414,7.58414,7.26271,7.76271,Y,Y,N,N,0.00000,0.00000,N,N,1,12
LOGZ,ECO00017,-0.67982,-0.74521,-0.48365,-0.84330,-0.28748,Y,Y,N,N,0.00000,0.00000,N,N,1,19
LOGQ,ECO00018,7.26271,7.15557,7.44129,7.08414,7.61986,Y,Y,N,N,0.00149,0.00000,N,N,1,8
LOGZ,ECO00018,-0.64713,-0.71252,-0.45096,-0.77791,-0.25479,Y,Y,N,N,0.00000,0.00000,N,N,1,20
LOGQ,ECO00023,7.19129,7.11986,7.33414,7.04843,7.51271,Y,Y,N,N,0.01015,0.00000,N,N,1,6
LOGZ,ECO00023,-0.54904,-0.64713,-0.38557,-0.71252,-0.22209,Y,Y,N,N,0.00000,0.00000,N,N,1,23
LOGQ,ECO00027,7.33414,7.26271,7.54843,7.22700,7.69129,Y,Y,N,N,0.00000,0.00000,N,N,1,10
LOGZ,ECO00027,-0.64713,-0.71252,-0.45096,-0.77791,-0.28748,Y,Y,N,N,0.00000,0.00000,N,N,1,20
LOGQ,ECO00035,7.11986,7.04843,7.29843,-inf,7.51271,Y,Y,N,N,0.11062,0.00000,N,N,1,4
LOGZ,ECO00035,-0.51635,-0.58174,-0.32018,-0.67982,-0.09131,Y,Y,N,N,0.00000,0.00000,N,N,1,24
LOGQ,ECO00036,7.44129,7.36986,7.65557,7.29843,7.83414,Y,Y,N,N,0.00000,0.00000,N,N,1,13
LOGZ,ECO00036,-0.64713,-0.71252,-0.41826,-0.77791,-0.22209,Y,Y,N,N,0.00000,0.00000,N,N,1,20
LOGQ,ECO00054,7.26271,7.19129,7.44129,7.11986,7.61986,Y,Y,N,N,0.00017,0.00000,N,N,1,8
LOGZ,ECO00054,-0.71252,-0.81060,-0.58174,-0.87599,-0.38557,Y,Y,N,N,0.00000,0.00000,N,N,1,18
LOGQ,ECO00058,7.19129,7.11986,7.33414,7.04843,7.51271,Y,Y,N,N,0.00826,0.00000,N,N,1,6
LOGZ,ECO00058,-0.67982,-0.74521,-0.48365,-0.84330,-0.28748,Y,Y,N,N,0.00000,0.00000,N,N,1,19
LOGQ,ECO00061,7.08414,7.01271,7.19129,-inf,7.33414,Y,Y,N,N,0.23880,0.00000,N,N,1,3
LOGZ,ECO00061,-0.48365,-0.58174,-0.32018,-0.67982,-0.18940,Y,Y,N,N,0.00000,0.00000,N,N,1,25
LOGQ,ECO00068,7.26271,7.19129,7.40557,7.11986,7.58414,Y,Y,N,N,0.00019,0.00000,N,N,1,8
LOGZ,ECO00068,-0.58174,-0.67982,-0.41826,-0.74521,-0.22209,Y,Y,N,N,0.00000,0.00000,N,N,1,22
LOGQ,ECO00069,7.29843,7.19129,7.44129,7.11986,7.54843,Y,Y,N,N,0.00002,0.00000,N,N,1,9
LOGZ,ECO00069,-0.64713,-0.71252,-0.45096,-0.77791,-0.28748,Y,Y,N,N,0.00000,0.00000,N,N,1,20
LOGQ,ECO00073,7.33414,7.26271,7.51271,7.19129,7.65557,Y,Y,N,N,0.00000,0.00000,N,N,1,10
LOGZ,ECO00073,-0.58174,-0.64713,-0.41826,-0.74521,-0.25479,Y,Y,N,N,0.00000,0.00000,N,N,1,22
LOGQ,ECO00102,7.04843,7.01271,7.33414,-inf,7.61986,Y,Y,Y,N,0.25998,0.00000,N,N,1,2
LOGZ,ECO00102,-0.51635,-0.58174,-0.22209,-0.64713,0.00677,Y,Y,N,N,0.00000,0.00000,N,N,2,24
LOGQ,ECO00103,7.79843,7.69129,7.97700,7.58414,8.19129,Y,Y,N,N,0.00000,0.00001,N,N,1,23
LOGZ,ECO00103,-0.94138,-1.00677,-0.74521,-1.07216,-0.54904,Y,Y,N,N,0.00000,0.00000,N,N,1,11
LOGQ,ECO00105,7.15557,7.08414,7.29843,7.04843,7.44129,Y,Y,N,N,0.01509,0.00000,N,N,1,5
LOGZ,ECO00105,-0.64713,-0.74521,-0.48365,-0.81060,-0.35287,Y,Y,N,N,0.00000,0.00000,N,N,1,20
LOGQ,ECO00117,7.11986,7.08414,7.61986,7.01271,7.79843,Y,Y,N,N,0.05592,0.00000,N,N,2,4
LOGZ,ECO00117,-0.51635,-0.58174,-0.09131,-0.64713,0.03947,Y,Y,N,N,0.00000,0.00000,N,N,2,24
LOGQ,ECO00124,7.36986,7.29843,7.76271,7.22700,7.97700,Y,Y,N,N,0.00000,0.00000,N,N,1,11
LOGZ,ECO00124,-0.64713,-0.71252,-0.32018,-0.77791,-0.05862,Y,Y,N,N,0.00000,0.00000,N,N,2,20
LOGQ,ECO00139,7.54843,7.44129,7.72700,7.36986,7.90557,Y,Y,N,N,0.00000,0.00000,N,N,1,16
LOGZ,ECO00139,-0.71252,-0.77791,-0.51635,-0.84330,-0.28748,Y,Y,N,N,0.00000,0.00000,N,N,1,18
LOGQ,ECO00141,7.15557,7.08414,7.33414,7.04843,7.44129,Y,Y,N,N,0.01415,0.00000,N,N,1,5
LOGZ,ECO00141,-0.54904,-0.64713,-0.41826,-0.71252,-0.25479,Y,Y,N,N,0.00000,0.00000,N,N,1,23
LOGQ,ECO00142,7.29843,7.22700,7.44129,7.15557,7.58414,Y,Y,N,N,0.00005,0.00000,N,N,1,9
LOGZ,ECO00142,-0.54904,-0.67982,-0.41826,-0.74521,-0.25479,Y,Y,N,N,0.00000,0.00000,N,N,1,23
LOGQ,ECO00145,7.08414,7.01271,7.19129,-inf,7.29843,Y,Y,N,N,0.25511,0.00000,N,N,1,3
LOGZ,ECO00145,-0.71252,-0.77791,-0.54904,-0.87599,-0.38557,Y,Y,N,N,0.00000,0.00000,N,N,1,18
LOGQ,ECO00161,7.01271,-inf,7.15557,-inf,7.26271,Y,Y,Y,N,0.51499,0.00000,Y,N,1,1
LOGZ,ECO00161,-0.38557,-0.48365,-0.22209,-0.58174,-0.12401,Y,Y,N,N,0.00000,0.00000,N,N,1,28
LOGQ,ECO00169,7.08414,7.01271,7.26271,-inf,7.40557,Y,Y,N,N,0.16336,0.00000,N,N,1,3
LOGZ,ECO00169,-0.51635,-0.61443,-0.32018,-0.67982,-0.15670,Y,Y,N,N,0.00000,0.00000,N,N,1,24
LOGQ,ECO00176,7.04843,7.01271,7.19129,-inf,7.33414,Y,Y,Y,N,0.35737,0.00000,N,N,1,2
