Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
LOGQ,rf0001,7.26507,7.19305,7.35869,7.13544,7.45951,Y,Y,N,N,0.00000,0.00000,N,N,1,40
LOGZ,rf0001,8.23693,8.17100,8.36878,8.10507,8.48745,Y,Y,N,N,0.00000,0.00000,N,N,1,118
LOGQ,rf0003,7.36589,7.13544,7.48112,6.99860,7.61795,Y,Y,N,N,0.01230,0.00000,N,N,1,54
LOGZ,rf0003,8.84347,8.59294,8.87643,8.44790,8.92917,Y,Y,N,N,0.00000,0.00000,N,N,1,210
LOGQ,rf0006,7.22186,7.14264,7.40910,7.07062,7.57474,Y,Y,N,N,0.00008,0.00000,N,N,1,34
LOGZ,rf0006,8.40175,8.33582,8.58635,8.26330,8.73139,Y,Y,N,N,0.00000,0.00000,N,N,1,143
LOGQ,rf0007,7.14984,7.07062,7.35149,6.99860,7.52433,Y,Y,N,N,0.01239,0.00000,N,N,1,24
LOGZ,rf0007,8.67205,8.57975,8.79732,8.50064,8.90280,Y,Y,N,N,0.00000,0.00000,N,N,1,184
LOGQ,rf0008,8.05725,7.81239,8.23729,7.50272,8.43893,Y,Y,N,N,0.00020,0.00026,N,N,2,150
LOGZ,rf0008,9.04125,8.98192,9.04784,8.90939,inf,Y,Y,N,Y,0.00000,0.10476,N,N,1,240
LOGQ,rf0010,7.34428,7.29387,7.45231,7.23626,7.55313,Y,Y,N,N,0.00000,0.00000,N,N,1,51
LOGZ,rf0010,8.27648,8.21055,8.39515,8.14463,8.50064,Y,Y,N,N,0.00000,0.00000,N,N,1,124
LOGQ,rf0011,7.07062,7.02741,7.21465,6.98420,7.33708,Y,Y,N,N,0.02768,0.00000,N,N,1,13
LOGZ,rf0011,8.46767,8.40175,8.59294,8.33582,8.69183,Y,Y,N,N,0.00000,0.00000,N,N,1,153
LOGQ,rf0014,7.15704,7.09943,7.31548,7.04181,7.48832,Y,Y,N,N,0.00042,0.00000,N,N,1,25
LOGZ,rf0014,8.27648,8.21715,8.44790,8.14463,8.63250,Y,Y,N,N,0.00000,0.00000,N,N,1,124
LOGQ,rf0015,7.18585,7.06342,7.31548,6.99140,7.46671,Y,Y,N,N,0.02156,0.00000,N,N,1,29
LOGZ,rf0015,8.92258,8.77754,8.94895,8.61272,8.98192,Y,Y,N,N,0.00000,0.00000,N,N,1,222
LOGQ,rf0017,7.27227,7.20025,7.39470,7.13544,7.50992,Y,Y,N,N,0.00000,0.00000,N,N,1,41
LOGZ,rf0017,8.32263,8.25670,8.45449,8.18418,8.57975,Y,Y,N,N,0.00000,0.00000,N,N,1,131
LOGQ,rf0019,7.25066,7.17865,7.54593,7.09223,7.89161,Y,Y,N,N,0.00005,0.00000,N,N,1,38
LOGZ,rf0019,8.22374,8.13803,8.49405,8.03255,8.79732,Y,Y,N,N,0.00000,0.00000,N,N,1,116
LOGQ,rf0020,7.05622,7.02741,7.28667,6.98420,7.48112,Y,Y,N,N,0.03565,0.00000,N,N,1,11
LOGZ,rf0020,8.50723,8.43471,8.69183,8.35560,8.84347,Y,Y,N,N,0.00000,0.00000,N,N,1,159
LOGQ,rf0023,7.28667,7.22186,7.43791,7.14984,7.59634,Y,Y,N,N,0.00000,0.00000,N,N,1,43
LOGZ,rf0023,8.25670,8.19737,8.42152,8.12485,8.58635,Y,Y,N,N,0.00000,0.00000,N,N,1,121
LOGQ,rf0024,6.97700,6.99140,7.14984,-inf,7.25786,N,Y,Y,N,0.12125,0.00000,N,N,1,0
LOGZ,rf0024,8.63250,8.50723,8.73798,8.42152,8.83028,Y,Y,N,N,0.00000,0.00000,N,N,1,178
LOGQ,rf0028,7.14264,7.09223,7.34428,7.02741,7.56033,Y,Y,N,N,0.00209,0.00000,N,N,1,23
LOGZ,rf0028,8.30945,8.24352,8.50064,8.17100,8.72480,Y,Y,N,N,0.00000,0.00000,N,N,1,129
LOGQ,rf0029,7.30107,7.23626,7.41630,7.16424,7.52433,Y,Y,N,N,0.00000,0.00000,N,N,1,45
LOGZ,rf0029,8.36219,8.30285,8.48745,8.24352,8.59294,Y,Y,N,N,0.00000,0.00000,N,N,1,137
LOGQ,rf0030,7.07062,7.03461,7.28667,6.98420,7.40910,Y,Y,N,N,0.03233,0.00000,N,N,1,13
LOGZ,rf0030,8.54020,8.46767,8.71820,8.38197,8.81709,Y,Y,N,N,0.00000,0.00000,N,N,1,164
LOGQ,rf0031,7.26507,7.11383,7.38749,6.99860,7.51712,Y,Y,N,N,0.01266,0.00000,N,N,1,40
LOGZ,rf0031,8.88302,8.72480,8.91599,8.56657,8.96214,Y,Y,N,N,0.00000,0.00000,N,N,1,216
LOGQ,rf0032,7.27227,7.15704,7.42350,7.07062,7.56033,Y,Y,N,N,0.00046,0.00000,N,N,1,41
