Line,Galaxy Name,In_lhood?,Obs,Model,Resid_Stds,Obs_S/N
hbeta,rf0001,Y,1.00000,1.00000,0.00000,28.19290
oiii4959,rf0001,Y,0.54558,0.42677,3.72247,17.09396
oiii5007,rf0001,Y,1.76289,1.27331,11.24869,40.50475
oi6300,rf0001,Y,0.13946,0.05691,4.04024,6.82583
nii6548,rf0001,Y,0.09083,0.12401,-5.49588,15.04260
halpha,rf0001,Y,2.86000,2.80000,1.54291,73.54457
nii6584,rf0001,Y,0.27383,0.36557,-5.03715,15.03557
sii6717,rf0001,Y,0.58942,0.46032,3.38922,15.47429
sii6731,rf0001,Y,0.38919,0.34996,1.60824,15.95580
hbeta,rf0003,Y,1.00000,1.00000,0.00000,93.61190
oiii4959,rf0003,Y,0.13398,0.14981,-2.44182,20.67520
oiii5007,rf0003,Y,0.44974,0.44695,0.34748,55.97656
oi6300,rf0003,Y,0.05355,0.03837,3.21150,11.32974
nii6548,rf0003,Y,0.31094,0.47387,-52.39384,99.99018
halpha,rf0003,Y,2.86000,2.83006,1.51556,144.76171
nii6584,rf0003,Y,0.93472,1.39691,-49.27609,99.65387
sii6717,rf0003,Y,0.48393,0.66463,-24.09122,64.51704
sii6731,rf0003,Y,0.35272,0.50839,-20.78046,47.08458
hbeta,rf0006,Y,1.00000,1.00000,0.00000,18.96895
oiii4959,rf0006,Y,0.39701,0.33273,1.33048,8.21789
oiii5007,rf0006,Y,1.20190,0.99271,3.72286,21.38981
oi6300,rf0006,Y,0.09483,0.07118,0.70538,2.82920
nii6548,rf0006,Y,0.19688,0.18097,1.42421,17.62266
halpha,rf0006,Y,2.86000,2.79869,1.31542,61.36597
nii6584,rf0006,Y,0.59448,0.53347,1.81064,17.64161
sii6717,rf0006,Y,0.75593,0.59302,4.15991,19.30300
sii6731,rf0006,Y,0.57028,0.45046,3.37859,16.08036
hbeta,rf0007,Y,1.00000,1.00000,0.00000,19.35663
oiii4959,rf0007,Y,0.21320,0.16169,1.05990,4.38720
oiii5007,rf0007,Y,0.47353,0.48242,-0.18097,9.63494
oi6300,rf0007,Y,0.12910,0.08767,1.13513,3.53686
nii6548,rf0007,Y,0.43462,0.37360,4.47533,31.87362
halpha,rf0007,Y,2.86000,2.80206,1.19439,58.96004
nii6584,rf0007,Y,1.30974,1.10128,5.06865,31.84513
sii6717,rf0007,Y,0.83806,0.87853,-1.01218,20.96023
sii6731,rf0007,Y,0.41393,0.66763,-7.10902,11.59860
hbeta,rf0008,Y,1.00000,1.00000,0.00000,31.01034
oiii4959,rf0008,Y,0.09624,0.07662,0.68715,3.36936
oiii5007,rf0008,Y,0.21956,0.22859,-0.31375,7.62680
oi6300,rf0008,Y,0.02792,0.00523,1.02335,1.25952
nii6548,rf0008,Y,0.29594,0.37493,-8.21883,30.79445
halpha,rf0008,Y,2.86000,2.88966,-0.81156,78.26470
nii6584,rf0008,Y,0.89042,1.10521,-7.40984,30.71795
sii6717,rf0008,Y,0.23359,0.17298,2.43871,9.39814
sii6731,rf0008,Y,0.16906,0.13263,1.59076,7.38173
hbeta,rf0010,Y,1.00000,1.00000,0.00000,63.89095
oiii4959,rf0010,Y,0.73713,0.53496,13.22737,48.22810
oiii5007,rf0010,Y,2.21207,1.59610,31.22018,112.11878
oi6300,rf0010,Y,0.10549,0.05089,5.52290,10.66992
nii6548,rf0010,Y,0.10365,0.11411,-3.41378,33.84628
halpha,rf0010,Y,2.86000,2.79832,3.45844,160.35536
nii6584,rf0010,Y,0.31146,0.33637,-2.69691,33.71830
sii6717,rf0010,Y,0.53102,0.41799,9.19489,43.19665
sii6731,rf0010,Y,0.35267,0.31779,3.53420,35.73386
hbeta,rf0011,Y,1.00000,1.00000,0.00000,22.00847
oiii4959,rf0011,Y,0.24073,0.20209,0.95126,5.92682
oiii5007,rf0011,Y,0.71373,0.60296,2.47355,15.93762
oi6300,rf0011,Y,0.16203,0.09064,2.39833,5.44355
nii6548,rf0011,Y,0.27308,0.23212,3.65920,24.39870
halpha,rf0011,Y,2.86000,2.79955,1.23546,58.45497
nii6584,rf0011,Y,0.82291,0.68426,4.10691,24.37621
sii6717,rf0011,Y,0.78900,0.75052,1.03091,21.13751
sii6731,rf0011,Y,0.51171,0.56987,-1.79552,15.79741
hbeta,rf0014,Y,1.00000,1.00000,0.00000,14.52794
oiii4959,rf0014,Y,0.37366,0.30689,1.05721,5.91693
oiii5007,rf0014,Y,1.21594,0.91564,4.26013,17.24958
oi6300,rf0014,Y,0.12128,0.06756,1.11332,2.51381
nii6548,rf0014,Y,0.12454,0.13493,-0.74524,8.93338
halpha,rf0014,Y,2.86000,2.80257,1.00246,49.92436
