Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
LOGQ,rf0001,7.25066,7.17865,7.35149,7.12103,7.45231,Y,Y,N,N,0.00000,0.00000,N,N,1,38
LOGZ,rf0001,-0.50989,-0.56922,-0.37803,-0.63515,-0.25936,Y,Y,N,N,0.00000,0.00000,N,N,1,120
LOGQ,rf0003,7.36589,7.12103,7.48832,6.99860,7.62515,Y,Y,N,N,0.01553,0.00000,N,N,2,54
LOGZ,rf0003,0.08347,-0.18025,0.11643,-0.33188,0.16258,Y,Y,N,N,0.00000,0.00000,N,N,1,210
LOGQ,rf0006,7.19305,7.12823,7.38749,7.05622,7.56033,Y,Y,N,N,0.00029,0.00000,N,N,1,30
LOGZ,rf0006,-0.35166,-0.41100,-0.16706,-0.48352,-0.02861,Y,Y,N,N,0.00000,0.00000,N,N,1,144
LOGQ,rf0007,7.13544,7.05622,7.35869,6.99140,7.54593,Y,Y,N,N,0.01797,0.00000,N,N,1,22
LOGZ,rf0007,-0.09454,-0.18684,0.04391,-0.26595,0.14939,Y,Y,N,N,0.00000,0.00000,N,N,1,183
LOGQ,rf0008,8.05005,7.77638,8.29490,7.46671,8.56856,Y,Y,N,N,0.00022,0.00145,N,N,2,149
LOGZ,rf0008,0.29444,0.22851,0.29444,0.15599,inf,Y,Y,N,Y,0.00000,0.26931,N,N,1,242
LOGQ,rf0010,7.33708,7.27947,7.45951,7.22186,7.56753,Y,Y,N,N,0.00000,0.00000,N,N,1,50
LOGZ,rf0010,-0.47033,-0.53626,-0.35166,-0.60878,-0.23958,Y,Y,N,N,0.00000,0.00000,N,N,1,126
LOGQ,rf0011,7.05622,7.02021,7.20745,6.98420,7.34428,Y,Y,N,N,0.03795,0.00000,N,N,1,11
LOGZ,rf0011,-0.29233,-0.35825,-0.16706,-0.43078,-0.06158,Y,Y,N,N,0.00000,0.00000,N,N,1,153
LOGQ,rf0014,7.13544,7.07782,7.31548,7.02021,7.52433,Y,Y,N,N,0.00409,0.00000,N,N,1,22
LOGZ,rf0014,-0.43737,-0.50989,-0.26595,-0.58900,-0.06817,Y,Y,N,N,0.00000,0.00000,N,N,1,131
LOGQ,rf0015,7.19305,7.06342,7.31548,6.99140,7.46671,Y,Y,N,N,0.02001,0.00000,N,N,1,30
LOGZ,rf0015,0.14939,0.03072,0.18895,-0.14728,0.22851,Y,Y,N,N,0.00000,0.00000,N,N,1,220
LOGQ,rf0017,7.25786,7.18585,7.38749,7.12103,7.50272,Y,Y,N,N,0.00000,0.00000,N,N,1,39
LOGZ,rf0017,-0.41759,-0.49011,-0.29233,-0.56263,-0.16706,Y,Y,N,N,0.00000,0.00000,N,N,1,134
LOGQ,rf0023,7.27227,7.20025,7.43791,7.12103,7.61795,Y,Y,N,N,0.00000,0.00000,N,N,1,41
LOGZ,rf0023,-0.47033,-0.53626,-0.29892,-0.61537,-0.12750,Y,Y,N,N,0.00000,0.00000,N,N,1,126
LOGQ,rf0024,6.97700,6.99140,7.15704,-inf,7.27947,N,Y,Y,N,0.12238,0.00000,N,N,1,0
LOGZ,rf0024,-0.12750,-0.25936,-0.02202,-0.34507,0.07028,Y,Y,N,N,0.00000,0.00000,N,N,1,178
LOGQ,rf0028,7.12103,7.07062,7.33708,7.01301,7.58194,Y,Y,N,N,0.00604,0.00000,N,N,1,20
LOGZ,rf0028,-0.43078,-0.49670,-0.23299,-0.57582,-0.00224,Y,Y,N,N,0.00000,0.00000,N,N,1,132
LOGQ,rf0029,7.29387,7.22186,7.41630,7.14984,7.53153,Y,Y,N,N,0.00000,0.00000,N,N,1,44
LOGZ,rf0029,-0.39781,-0.45055,-0.26595,-0.51648,-0.16047,Y,Y,N,N,0.00000,0.00000,N,N,1,137
LOGQ,rf0030,7.03461,7.02741,7.27947,6.98420,7.41630,Y,Y,N,N,0.04060,0.00000,N,N,1,8
LOGZ,rf0030,-0.23299,-0.29892,-0.04839,-0.38463,0.05709,Y,Y,N,N,0.00000,0.00000,N,N,1,162
LOGQ,rf0031,7.26507,7.11383,7.38749,6.99860,7.51712,Y,Y,N,N,0.01351,0.00000,N,N,2,40
LOGZ,rf0031,0.11643,-0.03520,0.14939,-0.20662,0.20214,Y,Y,N,N,0.00000,0.00000,N,N,1,215
LOGQ,rf0033,7.25066,7.17144,7.40910,7.09943,7.61795,Y,Y,N,N,0.00002,0.00000,N,N,1,38
LOGZ,rf0033,-0.47033,-0.54285,-0.31210,-0.62197,-0.12750,Y,Y,N,N,0.00000,0.00000,N,N,1,126
LOGQ,rf0034,7.38029,7.32268,7.58914,7.25066,7.79079,Y,Y,N,N,0.00000,0.00000,N,N,1,56
LOGZ,rf0034,-0.51648,-0.58241,-0.30551,-0.66152,-0.11432,Y,Y,N,N,0.00000,0.00000,N,N,1,119
LOGQ,rf0040,7.27947,7.10663,7.42350,6.99860,7.57474,Y,Y,N,N,0.01507,0.00000,N,N,2,42
LOGZ,rf0040,0.12962,-0.04180,0.16917,-0.23958,0.22192,Y,Y,N,N,0.00000,0.00002,N,N,1,217
LOGQ,rf0042,7.41630,7.35149,7.71157,7.27227,7.95642,Y,Y,N,N,0.00000,0.00000,N,N,1,61
LOGZ,rf0042,-0.51648,-0.58241,-0.28573,-0.65493,-0.08135,Y,Y,N,N,0.00000,0.00000,N,N,1,119
LOGQ,rf0043,7.39470,7.16424,7.67556,7.01301,7.87721,Y,Y,N,N,0.00874,0.00000,N,N,1,58
LOGZ,rf0043,0.25488,0.05050,0.26147,-0.12750,0.29444,Y,Y,N,N,0.00000,0.03209,N,N,1,236
LOGQ,rf0045,7.33708,7.27947,7.46671,7.21465,7.60354,Y,Y,N,N,0.00000,0.00000,N,N,1,50
LOGZ,rf0045,-0.52307,-0.60219,-0.39781,-0.66812,-0.26595,Y,Y,N,N,0.00000,0.00000,N,N,1,118
LOGQ,rf0048,7.26507,7.19305,7.38029,7.12823,7.50272,Y,Y,N,N,0.00000,0.00000,N,N,1,40
LOGZ,rf0048,-0.45055,-0.52307,-0.33188,-0.59560,-0.20662,Y,Y,N,N,0.00000,0.00000,N,N,1,129
LOGQ,rf0049,7.27947,7.21465,7.45231,7.14984,7.62515,Y,Y,N,N,0.00000,0.00000,N,N,1,42
LOGZ,rf0049,-0.49011,-0.55604,-0.31870,-0.62856,-0.14728,Y,Y,N,N,0.00000,0.00000,N,N,1,123
LOGQ,rf0051,7.43070,7.36589,7.63955,7.29387,7.87721,Y,Y,N,N,0.00000,0.00000,N,N,1,63
LOGZ,rf0051,-0.58900,-0.66152,-0.40440,-0.74064,-0.18025,Y,Y,N,N,0.00000,0.00000,N,N,1,108
LOGQ,rf0053,7.35149,7.30107,7.47391,7.24346,7.58194,Y,Y,N,N,0.00000,0.00000,N,N,1,52
LOGZ,rf0053,-0.52307,-0.57582,-0.39122,-0.64834,-0.27914,Y,Y,N,N,0.00000,0.00000,N,N,1,118
LOGQ,rf0058,7.11383,7.05622,7.36589,6.99140,7.63955,Y,Y,N,N,0.01572,0.00000,N,N,1,19
LOGZ,rf0058,-0.33848,-0.40440,-0.13410,-0.48352,0.07028,Y,Y,N,N,0.00000,0.00000,N,N,1,146
LOGQ,rf0060,7.14264,7.09223,7.26507,7.04181,7.37309,Y,Y,N,N,0.00036,0.00000,N,N,1,23
LOGZ,rf0060,-0.43078,-0.49670,-0.31210,-0.56922,-0.19343,Y,Y,N,N,0.00000,0.00000,N,N,1,132
LOGQ,rf0062,7.05622,7.01301,7.18585,6.98420,7.29387,Y,Y,N,N,0.04506,0.00000,N,N,1,11
LOGZ,rf0062,-0.15388,-0.23958,-0.07476,-0.30551,-0.00224,Y,Y,N,N,0.00000,0.00000,N,N,1,174
LOGQ,rf0064,7.39470,7.33708,7.52433,7.27947,7.63235,Y,Y,N,N,0.00000,0.00000,N,N,1,58
LOGZ,rf0064,-0.56922,-0.64834,-0.45055,-0.72086,-0.32529,Y,Y,N,N,0.00000,0.00000,N,N,1,111
LOGQ,rf0065,7.18585,7.13544,7.30828,7.08502,7.40190,Y,Y,N,N,0.00000,0.00000,N,N,1,29
LOGZ,rf0065,-0.44396,-0.51648,-0.33848,-0.58900,-0.22640,Y,Y,N,N,0.00000,0.00000,N,N,1,130
LOGQ,rf0068,7.23626,7.14984,7.41630,7.07782,7.71877,Y,Y,N,N,0.00014,0.00000,N,N,1,36
