Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
AGNFRAC,rf0001,0.23684,0.13158,0.65789,0.02632,0.92105,Y,Y,N,N,0.04930,0.01474,N,N,1,9
LOGQ,rf0001,7.11516,7.02305,7.29937,-inf,7.52963,Y,Y,N,N,0.19940,0.00001,N,N,1,3
LOGZ,rf0001,-0.62648,-0.71080,-0.45784,-0.79512,-0.33136,Y,Y,N,N,0.00000,0.00036,N,N,1,16
AGNFRAC,rf0002,0.18421,0.10526,0.39474,0.02632,0.65789,Y,Y,N,N,0.04746,0.00165,N,N,1,7
LOGQ,rf0002,7.06911,7.02305,7.34542,-inf,7.66779,Y,Y,Y,N,0.25950,0.00000,N,N,1,2
LOGZ,rf0002,-0.20488,-0.28920,0.04807,-0.37352,0.25887,Y,Y,N,N,0.00000,0.02746,N,N,1,26
AGNFRAC,rf0003,0.00000,-inf,0.15789,-inf,0.31579,Y,Y,Y,N,0.47511,0.00012,N,N,1,0
LOGQ,rf0003,7.43753,7.25332,7.71384,7.02305,8.03621,Y,Y,N,N,0.04267,0.00007,N,N,2,10
LOGZ,rf0003,0.25887,0.00591,inf,-0.24704,inf,Y,Y,N,Y,0.00000,0.37215,N,N,1,37
AGNFRAC,rf0006,0.00000,0.02632,0.26316,-inf,0.55263,N,Y,Y,N,0.27490,0.00098,N,N,1,0
LOGQ,rf0006,7.06911,7.02305,7.43753,-inf,7.75989,Y,Y,Y,N,0.23191,0.00000,N,N,1,2
LOGZ,rf0006,-0.37352,-0.45784,-0.03625,-0.54216,0.25887,Y,Y,N,N,0.00000,0.02729,N,N,1,22
AGNFRAC,rf0007,0.00000,-inf,0.18421,-inf,0.31579,Y,Y,Y,N,0.37795,0.00011,N,N,1,0
LOGQ,rf0007,7.16121,7.02305,7.43753,-inf,7.66779,Y,Y,N,N,0.17668,0.00000,N,N,1,4
LOGZ,rf0007,0.04807,-0.12056,0.25887,-0.24704,inf,Y,Y,N,N,0.00000,0.17387,N,N,2,32
AGNFRAC,rf0010,0.13158,0.07895,0.52632,-inf,0.86842,Y,Y,N,N,0.09462,0.00754,N,N,1,5
LOGQ,rf0010,7.25332,7.11516,7.48358,7.02305,7.80595,Y,Y,N,N,0.03584,0.00013,N,N,1,6
LOGZ,rf0010,-0.58432,-0.66864,-0.37352,-0.71080,-0.12056,Y,Y,N,N,0.00000,0.00245,N,N,1,17
AGNFRAC,rf0011,0.00000,-inf,0.21053,-inf,0.42105,Y,Y,Y,N,0.36850,0.00040,N,N,1,0
LOGQ,rf0011,6.97700,-inf,7.29937,-inf,7.52963,Y,Y,Y,N,0.41136,0.00000,N,N,1,0
LOGZ,rf0011,-0.28920,-0.37352,-0.03625,-0.45784,0.21671,Y,Y,N,N,0.00000,0.01695,N,N,1,24
AGNFRAC,rf0013,0.65789,0.55263,0.86842,0.42105,0.97368,Y,Y,N,N,0.00000,0.04177,N,N,1,25
LOGQ,rf0013,7.66779,7.43753,7.85200,7.25332,7.99016,Y,Y,N,N,0.00035,0.00000,N,N,1,15
LOGZ,rf0013,0.30103,0.09023,inf,-0.03625,inf,Y,Y,N,Y,0.00000,0.48788,N,N,1,38
AGNFRAC,rf0014,0.05263,0.05263,0.50000,-inf,0.86842,Y,Y,Y,N,0.14160,0.00762,N,N,1,2
LOGQ,rf0014,6.97700,-inf,7.25332,-inf,7.52963,Y,Y,Y,N,0.46792,0.00000,N,N,1,0
LOGZ,rf0014,-0.54216,-0.62648,-0.33136,-0.71080,0.00591,Y,Y,N,N,0.00000,0.00502,N,N,1,18
AGNFRAC,rf0015,0.00000,-inf,0.10526,-inf,0.31579,Y,Y,Y,N,0.67183,0.00012,Y,N,1,0
LOGQ,rf0015,7.20726,7.06911,7.57568,-inf,7.99016,Y,Y,N,N,0.12257,0.00008,N,N,1,5
LOGZ,rf0015,0.30103,0.09023,inf,-0.07841,inf,Y,Y,N,Y,0.00000,0.56259,N,Y,1,38
AGNFRAC,rf0016,0.36842,0.26316,0.57895,0.18421,0.81579,Y,Y,N,N,0.00010,0.00370,N,N,1,14
LOGQ,rf0016,6.97700,-inf,7.25332,-inf,7.43753,Y,Y,Y,N,0.45147,0.00000,N,N,1,0
LOGZ,rf0016,0.13239,0.00591,0.25887,-0.12056,inf,Y,Y,N,N,0.00000,0.22011,N,N,1,34
AGNFRAC,rf0017,0.02632,0.02632,0.39474,-inf,0.76316,Y,Y,Y,N,0.18364,0.00335,N,N,1,1
LOGQ,rf0017,7.11516,7.02305,7.39147,-inf,7.71384,Y,Y,N,N,0.16519,0.00001,N,N,1,3
LOGZ,rf0017,-0.50000,-0.58432,-0.28920,-0.66864,0.04807,Y,Y,N,N,0.00000,0.00639,N,N,1,19
AGNFRAC,rf0022,0.39474,0.31579,0.63158,0.21053,0.86842,Y,Y,N,N,0.00000,0.00767,N,N,1,15
LOGQ,rf0022,7.11516,7.02305,7.34542,-inf,7.57568,Y,Y,N,N,0.19439,0.00000,N,N,1,3
LOGZ,rf0022,-0.07841,-0.16272,0.13239,-0.24704,0.25887,Y,Y,N,N,0.00000,0.05342,N,N,1,29
AGNFRAC,rf0023,0.05263,0.05263,0.50000,-inf,0.86842,Y,Y,Y,N,0.13234,0.00762,N,N,1,2
LOGQ,rf0023,7.11516,7.02305,7.39147,-inf,7.71384,Y,Y,N,N,0.17074,0.00002,N,N,1,3
LOGZ,rf0023,-0.58432,-0.66864,-0.37352,-0.71080,0.00591,Y,Y,N,N,0.00000,0.00507,N,N,1,17
AGNFRAC,rf0024,0.00000,-inf,0.13158,-inf,0.34211,Y,Y,Y,N,0.53595,0.00029,Y,N,1,0
LOGQ,rf0024,6.97700,-inf,7.25332,-inf,7.52963,Y,Y,Y,N,0.45791,0.00000,N,N,1,0
LOGZ,rf0024,0.00591,-0.24704,0.17455,-0.33136,inf,Y,Y,N,N,0.00000,0.07375,N,N,1,31
AGNFRAC,rf0029,0.05263,0.02632,0.34211,-inf,0.68421,Y,Y,Y,N,0.19073,0.00204,N,N,1,2
LOGQ,rf0029,7.20726,7.06911,7.52963,-inf,7.89805,Y,Y,N,N,0.08624,0.00007,N,N,1,5
LOGZ,rf0029,-0.41568,-0.50000,-0.16272,-0.58432,0.17455,Y,Y,N,N,0.00000,0.01231,N,N,1,21
