Line,Galaxy Name,In_lhood?,Obs,Model,Resid_Stds,Obs_S/N
hbeta,rf0001,Y,1.00000,1.00000,0.00000,28.19290
oiii4959,rf0001,Y,0.54558,0.42402,3.80871,17.09396
oiii5007,rf0001,Y,1.76289,1.26511,11.43712,40.50475
oi6300,rf0001,Y,0.13946,0.06157,3.81236,6.82583
nii6548,rf0001,Y,0.09083,0.11219,-3.53851,15.04260
halpha,rf0001,Y,2.86000,2.80086,1.52075,73.54457
nii6584,rf0001,Y,0.27383,0.33072,-3.12388,15.03557
sii6717,rf0001,Y,0.58942,0.40572,4.82286,15.47429
sii6731,rf0001,Y,0.38919,0.30842,3.31151,15.95580
hbeta,rf0003,Y,1.00000,1.00000,0.00000,93.61190
oiii4959,rf0003,Y,0.13398,0.14519,-1.72993,20.67520
oiii5007,rf0003,Y,0.44974,0.43320,2.05956,55.97656
oi6300,rf0003,Y,0.05355,0.03831,3.22462,11.32974
nii6548,rf0003,Y,0.31094,0.37953,-22.05591,99.99018
halpha,rf0003,Y,2.86000,2.83142,1.44651,144.76171
nii6584,rf0003,Y,0.93472,1.11879,-19.62431,99.65387
sii6717,rf0003,Y,0.48393,0.69939,-28.72510,64.51704
sii6731,rf0003,Y,0.35272,0.53521,-24.36011,47.08458
hbeta,rf0006,Y,1.00000,1.00000,0.00000,18.96895
oiii4959,rf0006,Y,0.39701,0.33093,1.36776,8.21789
oiii5007,rf0006,Y,1.20190,0.98737,3.81785,21.38981
oi6300,rf0006,Y,0.09483,0.07571,0.57026,2.82920
nii6548,rf0006,Y,0.19688,0.17837,1.65669,17.62266
halpha,rf0006,Y,2.86000,2.79769,1.33703,61.36597
nii6584,rf0006,Y,0.59448,0.52581,2.03790,17.64161
sii6717,rf0006,Y,0.75593,0.56515,4.87170,19.30300
sii6731,rf0006,Y,0.57028,0.42926,3.97651,16.08036
hbeta,rf0007,Y,1.00000,1.00000,0.00000,19.35663
oiii4959,rf0007,Y,0.21320,0.15331,1.23232,4.38720
oiii5007,rf0007,Y,0.47353,0.45743,0.32763,9.63494
oi6300,rf0007,Y,0.12910,0.08195,1.29188,3.53686
nii6548,rf0007,Y,0.43462,0.34357,6.67757,31.87362
halpha,rf0007,Y,2.86000,2.80691,1.09441,58.96004
nii6584,rf0007,Y,1.30974,1.01278,7.22044,31.84513
sii6717,rf0007,Y,0.83806,0.86787,-0.74559,20.96023
sii6731,rf0007,Y,0.41393,0.66045,-6.90771,11.59860
hbeta,rf0008,Y,1.00000,1.00000,0.00000,31.01034
oiii4959,rf0008,Y,0.09624,0.06311,1.15994,3.36936
oiii5007,rf0008,Y,0.21956,0.18830,1.08583,7.62680
oi6300,rf0008,Y,0.02792,0.00572,1.00143,1.25952
nii6548,rf0008,Y,0.29594,0.22038,7.86294,30.79445
halpha,rf0008,Y,2.86000,2.88628,-0.71923,78.26470
nii6584,rf0008,Y,0.89042,0.64964,8.30651,30.71795
sii6717,rf0008,Y,0.23359,0.22284,0.43252,9.39814
sii6731,rf0008,Y,0.16906,0.17116,-0.09164,7.38173
hbeta,rf0010,Y,1.00000,1.00000,0.00000,63.89095
oiii4959,rf0010,Y,0.73713,0.53523,13.20998,48.22810
oiii5007,rf0010,Y,2.21207,1.59689,31.18049,112.11878
oi6300,rf0010,Y,0.10549,0.05714,4.89056,10.66992
nii6548,rf0010,Y,0.10365,0.11500,-3.70581,33.84628
halpha,rf0010,Y,2.86000,2.79817,3.46690,160.35536
nii6584,rf0010,Y,0.31146,0.33900,-2.98158,33.71830
sii6717,rf0010,Y,0.53102,0.39394,11.15116,43.19665
sii6731,rf0010,Y,0.35267,0.29937,5.40093,35.73386
hbeta,rf0011,Y,1.00000,1.00000,0.00000,22.00847
oiii4959,rf0011,Y,0.24073,0.19613,1.09799,5.92682
oiii5007,rf0011,Y,0.71373,0.58520,2.87003,15.93762
oi6300,rf0011,Y,0.16203,0.09553,2.23397,5.44355
nii6548,rf0011,Y,0.27308,0.22186,4.57599,24.39870
halpha,rf0011,Y,2.86000,2.79846,1.25788,58.45497
nii6584,rf0011,Y,0.82291,0.65401,5.00306,24.37621
sii6717,rf0011,Y,0.78900,0.72298,1.76857,21.13751
sii6731,rf0011,Y,0.51171,0.54904,-1.15240,15.79741
hbeta,rf0014,Y,1.00000,1.00000,0.00000,14.52794
oiii4959,rf0014,Y,0.37366,0.30482,1.09001,5.91693
oiii5007,rf0014,Y,1.21594,0.90946,4.34786,17.24958
oi6300,rf0014,Y,0.12128,0.07917,0.87285,2.51381
nii6548,rf0014,Y,0.12454,0.14827,-1.70156,8.93338
halpha,rf0014,Y,2.86000,2.80076,1.03413,49.92436
nii6584,rf0014,Y,0.37515,0.43705,-1.47221,8.92138
sii6717,rf0014,Y,0.79601,0.53008,5.21664,15.61499
sii6731,rf0014,Y,0.54925,0.40264,2.92193,10.94670
hbeta,rf0015,Y,1.00000,1.00000,0.00000,636.90648
oiii4959,rf0015,Y,0.06927,0.05909,9.81829,66.82230
oiii5007,rf0015,Y,0.15198,0.17631,-21.96955,137.25983
oi6300,rf0015,Y,0.05717,0.04049,16.32831,55.95660
nii6548,rf0015,Y,0.36176,0.43008,-101.84660,539.26360
halpha,rf0015,Y,2.86000,2.84161,4.53766,705.72948
nii6584,rf0015,Y,1.08322,1.26778,-91.21283,535.35149
sii6717,rf0015,Y,0.36495,0.83011,-308.28391,241.87136
sii6731,rf0015,Y,0.27992,0.63725,-259.81645,203.52668
hbeta,rf0017,Y,1.00000,1.00000,0.00000,50.16413
oiii4959,rf0017,Y,0.53613,0.43124,5.66655,28.96357
oiii5007,rf0017,Y,1.57151,1.28661,12.03398,66.37883
oi6300,rf0017,Y,0.09850,0.06643,2.68179,8.23598
nii6548,rf0017,Y,0.14092,0.14128,-0.09150,36.27779
halpha,rf0017,Y,2.86000,2.79796,2.80759,129.43444
nii6584,rf0017,Y,0.42499,0.41647,0.72730,36.27146
sii6717,rf0017,Y,0.64452,0.46920,12.19250,44.82394
sii6731,rf0017,Y,0.45663,0.35645,8.04226,36.65669
hbeta,rf0019,Y,1.00000,1.00000,0.00000,4.82090
oiii4959,rf0019,Y,0.34922,0.40423,-0.31712,2.01293
oiii5007,rf0019,Y,1.57156,1.20608,2.06361,8.87361
oi6300,rf0019,Y,-0.02741,0.06133,-0.70208,-0.21686
nii6548,rf0019,Y,0.10987,0.10617,0.10239,3.04122
halpha,rf0019,Y,2.86000,2.80188,0.36047,17.73887
nii6584,rf0019,Y,0.33119,0.31296,0.16723,3.03936
sii6717,rf0019,Y,0.53327,0.39526,1.12300,4.33918
sii6731,rf0019,Y,0.45085,0.30052,1.30973,3.92809
hbeta,rf0020,Y,1.00000,1.00000,0.00000,14.68163
oiii4959,rf0020,Y,0.20386,0.16658,0.57151,3.12484
oiii5007,rf0020,Y,0.60883,0.49700,1.72705,9.40275
oi6300,rf0020,Y,0.14851,0.09874,0.98385,2.93547
