Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
LOGQ,rf0001,7.25066,7.17865,7.34428,7.12103,7.44511,Y,Y,N,N,0.00000,0.00000,N,N,1,38
LOGZ,rf0001,8.26989,8.20396,8.38856,8.13144,8.50064,Y,Y,N,N,0.00000,0.00000,N,N,1,123
LOGQ,rf0003,7.35869,7.11383,7.47391,6.99140,7.61074,Y,Y,N,N,0.01739,0.00000,N,N,2,53
LOGZ,rf0003,8.84347,8.56657,8.86984,8.42812,8.91599,Y,Y,N,N,0.00000,0.00000,N,N,1,210
LOGQ,rf0006,7.19305,7.12823,7.39470,7.05622,7.57474,Y,Y,N,N,0.00021,0.00000,N,N,1,30
LOGZ,rf0006,8.40834,8.34900,8.59953,8.27648,8.74457,Y,Y,N,N,0.00000,0.00000,N,N,1,144
LOGQ,rf0007,7.12103,7.05622,7.33708,6.99140,7.50992,Y,Y,N,N,0.01824,0.00000,N,N,1,20
LOGZ,rf0007,8.65887,8.56657,8.78413,8.49405,8.88962,Y,Y,N,N,0.00000,0.00000,N,N,1,182
LOGQ,rf0008,8.04284,7.77638,8.25889,7.48832,8.51095,Y,Y,N,N,0.00015,0.00072,N,N,2,148
LOGZ,rf0008,9.05444,8.99510,9.05444,8.92258,inf,Y,Y,N,Y,0.00000,0.27074,N,N,1,242
LOGQ,rf0010,7.32988,7.27947,7.43791,7.21465,7.54593,Y,Y,N,N,0.00000,0.00000,N,N,1,49
LOGZ,rf0010,8.30285,8.23033,8.40834,8.16440,8.51382,Y,Y,N,N,0.00000,0.00000,N,N,1,128
LOGQ,rf0011,7.05622,7.02021,7.20025,6.98420,7.31548,Y,Y,N,N,0.03870,0.00000,N,N,1,11
LOGZ,rf0011,8.46108,8.40175,8.58635,8.33582,8.68524,Y,Y,N,N,0.00000,0.00000,N,N,1,152
LOGQ,rf0014,7.13544,7.08502,7.30828,7.03461,7.50272,Y,Y,N,N,0.00101,0.00000,N,N,1,22
LOGZ,rf0014,8.33582,8.25670,8.49405,8.18418,8.67865,Y,Y,N,N,0.00000,0.00000,N,N,1,133
LOGQ,rf0015,7.19305,7.06342,7.30828,6.99140,7.45231,Y,Y,N,N,0.02071,0.00000,N,N,1,30
LOGZ,rf0015,8.90939,8.78413,8.94895,8.60612,8.98851,Y,Y,N,N,0.00000,0.00000,N,N,1,220
LOGQ,rf0017,7.25786,7.17865,7.38029,7.12103,7.49552,Y,Y,N,N,0.00000,0.00000,N,N,1,39
LOGZ,rf0017,8.34900,8.26989,8.47427,8.20396,8.59294,Y,Y,N,N,0.00000,0.00000,N,N,1,135
LOGQ,rf0019,7.23626,7.15704,7.54593,7.07782,7.93482,Y,Y,N,N,0.00013,0.00001,N,N,1,36
LOGZ,rf0019,8.25011,8.17100,8.54020,8.07210,8.83028,Y,Y,N,N,0.00000,0.00000,N,N,2,120
LOGQ,rf0020,7.03461,7.02021,7.27227,6.98420,7.48112,Y,Y,N,N,0.04621,0.00000,N,N,1,8
LOGZ,rf0020,8.50064,8.43471,8.68524,8.36219,8.84347,Y,Y,N,N,0.00000,0.00000,N,N,1,158
LOGQ,rf0023,7.27227,7.20025,7.42350,7.13544,7.58194,Y,Y,N,N,0.00000,0.00000,N,N,1,41
LOGZ,rf0023,8.29626,8.23033,8.45449,8.15781,8.61272,Y,Y,N,N,0.00000,0.00000,N,N,1,127
LOGQ,rf0024,6.97700,6.99140,7.14264,-inf,7.25786,N,Y,Y,N,0.13192,0.00000,N,N,1,0
LOGZ,rf0024,8.63250,8.50064,8.73139,8.41493,8.81709,Y,Y,N,N,0.00000,0.00000,N,N,1,178
LOGQ,rf0028,7.12103,7.07782,7.33708,7.01301,7.57474,Y,Y,N,N,0.00393,0.00000,N,N,1,20
LOGZ,rf0028,8.33582,8.26989,8.53360,8.19737,8.75776,Y,Y,N,N,0.00000,0.00000,N,N,1,133
LOGQ,rf0029,7.28667,7.21465,7.40190,7.14984,7.50992,Y,Y,N,N,0.00000,0.00000,N,N,1,43
LOGZ,rf0029,8.36219,8.30945,8.48745,8.24352,8.59294,Y,Y,N,N,0.00000,0.00000,N,N,1,137
LOGQ,rf0030,7.03461,7.02021,7.27227,6.98420,7.40190,Y,Y,N,N,0.04333,0.00000,N,N,1,8
LOGZ,rf0030,8.52701,8.45449,8.71161,8.37537,8.81050,Y,Y,N,N,0.00000,0.00000,N,N,1,162
LOGQ,rf0031,7.25786,7.10663,7.38029,6.99860,7.50992,Y,Y,N,N,0.01449,0.00000,N,N,2,39
LOGZ,rf0031,8.87643,8.71820,8.90939,8.54679,8.95554,Y,Y,N,N,0.00000,0.00000,N,N,1,215
LOGQ,rf0032,7.27227,7.14984,7.42350,7.05622,7.56753,Y,Y,N,N,0.00072,0.00000,N,N,1,41
LOGZ,rf0032,8.55997,8.46108,8.69842,8.38197,8.79732,Y,Y,N,N,0.00000,0.00000,N,N,1,167
LOGQ,rf0033,7.25066,7.17865,7.40910,7.11383,7.60354,Y,Y,N,N,0.00000,0.00000,N,N,1,38
LOGZ,rf0033,8.29626,8.22374,8.45449,8.15122,8.63250,Y,Y,N,N,0.00000,0.00000,N,N,1,127
LOGQ,rf0034,7.38029,7.32268,7.58194,7.25786,7.76918,Y,Y,N,N,0.00000,0.00000,N,N,1,56
LOGZ,rf0034,8.25011,8.18418,8.45449,8.10507,8.63909,Y,Y,N,N,0.00000,0.00000,N,N,1,120
LOGQ,rf0040,7.25786,7.09943,7.39470,6.99140,7.53153,Y,Y,N,N,0.01716,0.00000,N,N,2,39
LOGZ,rf0040,8.88302,8.70502,8.91599,8.51382,8.96873,Y,Y,N,N,0.00000,0.00000,N,N,1,216
LOGQ,rf0042,7.40910,7.35149,7.68996,7.27227,7.92762,Y,Y,N,N,0.00000,0.00000,N,N,1,60
LOGZ,rf0042,8.24352,8.17759,8.46108,8.10507,8.66546,Y,Y,N,N,0.00000,0.00000,N,N,1,119
LOGQ,rf0043,7.21465,7.07062,7.36589,6.99140,7.52433,Y,Y,N,N,0.01955,0.00000,N,N,1,33
LOGZ,rf0043,8.88302,8.73798,8.92917,8.57316,8.98851,Y,Y,N,N,0.00000,0.00010,N,N,1,216
LOGQ,rf0045,7.32988,7.27227,7.45951,7.20745,7.58914,Y,Y,N,N,0.00000,0.00000,N,N,1,49
LOGZ,rf0045,8.23693,8.16440,8.36878,8.09848,8.50064,Y,Y,N,N,0.00000,0.00000,N,N,1,118
LOGQ,rf0048,7.26507,7.18585,7.37309,7.12823,7.48832,Y,Y,N,N,0.00000,0.00000,N,N,1,40
LOGZ,rf0048,8.31604,8.24352,8.43471,8.17100,8.55338,Y,Y,N,N,0.00000,0.00000,N,N,1,130
LOGQ,rf0049,7.27947,7.21465,7.45231,7.14984,7.64675,Y,Y,N,N,0.00000,0.00000,N,N,1,42
LOGZ,rf0049,8.26989,8.21055,8.44790,8.13803,8.63250,Y,Y,N,N,0.00000,0.00000,N,N,1,123
LOGQ,rf0051,7.43070,7.36589,7.63955,7.30107,7.87721,Y,Y,N,N,0.00000,0.00000,N,N,1,63
LOGZ,rf0051,8.17759,8.10507,8.35560,8.02595,8.58635,Y,Y,N,N,0.00000,0.00000,N,N,1,109
LOGQ,rf0053,7.35149,7.29387,7.45951,7.23626,7.56033,Y,Y,N,N,0.00000,0.00000,N,N,1,52
LOGZ,rf0053,8.24352,8.19078,8.37537,8.12485,8.48086,Y,Y,N,N,0.00000,0.00000,N,N,1,119
LOGQ,rf0058,7.10663,7.05622,7.29387,6.99860,7.49552,Y,Y,N,N,0.01035,0.00000,N,N,1,18
LOGZ,rf0058,8.41493,8.35560,8.57316,8.28307,8.73139,Y,Y,N,N,0.00000,0.00000,N,N,1,145
LOGQ,rf0059,7.34428,7.27947,7.48832,7.20025,7.61795,Y,Y,N,N,0.00000,0.00000,N,N,1,51
LOGZ,rf0059,8.44790,8.36878,8.57316,8.30285,8.66546,Y,Y,N,N,0.00000,0.00000,N,N,1,150
LOGQ,rf0060,7.13544,7.08502,7.25786,7.03461,7.35869,Y,Y,N,N,0.00032,0.00000,N,N,1,22
LOGZ,rf0060,8.34241,8.26330,8.44790,8.19737,8.56657,Y,Y,N,N,0.00000,0.00000,N,N,1,134
LOGQ,rf0061,7.16424,7.09223,7.38749,7.01301,7.56753,Y,Y,N,N,0.00660,0.00000,N,N,1,26
LOGZ,rf0061,8.50064,8.42152,8.67865,8.33582,8.81050,Y,Y,N,N,0.00000,0.00000,N,N,1,158
LOGQ,rf0062,7.04902,7.01301,7.14264,6.98420,7.22186,Y,Y,N,N,0.04962,0.00000,N,N,1,10
