Line,Galaxy Name,In_lhood?,Obs,Model,Resid_Stds,Obs_S/N
hbeta,rf0001,Y,1.00000,1.00000,0.00000,28.19290
oiii4959,rf0001,Y,0.54558,0.34696,6.22307,17.09396
oiii5007,rf0001,Y,1.76289,1.03519,16.71987,40.50475
oi6300,rf0001,Y,0.13946,0.07137,3.33278,6.82583
nii6548,rf0001,Y,0.09083,0.12045,-4.90559,15.04260
halpha,rf0001,Y,2.86000,2.80250,1.47871,73.54457
nii6584,rf0001,Y,0.27383,0.35506,-4.46010,15.03557
sii6717,rf0001,Y,0.58942,0.46032,3.38935,15.47429
sii6731,rf0001,Y,0.38919,0.34572,1.78227,15.95580
hbeta,rf0003,Y,1.00000,1.00000,0.00000,93.61190
oiii4959,rf0003,Y,0.13398,0.02755,16.42360,20.67520
oiii5007,rf0003,Y,0.44974,0.08220,45.74532,55.97656
oi6300,rf0003,Y,0.05355,0.09015,-7.74205,11.32974
nii6548,rf0003,Y,0.31094,0.45405,-46.01770,99.99018
halpha,rf0003,Y,2.86000,2.82851,1.59367,144.76171
nii6584,rf0003,Y,0.93472,1.33844,-43.04238,99.65387
sii6717,rf0003,Y,0.48393,1.14552,-88.20293,64.51704
sii6731,rf0003,Y,0.35272,0.90543,-73.78085,47.08458
hbeta,rf0006,Y,1.00000,1.00000,0.00000,18.96895
oiii4959,rf0006,Y,0.39701,0.21435,3.78106,8.21789
oiii5007,rf0006,Y,1.20190,0.63953,10.00828,21.38981
oi6300,rf0006,Y,0.09483,0.09410,0.02162,2.82920
nii6548,rf0006,Y,0.19688,0.20834,-1.02578,17.62266
halpha,rf0006,Y,2.86000,2.79886,1.31180,61.36597
nii6584,rf0006,Y,0.59448,0.61415,-0.58381,17.64161
sii6717,rf0006,Y,0.75593,0.68952,1.69591,19.30300
sii6731,rf0006,Y,0.57028,0.52658,1.23233,16.08036
hbeta,rf0007,Y,1.00000,1.00000,0.00000,19.35663
oiii4959,rf0007,Y,0.21320,0.23755,-0.50104,4.38720
oiii5007,rf0007,Y,0.47353,0.70873,-4.78570,9.63494
oi6300,rf0007,Y,0.12910,0.07789,1.40294,3.53686
nii6548,rf0007,Y,0.43462,0.33416,7.36735,31.87362
halpha,rf0007,Y,2.86000,2.80298,1.17552,58.96004
nii6584,rf0007,Y,1.30974,0.98506,7.89426,31.84513
sii6717,rf0007,Y,0.83806,0.66389,4.35601,20.96023
sii6731,rf0007,Y,0.41393,0.62976,-6.04795,11.59860
hbeta,rf0008,Y,1.00000,1.00000,0.00000,31.01034
oiii4959,rf0008,Y,0.09624,0.05718,1.36751,3.36936
oiii5007,rf0008,Y,0.21956,0.17061,1.70036,7.62680
oi6300,rf0008,Y,0.02792,0.00984,0.81572,1.25952
nii6548,rf0008,Y,0.29594,0.25649,4.10589,30.79445
halpha,rf0008,Y,2.86000,2.87795,-0.49131,78.26470
nii6584,rf0008,Y,0.89042,0.75607,4.63467,30.71795
sii6717,rf0008,Y,0.23359,0.35942,-5.06243,9.39814
sii6731,rf0008,Y,0.16906,0.26271,-4.08897,7.38173
hbeta,rf0010,Y,1.00000,1.00000,0.00000,63.89095
oiii4959,rf0010,Y,0.73713,0.38455,23.06819,48.22810
oiii5007,rf0010,Y,2.21207,1.14734,53.96571,112.11878
oi6300,rf0010,Y,0.10549,0.07032,3.55682,10.66992
nii6548,rf0010,Y,0.10365,0.13003,-8.61384,33.84628
halpha,rf0010,Y,2.86000,2.80051,3.33561,160.35536
nii6584,rf0010,Y,0.31146,0.38331,-7.77845,33.71830
sii6717,rf0010,Y,0.53102,0.47199,4.80169,43.19665
sii6731,rf0010,Y,0.35267,0.35446,-0.18114,35.73386
hbeta,rf0011,Y,1.00000,1.00000,0.00000,22.00847
oiii4959,rf0011,Y,0.24073,0.62104,-9.36311,5.92682
oiii5007,rf0011,Y,0.71373,1.85291,-25.43816,15.93762
oi6300,rf0011,Y,0.16203,0.05141,3.71650,5.44355
nii6548,rf0011,Y,0.27308,0.16686,9.48981,24.39870
halpha,rf0011,Y,2.86000,2.79504,1.32778,58.45497
nii6584,rf0011,Y,0.82291,0.49189,9.80549,24.37621
sii6717,rf0011,Y,0.78900,0.43401,9.51025,21.13751
sii6731,rf0011,Y,0.51171,0.34023,5.29380,15.79741
hbeta,rf0014,Y,1.00000,1.00000,0.00000,14.52794
oiii4959,rf0014,Y,0.37366,0.24446,2.04594,5.91693
oiii5007,rf0014,Y,1.21594,0.72935,6.90294,17.24958
oi6300,rf0014,Y,0.12128,0.08865,0.67623,2.51381
nii6548,rf0014,Y,0.12454,0.15638,-2.28336,8.93338
halpha,rf0014,Y,2.86000,2.80192,1.01391,49.92436
nii6584,rf0014,Y,0.37515,0.46096,-2.04076,8.92138
sii6717,rf0014,Y,0.79601,0.57732,4.29001,15.61499
sii6731,rf0014,Y,0.54925,0.44088,2.15983,10.94670
hbeta,rf0015,Y,1.00000,1.00000,0.00000,636.90648
oiii4959,rf0015,Y,0.06927,0.15588,-83.54528,66.82230
oiii5007,rf0015,Y,0.15198,0.46508,-282.75677,137.25983
oi6300,rf0015,Y,0.05717,0.11887,-60.38337,55.95660
nii6548,rf0015,Y,0.36176,0.28334,116.89878,539.26360
halpha,rf0015,Y,2.86000,2.79989,14.83181,705.72948
nii6584,rf0015,Y,1.08322,0.83522,122.56593,535.35149
sii6717,rf0015,Y,0.36495,0.25536,72.63432,241.87136
sii6731,rf0015,Y,0.27992,0.40663,-92.13158,203.52668
hbeta,rf0017,Y,1.00000,1.00000,0.00000,50.16413
oiii4959,rf0017,Y,0.53613,0.34486,10.33279,28.96357
oiii5007,rf0017,Y,1.57151,1.02893,22.91813,66.37883
oi6300,rf0017,Y,0.09850,0.07679,1.81499,8.23598
nii6548,rf0017,Y,0.14092,0.14644,-1.41979,36.27779
