Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
AGNFRAC,rf0001,0.00000,0.02632,0.57895,-inf,0.92105,N,Y,Y,N,0.17212,0.01267,N,N,1,0
LOGQ,rf0001,5.83226,5.69411,5.97042,5.60200,6.15463,Y,Y,N,N,0.00000,0.00000,N,N,1,24
LOGZ,rf0001,7.75409,7.58545,8.21784,-inf,8.55512,Y,Y,N,N,0.09424,0.00024,N,N,1,7
AGNFRAC,rf0002,0.10526,0.05263,0.39474,-inf,0.73684,Y,Y,N,N,0.12563,0.00323,N,N,1,4
LOGQ,rf0002,6.15463,6.06253,6.24674,5.92437,6.33884,Y,Y,N,N,0.00000,0.00067,N,N,1,31
LOGZ,rf0002,8.30216,8.00704,8.55512,7.66977,8.80807,Y,Y,N,N,0.00505,0.00101,N,N,1,20
AGNFRAC,rf0003,0.00000,-inf,0.18421,-inf,0.52632,Y,Y,Y,N,0.50097,0.00113,Y,N,1,0
LOGQ,rf0003,5.97042,5.78621,6.15463,5.60200,6.38489,Y,Y,N,N,0.00000,0.02157,N,N,2,27
LOGZ,rf0003,8.76591,8.51296,8.93455,7.92272,9.01887,Y,Y,N,N,0.00275,0.05923,N,N,1,31
AGNFRAC,rf0006,0.00000,-inf,0.26316,-inf,0.60526,Y,Y,Y,N,0.34639,0.00168,N,N,1,0
LOGQ,rf0006,5.97042,5.87832,6.15463,5.74016,6.29279,Y,Y,N,N,0.00000,0.00026,N,N,1,27
LOGZ,rf0006,8.42864,7.96488,8.63944,7.54329,8.89239,Y,Y,N,N,0.01701,0.00334,N,N,1,23
AGNFRAC,rf0007,0.00000,-inf,0.18421,-inf,0.44737,Y,Y,Y,N,0.41593,0.00061,N,N,1,0
LOGQ,rf0007,6.15463,6.01647,6.29279,5.87832,6.38489,Y,Y,N,N,0.00000,0.01482,N,N,1,31
LOGZ,rf0007,8.68159,8.38648,8.85023,8.09136,8.97671,Y,Y,N,N,0.00026,0.01739,N,N,1,29
AGNFRAC,rf0008,0.00000,-inf,0.23684,-inf,0.68421,Y,Y,Y,N,0.45449,0.00297,N,N,1,0
LOGQ,rf0008,5.60200,5.41779,5.83226,5.04937,6.33884,Y,Y,N,N,0.00235,0.01725,N,N,3,19
LOGZ,rf0008,8.97671,8.76591,9.01887,8.34432,inf,Y,Y,N,Y,0.00108,0.28648,N,N,1,36
AGNFRAC,rf0010,0.00000,0.02632,0.47368,-inf,0.86842,N,Y,Y,N,0.19511,0.00791,N,N,1,0
LOGQ,rf0010,5.83226,5.69411,5.92437,5.55595,6.06253,Y,Y,N,N,0.00000,0.00000,N,N,1,24
LOGZ,rf0010,8.09136,7.71193,8.34432,7.50113,8.63944,Y,Y,N,N,0.04461,0.00027,N,N,1,15
AGNFRAC,rf0011,0.00000,-inf,0.26316,-inf,0.63158,Y,Y,Y,N,0.32884,0.00190,N,N,1,0
LOGQ,rf0011,6.15463,6.01647,6.29279,5.87832,6.38489,Y,Y,N,N,0.00000,0.02022,N,N,1,31
LOGZ,rf0011,8.47080,7.92272,8.63944,7.54329,8.85023,Y,Y,N,N,0.01948,0.00252,N,N,1,24
AGNFRAC,rf0013,0.55263,0.44737,0.81579,0.34211,0.97368,Y,Y,N,N,0.00000,0.02879,N,N,1,21
LOGQ,rf0013,5.92437,5.83226,6.01647,5.74016,6.10858,Y,Y,N,N,0.00000,0.00000,N,N,1,26
LOGZ,rf0013,8.93455,8.72375,8.97671,8.55512,inf,Y,Y,N,Y,0.00000,0.11223,N,N,1,35
AGNFRAC,rf0014,0.00000,0.02632,0.39474,-inf,0.78947,N,Y,Y,N,0.26747,0.00508,N,N,1,0
LOGQ,rf0014,5.92437,5.83226,6.10858,5.69411,6.24674,Y,Y,N,N,0.00000,0.00021,N,N,1,26
LOGZ,rf0014,8.09136,7.66977,8.42864,-inf,8.80807,Y,Y,N,N,0.05959,0.00168,N,N,1,15
AGNFRAC,rf0015,0.00000,-inf,0.21053,-inf,0.60526,Y,Y,Y,N,0.50773,0.00194,Y,N,1,0
LOGQ,rf0015,6.20068,5.78621,6.33884,5.55595,inf,Y,Y,N,N,0.00000,0.10276,N,N,3,32
LOGZ,rf0015,8.93455,8.51296,8.97671,8.04920,inf,Y,Y,N,Y,0.00090,0.13681,N,N,1,35
AGNFRAC,rf0016,0.42105,0.31579,0.71053,0.21053,0.92105,Y,Y,N,N,0.00010,0.01402,N,N,1,16
LOGQ,rf0016,6.24674,6.15463,6.33884,6.10858,6.38489,Y,Y,N,N,0.00000,0.01202,N,N,1,33
LOGZ,rf0016,8.63944,8.47080,8.85023,8.34432,8.97671,Y,Y,N,N,0.00000,0.01209,N,N,1,28
AGNFRAC,rf0017,0.00000,0.02632,0.36842,-inf,0.76316,N,Y,Y,N,0.26524,0.00382,N,N,1,0
LOGQ,rf0017,5.87832,5.78621,6.01647,5.64805,6.15463,Y,Y,N,N,0.00000,0.00000,N,N,1,25
LOGZ,rf0017,8.26000,7.83841,8.51296,7.54329,8.76591,Y,Y,N,N,0.02409,0.00085,N,N,1,19
AGNFRAC,rf0019,0.00000,0.02632,0.39474,-inf,0.81579,N,Y,Y,N,0.27844,0.00575,N,N,1,0
LOGQ,rf0019,5.78621,5.64805,5.97042,5.50989,6.15463,Y,Y,N,N,0.00001,0.00002,N,N,1,23
LOGZ,rf0019,8.26000,7.79625,8.63944,7.50113,8.89239,Y,Y,N,N,0.03333,0.00492,N,N,1,19
AGNFRAC,rf0020,0.00000,-inf,0.23684,-inf,0.57895,Y,Y,Y,N,0.36866,0.00143,N,N,1,0
LOGQ,rf0020,6.20068,6.01647,6.33884,5.87832,6.43095,Y,Y,N,N,0.00000,0.03610,N,N,1,32
LOGZ,rf0020,8.47080,7.96488,8.72375,7.54329,8.93455,Y,Y,N,N,0.01663,0.00630,N,N,1,24
AGNFRAC,rf0022,0.42105,0.28947,0.71053,0.18421,0.92105,Y,Y,N,N,0.00050,0.01424,N,N,1,16
LOGQ,rf0022,6.15463,6.06253,6.24674,5.97042,6.29279,Y,Y,N,N,0.00000,0.00000,N,N,1,31
LOGZ,rf0022,8.47080,8.26000,8.72375,8.04920,8.89239,Y,Y,N,N,0.00002,0.00278,N,N,1,24
AGNFRAC,rf0023,0.00000,0.02632,0.39474,-inf,0.81579,N,Y,Y,N,0.24593,0.00536,N,N,1,0
LOGQ,rf0023,5.83226,5.74016,5.97042,5.60200,6.10858,Y,Y,N,N,0.00000,0.00000,N,N,1,24
LOGZ,rf0023,8.21784,7.71193,8.42864,7.50113,8.72375,Y,Y,N,N,0.03872,0.00084,N,N,1,18
AGNFRAC,rf0024,0.00000,-inf,0.21053,-inf,0.52632,Y,Y,Y,N,0.41846,0.00104,N,N,1,0
LOGQ,rf0024,6.24674,6.10858,6.38489,5.92437,inf,Y,Y,N,N,0.00000,0.14961,N,N,1,33
LOGZ,rf0024,8.63944,8.09136,8.80807,7.66977,8.97671,Y,Y,N,N,0.00733,0.01105,N,N,1,28
AGNFRAC,rf0025,0.23684,0.10526,0.55263,0.02632,0.86842,Y,Y,N,N,0.04561,0.00764,N,N,1,9
LOGQ,rf0025,6.24674,6.15463,6.33884,6.06253,6.38489,Y,Y,N,N,0.00000,0.02251,N,N,1,33
LOGZ,rf0025,8.34432,8.09136,8.59728,7.83841,8.80807,Y,Y,N,N,0.00106,0.00142,N,N,1,21
AGNFRAC,rf0028,0.00000,-inf,0.31579,-inf,0.73684,Y,Y,Y,N,0.31512,0.00329,N,N,1,0
LOGQ,rf0028,5.92437,5.83226,6.15463,5.69411,6.29279,Y,Y,N,N,0.00000,0.00067,N,N,1,26
LOGZ,rf0028,8.21784,7.75409,8.59728,7.50113,8.89239,Y,Y,N,N,0.03490,0.00373,N,N,1,18
AGNFRAC,rf0029,0.00000,0.02632,0.34211,-inf,0.73684,N,Y,Y,N,0.25571,0.00350,N,N,1,0
