Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
LOGQ,rf0001,7.67247,7.49963,7.77330,7.35560,7.87412,Y,Y,N,N,0.00000,0.00000,N,N,1,83
LOGZ,rf0001,8.23693,7.68313,8.36878,7.49853,8.56657,Y,Y,N,N,0.00789,0.00000,N,N,1,118
LOGQ,rf0003,7.47083,7.35560,7.60046,7.24037,7.71568,Y,Y,N,N,0.00000,0.00000,N,N,1,69
LOGZ,rf0003,8.96214,8.86324,8.99510,8.75117,9.02147,Y,Y,N,N,0.00000,0.00091,N,N,1,228
LOGQ,rf0006,6.72186,6.70745,6.73626,6.70745,6.73626,Y,Y,N,N,0.00000,0.00000,N,N,1,17
LOGZ,rf0006,7.45897,-inf,7.46556,-inf,7.46556,Y,Y,Y,N,1.00000,0.00000,Y,N,1,0
LOGQ,rf0007,6.72186,6.70745,6.73626,6.70745,6.73626,Y,Y,N,N,0.00000,0.00000,N,N,1,17
LOGZ,rf0007,7.45897,-inf,7.46556,-inf,7.46556,Y,Y,Y,N,1.00000,0.00000,Y,N,1,0
LOGQ,rf0008,6.60663,6.53461,6.76507,6.49140,6.98112,Y,Y,N,N,0.04893,0.00000,N,N,3,9
LOGZ,rf0008,7.54468,7.54468,8.01277,7.47216,8.30285,Y,Y,N,N,0.02308,0.00014,N,N,4,13
LOGQ,rf0010,6.72186,6.70745,6.73626,6.70745,6.73626,Y,Y,N,N,0.00000,0.00000,N,N,1,17
LOGZ,rf0010,7.45897,-inf,7.46556,-inf,7.46556,Y,Y,Y,N,1.00000,0.00000,Y,N,1,0
LOGQ,rf0011,7.26918,7.12515,7.39881,6.96671,7.51404,Y,Y,N,N,0.00000,0.00000,N,N,1,55
LOGZ,rf0011,8.60612,8.38197,8.69183,8.11825,8.80391,Y,Y,N,N,0.00008,0.00000,N,N,1,174
LOGQ,rf0014,7.45642,7.31239,7.61486,7.15395,7.73009,Y,Y,N,N,0.00000,0.00000,N,N,1,68
LOGZ,rf0014,8.53360,8.15122,8.63909,7.68972,8.77754,Y,Y,N,N,0.00107,0.00000,N,N,1,163
LOGQ,rf0015,7.71568,7.55725,7.80210,7.39881,7.88852,Y,Y,N,N,0.00000,0.00000,N,N,1,86
LOGZ,rf0015,8.50723,8.36219,8.55997,8.19078,8.62590,Y,Y,N,N,0.00000,0.00000,N,N,1,159
LOGQ,rf0017,7.64367,7.48523,7.74449,7.35560,7.84531,Y,Y,N,N,0.00000,0.00000,N,N,1,81
LOGZ,rf0017,8.23693,7.94025,8.48086,7.60401,8.64568,Y,Y,N,N,0.00167,0.00000,N,N,1,118
LOGQ,rf0019,7.74449,7.54284,7.90293,7.32679,8.09017,Y,Y,N,N,0.00000,0.00000,N,N,1,88
LOGZ,rf0019,8.44790,8.04573,8.61272,7.62379,8.81709,Y,Y,N,N,0.00161,0.00000,N,N,1,150
LOGQ,rf0020,6.75066,6.69305,6.88029,6.63544,6.98112,Y,Y,N,N,0.00000,0.00000,N,N,1,19
LOGZ,rf0020,7.45897,7.50512,7.84795,7.46556,8.05892,N,N,Y,N,0.04522,0.00000,N,N,1,0
LOGQ,rf0023,7.67247,7.49963,7.78770,7.34120,7.88852,Y,Y,N,N,0.00000,0.00000,N,N,1,83
LOGZ,rf0023,8.23693,7.86773,8.48086,7.55127,8.66546,Y,Y,N,N,0.00296,0.00000,N,N,1,118
LOGQ,rf0024,7.13955,6.98112,7.26918,6.80828,7.39881,Y,Y,N,N,0.00004,0.00000,N,N,1,46
LOGZ,rf0024,8.74457,8.56657,8.84347,8.34241,8.92917,Y,Y,N,N,0.00001,0.00000,N,N,1,195
LOGQ,rf0028,6.72186,6.70745,6.73626,6.70745,6.73626,Y,Y,N,N,0.00000,0.00000,N,N,1,17
LOGZ,rf0028,7.45897,-inf,7.46556,-inf,7.46556,Y,Y,Y,N,1.00000,0.00000,Y,N,1,0
LOGQ,rf0029,7.45642,7.31239,7.54284,7.16836,7.62926,Y,Y,N,N,0.00000,0.00000,N,N,1,68
LOGZ,rf0029,8.45449,8.05233,8.48086,7.66335,8.59953,Y,Y,N,N,0.00114,0.00000,N,N,1,151
LOGQ,rf0030,6.73626,6.66424,6.80828,6.60663,6.90910,Y,Y,N,N,0.00000,0.00000,N,N,1,18
LOGZ,rf0030,7.45897,7.49853,7.78861,-inf,7.96003,N,Y,Y,N,0.05027,0.00000,N,N,1,0
LOGQ,rf0031,6.85149,6.82268,6.89470,6.79387,6.93791,Y,Y,N,N,0.00000,0.00000,N,N,1,26
LOGZ,rf0031,7.45897,-inf,7.49193,-inf,7.52490,Y,Y,Y,N,0.52139,0.00000,Y,N,1,0
LOGQ,rf0032,6.72186,6.70745,6.73626,6.70745,6.73626,Y,Y,N,N,0.00000,0.00000,N,N,1,17
LOGZ,rf0032,7.45897,-inf,7.46556,-inf,7.46556,Y,Y,Y,N,1.00000,0.00000,Y,N,1,0
LOGQ,rf0033,7.61486,7.42762,7.74449,7.25478,7.85972,Y,Y,N,N,0.00000,0.00000,N,N,1,79
LOGZ,rf0033,8.23693,7.92706,8.53360,7.56446,8.71161,Y,Y,N,N,0.00263,0.00000,N,N,2,118
LOGQ,rf0034,7.88852,7.73009,7.97494,7.60046,8.07577,Y,Y,N,N,0.00000,0.00000,N,N,1,98
LOGZ,rf0034,8.23693,7.79520,8.44790,7.53149,8.64568,Y,Y,N,N,0.00400,0.00000,N,N,1,118
LOGQ,rf0040,7.34120,7.18276,7.48523,7.02433,7.62926,Y,Y,N,N,0.00001,0.00000,N,N,1,60
LOGZ,rf0040,8.93577,8.82369,8.98851,8.69183,9.03466,Y,Y,N,N,0.00000,0.00460,N,N,1,224
LOGQ,rf0042,7.97494,7.84531,8.07577,7.70128,8.17659,Y,Y,N,N,0.00000,0.00000,N,N,1,104
LOGZ,rf0042,8.45449,8.23033,8.59294,8.01277,8.71820,Y,Y,N,N,0.00008,0.00000,N,N,1,151
LOGQ,rf0043,7.34120,7.21157,7.49963,7.08194,7.68688,Y,Y,N,N,0.00000,0.00000,N,N,1,60
LOGZ,rf0043,9.04125,8.90939,9.04784,8.73798,inf,Y,Y,N,Y,0.00000,0.11571,N,N,1,240
LOGQ,rf0045,6.72186,6.70745,6.73626,6.70745,6.73626,Y,Y,N,N,0.00000,0.00000,N,N,1,17
LOGZ,rf0045,7.45897,-inf,7.46556,-inf,7.46556,Y,Y,Y,N,1.00000,0.00000,Y,N,1,0
LOGQ,rf0048,6.72186,6.70745,6.73626,6.70745,6.73626,Y,Y,N,N,0.00000,0.00000,N,N,1,17
LOGZ,rf0048,7.45897,-inf,7.46556,-inf,7.46556,Y,Y,Y,N,1.00000,0.00000,Y,N,1,0
LOGQ,rf0049,6.72186,6.70745,6.73626,6.70745,6.75066,Y,Y,N,N,0.00000,0.00000,N,N,1,17
LOGZ,rf0049,7.45897,-inf,7.46556,-inf,7.46556,Y,Y,Y,N,0.99968,0.00000,Y,N,1,0
LOGQ,rf0051,8.01815,7.85972,8.11898,7.70128,8.23420,Y,Y,N,N,0.00000,0.00000,N,N,1,107
LOGZ,rf0051,8.23693,7.78861,8.38856,7.53149,8.59294,Y,Y,N,N,0.00415,0.00000,N,N,1,118
LOGQ,rf0053,7.83091,7.67247,7.91733,7.52844,8.00375,Y,Y,N,N,0.00000,0.00000,N,N,1,94
LOGZ,rf0053,8.21055,7.85454,8.32263,7.56446,8.47427,Y,Y,N,N,0.00251,0.00000,N,N,1,114
LOGQ,rf0058,7.37000,7.18276,7.51404,6.99552,7.64367,Y,Y,N,N,0.00000,0.00000,N,N,1,62
LOGZ,rf0058,8.48745,8.25670,8.62590,7.95343,8.74457,Y,Y,N,N,0.00028,0.00000,N,N,1,156
LOGQ,rf0059,7.22597,7.11074,7.26918,7.05313,7.34120,Y,Y,N,N,0.00000,0.00000,N,N,2,52
LOGZ,rf0059,7.45897,7.46556,7.59083,-inf,7.70291,N,Y,Y,N,0.16692,0.00000,N,N,1,0
LOGQ,rf0060,7.44202,7.31239,7.58605,7.16836,7.70128,Y,Y,N,N,0.00000,0.00000,N,N,1,67
LOGZ,rf0060,8.48086,8.19737,8.57975,7.84135,8.67205,Y,Y,N,N,0.00043,0.00000,N,N,1,155
LOGQ,rf0061,7.31239,7.11074,7.44202,6.93791,7.58605,Y,Y,N,N,0.00000,0.00000,N,N,1,58
LOGZ,rf0061,8.46108,8.09188,8.61272,7.66994,8.79732,Y,Y,N,N,0.00116,0.00000,N,N,1,152
LOGQ,rf0062,6.72186,6.70745,6.73626,6.70745,6.75066,Y,Y,N,N,0.00000,0.00000,N,N,1,17
LOGZ,rf0062,7.45897,-inf,7.47216,-inf,7.47875,Y,Y,Y,N,0.93707,0.00000,Y,N,1,0
LOGQ,rf0064,7.97494,7.83091,8.07577,7.70128,8.16219,Y,Y,N,N,0.00000,0.00000,N,N,1,104
LOGZ,rf0064,7.93365,7.63038,8.15781,7.48534,8.37537,Y,Y,N,N,0.01026,0.00000,N,N,1,72
LOGQ,rf0065,7.52844,7.37000,7.65807,7.21157,7.77330,Y,Y,N,N,0.00000,0.00000,N,N,1,73
LOGZ,rf0065,8.23693,7.84795,8.46767,7.54468,8.61272,Y,Y,N,N,0.00350,0.00000,N,N,2,118
LOGQ,rf0068,7.77330,7.60046,7.88852,7.44202,8.00375,Y,Y,N,N,0.00000,0.00000,N,N,1,90
LOGZ,rf0068,8.72480,8.07870,8.77754,7.63698,8.90939,Y,Y,N,N,0.00142,0.00000,N,N,3,192
LOGQ,rf0071,6.72186,6.62103,6.90910,6.53461,7.06753,Y,Y,N,N,0.00573,0.00000,N,N,1,17
LOGZ,rf0071,8.07210,7.90728,8.40175,7.63698,8.59294,Y,Y,N,N,0.00096,0.00000,N,N,2,93
LOGQ,rf0072,7.11074,7.09634,7.13955,7.06753,7.16836,Y,Y,N,N,0.00000,0.00000,N,N,1,44
LOGZ,rf0072,7.45897,-inf,7.47875,-inf,7.49853,Y,Y,Y,N,0.76285,0.00000,Y,N,1,0
