Line,Galaxy Name,In_lhood?,Obs,Model,Resid_Stds,Obs_S/N
hbeta,rf0001,Y,1.00000,1.00000,0.00000,28.19290
oiii4959,rf0001,Y,0.54558,0.43286,3.53181,17.09396
oiii5007,rf0001,Y,1.76289,1.29146,10.83183,40.50475
oi6300,rf0001,Y,0.13946,0.05855,3.95995,6.82583
nii6548,rf0001,Y,0.09083,0.12769,-6.10477,15.04260
halpha,rf0001,Y,2.86000,2.80194,1.49312,73.54457
nii6584,rf0001,Y,0.27383,0.37640,-5.63161,15.03557
sii6717,rf0001,Y,0.58942,0.47309,3.05401,15.47429
sii6731,rf0001,Y,0.38919,0.35976,1.20656,15.95580
hbeta,rf0003,Y,1.00000,1.00000,0.00000,93.61190
oiii4959,rf0003,Y,0.13398,0.04040,14.44083,20.67520
oiii5007,rf0003,Y,0.44974,0.12053,40.97444,55.97656
oi6300,rf0003,Y,0.05355,0.08294,-6.21592,11.32974
nii6548,rf0003,Y,0.31094,0.71330,-129.38755,99.99018
halpha,rf0003,Y,2.86000,2.83047,1.49477,144.76171
nii6584,rf0003,Y,0.93472,2.10267,-124.51931,99.65387
sii6717,rf0003,Y,0.48393,1.17552,-92.20251,64.51704
sii6731,rf0003,Y,0.35272,0.89813,-72.80532,47.08458
hbeta,rf0006,Y,1.00000,1.00000,0.00000,18.96895
oiii4959,rf0006,Y,0.39701,0.32330,1.52575,8.21789
oiii5007,rf0006,Y,1.20190,0.96458,4.22348,21.38981
oi6300,rf0006,Y,0.09483,0.07488,0.59500,2.82920
nii6548,rf0006,Y,0.19688,0.17879,1.61911,17.62266
halpha,rf0006,Y,2.86000,2.80129,1.25976,61.36597
nii6584,rf0006,Y,0.59448,0.52704,2.00118,17.64161
sii6717,rf0006,Y,0.75593,0.60957,3.73744,19.30300
sii6731,rf0006,Y,0.57028,0.46310,3.02213,16.08036
hbeta,rf0007,Y,1.00000,1.00000,0.00000,19.35663
oiii4959,rf0007,Y,0.21320,0.18700,0.53901,4.38720
oiii5007,rf0007,Y,0.47353,0.55795,-1.71765,9.63494
oi6300,rf0007,Y,0.12910,0.09067,1.05290,3.53686
nii6548,rf0007,Y,0.43462,0.41022,1.78963,31.87362
halpha,rf0007,Y,2.86000,2.80132,1.20971,58.96004
nii6584,rf0007,Y,1.30974,1.20926,2.44327,31.84513
sii6717,rf0007,Y,0.83806,0.91622,-1.95476,20.96023
sii6731,rf0007,Y,0.41393,0.69584,-7.89944,11.59860
hbeta,rf0008,Y,1.00000,1.00000,0.00000,31.01034
oiii4959,rf0008,Y,0.09624,0.08120,0.52649,3.36936
oiii5007,rf0008,Y,0.21956,0.24228,-0.78934,7.62680
oi6300,rf0008,Y,0.02792,0.00553,1.01012,1.25952
nii6548,rf0008,Y,0.29594,0.45742,-16.80200,30.79445
halpha,rf0008,Y,2.86000,2.89035,-0.83050,78.26470
nii6584,rf0008,Y,0.89042,1.34838,-15.79868,30.71795
sii6717,rf0008,Y,0.23359,0.16390,2.80368,9.39814
sii6731,rf0008,Y,0.16906,0.12547,1.90344,7.38173
hbeta,rf0010,Y,1.00000,1.00000,0.00000,63.89095
oiii4959,rf0010,Y,0.73713,0.54569,12.52523,48.22810
oiii5007,rf0010,Y,2.21207,1.62812,29.59761,112.11878
oi6300,rf0010,Y,0.10549,0.05243,5.36656,10.66992
nii6548,rf0010,Y,0.10365,0.11759,-4.55002,33.84628
halpha,rf0010,Y,2.86000,2.80009,3.35925,160.35536
nii6584,rf0010,Y,0.31146,0.34662,-3.80647,33.71830
sii6717,rf0010,Y,0.53102,0.43014,8.20644,43.19665
sii6731,rf0010,Y,0.35267,0.32712,2.58878,35.73386
hbeta,rf0011,Y,1.00000,1.00000,0.00000,22.00847
oiii4959,rf0011,Y,0.24073,0.19712,1.07374,5.92682
oiii5007,rf0011,Y,0.71373,0.58811,2.80502,15.93762
oi6300,rf0011,Y,0.16203,0.09899,2.11790,5.44355
nii6548,rf0011,Y,0.27308,0.23155,3.71066,24.39870
halpha,rf0011,Y,2.86000,2.80240,1.17718,58.45497
nii6584,rf0011,Y,0.82291,0.68257,4.15716,24.37621
sii6717,rf0011,Y,0.78900,0.79529,-0.16861,21.13751
sii6731,rf0011,Y,0.51171,0.60372,-2.84043,15.79741
hbeta,rf0014,Y,1.00000,1.00000,0.00000,14.52794
oiii4959,rf0014,Y,0.37366,0.30514,1.08497,5.91693
oiii5007,rf0014,Y,1.21594,0.91040,4.33453,17.24958
oi6300,rf0014,Y,0.12128,0.07037,1.05527,2.51381
nii6548,rf0014,Y,0.12454,0.13909,-1.04329,8.93338
halpha,rf0014,Y,2.86000,2.80489,0.96204,49.92436
nii6584,rf0014,Y,0.37515,0.41000,-0.82877,8.92138
sii6717,rf0014,Y,0.79601,0.54514,4.92132,15.61499
sii6731,rf0014,Y,0.54925,0.41434,2.68880,10.94670
hbeta,rf0015,Y,1.00000,1.00000,0.00000,636.90648
oiii4959,rf0015,Y,0.06927,0.06179,7.21917,66.82230
oiii5007,rf0015,Y,0.15198,0.18434,-29.22496,137.25983
oi6300,rf0015,Y,0.05717,0.04375,13.13391,55.95660
nii6548,rf0015,Y,0.36176,0.77935,-622.50722,539.26360
halpha,rf0015,Y,2.86000,2.84511,3.67346,705.72948
nii6584,rf0015,Y,1.08322,2.29740,-600.07473,535.35149
sii6717,rf0015,Y,0.36495,0.85565,-325.21128,241.87136
sii6731,rf0015,Y,0.27992,0.65576,-273.27729,203.52668
hbeta,rf0017,Y,1.00000,1.00000,0.00000,50.16413
oiii4959,rf0017,Y,0.53613,0.42224,6.15253,28.96357
oiii5007,rf0017,Y,1.57151,1.25977,13.16751,66.37883
oi6300,rf0017,Y,0.09850,0.06005,3.21545,8.23598
nii6548,rf0017,Y,0.14092,0.13508,1.50492,36.27779
halpha,rf0017,Y,2.86000,2.80164,2.64099,129.43444
nii6584,rf0017,Y,0.42499,0.39818,2.28811,36.27146
sii6717,rf0017,Y,0.64452,0.48832,10.86316,44.82394
sii6731,rf0017,Y,0.45663,0.37129,6.85067,36.65669
hbeta,rf0019,Y,1.00000,1.00000,0.00000,4.82090
oiii4959,rf0019,Y,0.34922,0.39454,-0.26124,2.01293
oiii5007,rf0019,Y,1.57156,1.17711,2.22721,8.87361
oi6300,rf0019,Y,-0.02741,0.05406,-0.64454,-0.21686
nii6548,rf0019,Y,0.10987,0.10453,0.14772,3.04122
halpha,rf0019,Y,2.86000,2.80727,0.32705,17.73887
nii6584,rf0019,Y,0.33119,0.30813,0.21156,3.03936
sii6717,rf0019,Y,0.53327,0.41890,0.93063,4.33918
sii6731,rf0019,Y,0.45085,0.31870,1.15133,3.92809
hbeta,rf0020,Y,1.00000,1.00000,0.00000,14.68163
oiii4959,rf0020,Y,0.20386,0.17007,0.51792,3.12484
oiii5007,rf0020,Y,0.60883,0.50741,1.56629,9.40275
