Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
LOGQ,rf0001,7.25786,7.18585,7.35869,7.12823,7.49552,Y,Y,N,N,0.00000,0.00000,N,N,1,39
LOGZ,rf0001,8.23693,8.13803,8.34241,8.05892,8.47427,Y,Y,N,N,0.00000,0.00000,N,N,1,118
LOGQ,rf0003,6.97700,7.09943,7.56753,6.98420,7.71157,N,N,Y,N,0.02603,0.00000,N,N,2,0
LOGZ,rf0003,8.88302,8.42812,8.89621,8.29626,8.96214,Y,Y,N,N,0.00000,0.00000,N,N,2,216
LOGQ,rf0006,7.15704,7.10663,7.38749,7.04902,7.59634,Y,Y,N,N,0.00028,0.00000,N,N,1,25
LOGZ,rf0006,8.31604,8.25011,8.48745,8.17759,8.69842,Y,Y,N,N,0.00000,0.00000,N,N,2,130
LOGQ,rf0007,7.12103,7.04902,7.34428,6.99140,7.53873,Y,Y,N,N,0.02267,0.00000,N,N,1,20
LOGZ,rf0007,8.60612,8.49405,8.77095,8.39515,8.90280,Y,Y,N,N,0.00000,0.00000,N,N,2,174
LOGQ,rf0008,8.17247,7.95642,8.35251,7.68276,8.55416,Y,Y,N,N,0.00022,0.00081,N,N,2,166
LOGZ,rf0008,9.04125,8.97532,9.04784,8.86324,inf,Y,Y,N,Y,0.00000,0.15935,N,N,2,240
LOGQ,rf0010,7.33708,7.28667,7.45951,7.22906,7.61795,Y,Y,N,N,0.00000,0.00000,N,N,1,50
LOGZ,rf0010,8.23693,8.16440,8.36219,8.09188,8.48745,Y,Y,N,N,0.00000,0.00000,N,N,1,118
LOGQ,rf0011,7.02021,7.00581,7.20745,-inf,7.36589,Y,Y,N,N,0.05979,0.00000,N,N,1,6
LOGZ,rf0011,8.36878,8.30945,8.54020,8.25011,8.67205,Y,Y,N,N,0.00000,0.00000,N,N,2,138
LOGQ,rf0014,7.13544,7.08502,7.28667,7.03461,7.49552,Y,Y,N,N,0.00072,0.00000,N,N,1,22
LOGZ,rf0014,8.23693,8.15781,8.35560,8.09188,8.58635,Y,Y,N,N,0.00000,0.00000,N,N,1,118
LOGQ,rf0015,7.22186,7.07062,7.43070,6.99140,7.63955,Y,Y,N,N,0.02414,0.00000,N,N,2,34
LOGZ,rf0015,8.96214,8.68524,8.97532,8.45449,9.01488,Y,Y,N,N,0.00000,0.00015,N,N,2,228
LOGQ,rf0017,7.25066,7.17865,7.38749,7.12103,7.56753,Y,Y,N,N,0.00000,0.00000,N,N,1,38
LOGZ,rf0017,8.25011,8.19078,8.37537,8.12485,8.54020,Y,Y,N,N,0.00000,0.00000,N,N,1,120
LOGQ,rf0019,7.24346,7.16424,7.46671,7.08502,7.86280,Y,Y,N,N,0.00007,0.00000,N,N,1,37
LOGZ,rf0019,8.15781,8.07210,8.32922,7.97980,8.72480,Y,Y,N,N,0.00000,0.00000,N,N,1,106
LOGQ,rf0020,6.99140,7.00581,7.27227,-inf,7.48832,N,Y,Y,N,0.06953,0.00000,N,N,1,2
LOGZ,rf0020,8.37537,8.32263,8.63909,8.26330,8.83028,Y,Y,N,N,0.00000,0.00000,N,N,2,139
LOGQ,rf0023,7.27227,7.20745,7.41630,7.14264,7.63235,Y,Y,N,N,0.00000,0.00000,N,N,1,41
LOGZ,rf0023,8.21715,8.14463,8.34241,8.07210,8.54020,Y,Y,N,N,0.00000,0.00000,N,N,1,115
LOGQ,rf0024,6.97700,6.99140,7.17144,-inf,7.32268,N,Y,Y,N,0.11905,0.00000,N,N,1,0
LOGZ,rf0024,8.60612,8.38856,8.73798,8.30945,8.85006,Y,Y,N,N,0.00000,0.00000,N,N,2,174
LOGQ,rf0028,7.12103,7.07062,7.28667,7.01301,7.54593,Y,Y,N,N,0.00370,0.00000,N,N,1,20
LOGZ,rf0028,8.23693,8.17100,8.36219,8.10507,8.65227,Y,Y,N,N,0.00000,0.00000,N,N,1,118
LOGQ,rf0029,7.27227,7.21465,7.43791,7.14984,7.60354,Y,Y,N,N,0.00000,0.00000,N,N,1,41
LOGZ,rf0029,8.30945,8.23693,8.42152,8.17100,8.55997,Y,Y,N,N,0.00000,0.00000,N,N,1,129
LOGQ,rf0030,6.97700,7.00581,7.30828,-inf,7.47391,N,Y,Y,N,0.06789,0.00000,N,N,1,0
LOGZ,rf0030,8.36878,8.32922,8.69842,8.26330,8.83028,Y,Y,N,N,0.00000,0.00000,N,N,2,138
LOGQ,rf0031,7.30828,7.11383,7.47391,6.99860,7.63235,Y,Y,N,N,0.01678,0.00000,N,N,2,46
LOGZ,rf0031,8.93577,8.65227,8.94236,8.42152,8.98851,Y,Y,N,N,0.00000,0.00000,N,N,2,224
LOGQ,rf0032,7.28667,7.14264,7.43070,7.04902,7.56753,Y,Y,N,N,0.00125,0.00000,N,N,1,43
LOGZ,rf0032,8.40175,8.36878,8.61931,8.28967,8.77095,Y,Y,N,N,0.00000,0.00000,N,N,1,143
LOGQ,rf0033,7.25786,7.18585,7.40910,7.12103,7.63955,Y,Y,N,N,0.00000,0.00000,N,N,1,39
LOGZ,rf0033,8.22374,8.13803,8.34900,8.07210,8.55338,Y,Y,N,N,0.00000,0.00000,N,N,1,116
LOGQ,rf0034,7.39470,7.33708,7.58194,7.27227,7.83400,Y,Y,N,N,0.00000,0.00000,N,N,1,58
LOGZ,rf0034,8.15781,8.09188,8.32263,8.01936,8.54679,Y,Y,N,N,0.00000,0.00000,N,N,1,106
LOGQ,rf0040,7.30107,7.09943,7.48832,6.99140,7.64675,Y,Y,N,N,0.02131,0.00000,N,N,2,45
LOGZ,rf0040,8.93577,8.61931,8.94895,8.36219,8.99510,Y,Y,N,N,0.00000,0.00001,N,N,2,224
LOGQ,rf0042,7.42350,7.35869,7.71157,7.28667,8.03564,Y,Y,N,N,0.00000,0.00000,N,N,1,62
LOGZ,rf0042,8.15122,8.09848,8.35560,8.03255,8.59294,Y,Y,N,N,0.00000,0.00000,N,N,2,105
LOGQ,rf0043,7.22906,7.07782,7.45951,6.99140,7.66116,Y,Y,N,N,0.02294,0.00000,N,N,2,35
