Line,Galaxy Name,In_lhood?,Obs,Model,Resid_Stds,Obs_S/N
hbeta,rf0001,Y,1.00000,1.00000,0.00000,28.19290
oiii4959,rf0001,Y,0.54558,0.44230,3.23615,17.09396
oiii5007,rf0001,Y,1.76289,1.31961,10.18489,40.50475
oi6300,rf0001,Y,0.13946,0.05983,3.89764,6.82583
nii6548,rf0001,Y,0.09083,0.13957,-8.07261,15.04260
halpha,rf0001,Y,2.86000,2.80088,1.52030,73.54457
nii6584,rf0001,Y,0.27383,0.41142,-7.55489,15.03557
sii6717,rf0001,Y,0.58942,0.49141,2.57312,15.47429
sii6731,rf0001,Y,0.38919,0.37359,0.63948,15.95580
hbeta,rf0003,Y,1.00000,1.00000,0.00000,93.61190
oiii4959,rf0003,Y,0.13398,0.16002,-4.01857,20.67520
oiii5007,rf0003,Y,0.44974,0.47743,-3.44595,55.97656
oi6300,rf0003,Y,0.05355,0.10031,-9.89106,11.32974
nii6548,rf0003,Y,0.31094,0.22036,29.12750,99.99018
halpha,rf0003,Y,2.86000,2.80327,2.87126,144.76171
nii6584,rf0003,Y,0.93472,0.64960,30.39715,99.65387
sii6717,rf0003,Y,0.48393,0.78526,-40.17326,64.51704
sii6731,rf0003,Y,0.35272,0.59622,-32.50443,47.08458
hbeta,rf0006,Y,1.00000,1.00000,0.00000,18.96895
oiii4959,rf0006,Y,0.39701,0.32955,1.39649,8.21789
oiii5007,rf0006,Y,1.20190,0.98321,3.89191,21.38981
oi6300,rf0006,Y,0.09483,0.07516,0.58685,2.82920
nii6548,rf0006,Y,0.19688,0.18493,1.06961,17.62266
halpha,rf0006,Y,2.86000,2.80063,1.27392,61.36597
nii6584,rf0006,Y,0.59448,0.54514,1.46412,17.64161
sii6717,rf0006,Y,0.75593,0.61726,3.54106,19.30300
sii6731,rf0006,Y,0.57028,0.46892,2.85815,16.08036
hbeta,rf0007,Y,1.00000,1.00000,0.00000,19.35663
oiii4959,rf0007,Y,0.21320,0.17861,0.71170,4.38720
oiii5007,rf0007,Y,0.47353,0.53291,-1.20819,9.63494
oi6300,rf0007,Y,0.12910,0.09279,0.99491,3.53686
nii6548,rf0007,Y,0.43462,0.41300,1.58562,31.87362
halpha,rf0007,Y,2.86000,2.80139,1.20825,58.96004
nii6584,rf0007,Y,1.30974,1.21745,2.24405,31.84513
sii6717,rf0007,Y,0.83806,0.93162,-2.33998,20.96023
sii6731,rf0007,Y,0.41393,0.70753,-8.22703,11.59860
hbeta,rf0008,Y,1.00000,1.00000,0.00000,31.01034
oiii4959,rf0008,Y,0.09624,0.05770,1.34931,3.36936
oiii5007,rf0008,Y,0.21956,0.17216,1.64659,7.62680
oi6300,rf0008,Y,0.02792,0.09841,-3.18060,1.25952
nii6548,rf0008,Y,0.29594,0.61532,-33.23279,30.79445
halpha,rf0008,Y,2.86000,2.81686,1.18058,78.26470
nii6584,rf0008,Y,0.89042,1.81387,-31.85755,30.71795
sii6717,rf0008,Y,0.23359,1.17699,-37.95624,9.39814
sii6731,rf0008,Y,0.16906,0.89655,-31.76372,7.38173
hbeta,rf0010,Y,1.00000,1.00000,0.00000,63.89095
oiii4959,rf0010,Y,0.73713,0.56363,11.35169,48.22810
oiii5007,rf0010,Y,2.21207,1.68164,26.88467,112.11878
oi6300,rf0010,Y,0.10549,0.05485,5.12216,10.66992
nii6548,rf0010,Y,0.10365,0.14221,-12.58887,33.84628
halpha,rf0010,Y,2.86000,2.79808,3.47153,160.35536
nii6584,rf0010,Y,0.31146,0.41919,-11.66330,33.71830
sii6717,rf0010,Y,0.53102,0.46642,5.25525,43.19665
sii6731,rf0010,Y,0.35267,0.35448,-0.18354,35.73386
hbeta,rf0011,Y,1.00000,1.00000,0.00000,22.00847
oiii4959,rf0011,Y,0.24073,0.19712,1.07374,5.92682
oiii5007,rf0011,Y,0.71373,0.58811,2.80502,15.93762
oi6300,rf0011,Y,0.16203,0.09899,2.11790,5.44355
nii6548,rf0011,Y,0.27308,0.23155,3.71066,24.39870
halpha,rf0011,Y,2.86000,2.80240,1.17718,58.45497
nii6584,rf0011,Y,0.82291,0.68257,4.15716,24.37621
sii6717,rf0011,Y,0.78900,0.79529,-0.16861,21.13751
sii6731,rf0011,Y,0.51171,0.60372,-2.84043,15.79741
hbeta,rf0014,Y,1.00000,1.00000,0.00000,14.52794
oiii4959,rf0014,Y,0.37366,0.31717,0.89452,5.91693
oiii5007,rf0014,Y,1.21594,0.94628,3.82547,17.24958
