Line,Galaxy Name,In_lhood?,Obs,Model,Resid_Stds,Obs_S/N
hbeta,rf0001,Y,1.00000,1.00000,0.00000,28.19290
oiii4959,rf0001,Y,0.54558,0.43695,3.40378,17.09396
oiii5007,rf0001,Y,1.76289,1.30368,10.55096,40.50475
oi6300,rf0001,Y,0.13946,0.06168,3.80679,6.82583
nii6548,rf0001,Y,0.09083,0.09700,-1.02247,15.04260
halpha,rf0001,Y,2.86000,2.79801,1.59418,73.54457
nii6584,rf0001,Y,0.27383,0.28595,-0.66553,15.03557
sii6717,rf0001,Y,0.58942,0.52204,1.76904,15.47429
sii6731,rf0001,Y,0.38919,0.39663,-0.30487,15.95580
hbeta,rf0003,Y,1.00000,1.00000,0.00000,93.61190
oiii4959,rf0003,Y,0.13398,0.15198,-2.77787,20.67520
oiii5007,rf0003,Y,0.44974,0.45346,-0.46270,55.97656
oi6300,rf0003,Y,0.05355,0.06157,-1.69518,11.32974
nii6548,rf0003,Y,0.31094,0.29988,3.55754,99.99018
halpha,rf0003,Y,2.86000,2.81401,2.32771,144.76171
nii6584,rf0003,Y,0.93472,0.88399,5.40875,99.65387
sii6717,rf0003,Y,0.48393,0.83917,-47.35954,64.51704
sii6731,rf0003,Y,0.35272,0.63984,-38.32711,47.08458
hbeta,rf0006,Y,1.00000,1.00000,0.00000,18.96895
oiii4959,rf0006,Y,0.39701,0.33099,1.36663,8.21789
oiii5007,rf0006,Y,1.20190,0.98755,3.81468,21.38981
oi6300,rf0006,Y,0.09483,0.06775,0.80785,2.82920
nii6548,rf0006,Y,0.19688,0.17567,1.89874,17.62266
halpha,rf0006,Y,2.86000,2.79792,1.33200,61.36597
nii6584,rf0006,Y,0.59448,0.51785,2.27396,17.64161
sii6717,rf0006,Y,0.75593,0.67863,1.97395,19.30300
sii6731,rf0006,Y,0.57028,0.51550,1.54451,16.08036
hbeta,rf0007,Y,1.00000,1.00000,0.00000,19.35663
oiii4959,rf0007,Y,0.21320,0.14694,1.36343,4.38720
oiii5007,rf0007,Y,0.47353,0.43842,0.71444,9.63494
oi6300,rf0007,Y,0.12910,0.07214,1.56052,3.53686
nii6548,rf0007,Y,0.43462,0.28897,10.68180,31.87362
halpha,rf0007,Y,2.86000,2.81098,1.01053,58.96004
nii6584,rf0007,Y,1.30974,0.85182,11.13397,31.84513
sii6717,rf0007,Y,0.83806,0.89014,-1.30252,20.96023
sii6731,rf0007,Y,0.41393,0.67815,-7.40363,11.59860
hbeta,rf0008,Y,1.00000,1.00000,0.00000,31.01034
oiii4959,rf0008,Y,0.09624,0.05460,1.45800,3.36936
oiii5007,rf0008,Y,0.21956,0.16289,1.96835,7.62680
oi6300,rf0008,Y,0.02792,0.08937,-2.77272,1.25952
nii6548,rf0008,Y,0.29594,0.34095,-4.68272,30.79445
halpha,rf0008,Y,2.86000,2.81708,1.17441,78.26470
nii6584,rf0008,Y,0.89042,1.00505,-3.95445,30.71795
sii6717,rf0008,Y,0.23359,1.10597,-35.09899,9.39814
sii6731,rf0008,Y,0.16906,0.84358,-29.45072,7.38173
hbeta,rf0010,Y,1.00000,1.00000,0.00000,63.89095
oiii4959,rf0010,Y,0.73713,0.55336,12.02390,48.22810
oiii5007,rf0010,Y,2.21207,1.65100,28.43755,112.11878
oi6300,rf0010,Y,0.10549,0.05583,5.02291,10.66992
nii6548,rf0010,Y,0.10365,0.09550,2.66296,33.84628
halpha,rf0010,Y,2.86000,2.79597,3.59021,160.35536
nii6584,rf0010,Y,0.31146,0.28152,3.24158,33.71830
sii6717,rf0010,Y,0.53102,0.48688,3.59074,43.19665
sii6731,rf0010,Y,0.35267,0.36981,-1.73627,35.73386
hbeta,rf0011,Y,1.00000,1.00000,0.00000,22.00847
oiii4959,rf0011,Y,0.24073,0.18608,1.34564,5.92682
oiii5007,rf0011,Y,0.71373,0.55518,3.54038,15.93762
oi6300,rf0011,Y,0.16203,0.08781,2.49340,5.44355
nii6548,rf0011,Y,0.27308,0.22016,4.72830,24.39870
halpha,rf0011,Y,2.86000,2.80066,1.21286,58.45497
nii6584,rf0011,Y,0.82291,0.64899,5.15178,24.37621
sii6717,rf0011,Y,0.78900,0.86795,-2.11514,21.13751
sii6731,rf0011,Y,0.51171,0.65951,-4.56273,15.79741
hbeta,rf0014,Y,1.00000,1.00000,0.00000,14.52794
oiii4959,rf0014,Y,0.37366,0.32560,0.76107,5.91693
oiii5007,rf0014,Y,1.21594,0.97146,3.46822,17.24958
oi6300,rf0014,Y,0.12128,0.07338,0.99287,2.51381
nii6548,rf0014,Y,0.12454,0.11090,0.97830,8.93338
halpha,rf0014,Y,2.86000,2.79921,1.06119,49.92436
nii6584,rf0014,Y,0.37515,0.32694,1.14647,8.92138
sii6717,rf0014,Y,0.79601,0.60739,3.70021,15.61499
sii6731,rf0014,Y,0.54925,0.46136,1.75164,10.94670
hbeta,rf0015,Y,1.00000,1.00000,0.00000,636.90648
oiii4959,rf0015,Y,0.06927,0.05019,18.40530,66.82230
oiii5007,rf0015,Y,0.15198,0.14975,2.01979,137.25983
oi6300,rf0015,Y,0.05717,0.08474,-26.97855,55.95660
nii6548,rf0015,Y,0.36176,0.35034,17.01517,539.26360
halpha,rf0015,Y,2.86000,2.82082,9.66777,705.72948
nii6584,rf0015,Y,1.08322,1.03274,24.94887,535.35149
sii6717,rf0015,Y,0.36495,1.09423,-483.33043,241.87136
sii6731,rf0015,Y,0.27992,0.83538,-403.87750,203.52668
hbeta,rf0017,Y,1.00000,1.00000,0.00000,50.16413
oiii4959,rf0017,Y,0.53613,0.44477,4.93526,28.96357
oiii5007,rf0017,Y,1.57151,1.32705,10.32608,66.37883
oi6300,rf0017,Y,0.09850,0.06359,2.91884,8.23598
nii6548,rf0017,Y,0.14092,0.10751,8.60128,36.27779
halpha,rf0017,Y,2.86000,2.79681,2.85970,129.43444
nii6584,rf0017,Y,0.42499,0.31694,9.22167,36.27146
sii6717,rf0017,Y,0.64452,0.54916,6.63205,44.82394
sii6731,rf0017,Y,0.45663,0.41712,3.17160,36.65669
hbeta,rf0019,Y,1.00000,1.00000,0.00000,4.82090
oiii4959,rf0019,Y,0.34922,0.43662,-0.50379,2.01293
oiii5007,rf0019,Y,1.57156,1.30270,1.51805,8.87361
oi6300,rf0019,Y,-0.02741,0.06211,-0.70824,-0.21686
nii6548,rf0019,Y,0.10987,0.09888,0.30407,3.04122
halpha,rf0019,Y,2.86000,2.79782,0.38564,17.73887
nii6584,rf0019,Y,0.33119,0.29150,0.36422,3.03936
sii6717,rf0019,Y,0.53327,0.52736,0.04808,4.33918
sii6731,rf0019,Y,0.45085,0.40065,0.43734,3.92809
