Line,Galaxy Name,In_lhood?,Obs,Model,Resid_Stds,Obs_S/N
oii3726,rf0001,Y,0.92327,1.57117,-2.92744,4.17169
oii3729,rf0001,Y,2.27738,2.12959,0.42034,6.47738
neiii3869,rf0001,Y,0.11448,0.25968,-2.82351,2.22611
oiii4363,rf0001,Y,0.05666,0.01460,1.20587,1.62450
hgamma,rf0001,Y,0.52991,0.47672,1.46095,14.55556
heii4685,rf0001,Y,0.00000,0.00033,-inf,
ariv4711,rf0001,Y,0.19243,0.00019,1.14643,1.14756
hbeta,rf0001,Y,1.00000,1.00000,0.00000,28.19290
oiii4959,rf0001,Y,0.54558,0.41044,4.23412,17.09396
oiii5007,rf0001,Y,1.76289,1.22457,12.36868,40.50475
hei5875,rf0001,Y,0.09350,0.10404,-0.37933,3.36562
oi6300,rf0001,Y,0.13946,0.05541,4.11385,6.82583
nii6548,rf0001,Y,0.09083,0.11206,-3.51636,15.04260
halpha,rf0001,Y,2.86000,2.80542,1.40345,73.54457
nii6584,rf0001,Y,0.27383,0.33033,-3.10197,15.03557
sii6717,rf0001,Y,0.58942,0.43603,4.02712,15.47429
sii6731,rf0001,Y,0.38919,0.33168,2.35784,15.95580
ariii7136,rf0001,Y,0.04527,0.10167,-2.70606,2.17223
oii3726,rf0003,Y,0.18682,1.01331,-13.20632,2.98508
oii3729,rf0003,Y,1.45606,1.36519,0.43153,6.91420
neiii3869,rf0003,Y,0.06006,0.03928,2.04536,5.91296
oiii4363,rf0003,Y,-0.00825,0.00085,-1.41454,-1.28225
hgamma,rf0003,Y,0.53314,0.47748,6.33688,60.69958
heii4685,rf0003,Y,0.01484,0.00003,0.42553,0.42643
ariv4711,rf0003,Y,0.02512,0.00004,0.92051,0.92196
hbeta,rf0003,Y,1.00000,1.00000,0.00000,93.61190
oiii4959,rf0003,Y,0.13398,0.15518,-3.27089,20.67520
oiii5007,rf0003,Y,0.44974,0.46298,-1.64754,55.97656
hei5875,rf0003,Y,0.08950,0.11447,-4.39390,15.75087
oi6300,rf0003,Y,0.05355,0.03390,4.15844,11.32974
nii6548,rf0003,Y,0.31094,0.58109,-86.86995,99.99018
halpha,rf0003,Y,2.86000,2.83677,1.17579,144.76171
nii6584,rf0003,Y,0.93472,1.71297,-82.97171,99.65387
sii6717,rf0003,Y,0.48393,0.68138,-26.32326,64.51704
sii6731,rf0003,Y,0.35272,0.52095,-22.45606,47.08458
ariii7136,rf0003,Y,0.04846,0.12157,-8.09525,5.36628
oii3726,rf0006,Y,-230.38744,2.28022,-inf,-inf
oii3729,rf0006,Y,0.00000,3.09208,-inf,
neiii3869,rf0006,Y,-0.00099,0.12473,-1.35684,-0.01071
oiii4363,rf0006,Y,-0.06320,0.00177,-1.15531,-1.12391
hgamma,rf0006,Y,0.44495,0.47619,-0.53165,7.57172
heii4685,rf0006,Y,0.08344,0.00010,0.34249,0.34290
ariv4711,rf0006,Y,0.01816,0.00003,0.00300,0.00300
hbeta,rf0006,Y,1.00000,1.00000,0.00000,18.96895
oiii4959,rf0006,Y,0.39701,0.14086,5.30225,8.21789
oiii5007,rf0006,Y,1.20190,0.42026,13.91049,21.38981
hei5875,rf0006,Y,0.12894,0.10795,0.45531,2.79729
oi6300,rf0006,Y,0.09483,0.15083,-1.67082,2.82920
nii6548,rf0006,Y,0.19688,0.41005,-19.08057,17.62266
halpha,rf0006,Y,2.86000,2.80581,1.16273,61.36597
nii6584,rf0006,Y,0.59448,1.20874,-18.22875,17.64161
sii6717,rf0006,Y,0.75593,1.32700,-14.58233,19.30300
sii6731,rf0006,Y,0.57028,1.00539,-12.26908,16.08036
ariii7136,rf0006,Y,0.02808,0.18357,-4.55927,0.82322
oii3726,rf0007,Y,-407.05323,2.28022,-inf,-inf
oii3729,rf0007,Y,-406.93488,3.09208,-inf,-inf
neiii3869,rf0007,Y,-0.17408,0.12473,-3.49078,-2.03360
oiii4363,rf0007,Y,0.10169,0.00177,1.69874,1.72876
hgamma,rf0007,Y,0.31112,0.47619,-2.90151,5.46854
heii4685,rf0007,Y,0.00000,0.00010,-inf,
ariv4711,rf0007,Y,0.05922,0.00003,0.22356,0.22369
hbeta,rf0007,Y,1.00000,1.00000,0.00000,19.35663
oiii4959,rf0007,Y,0.21320,0.14086,1.48866,4.38720
oiii5007,rf0007,Y,0.47353,0.42026,1.08379,9.63494
hei5875,rf0007,Y,0.07936,0.10795,-0.64450,1.78922
oi6300,rf0007,Y,0.12910,0.15083,-0.59521,3.53686
nii6548,rf0007,Y,0.43462,0.41005,1.80180,31.87362
halpha,rf0007,Y,2.86000,2.80581,1.11715,58.96004
nii6584,rf0007,Y,1.30974,1.20874,2.45571,31.84513
sii6717,rf0007,Y,0.83806,1.32700,-12.22841,20.96023
sii6731,rf0007,Y,0.41393,1.00539,-16.57341,11.59860
ariii7136,rf0007,Y,0.15869,0.18357,-0.59767,3.81119
oii3726,rf0008,Y,33.71086,0.44888,9.76142,9.89316
oii3729,rf0008,Y,2.87229,0.60017,0.00048,0.00060
neiii3869,rf0008,Y,-0.15286,0.00501,-2.83107,-2.74122
oiii4363,rf0008,Y,-0.04229,0.00003,-1.17151,-1.17068
hgamma,rf0008,Y,0.66087,0.47678,5.20841,18.69788
heii4685,rf0008,Y,0.20364,0.00002,2.04563,2.04579
ariv4711,rf0008,Y,0.01213,0.00000,0.02325,0.02325
hbeta,rf0008,Y,1.00000,1.00000,0.00000,31.01034
oiii4959,rf0008,Y,0.09624,0.01284,2.91969,3.36936
