Line,Galaxy Name,In_lhood?,Obs,Model,Resid_Stds,Obs_S/N
hbeta,rf0001,Y,1.00000,1.00000,0.00000,28.19290
oiii4959,rf0001,Y,0.54558,0.42846,3.66954,17.09396
oiii5007,rf0001,Y,1.76289,1.27834,11.13320,40.50475
oi6300,rf0001,Y,0.13946,0.05879,3.94828,6.82583
nii6548,rf0001,Y,0.09083,0.12808,-6.16996,15.04260
halpha,rf0001,Y,2.86000,2.80201,1.49126,73.54457
nii6584,rf0001,Y,0.27383,0.37756,-5.69531,15.03557
sii6717,rf0001,Y,0.58942,0.47477,3.01008,15.47429
sii6731,rf0001,Y,0.38919,0.36103,1.15442,15.95580
hbeta,rf0003,Y,1.00000,1.00000,0.00000,93.61190
oiii4959,rf0003,Y,0.13398,0.15576,-3.36029,20.67520
oiii5007,rf0003,Y,0.44974,0.46470,-1.86191,55.97656
oi6300,rf0003,Y,0.05355,0.10196,-10.24096,11.32974
nii6548,rf0003,Y,0.31094,0.22067,29.02888,99.99018
halpha,rf0003,Y,2.86000,2.80347,2.86108,144.76171
nii6584,rf0003,Y,0.93472,0.65051,30.30085,99.65387
sii6717,rf0003,Y,0.48393,0.79309,-41.21745,64.51704
sii6731,rf0003,Y,0.35272,0.60210,-33.28975,47.08458
hbeta,rf0006,Y,1.00000,1.00000,0.00000,18.96895
oiii4959,rf0006,Y,0.39701,0.32050,1.58366,8.21789
oiii5007,rf0006,Y,1.20190,0.95623,4.37204,21.38981
oi6300,rf0006,Y,0.09483,0.07524,0.58432,2.82920
nii6548,rf0006,Y,0.19688,0.17911,1.59031,17.62266
halpha,rf0006,Y,2.86000,2.80135,1.25836,61.36597
nii6584,rf0006,Y,0.59448,0.52799,1.97303,17.64161
sii6717,rf0006,Y,0.75593,0.61175,3.68161,19.30300
sii6731,rf0006,Y,0.57028,0.46476,2.97542,16.08036
hbeta,rf0007,Y,1.00000,1.00000,0.00000,19.35663
oiii4959,rf0007,Y,0.21320,0.18940,0.48967,4.38720
oiii5007,rf0007,Y,0.47353,0.56510,-1.86321,9.63494
oi6300,rf0007,Y,0.12910,0.09006,1.06947,3.53686
nii6548,rf0007,Y,0.43462,0.40942,1.84792,31.87362
halpha,rf0007,Y,2.86000,2.80130,1.21012,58.96004
nii6584,rf0007,Y,1.30974,1.20691,2.50019,31.84513
sii6717,rf0007,Y,0.83806,0.91182,-1.84469,20.96023
sii6731,rf0007,Y,0.41393,0.69250,-7.80584,11.59860
hbeta,rf0008,Y,1.00000,1.00000,0.00000,31.01034
oiii4959,rf0008,Y,0.09624,0.08122,0.52594,3.36936
oiii5007,rf0008,Y,0.21956,0.24233,-0.79098,7.62680
oi6300,rf0008,Y,0.02792,0.00549,1.01177,1.25952
nii6548,rf0008,Y,0.29594,0.45581,-16.63520,30.79445
halpha,rf0008,Y,2.86000,2.89049,-0.83429,78.26470
nii6584,rf0008,Y,0.89042,1.34365,-15.63568,30.71795
sii6717,rf0008,Y,0.23359,0.16273,2.85101,9.39814
sii6731,rf0008,Y,0.16906,0.12458,1.94234,7.38173
hbeta,rf0010,Y,1.00000,1.00000,0.00000,63.89095
oiii4959,rf0010,Y,0.73713,0.55155,12.14173,48.22810
oiii5007,rf0010,Y,2.21207,1.64561,28.71119,112.11878
oi6300,rf0010,Y,0.10549,0.05211,5.39872,10.66992
nii6548,rf0010,Y,0.10365,0.11706,-4.37865,33.84628
halpha,rf0010,Y,2.86000,2.79999,3.36463,160.35536
nii6584,rf0010,Y,0.31146,0.34507,-3.63901,33.71830
sii6717,rf0010,Y,0.53102,0.42791,8.38795,43.19665
sii6731,rf0010,Y,0.35267,0.32542,2.76060,35.73386
hbeta,rf0011,Y,1.00000,1.00000,0.00000,22.00847
oiii4959,rf0011,Y,0.24073,0.20078,0.98370,5.92682
oiii5007,rf0011,Y,0.71373,0.59902,2.56139,15.93762
oi6300,rf0011,Y,0.16203,0.09846,2.13567,5.44355
nii6548,rf0011,Y,0.27308,0.23103,3.75673,24.39870
halpha,rf0011,Y,2.86000,2.80233,1.17868,58.45497
nii6584,rf0011,Y,0.82291,0.68105,4.20219,24.37621
sii6717,rf0011,Y,0.78900,0.79195,-0.07898,21.13751
sii6731,rf0011,Y,0.51171,0.60118,-2.76213,15.79741
hbeta,rf0014,Y,1.00000,1.00000,0.00000,14.52794
oiii4959,rf0014,Y,0.37366,0.30891,1.02537,5.91693
oiii5007,rf0014,Y,1.21594,0.92163,4.17520,17.24958
oi6300,rf0014,Y,0.12128,0.06994,1.06406,2.51381
nii6548,rf0014,Y,0.12454,0.13875,-1.01923,8.93338
halpha,rf0014,Y,2.86000,2.80479,0.96379,49.92436
nii6584,rf0014,Y,0.37515,0.40901,-0.80525,8.92138
sii6717,rf0014,Y,0.79601,0.54265,4.97008,15.61499
sii6731,rf0014,Y,0.54925,0.41246,2.72629,10.94670
hbeta,rf0015,Y,1.00000,1.00000,0.00000,636.90648
oiii4959,rf0015,Y,0.06927,0.06237,6.66010,66.82230
oiii5007,rf0015,Y,0.15198,0.18607,-30.78664,137.25983
oi6300,rf0015,Y,0.05717,0.04336,13.51685,55.95660
nii6548,rf0015,Y,0.36176,0.77820,-620.78537,539.26360
halpha,rf0015,Y,2.86000,2.84513,3.66829,705.72948
nii6584,rf0015,Y,1.08322,2.29400,-598.39227,535.35149
sii6717,rf0015,Y,0.36495,0.85164,-322.55074,241.87136
sii6731,rf0015,Y,0.27992,0.65269,-271.04764,203.52668
hbeta,rf0017,Y,1.00000,1.00000,0.00000,50.16413
oiii4959,rf0017,Y,0.53613,0.42810,5.83622,28.96357
oiii5007,rf0017,Y,1.57151,1.27724,12.42961,66.37883
oi6300,rf0017,Y,0.09850,0.05972,3.24255,8.23598
nii6548,rf0017,Y,0.14092,0.13453,1.64650,36.27779
halpha,rf0017,Y,2.86000,2.80155,2.64518,129.43444
nii6584,rf0017,Y,0.42499,0.39656,2.42646,36.27146
sii6717,rf0017,Y,0.64452,0.48603,11.02270,44.82394
sii6731,rf0017,Y,0.45663,0.36955,6.99062,36.65669
hbeta,rf0019,Y,1.00000,1.00000,0.00000,4.82090
oiii4959,rf0019,Y,0.34922,0.39033,-0.23696,2.01293
oiii5007,rf0019,Y,1.57156,1.16454,2.29816,8.87361
oi6300,rf0019,Y,-0.02741,0.05427,-0.64623,-0.21686
nii6548,rf0019,Y,0.10987,0.10485,0.13887,3.04122
halpha,rf0019,Y,2.86000,2.80735,0.32655,17.73887
nii6584,rf0019,Y,0.33119,0.30908,0.20292,3.03936
sii6717,rf0019,Y,0.53327,0.42034,0.91892,4.33918
sii6731,rf0019,Y,0.45085,0.31980,1.14181,3.92809
hbeta,rf0020,Y,1.00000,1.00000,0.00000,14.68163
oiii4959,rf0020,Y,0.20386,0.17668,0.41663,3.12484
oiii5007,rf0020,Y,0.60883,0.52713,1.26182,9.40275
oi6300,rf0020,Y,0.14851,0.09883,0.98203,2.93547
nii6548,rf0020,Y,0.28387,0.22216,3.84610,17.69097
halpha,rf0020,Y,2.86000,2.80262,0.98978,49.33613
nii6584,rf0020,Y,0.84922,0.65489,4.01514,17.54623
sii6717,rf0020,Y,0.84930,0.77959,1.28756,15.68518
sii6731,rf0020,Y,0.59575,0.59192,0.07832,12.16193
hbeta,rf0023,Y,1.00000,1.00000,0.00000,24.83350
oiii4959,rf0023,Y,0.50898,0.44414,1.64264,12.89524
oiii5007,rf0023,Y,1.80302,1.32512,9.62198,36.30155
oi6300,rf0023,Y,0.09046,0.05633,1.45921,3.86750
nii6548,rf0023,Y,0.10965,0.12015,-1.34472,14.04329
halpha,rf0023,Y,2.86000,2.80290,1.20298,60.25751
nii6584,rf0023,Y,0.32995,0.35418,-1.02874,14.00988
sii6717,rf0023,Y,0.61303,0.45194,5.20510,19.80836
sii6731,rf0023,Y,0.44710,0.34372,4.02716,17.41756
hbeta,rf0024,Y,1.00000,1.00000,0.00000,30.35192
oiii4959,rf0024,Y,0.07978,0.09543,-0.50313,2.56342
oiii5007,rf0024,Y,0.34668,0.28473,2.02245,11.31941
oi6300,rf0024,Y,0.14530,0.13060,0.60904,6.02089
nii6548,rf0024,Y,0.32654,0.24234,9.90228,38.40273
halpha,rf0024,Y,2.86000,2.80598,1.63316,86.46836
nii6584,rf0024,Y,0.98371,0.71437,10.50195,38.35594
sii6717,rf0024,Y,0.76278,0.95628,-6.82143,26.88946
sii6731,rf0024,Y,0.53954,0.72493,-7.81193,22.73500
hbeta,rf0028,Y,1.00000,1.00000,0.00000,13.13254
oiii4959,rf0028,Y,0.36050,0.29573,0.87195,4.85311
oiii5007,rf0028,Y,1.05072,0.88232,2.11880,13.22007
oi6300,rf0028,Y,0.09694,0.07142,0.50039,1.90136
nii6548,rf0028,Y,0.14957,0.13993,0.62498,9.69443
halpha,rf0028,Y,2.86000,2.80514,0.76449,39.85437
nii6584,rf0028,Y,0.45124,0.41247,0.83312,9.69665
sii6717,rf0028,Y,0.88251,0.55135,5.84445,15.57495
sii6731,rf0028,Y,0.36627,0.41904,-0.81838,5.68008
