Line,Galaxy Name,In_lhood?,Obs,Model,Resid_Stds,Obs_S/N
hbeta,rf0001,Y,1.00000,1.00000,0.00000,28.19290
oiii4959,rf0001,Y,0.54558,1.06377,-16.23561,17.09396
oiii5007,rf0001,Y,1.76289,3.20190,-33.06304,40.50475
oi6300,rf0001,Y,0.13946,0.10144,1.86104,6.82583
nii6548,rf0001,Y,0.09083,0.09476,-0.65174,15.04260
halpha,rf0001,Y,2.86000,2.95251,-2.37890,73.54457
nii6584,rf0001,Y,0.27383,0.27964,-0.31906,15.03557
sii6717,rf0001,Y,0.58942,0.53957,1.30866,15.47429
sii6731,rf0001,Y,0.38919,0.41197,-0.93368,15.95580
hbeta,rf0003,Y,1.00000,1.00000,0.00000,93.61190
oiii4959,rf0003,Y,0.13398,0.16597,-4.93659,20.67520
oiii5007,rf0003,Y,0.44974,0.49959,-6.20327,55.97656
oi6300,rf0003,Y,0.05355,0.03835,3.21606,11.32974
nii6548,rf0003,Y,0.31094,0.49901,-60.47814,99.99018
halpha,rf0003,Y,2.86000,2.98872,-6.51509,144.76171
nii6584,rf0003,Y,0.93472,1.47262,-57.34789,99.65387
sii6717,rf0003,Y,0.48393,0.48192,0.26819,64.51704
sii6731,rf0003,Y,0.35272,0.37459,-2.91918,47.08458
hbeta,rf0006,Y,1.00000,1.00000,0.00000,18.96895
oiii4959,rf0006,Y,0.39701,0.48547,-1.83116,8.21789
oiii5007,rf0006,Y,1.20190,1.46128,-4.61613,21.38981
oi6300,rf0006,Y,0.09483,0.09652,-0.05044,2.82920
nii6548,rf0006,Y,0.19688,0.26981,-6.52811,17.62266
halpha,rf0006,Y,2.86000,2.96038,-2.15392,61.36597
nii6584,rf0006,Y,0.59448,0.79623,-5.98720,17.64161
sii6717,rf0006,Y,0.75593,0.64002,2.95993,19.30300
sii6731,rf0006,Y,0.57028,0.49187,2.21106,16.08036
hbeta,rf0007,Y,1.00000,1.00000,0.00000,19.35663
oiii4959,rf0007,Y,0.21320,0.17582,0.76927,4.38720
oiii5007,rf0007,Y,0.47353,0.52922,-1.13308,9.63494
oi6300,rf0007,Y,0.12910,0.09125,1.03692,3.53686
nii6548,rf0007,Y,0.43462,0.46326,-2.10059,31.87362
halpha,rf0007,Y,2.86000,2.96719,-2.20974,58.96004
nii6584,rf0007,Y,1.30974,1.36709,-1.39428,31.84513
sii6717,rf0007,Y,0.83806,0.76727,1.77051,20.96023
sii6731,rf0007,Y,0.41393,0.59387,-5.04221,11.59860
hbeta,rf0008,Y,1.00000,1.00000,0.00000,31.01034
oiii4959,rf0008,Y,0.09624,0.07870,0.61435,3.36936
oiii5007,rf0008,Y,0.21956,0.23687,-0.60152,7.62680
oi6300,rf0008,Y,0.02792,0.01092,0.76686,1.25952
nii6548,rf0008,Y,0.29594,0.82770,-55.33148,30.79445
halpha,rf0008,Y,2.86000,3.04268,-4.99909,78.26470
nii6584,rf0008,Y,0.89042,2.44251,-53.54429,30.71795
sii6717,rf0008,Y,0.23359,0.20370,1.20258,9.39814
sii6731,rf0008,Y,0.16906,0.16018,0.38796,7.38173
hbeta,rf0010,Y,1.00000,1.00000,0.00000,63.89095
oiii4959,rf0010,Y,0.73713,0.98146,-15.98584,48.22810
oiii5007,rf0010,Y,2.21207,2.95422,-37.61617,112.11878
oi6300,rf0010,Y,0.10549,0.08097,2.48024,10.66992
nii6548,rf0010,Y,0.10365,0.11092,-2.37408,33.84628
