Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
LOGQ,rf0001,7.35965,7.26156,7.42504,7.19617,7.49043,Y,Y,N,N,0.00000,0.00000,N,N,1,11
LOGZ,rf0001,8.27443,8.20904,8.33982,8.14365,8.43791,Y,Y,N,N,0.00000,0.00000,N,N,1,28
LOGQ,rf0003,7.19617,7.06539,7.32695,-inf,7.42504,Y,Y,N,N,0.09507,0.00000,N,N,1,6
LOGZ,rf0003,8.73216,8.47060,8.76486,8.37252,8.83025,Y,Y,N,N,0.00000,0.00002,N,N,1,42
LOGQ,rf0006,7.26156,7.19617,7.42504,7.13078,7.52312,Y,Y,N,N,0.00005,0.00000,N,N,2,8
LOGZ,rf0006,8.40521,8.33982,8.60138,8.24174,8.69947,Y,Y,N,N,0.00000,0.00000,N,N,1,32
LOGQ,rf0007,7.16348,7.09809,7.32695,7.03270,7.42504,Y,Y,N,N,0.07087,0.00000,N,N,1,5
LOGZ,rf0007,8.63408,8.53599,8.76486,8.43791,8.83025,Y,Y,N,N,0.00000,0.00079,N,N,1,39
LOGQ,rf0008,7.85007,7.65390,8.01355,7.45773,8.14433,Y,Y,N,N,0.00043,0.00002,N,N,1,26
LOGZ,rf0008,8.96103,8.89564,inf,8.86294,inf,Y,Y,N,Y,0.00000,0.94829,N,Y,1,49
LOGQ,rf0010,7.39234,7.32695,7.45773,7.29426,7.52312,Y,Y,N,N,0.00000,0.00000,N,N,1,12
LOGZ,rf0010,8.27443,8.20904,8.33982,8.17635,8.37252,Y,Y,N,N,0.00000,0.00000,N,N,1,28
LOGQ,rf0011,7.13078,7.06539,7.26156,7.03270,7.35965,Y,Y,N,N,0.06753,0.00000,N,N,1,4
LOGZ,rf0011,8.43791,8.37252,8.56869,8.30713,8.66677,Y,Y,N,N,0.00000,0.00000,N,N,1,33
LOGQ,rf0014,7.22887,7.16348,7.35965,7.09809,7.49043,Y,Y,N,N,0.00041,0.00000,N,N,1,7
LOGZ,rf0014,8.27443,8.24174,8.50330,8.17635,8.63408,Y,Y,N,N,0.00000,0.00000,N,N,1,28
LOGQ,rf0015,7.39234,7.32695,7.49043,7.26156,7.52312,Y,Y,N,N,0.00000,0.00000,N,N,1,12
LOGZ,rf0015,8.43791,8.37252,8.50330,8.33982,8.53599,Y,Y,N,N,0.00000,0.00000,N,N,1,33
LOGQ,rf0017,7.32695,7.22887,7.39234,7.19617,7.45773,Y,Y,N,N,0.00000,0.00000,N,N,2,10
LOGZ,rf0017,8.27443,8.24174,8.37252,8.17635,8.47060,Y,Y,N,N,0.00000,0.00000,N,N,1,28
LOGQ,rf0019,7.39234,7.29426,7.62121,7.19617,7.85007,Y,Y,N,N,0.00002,0.00024,N,N,1,12
LOGZ,rf0019,8.27443,8.17635,8.50330,8.07826,8.69947,Y,Y,N,N,0.00000,0.00001,N,N,1,28
LOGQ,rf0020,7.13078,7.06539,7.26156,-inf,7.39234,Y,Y,N,N,0.10864,0.00000,N,N,1,4
LOGZ,rf0020,8.47060,8.40521,8.63408,8.30713,8.73216,Y,Y,N,N,0.00000,0.00001,N,N,1,34
LOGQ,rf0023,7.35965,7.29426,7.45773,7.22887,7.55582,Y,Y,N,N,0.00000,0.00000,N,N,1,11
LOGZ,rf0023,8.27443,8.20904,8.43791,8.14365,8.53599,Y,Y,N,N,0.00000,0.00000,N,N,1,28
LOGQ,rf0024,7.00000,-inf,7.13078,-inf,7.19617,Y,Y,Y,N,0.64533,0.00000,Y,N,1,0
LOGZ,rf0024,8.53599,8.43791,8.66677,8.37252,8.73216,Y,Y,N,N,0.00000,0.00001,N,N,1,36
LOGQ,rf0028,7.22887,7.16348,7.42504,7.09809,7.52312,Y,Y,N,N,0.00193,0.00000,N,N,1,7
LOGZ,rf0028,8.33982,8.27443,8.60138,8.17635,8.69947,Y,Y,N,N,0.00000,0.00000,N,N,1,30
LOGQ,rf0029,7.32695,7.26156,7.39234,7.19617,7.45773,Y,Y,N,N,0.00000,0.00000,N,N,1,10
LOGZ,rf0029,8.30713,8.24174,8.40521,8.20904,8.47060,Y,Y,N,N,0.00000,0.00000,N,N,1,29
LOGQ,rf0030,7.09809,7.03270,7.19617,-inf,7.29426,Y,Y,N,N,0.20124,0.00000,N,N,1,3
LOGZ,rf0030,8.47060,8.40521,8.63408,8.33982,8.69947,Y,Y,N,N,0.00000,0.00000,N,N,1,34
LOGQ,rf0031,7.39234,7.29426,7.45773,7.22887,7.52312,Y,Y,N,N,0.00000,0.00000,N,N,1,12
LOGZ,rf0031,8.43791,8.37252,8.50330,8.33982,8.53599,Y,Y,N,N,0.00000,0.00000,N,N,1,33
LOGQ,rf0032,7.22887,7.16348,7.39234,7.09809,7.45773,Y,Y,N,N,0.00306,0.00000,N,N,1,7
LOGZ,rf0032,8.50330,8.40521,8.63408,8.33982,8.73216,Y,Y,N,N,0.00000,0.00000,N,N,1,35
LOGQ,rf0033,7.39234,7.29426,7.52312,7.22887,7.62121,Y,Y,N,N,0.00000,0.00000,N,N,1,12
LOGZ,rf0033,8.27443,8.20904,8.47060,8.14365,8.63408,Y,Y,N,N,0.00000,0.00000,N,N,1,28
LOGQ,rf0034,7.45773,7.39234,7.55582,7.35965,7.68660,Y,Y,N,N,0.00000,0.00000,N,N,1,14
