Line,Galaxy Name,In_lhood?,Obs,Model,Resid_Stds,Obs_S/N
hbeta,rf0001,Y,1.00000,1.00000,0.00000,28.19290
oiii4959,rf0001,Y,0.54558,0.38091,5.15960,17.09396
oiii5007,rf0001,Y,1.76289,1.09715,15.29629,40.50475
oi6300,rf0001,Y,0.13946,0.02928,0.79002,1.00000
nii6548,rf0001,Y,0.09083,0.10979,-3.14015,15.04260
halpha,rf0001,Y,2.86000,2.87395,-0.35879,73.54457
nii6584,rf0001,Y,0.27383,0.32319,-2.71014,15.03557
sii6717,rf0001,Y,0.58942,0.30890,7.36461,15.47429
sii6731,rf0001,Y,0.38919,0.23070,6.49760,15.95580
hbeta,rf0003,Y,1.00000,1.00000,0.00000,93.61190
oiii4959,rf0003,Y,0.13398,0.09890,5.41371,20.67520
oiii5007,rf0003,Y,0.44974,0.28485,20.52277,55.97656
oi6300,rf0003,Y,0.05355,0.02407,0.55061,1.00000
nii6548,rf0003,Y,0.31094,0.33887,-8.98185,99.99018
halpha,rf0003,Y,2.86000,2.94809,-4.45888,144.76171
nii6584,rf0003,Y,0.93472,0.99766,-6.71046,99.65387
sii6717,rf0003,Y,0.48393,0.48743,-0.46635,64.51704
sii6731,rf0003,Y,0.35272,0.36515,-1.65856,47.08458
hbeta,rf0006,Y,1.00000,1.00000,0.00000,18.96895
oiii4959,rf0006,Y,0.39701,0.29663,2.07775,8.21789
oiii5007,rf0006,Y,1.20190,0.85436,6.18501,21.38981
oi6300,rf0006,Y,0.09483,0.03017,0.68183,1.00000
nii6548,rf0006,Y,0.19688,0.17612,1.85821,17.62266
halpha,rf0006,Y,2.86000,2.88430,-0.52150,61.36597
nii6584,rf0006,Y,0.59448,0.51850,2.25482,17.64161
sii6717,rf0006,Y,0.75593,0.37637,9.69218,19.30300
sii6731,rf0006,Y,0.57028,0.28105,8.15536,16.08036
hbeta,rf0007,Y,1.00000,1.00000,0.00000,19.35663
oiii4959,rf0007,Y,0.21320,0.13765,1.55464,4.38720
oiii5007,rf0007,Y,0.47353,0.39647,1.56791,9.63494
oi6300,rf0007,Y,0.12910,0.03696,0.71368,1.00000
nii6548,rf0007,Y,0.43462,0.32526,8.01988,31.87362
halpha,rf0007,Y,2.86000,2.90878,-1.00562,58.96004
nii6584,rf0007,Y,1.30974,0.95774,8.55856,31.84513
sii6717,rf0007,Y,0.83806,0.58528,6.32217,20.96023
sii6731,rf0007,Y,0.41393,0.43698,-0.64609,11.59860
hbeta,rf0008,Y,1.00000,1.00000,0.00000,31.01034
oiii4959,rf0008,Y,0.09624,0.05495,1.44576,3.36936
oiii5007,rf0008,Y,0.21956,0.15830,2.12793,7.62680
oi6300,rf0008,Y,0.02792,0.00638,0.77152,1.00000
nii6548,rf0008,Y,0.29594,0.26375,3.34977,30.79445
halpha,rf0008,Y,2.86000,3.00846,-4.06265,78.26470
nii6584,rf0008,Y,0.89042,0.77654,3.92861,30.71795
sii6717,rf0008,Y,0.23359,0.21007,0.94615,9.39814
sii6731,rf0008,Y,0.16906,0.15783,0.49061,7.38173
hbeta,rf0010,Y,1.00000,1.00000,0.00000,63.89095
oiii4959,rf0010,Y,0.73713,0.47619,17.07262,48.22810
oiii5007,rf0010,Y,2.21207,1.37176,42.59082,112.11878
oi6300,rf0010,Y,0.10549,0.02484,0.76452,1.00000
nii6548,rf0010,Y,0.10365,0.09945,1.37388,33.84628
halpha,rf0010,Y,2.86000,2.87904,-1.06779,160.35536
nii6584,rf0010,Y,0.31146,0.29277,2.02347,33.71830
sii6717,rf0010,Y,0.53102,0.26389,21.72980,43.19665
sii6731,rf0010,Y,0.35267,0.19706,15.76729,35.73386
hbeta,rf0011,Y,1.00000,1.00000,0.00000,22.00847
oiii4959,rf0011,Y,0.24073,0.18372,1.40372,5.92682
oiii5007,rf0011,Y,0.71373,0.52912,4.12234,15.93762
oi6300,rf0011,Y,0.16203,0.03777,0.76687,1.00000
nii6548,rf0011,Y,0.27308,0.24244,2.73714,24.39870
halpha,rf0011,Y,2.86000,2.89235,-0.66113,58.45497
