Line,Galaxy Name,In_lhood?,Obs,Model,Resid_Stds,Obs_S/N
hbeta,rf0001,Y,1.00000,1.00000,0.00000,28.19290
oiii4959,rf0001,Y,0.54558,0.34398,6.31664,17.09396
oiii5007,rf0001,Y,1.76289,0.99071,17.74190,40.50475
oi6300,rf0001,Y,0.13946,0.03128,5.29469,6.82583
nii6548,rf0001,Y,0.09083,0.10838,-2.90703,15.04260
halpha,rf0001,Y,2.86000,2.87058,-0.27217,73.54457
nii6584,rf0001,Y,0.27383,0.31903,-2.48171,15.03557
sii6717,rf0001,Y,0.58942,0.32361,6.97851,15.47429
sii6731,rf0001,Y,0.38919,0.24171,6.04649,15.95580
hbeta,rf0003,Y,1.00000,1.00000,0.00000,93.61190
oiii4959,rf0003,Y,0.13398,0.15396,-3.08265,20.67520
oiii5007,rf0003,Y,0.44974,0.44342,0.78683,55.97656
oi6300,rf0003,Y,0.05355,0.04199,2.44731,11.32974
nii6548,rf0003,Y,0.31094,0.25738,17.22319,99.99018
halpha,rf0003,Y,2.86000,2.89430,-1.73630,144.76171
nii6584,rf0003,Y,0.93472,0.75791,18.85021,99.65387
sii6717,rf0003,Y,0.48393,0.56420,-10.70099,64.51704
sii6731,rf0003,Y,0.35272,0.42114,-9.13314,47.08458
hbeta,rf0006,Y,1.00000,1.00000,0.00000,18.96895
oiii4959,rf0006,Y,0.39701,0.23661,3.32026,8.21789
oiii5007,rf0006,Y,1.20190,0.68141,9.26287,21.38981
oi6300,rf0006,Y,0.09483,0.03559,1.76723,2.82920
nii6548,rf0006,Y,0.19688,0.17589,1.87914,17.62266
halpha,rf0006,Y,2.86000,2.88039,-0.43747,61.36597
nii6584,rf0006,Y,0.59448,0.51782,2.27504,17.64161
sii6717,rf0006,Y,0.75593,0.42324,8.49547,19.30300
sii6731,rf0006,Y,0.57028,0.31603,7.16905,16.08036
hbeta,rf0007,Y,1.00000,1.00000,0.00000,19.35663
oiii4959,rf0007,Y,0.21320,0.12243,1.86781,4.38720
oiii5007,rf0007,Y,0.47353,0.35264,2.45973,9.63494
oi6300,rf0007,Y,0.12910,0.04243,2.37450,3.53686
nii6548,rf0007,Y,0.43462,0.32541,8.00897,31.87362
halpha,rf0007,Y,2.86000,2.90521,-0.93204,58.96004
nii6584,rf0007,Y,1.30974,0.95829,8.54535,31.84513
sii6717,rf0007,Y,0.83806,0.63969,4.96138,20.96023
sii6731,rf0007,Y,0.41393,0.47748,-1.78085,11.59860
hbeta,rf0008,Y,1.00000,1.00000,0.00000,31.01034
oiii4959,rf0008,Y,0.09624,0.07031,0.90783,3.36936
oiii5007,rf0008,Y,0.21956,0.20255,0.59086,7.62680
oi6300,rf0008,Y,0.02792,0.00666,0.95916,1.25952
nii6548,rf0008,Y,0.29594,0.26072,3.66582,30.79445
halpha,rf0008,Y,2.86000,3.00435,-3.95008,78.26470
nii6584,rf0008,Y,0.89042,0.76760,4.23697,30.71795
sii6717,rf0008,Y,0.23359,0.21111,0.90436,9.39814
sii6731,rf0008,Y,0.16906,0.15856,0.45873,7.38173
hbeta,rf0010,Y,1.00000,1.00000,0.00000,63.89095
oiii4959,rf0010,Y,0.73713,0.38298,23.17069,48.22810
oiii5007,rf0010,Y,2.21207,1.10314,56.20630,112.11878
oi6300,rf0010,Y,0.10549,0.02949,7.68669,10.66992
nii6548,rf0010,Y,0.10365,0.10439,-0.24061,33.84628
halpha,rf0010,Y,2.86000,2.87269,-0.71128,160.35536
nii6584,rf0010,Y,0.31146,0.30729,0.45136,33.71830
sii6717,rf0010,Y,0.53102,0.30575,18.32531,43.19665
sii6731,rf0010,Y,0.35267,0.22835,12.59617,35.73386
hbeta,rf0011,Y,1.00000,1.00000,0.00000,22.00847
oiii4959,rf0011,Y,0.24073,0.15731,2.05395,5.92682
oiii5007,rf0011,Y,0.71373,0.45306,5.82084,15.93762
oi6300,rf0011,Y,0.16203,0.04439,3.95221,5.44355
nii6548,rf0011,Y,0.27308,0.21457,5.22742,24.39870
halpha,rf0011,Y,2.86000,2.88734,-0.55889,58.45497
nii6584,rf0011,Y,0.82291,0.63185,5.65956,24.37621
sii6717,rf0011,Y,0.78900,0.54131,6.63558,21.13751
sii6731,rf0011,Y,0.51171,0.40403,3.32437,15.79741
hbeta,rf0014,Y,1.00000,1.00000,0.00000,14.52794
oiii4959,rf0014,Y,0.37366,0.24798,1.99012,5.91693
oiii5007,rf0014,Y,1.21594,0.71416,7.11841,17.24958
oi6300,rf0014,Y,0.12128,0.03813,1.72334,2.51381
nii6548,rf0014,Y,0.12454,0.12363,0.06548,8.93338
halpha,rf0014,Y,2.86000,2.87133,-0.19774,49.92436
nii6584,rf0014,Y,0.37515,0.36395,0.26635,8.92138
sii6717,rf0014,Y,0.79601,0.39349,7.89599,15.61499
sii6731,rf0014,Y,0.54925,0.29381,5.09102,10.94670
hbeta,rf0015,Y,1.00000,1.00000,0.00000,636.90648
oiii4959,rf0015,Y,0.06927,0.04178,26.52219,66.82230
