Line,Galaxy Name,In_lhood?,Obs,Model,Resid_Stds,Obs_S/N
oii3726,rf0001,Y,0.00000,1.21632,182.61836,-0.00000
oii3729,rf0001,Y,0.00000,1.64226,246.56840,-0.00000
neiii3869,rf0001,Y,0.06494,0.40712,-11.73023,2.22611
oiii4363,rf0001,Y,0.03214,0.01146,1.04549,1.62450
oiii4959,rf0001,Y,0.30948,0.34715,-2.08064,17.09396
oiii5007,rf0001,Y,1.00000,1.00000,0.00000,40.50475
hei5875,rf0001,Y,0.05304,0.15326,-6.35973,3.36562
oi6300,rf0001,Y,0.07911,0.03457,3.84300,6.82583
nii6548,rf0001,Y,0.05152,0.06316,-3.39784,15.04260
nii6584,rf0001,Y,0.15533,0.18604,-2.97298,15.03557
sii6717,rf0001,Y,0.33435,0.28579,2.24719,15.47429
sii6731,rf0001,Y,0.22077,0.21367,0.51301,15.95580
ariii7136,rf0001,Y,0.02568,0.28052,-21.55683,2.17223
oii3726,rf0003,Y,0.00000,1.00779,561.35928,-0.00000
oii3729,rf0003,Y,0.00000,1.35848,756.69779,-0.00000
neiii3869,rf0003,Y,0.06425,0.08835,-2.21790,5.91296
oiii4363,rf0003,Y,-0.00882,0.00099,-1.42560,-1.28225
oiii4959,rf0003,Y,0.14334,0.11255,4.44176,20.67520
oiii5007,rf0003,Y,0.48116,0.32416,18.26423,55.97656
hei5875,rf0003,Y,0.09575,0.13098,-5.79494,15.75087
oi6300,rf0003,Y,0.05729,0.03263,4.87694,11.32974
nii6548,rf0003,Y,0.33266,0.33962,-2.09322,99.99018
nii6584,rf0003,Y,1.00000,1.00000,0.00000,99.65387
sii6717,rf0003,Y,0.51773,0.56829,-6.30092,64.51704
sii6731,rf0003,Y,0.37736,0.42496,-5.93921,47.08458
ariii7136,rf0003,Y,0.05185,0.29922,-25.60303,5.36628
oii3726,rf0006,Y,0.00000,1.66292,90.57086,-0.00000
oii3729,rf0006,Y,0.00000,2.24553,122.30279,-0.00000
neiii3869,rf0006,Y,-0.00083,0.40281,-5.23558,-0.01071
oiii4363,rf0006,Y,-0.05258,0.00867,-1.30912,-1.12391
oiii4959,rf0006,Y,0.33032,0.34723,-0.42078,8.21789
oiii5007,rf0006,Y,1.00000,1.00000,0.00000,21.38981
hei5875,rf0006,Y,0.10728,0.14265,-0.92235,2.79729
oi6300,rf0006,Y,0.07890,0.04585,1.18516,2.82920
nii6548,rf0006,Y,0.16381,0.14305,2.23292,17.62266
nii6584,rf0006,Y,0.49462,0.42110,2.62202,17.64161
sii6717,rf0006,Y,0.62895,0.46372,5.07088,19.30300
sii6731,rf0006,Y,0.47448,0.34631,4.34368,16.08036
ariii7136,rf0006,Y,0.02336,0.39452,-13.07980,0.82322
oii3726,rf0007,Y,0.00000,0.69313,36.11869,-0.00000
oii3729,rf0007,Y,0.00000,0.93255,48.59492,-0.00000
neiii3869,rf0007,Y,-0.13291,0.05187,-2.82724,-2.03360
oiii4363,rf0007,Y,0.07764,0.00055,1.71650,1.72876
oiii4959,rf0007,Y,0.16278,0.06961,2.51101,4.38720
oiii5007,rf0007,Y,0.36154,0.20050,4.29165,9.63494
hei5875,rf0007,Y,0.06060,0.12713,-1.96444,1.78922
oi6300,rf0007,Y,0.09857,0.02442,2.66060,3.53686
nii6548,rf0007,Y,0.33184,0.33963,-0.74893,31.87362
nii6584,rf0007,Y,1.00000,1.00000,0.00000,31.84513
sii6717,rf0007,Y,0.63987,0.50934,4.27578,20.96023
sii6731,rf0007,Y,0.31604,0.38184,-2.41504,11.59860
ariii7136,rf0007,Y,0.12116,0.22277,-3.19639,3.81119
oii3726,rf0008,Y,0.00000,0.31349,33.42638,-0.00000
oii3729,rf0008,Y,0.00000,0.41910,44.68774,-0.00000
neiii3869,rf0008,Y,-0.17167,0.01502,-2.98099,-2.74122
oiii4363,rf0008,Y,-0.04750,0.00007,-1.17239,-1.17068
oiii4959,rf0008,Y,0.10809,0.05225,1.74069,3.36936
oiii5007,rf0008,Y,0.24658,0.15053,2.97087,7.62680
hei5875,rf0008,Y,0.10782,0.16062,-1.85831,3.79467
oi6300,rf0008,Y,0.03135,0.00921,0.88948,1.25952
nii6548,rf0008,Y,0.33237,0.33965,-0.67529,30.79445
nii6584,rf0008,Y,1.00000,1.00000,0.00000,30.71795
sii6717,rf0008,Y,0.26234,0.30454,-1.51195,9.39814
sii6731,rf0008,Y,0.18987,0.22887,-1.51622,7.38173
ariii7136,rf0008,Y,-0.04867,0.17676,-8.50051,-1.83521
oii3726,rf0010,Y,0.00000,0.95072,323.92119,-0.00000
oii3729,rf0010,Y,0.00000,1.28329,437.22988,-0.00000
neiii3869,rf0010,Y,0.15259,0.36846,-20.77601,14.68607
oiii4363,rf0010,Y,0.02432,0.01191,1.78946,3.50733
oiii4959,rf0010,Y,0.33323,0.34716,-2.01560,48.22810
oiii5007,rf0010,Y,1.00000,1.00000,0.00000,112.11878
hei5875,rf0010,Y,0.03252,0.12418,-15.73913,5.58470
oi6300,rf0010,Y,0.04769,0.02571,4.91717,10.66992
nii6548,rf0010,Y,0.04686,0.04861,-1.26662,33.84628
nii6584,rf0010,Y,0.14080,0.14318,-0.57046,33.71830
sii6717,rf0010,Y,0.24006,0.21331,4.81335,43.19665
sii6731,rf0010,Y,0.15943,0.15953,-0.02325,35.73386
ariii7136,rf0010,Y,0.02601,0.23444,-47.75022,5.95743
oii3726,rf0011,Y,0.00000,2.18652,121.71389,-0.00000
oii3729,rf0011,Y,0.00000,2.95327,164.39561,-0.00000
neiii3869,rf0011,Y,0.15636,0.28905,-1.46746,1.72932
oiii4363,rf0011,Y,0.03257,0.00416,0.47268,0.54185
oiii4959,rf0011,Y,0.29254,0.20619,1.74944,5.92682
oiii5007,rf0011,Y,0.86733,0.59386,5.02509,15.93762
hei5875,rf0011,Y,0.21283,0.19097,0.50817,4.94697
oi6300,rf0011,Y,0.19690,0.08190,3.17920,5.44355
nii6548,rf0011,Y,0.33185,0.33956,-0.56744,24.39870
nii6584,rf0011,Y,1.00000,1.00000,0.00000,24.37621
sii6717,rf0011,Y,0.95880,0.95427,0.09986,21.13751
sii6731,rf0011,Y,0.62183,0.71212,-2.29363,15.79741
ariii7136,rf0011,Y,0.01550,0.48596,-12.78568,0.42118
oii3726,rf0014,Y,0.00000,1.89786,57.59360,-0.00000
oii3729,rf0014,Y,0.00000,2.56326,77.78623,-0.00000
neiii3869,rf0014,Y,0.16902,0.43378,-3.21380,2.05172
oiii4363,rf0014,Y,-0.09029,0.00913,-1.65840,-1.50608
oiii4959,rf0014,Y,0.30730,0.34721,-0.76855,5.91693
oiii5007,rf0014,Y,1.00000,1.00000,0.00000,17.24958
hei5875,rf0014,Y,0.10978,0.17339,-1.31539,2.27009
oi6300,rf0014,Y,0.09974,0.05897,1.02757,2.51381
nii6548,rf0014,Y,0.10243,0.15583,-4.65790,8.93338
nii6584,rf0014,Y,0.30852,0.45878,-4.34478,8.92138
sii6717,rf0014,Y,0.65465,0.56862,2.05190,15.61499
sii6731,rf0014,Y,0.45170,0.42454,0.65843,10.94670
ariii7136,rf0014,Y,0.09829,0.42771,-6.81904,2.03474
oii3726,rf0015,Y,0.00000,1.66820,7602.96907,-0.00000
oii3729,rf0015,Y,0.00000,2.25210,10264.12215,-0.00000
neiii3869,rf0015,Y,0.03967,0.35802,-268.20325,33.41976
oiii4363,rf0015,Y,0.01454,0.00765,6.66021,14.04722
oiii4959,rf0015,Y,0.06395,0.47833,-432.99409,66.82230
oiii5007,rf0015,Y,0.14031,1.37769,-1210.49980,137.25983
hei5875,rf0015,Y,0.05780,0.19359,-151.52120,64.48947
