Line,Galaxy Name,In_lhood?,Obs,Model,Resid_Stds,Obs_S/N
oii3726,rf0001,Y,0.92327,1.24808,-1.46761,4.17169
oii3729,rf0001,Y,2.27738,1.68535,1.68387,6.47738
neiii3869,rf0001,Y,0.11448,0.35457,-4.66872,2.22611
oiii4363,rf0001,Y,0.05666,0.00856,1.37899,1.62450
hgamma,rf0001,Y,0.52991,0.46837,1.69043,14.55556
hbeta,rf0001,Y,1.00000,1.00000,0.00000,28.19290
oiii4959,rf0001,Y,0.54558,0.34914,6.15473,17.09396
oiii5007,rf0001,Y,1.76289,1.00561,17.39950,40.50475
hei5875,rf0001,Y,0.09350,0.11161,-0.65183,3.36562
oi6300,rf0001,Y,0.13946,0.03076,5.32004,6.82583
nii6548,rf0001,Y,0.09083,0.11324,-3.71118,15.04260
nii6584,rf0001,Y,0.27383,0.33333,-3.26694,15.03557
sii6717,rf0001,Y,0.58942,0.32390,6.97076,15.47429
sii6731,rf0001,Y,0.38919,0.24192,6.03779,15.95580
ariii7136,rf0001,Y,0.04527,0.32490,-13.41750,2.17223
oii3726,rf0003,Y,0.18682,0.90750,-11.51558,2.98508
oii3729,rf0003,Y,1.45606,1.22267,1.10830,6.91420
neiii3869,rf0003,Y,0.06006,0.07646,-1.61546,5.91296
oiii4363,rf0003,Y,-0.00825,0.00084,-1.41344,-1.28225
hgamma,rf0003,Y,0.53314,0.46364,7.91265,60.69958
hbeta,rf0003,Y,1.00000,1.00000,0.00000,93.61190
oiii4959,rf0003,Y,0.13398,0.09863,5.45464,20.67520
oiii5007,rf0003,Y,0.44974,0.28409,20.61731,55.97656
hei5875,rf0003,Y,0.08950,0.13083,-7.27237,15.75087
oi6300,rf0003,Y,0.05355,0.03007,4.96784,11.32974
nii6548,rf0003,Y,0.31094,0.34270,-10.21305,99.99018
nii6584,rf0003,Y,0.93472,1.00906,-7.92540,99.65387
sii6717,rf0003,Y,0.48393,0.55294,-9.19979,64.51704
sii6731,rf0003,Y,0.35272,0.41381,-8.15472,47.08458
ariii7136,rf0003,Y,0.04846,0.27534,-25.12240,5.36628
oii3726,rf0006,Y,-230.38744,1.36013,-inf,-inf
oii3729,rf0006,Y,0.00000,1.83839,-inf,
neiii3869,rf0006,Y,-0.00099,0.19056,-2.06724,-0.01071
oiii4363,rf0006,Y,-0.06320,0.00237,-1.16602,-1.12391
hgamma,rf0006,Y,0.44495,0.46802,-0.39250,7.57172
hbeta,rf0006,Y,1.00000,1.00000,0.00000,18.96895
oiii4959,rf0006,Y,0.39701,0.10391,6.06700,8.21789
oiii5007,rf0006,Y,1.20190,0.29929,16.06347,21.38981
hei5875,rf0006,Y,0.12894,0.11016,0.40737,2.79729
oi6300,rf0006,Y,0.09483,0.05362,1.22931,2.82920
nii6548,rf0006,Y,0.19688,0.13536,5.50673,17.62266
nii6584,rf0006,Y,0.59448,0.39860,5.81300,17.64161
sii6717,rf0006,Y,0.75593,0.53166,5.72674,19.30300
sii6731,rf0006,Y,0.57028,0.39664,4.89604,16.08036
ariii7136,rf0006,Y,0.02808,0.27070,-7.11379,0.82322
oii3726,rf0007,Y,-407.05323,1.36013,-inf,-inf
oii3729,rf0007,Y,-406.93488,1.83839,-inf,-inf
neiii3869,rf0007,Y,-0.17408,0.19056,-4.25978,-2.03360
oiii4363,rf0007,Y,0.10169,0.00237,1.68851,1.72876
hgamma,rf0007,Y,0.31112,0.46802,-2.75778,5.46854
hbeta,rf0007,Y,1.00000,1.00000,0.00000,19.35663
oiii4959,rf0007,Y,0.21320,0.10391,2.24892,4.38720
oiii5007,rf0007,Y,0.47353,0.29929,3.54530,9.63494
hei5875,rf0007,Y,0.07936,0.11016,-0.69433,1.78922
oi6300,rf0007,Y,0.12910,0.05362,2.06778,3.53686
