Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
LOGQ,rf0001,7.35965,7.26156,7.42504,7.19617,7.49043,Y,Y,N,N,0.00000,0.00000,N,N,1,11
LOGZ,rf0001,8.27443,8.20904,8.33982,8.14365,8.43791,Y,Y,N,N,0.00000,0.00000,N,N,1,28
LOGQ,rf0002,7.00000,-inf,7.03270,-inf,7.03270,Y,Y,Y,N,1.00000,0.00000,Y,N,1,0
LOGZ,rf0002,8.27443,8.24174,8.30713,8.24174,8.30713,Y,Y,N,N,0.00000,0.00000,N,N,1,28
LOGQ,rf0003,7.22887,7.09809,7.32695,7.03270,7.42504,Y,Y,N,N,0.06403,0.00000,N,N,1,7
LOGZ,rf0003,8.73216,8.53599,8.79755,8.40521,8.83025,Y,Y,N,N,0.00000,0.00001,N,N,1,42
LOGQ,rf0006,7.00000,-inf,7.03270,-inf,7.03270,Y,Y,Y,N,1.00000,0.00000,Y,N,1,0
LOGZ,rf0006,8.27443,8.24174,8.30713,8.24174,8.30713,Y,Y,N,N,0.00000,0.00000,N,N,1,28
LOGQ,rf0007,7.00000,-inf,7.03270,-inf,7.03270,Y,Y,Y,N,1.00000,0.00000,Y,N,1,0
LOGZ,rf0007,8.27443,8.24174,8.30713,8.24174,8.30713,Y,Y,N,N,0.00000,0.00000,N,N,1,28
LOGQ,rf0008,7.00000,7.06539,7.78468,-inf,8.01355,N,Y,Y,N,0.15138,0.00000,N,N,2,0
LOGZ,rf0008,8.96103,8.43791,inf,8.33982,inf,Y,Y,N,Y,0.00000,0.32671,N,N,2,49
LOGQ,rf0010,7.00000,-inf,7.03270,-inf,7.03270,Y,Y,Y,N,1.00000,0.00000,Y,N,1,0
LOGZ,rf0010,8.27443,8.24174,8.30713,8.24174,8.30713,Y,Y,N,N,0.00000,0.00000,N,N,1,28
LOGQ,rf0011,7.13078,7.06539,7.26156,7.03270,7.35965,Y,Y,N,N,0.06488,0.00000,N,N,1,4
LOGZ,rf0011,8.43791,8.37252,8.60138,8.30713,8.66677,Y,Y,N,N,0.00000,0.00000,N,N,1,33
LOGQ,rf0013,7.49043,7.42504,7.52312,7.42504,7.52312,Y,Y,N,N,0.00000,0.00000,N,N,1,15
LOGZ,rf0013,8.40521,8.37252,8.43791,8.37252,8.47060,Y,Y,N,N,0.00000,0.00000,N,N,1,32
LOGQ,rf0014,7.22887,7.16348,7.39234,7.09809,7.49043,Y,Y,N,N,0.00041,0.00000,N,N,1,7
LOGZ,rf0014,8.27443,8.24174,8.50330,8.17635,8.66677,Y,Y,N,N,0.00000,0.00000,N,N,1,28
LOGQ,rf0015,7.39234,7.32695,7.49043,7.26156,7.52312,Y,Y,N,N,0.00000,0.00000,N,N,1,12
LOGZ,rf0015,8.43791,8.37252,8.50330,8.33982,8.53599,Y,Y,N,N,0.00000,0.00000,N,N,1,33
LOGQ,rf0016,7.09809,7.06539,7.16348,7.03270,7.16348,Y,Y,N,N,0.10892,0.00000,N,N,1,3
LOGZ,rf0016,8.53599,8.47060,8.56869,8.43791,8.60138,Y,Y,N,N,0.00000,0.00000,N,N,1,36
LOGQ,rf0017,7.32695,7.22887,7.39234,7.19617,7.45773,Y,Y,N,N,0.00000,0.00000,N,N,2,10
LOGZ,rf0017,8.27443,8.24174,8.37252,8.17635,8.47060,Y,Y,N,N,0.00000,0.00000,N,N,1,28
LOGQ,rf0019,7.39234,7.29426,7.58851,7.19617,7.78468,Y,Y,N,N,0.00002,0.00004,N,N,1,12
LOGZ,rf0019,8.27443,8.14365,8.47060,8.04557,8.66677,Y,Y,N,N,0.00000,0.00000,N,N,1,28
LOGQ,rf0020,7.09809,7.03270,7.22887,-inf,7.29426,Y,Y,N,N,0.18354,0.00000,N,N,1,3
LOGZ,rf0020,8.43791,8.37252,8.56869,8.30713,8.66677,Y,Y,N,N,0.00000,0.00000,N,N,1,33
LOGQ,rf0022,7.19617,7.16348,7.22887,7.13078,7.26156,Y,Y,N,N,0.00000,0.00000,N,N,1,6
LOGZ,rf0022,8.40521,8.33982,8.43791,8.33982,8.47060,Y,Y,N,N,0.00000,0.00000,N,N,1,32
LOGQ,rf0023,7.35965,7.29426,7.45773,7.22887,7.55582,Y,Y,N,N,0.00000,0.00000,N,N,1,11
LOGZ,rf0023,8.27443,8.20904,8.43791,8.14365,8.53599,Y,Y,N,N,0.00000,0.00000,N,N,1,28
LOGQ,rf0024,7.00000,-inf,7.13078,-inf,7.19617,Y,Y,Y,N,0.63407,0.00000,Y,N,1,0
LOGZ,rf0024,8.53599,8.43791,8.66677,8.37252,8.76486,Y,Y,N,N,0.00000,0.00000,N,N,1,36
LOGQ,rf0025,8.01355,7.98085,8.04624,7.98085,8.04624,Y,Y,N,N,0.00000,0.00000,N,N,2,31
LOGZ,rf0025,8.27443,8.24174,8.30713,8.24174,8.30713,Y,Y,N,N,0.00000,0.00000,N,N,1,28
LOGQ,rf0028,7.00000,-inf,7.03270,-inf,7.03270,Y,Y,Y,N,1.00000,0.00000,Y,N,1,0
LOGZ,rf0028,8.27443,8.24174,8.30713,8.24174,8.30713,Y,Y,N,N,0.00000,0.00000,N,N,1,28
LOGQ,rf0029,7.32695,7.22887,7.35965,7.19617,7.42504,Y,Y,N,N,0.00000,0.00000,N,N,1,10
