Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
LOGQ,rf0001,7.09815,7.02557,7.24330,6.91670,7.38846,Y,Y,N,N,0.00003,0.00000,N,N,1,11
LOGZ,rf0001,8.11203,8.05174,8.29291,7.96131,8.44363,Y,Y,N,N,0.00000,0.00000,N,N,2,14
LOGQ,rf0002,6.95299,6.80784,7.17072,6.73526,7.49732,Y,Y,N,N,0.05509,0.00000,N,N,1,7
LOGZ,rf0002,8.41349,8.29291,8.65465,8.17232,9.07668,Y,Y,N,N,0.00000,0.00755,N,N,2,24
LOGQ,rf0003,6.69897,-inf,7.24330,-inf,7.42475,Y,Y,Y,N,0.32838,0.00000,N,N,2,0
LOGZ,rf0003,9.13698,8.23262,9.13698,8.14218,inf,Y,Y,N,Y,0.00000,0.19430,N,N,2,48
LOGQ,rf0006,6.95299,6.88041,7.09815,6.80784,7.20701,Y,Y,N,N,0.00130,0.00000,N,N,1,7
LOGZ,rf0006,8.20247,8.14218,8.35320,8.08189,8.50392,Y,Y,N,N,0.00000,0.00001,N,N,2,17
LOGQ,rf0007,6.73526,6.73526,7.13444,-inf,7.38846,Y,Y,Y,N,0.25397,0.00000,N,N,1,1
LOGZ,rf0007,8.41349,8.32305,9.07668,8.23262,inf,Y,Y,N,N,0.00000,0.09712,N,N,2,24
LOGQ,rf0010,7.17072,7.09815,7.31588,7.02557,7.49732,Y,Y,N,N,0.00000,0.00000,N,N,1,13
LOGZ,rf0010,8.14218,8.08189,8.32305,8.02160,8.50392,Y,Y,N,N,0.00000,0.00000,N,N,2,15
LOGQ,rf0011,6.80784,6.73526,6.98928,-inf,7.17072,Y,Y,N,N,0.20496,0.00000,N,N,1,3
LOGZ,rf0011,8.26276,8.20247,8.41349,8.11203,8.95610,Y,Y,N,N,0.00000,0.00436,N,N,2,19
LOGQ,rf0013,7.35217,7.24330,7.42475,7.20701,7.49732,Y,Y,N,N,0.00000,0.00000,N,N,1,18
LOGZ,rf0013,8.68480,8.62450,8.74509,8.53407,8.80538,Y,Y,N,N,0.00000,0.00000,N,N,1,33
LOGQ,rf0014,6.95299,6.80784,7.09815,-inf,7.31588,Y,Y,N,N,0.06547,0.00022,N,N,2,7
LOGZ,rf0014,8.14218,8.05174,8.32305,7.96131,8.53407,Y,Y,N,N,0.00037,0.00125,N,N,2,15
LOGQ,rf0015,7.38846,6.91670,7.46103,-inf,7.60619,Y,Y,N,N,0.07830,0.00000,N,N,2,19
LOGZ,rf0015,9.16712,8.98625,inf,8.26276,inf,Y,Y,N,Y,0.00000,0.67534,N,Y,2,49
LOGQ,rf0016,6.91670,6.80784,7.09815,6.73526,7.24330,Y,Y,N,N,0.06604,0.00000,N,N,1,6
LOGZ,rf0016,8.65465,8.56421,8.92596,8.47378,9.01639,Y,Y,N,N,0.00000,0.00002,N,N,2,32
LOGQ,rf0017,7.06186,6.98928,7.17072,6.91670,7.31588,Y,Y,N,N,0.00000,0.00000,N,N,1,10
LOGZ,rf0017,8.20247,8.14218,8.35320,8.08189,8.53407,Y,Y,N,N,0.00000,0.00000,N,N,2,17
LOGQ,rf0020,6.80784,6.80784,7.89650,-inf,8.36825,Y,Y,N,N,0.10412,0.01223,N,N,2,3
