Line,Galaxy Name,In_lhood?,Obs,Model,Resid_Stds,Obs_S/N
oii3726,rf0001,Y,0.92327,1.63475,-3.21472,4.17169
oii3729,rf0001,Y,2.27738,2.22104,0.16025,6.47738
neiii3869,rf0001,Y,0.11448,0.23662,-2.37521,2.22611
oiii4363,rf0001,Y,0.05666,0.00722,1.41738,1.62450
hgamma,rf0001,Y,0.52991,0.47640,1.46981,14.55556
heii4685,rf0001,Y,0.00000,0.00012,-inf,
ariv4711,rf0001,Y,0.19243,0.00036,1.14538,1.14756
hbeta,rf0001,Y,1.00000,1.00000,0.00000,28.19290
oiii4959,rf0001,Y,0.54558,0.51670,0.90497,17.09396
oiii5007,rf0001,Y,1.76289,1.54163,5.08372,40.50475
hei5875,rf0001,Y,0.09350,0.08343,0.36262,3.36562
oi6300,rf0001,Y,0.13946,0.06398,3.69417,6.82583
nii6548,rf0001,Y,0.09083,0.13837,-7.87286,15.04260
halpha,rf0001,Y,2.86000,2.80409,1.43780,73.54457
nii6584,rf0001,Y,0.27383,0.40788,-7.36059,15.03557
sii6717,rf0001,Y,0.58942,0.81405,-5.89721,15.47429
sii6731,rf0001,Y,0.38919,0.61753,-9.36125,15.95580
ariii7136,rf0001,Y,0.04527,0.14549,-4.80916,2.17223
oii3726,rf0002,Y,1.53269,4.01229,-9.98383,6.17118
oii3729,rf0002,Y,235.60412,5.47511,inf,inf
neiii3869,rf0002,Y,0.40328,0.95331,-12.71803,9.32489
oiii4363,rf0002,Y,0.10250,0.00922,2.70075,2.96759
hgamma,rf0002,Y,0.63649,0.47202,5.45832,21.12361
heii4685,rf0002,Y,0.00000,0.09941,-inf,
ariv4711,rf0002,Y,0.00000,0.00039,-inf,
hbeta,rf0002,Y,1.00000,1.00000,0.00000,33.15736
oiii4959,rf0002,Y,0.52658,0.41078,3.63166,16.51393
oiii5007,rf0002,Y,1.01017,1.22563,-6.32371,29.64770
hei5875,rf0002,Y,-0.00729,0.10521,-3.77003,-0.24420
oi6300,rf0002,Y,0.24589,0.73597,-17.98631,9.02450
nii6548,rf0002,Y,0.36226,0.23573,11.79850,33.77851
halpha,rf0002,Y,2.86000,2.82719,0.82038,71.51784
nii6584,rf0002,Y,1.08560,0.69487,12.07925,33.56036
sii6717,rf0002,Y,0.84675,2.83442,-59.00668,25.13692
sii6731,rf0002,Y,0.52736,2.11789,-46.03629,15.26400
ariii7136,rf0002,Y,0.01796,0.29863,-7.51668,0.48108
oii3726,rf0003,Y,0.18682,1.57514,-22.18371,2.98508
oii3729,rf0003,Y,1.45606,2.12819,-3.19164,6.91420
neiii3869,rf0003,Y,0.06006,0.04094,1.88249,5.91296
oiii4363,rf0003,Y,-0.00825,0.00116,-1.46253,-1.28225
hgamma,rf0003,Y,0.53314,0.47833,6.24030,60.69958
heii4685,rf0003,Y,0.01484,0.00001,0.42608,0.42643
ariv4711,rf0003,Y,0.02512,0.00004,0.92047,0.92196
hbeta,rf0003,Y,1.00000,1.00000,0.00000,93.61190
oiii4959,rf0003,Y,0.13398,0.11557,2.84189,20.67520
oiii5007,rf0003,Y,0.44974,0.34480,13.06191,55.97656
hei5875,rf0003,Y,0.08950,0.07068,3.31309,15.75087
oi6300,rf0003,Y,0.05355,0.04234,2.37285,11.32974
nii6548,rf0003,Y,0.31094,0.18323,41.06771,99.99018
halpha,rf0003,Y,2.86000,2.80744,2.66043,144.76171
nii6584,rf0003,Y,0.93472,0.54014,42.06731,99.65387
sii6717,rf0003,Y,0.48393,0.90959,-56.74796,64.51704
sii6731,rf0003,Y,0.35272,0.69413,-45.57406,47.08458
ariii7136,rf0003,Y,0.04846,0.09486,-5.13733,5.36628
oii3726,rf0006,Y,-230.38744,4.01229,-inf,-inf
oii3729,rf0006,Y,0.00000,5.47511,-inf,
neiii3869,rf0006,Y,-0.00099,0.95331,-10.29889,-0.01071
oiii4363,rf0006,Y,-0.06320,0.00922,-1.28783,-1.12391
hgamma,rf0006,Y,0.44495,0.47202,-0.46066,7.57172
heii4685,rf0006,Y,0.08344,0.09941,-0.06562,0.34290
ariv4711,rf0006,Y,0.01816,0.00039,0.00294,0.00300
hbeta,rf0006,Y,1.00000,1.00000,0.00000,18.96895
oiii4959,rf0006,Y,0.39701,0.41078,-0.28504,8.21789
oiii5007,rf0006,Y,1.20190,1.22563,-0.42243,21.38981
hei5875,rf0006,Y,0.12894,0.10521,0.51483,2.79729
oi6300,rf0006,Y,0.09483,0.73597,-19.12891,2.82920
nii6548,rf0006,Y,0.19688,0.23573,-3.47688,17.62266
halpha,rf0006,Y,2.86000,2.82719,0.70393,61.36597
nii6584,rf0006,Y,0.59448,0.69487,-2.97902,17.64161
