Line,Galaxy Name,In_lhood?,Obs,Model,Resid_Stds,Obs_S/N
hbeta,rf0001,Y,1.00000,1.00000,0.00000,28.19290
oiii4959,rf0001,Y,0.54558,0.40869,4.28899,17.09396
oiii5007,rf0001,Y,1.76289,1.21935,12.48848,40.50475
oi6300,rf0001,Y,0.13946,0.05122,4.31866,6.82583
nii6548,rf0001,Y,0.09083,0.14304,-8.64644,15.04260
halpha,rf0001,Y,2.86000,2.79149,1.76168,73.54457
nii6584,rf0001,Y,0.27383,0.42164,-8.11585,15.03557
sii6717,rf0001,Y,0.58942,0.49695,2.42766,15.47429
sii6731,rf0001,Y,0.38919,0.37811,0.45424,15.95580
hbeta,rf0003,Y,1.00000,1.00000,0.00000,93.61190
oiii4959,rf0003,Y,0.13398,0.13341,0.08873,20.67520
oiii5007,rf0003,Y,0.44974,0.39803,6.43665,55.97656
oi6300,rf0003,Y,0.05355,0.09216,-8.16788,11.32974
nii6548,rf0003,Y,0.31094,0.29601,4.80050,99.99018
halpha,rf0003,Y,2.86000,2.79332,3.37525,144.76171
nii6584,rf0003,Y,0.93472,0.87260,6.62266,99.65387
sii6717,rf0003,Y,0.48393,0.89177,-54.37216,64.51704
sii6731,rf0003,Y,0.35272,0.67827,-43.45657,47.08458
hbeta,rf0006,Y,1.00000,1.00000,0.00000,18.96895
oiii4959,rf0006,Y,0.39701,0.32595,1.47081,8.21789
oiii5007,rf0006,Y,1.20190,0.97250,4.08255,21.38981
oi6300,rf0006,Y,0.09483,0.06388,0.92320,2.82920
nii6548,rf0006,Y,0.19688,0.18441,1.11616,17.62266
halpha,rf0006,Y,2.86000,2.78933,1.51629,61.36597
nii6584,rf0006,Y,0.59448,0.54360,1.50979,17.64161
sii6717,rf0006,Y,0.75593,0.62104,3.44452,19.30300
sii6731,rf0006,Y,0.57028,0.47232,2.76231,16.08036
hbeta,rf0007,Y,1.00000,1.00000,0.00000,19.35663
oiii4959,rf0007,Y,0.21320,0.16471,0.99770,4.38720
oiii5007,rf0007,Y,0.47353,0.49143,-0.36429,9.63494
oi6300,rf0007,Y,0.12910,0.08398,1.23617,3.53686
nii6548,rf0007,Y,0.43462,0.37120,4.65103,31.87362
halpha,rf0007,Y,2.86000,2.79440,1.35243,58.96004
nii6584,rf0007,Y,1.30974,1.09423,5.24007,31.84513
sii6717,rf0007,Y,0.83806,0.90646,-1.71068,20.96023
sii6731,rf0007,Y,0.41393,0.68997,-7.73506,11.59860
hbeta,rf0008,Y,1.00000,1.00000,0.00000,31.01034
oiii4959,rf0008,Y,0.09624,0.07300,0.81374,3.36936
oiii5007,rf0008,Y,0.21956,0.21780,0.06103,7.62680
oi6300,rf0008,Y,0.02792,0.00586,0.99508,1.25952
nii6548,rf0008,Y,0.29594,0.59697,-31.32260,30.79445
halpha,rf0008,Y,2.86000,2.86613,-0.16784,78.26470
nii6584,rf0008,Y,0.89042,1.75976,-29.99087,30.71795
sii6717,rf0008,Y,0.23359,0.17261,2.45344,9.39814
sii6731,rf0008,Y,0.16906,0.13233,1.60371,7.38173
hbeta,rf0010,Y,1.00000,1.00000,0.00000,63.89095
oiii4959,rf0010,Y,0.73713,0.51618,14.45591,48.22810
oiii5007,rf0010,Y,2.21207,1.54009,34.05947,112.11878
oi6300,rf0010,Y,0.10549,0.04763,5.85205,10.66992
nii6548,rf0010,Y,0.10365,0.14582,-13.76950,33.84628
halpha,rf0010,Y,2.86000,2.78833,4.01863,160.35536
nii6584,rf0010,Y,0.31146,0.42985,-12.81727,33.71830
sii6717,rf0010,Y,0.53102,0.47952,4.18933,43.19665
sii6731,rf0010,Y,0.35267,0.36476,-1.22515,35.73386
hbeta,rf0011,Y,1.00000,1.00000,0.00000,22.00847
oiii4959,rf0011,Y,0.24073,0.20021,0.99773,5.92682
oiii5007,rf0011,Y,0.71373,0.59733,2.59918,15.93762
oi6300,rf0011,Y,0.16203,0.08355,2.63665,5.44355
nii6548,rf0011,Y,0.27308,0.22601,4.20552,24.39870
halpha,rf0011,Y,2.86000,2.79080,1.41433,58.45497
nii6584,rf0011,Y,0.82291,0.66624,4.64089,24.37621
sii6717,rf0011,Y,0.78900,0.77828,0.28708,21.13751
sii6731,rf0011,Y,0.51171,0.59171,-2.46976,15.79741
hbeta,rf0014,Y,1.00000,1.00000,0.00000,14.52794
oiii4959,rf0014,Y,0.37366,0.29530,1.24078,5.91693
oiii5007,rf0014,Y,1.21594,0.88103,4.75105,17.24958
oi6300,rf0014,Y,0.12128,0.05892,1.29258,2.51381
nii6548,rf0014,Y,0.12454,0.14688,-1.60224,8.93338
halpha,rf0014,Y,2.86000,2.79466,1.14056,49.92436
nii6584,rf0014,Y,0.37515,0.43297,-1.37517,8.92138
sii6717,rf0014,Y,0.79601,0.54436,4.93651,15.61499
sii6731,rf0014,Y,0.54925,0.41413,2.69301,10.94670
hbeta,rf0015,Y,1.00000,1.00000,0.00000,636.90648
oiii4959,rf0015,Y,0.06927,0.02783,39.97238,66.82230
oiii5007,rf0015,Y,0.15198,0.08304,62.26245,137.25983
oi6300,rf0015,Y,0.05717,0.05814,-0.95256,55.95660
nii6548,rf0015,Y,0.36176,0.99480,-943.67330,539.26360
halpha,rf0015,Y,2.86000,2.83210,6.88470,705.72948
nii6584,rf0015,Y,1.08322,2.93243,-913.92164,535.35149
sii6717,rf0015,Y,0.36495,0.92836,-373.39919,241.87136
sii6731,rf0015,Y,0.27992,0.71129,-313.65527,203.52668
hbeta,rf0017,Y,1.00000,1.00000,0.00000,50.16413
oiii4959,rf0017,Y,0.53613,0.41409,6.59268,28.96357
oiii5007,rf0017,Y,1.57151,1.23547,14.19407,66.37883
oi6300,rf0017,Y,0.09850,0.05322,3.78601,8.23598
nii6548,rf0017,Y,0.14092,0.15528,-3.69482,36.27779
halpha,rf0017,Y,2.86000,2.78999,3.16859,129.43444
nii6584,rf0017,Y,0.42499,0.45772,-2.79391,36.27146
sii6717,rf0017,Y,0.64452,0.52378,8.39724,44.82394
sii6731,rf0017,Y,0.45663,0.39846,4.66996,36.65669
hbeta,rf0019,Y,1.00000,1.00000,0.00000,4.82090
oiii4959,rf0019,Y,0.34922,0.39249,-0.24943,2.01293
oiii5007,rf0019,Y,1.57156,1.17100,2.26167,8.87361
oi6300,rf0019,Y,-0.02741,0.04523,-0.57471,-0.21686
nii6548,rf0019,Y,0.10987,0.10631,0.09845,3.04122
halpha,rf0019,Y,2.86000,2.79601,0.39690,17.73887
nii6584,rf0019,Y,0.33119,0.31339,0.16336,3.03936
sii6717,rf0019,Y,0.53327,0.41647,0.95038,4.33918
sii6731,rf0019,Y,0.45085,0.31708,1.16544,3.92809
hbeta,rf0020,Y,1.00000,1.00000,0.00000,14.68163
oiii4959,rf0020,Y,0.20386,0.17165,0.49367,3.12484
oiii5007,rf0020,Y,0.60883,0.51214,1.49327,9.40275
oi6300,rf0020,Y,0.14851,0.08716,1.21273,2.93547
nii6548,rf0020,Y,0.28387,0.24783,2.24656,17.69097
halpha,rf0020,Y,2.86000,2.79175,1.17727,49.33613
nii6584,rf0020,Y,0.84922,0.73055,2.45198,17.54623
sii6717,rf0020,Y,0.84930,0.81891,0.56141,15.68518
sii6731,rf0020,Y,0.59575,0.62267,-0.54939,12.16193
hbeta,rf0023,Y,1.00000,1.00000,0.00000,24.83350
oiii4959,rf0023,Y,0.50898,0.43814,1.79472,12.89524
oiii5007,rf0023,Y,1.80302,1.30721,9.98249,36.30155
oi6300,rf0023,Y,0.09046,0.04688,1.86317,3.86750
nii6548,rf0023,Y,0.10965,0.12481,-1.94106,14.04329
halpha,rf0023,Y,2.86000,2.79270,1.41804,60.25751
nii6584,rf0023,Y,0.32995,0.36791,-1.61181,14.00988
sii6717,rf0023,Y,0.61303,0.44913,5.29590,19.80836
sii6731,rf0023,Y,0.44710,0.34182,4.10149,17.41756
hbeta,rf0024,Y,1.00000,1.00000,0.00000,30.35192
oiii4959,rf0024,Y,0.07978,0.13205,-1.67952,2.56342
oiii5007,rf0024,Y,0.34668,0.39397,-1.54411,11.31941
oi6300,rf0024,Y,0.14530,0.09228,2.19675,6.02089
nii6548,rf0024,Y,0.32654,0.30230,2.85096,38.40273
halpha,rf0024,Y,2.86000,2.79345,2.01195,86.46836
nii6584,rf0024,Y,0.98371,0.89112,3.61038,38.35594
sii6717,rf0024,Y,0.76278,0.89808,-4.76969,26.88946
sii6731,rf0024,Y,0.53954,0.68310,-6.04953,22.73500
