Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
LOGQ,rf0001,7.27947,7.21465,7.37309,7.15704,7.45951,Y,Y,N,N,0.00000,0.00000,N,N,1,42
LOGZ,rf0001,8.25011,8.14463,8.36219,8.06551,8.45449,Y,Y,N,N,0.00000,0.00000,N,N,1,120
LOGQ,rf0003,6.97700,7.02021,7.43791,-inf,7.62515,N,Y,Y,N,0.05341,0.00000,N,N,2,0
LOGZ,rf0003,8.44130,8.36878,8.78413,8.25670,8.92258,Y,Y,N,N,0.00000,0.00000,N,N,1,149
LOGQ,rf0006,7.19305,7.13544,7.35149,7.07062,7.52433,Y,Y,N,N,0.00003,0.00000,N,N,1,30
LOGZ,rf0006,8.32922,8.24352,8.46767,8.17759,8.67205,Y,Y,N,N,0.00000,0.00000,N,N,1,132
LOGQ,rf0007,7.05622,7.02741,7.27227,6.98420,7.45231,Y,Y,N,N,0.03660,0.00000,N,N,1,11
LOGZ,rf0007,8.53360,8.47427,8.72480,8.40175,8.84347,Y,Y,N,N,0.00000,0.00000,N,N,1,163
LOGQ,rf0008,8.12926,7.87000,8.28050,7.41630,8.44614,Y,Y,N,N,0.00163,0.00015,N,N,3,160
LOGZ,rf0008,9.04784,8.96214,9.05444,8.68524,inf,Y,Y,N,Y,0.00000,0.22026,N,N,2,241
LOGQ,rf0010,7.35869,7.30107,7.44511,7.25066,7.53873,Y,Y,N,N,0.00000,0.00000,N,N,1,53
LOGZ,rf0010,8.28967,8.17759,8.36878,8.10507,8.44790,Y,Y,N,N,0.00000,0.00000,N,N,1,126
LOGQ,rf0011,7.04181,7.01301,7.16424,6.98420,7.28667,Y,Y,N,N,0.05026,0.00000,N,N,1,9
LOGZ,rf0011,8.37537,8.30285,8.50064,8.23693,8.64568,Y,Y,N,N,0.00000,0.00000,N,N,1,139
LOGQ,rf0014,7.17144,7.12103,7.31548,7.06342,7.45951,Y,Y,N,N,0.00008,0.00000,N,N,1,27
LOGZ,rf0014,8.23033,8.16440,8.37537,8.09188,8.57316,Y,Y,N,N,0.00000,0.00000,N,N,1,117
LOGQ,rf0015,6.97700,7.02741,7.36589,6.98420,7.57474,N,N,Y,N,0.04588,0.00000,N,N,2,0
LOGZ,rf0015,8.95554,8.52042,8.96214,8.38856,9.00829,Y,Y,N,N,0.00000,0.00001,N,N,2,227
LOGQ,rf0017,7.27947,7.20745,7.37309,7.14984,7.47391,Y,Y,N,N,0.00000,0.00000,N,N,1,42
LOGZ,rf0017,8.28307,8.19737,8.38197,8.13144,8.50064,Y,Y,N,N,0.00000,0.00000,N,N,1,125
LOGQ,rf0019,7.27947,7.20745,7.48832,7.12103,7.76918,Y,Y,N,N,0.00001,0.00000,N,N,1,42
