Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
LOGQ,rf0001,7.29843,7.19129,7.36986,7.15557,7.47700,Y,Y,N,N,0.00000,0.00000,N,N,1,9
LOGZ,rf0001,8.24365,8.14557,8.37443,8.04748,8.47252,Y,Y,N,N,0.00000,0.00000,N,N,1,24
LOGQ,rf0003,6.97700,7.01271,7.44129,-inf,7.65557,N,Y,Y,N,0.22733,0.00000,N,N,2,0
LOGZ,rf0003,8.43982,8.34174,8.79947,8.24365,8.93025,Y,Y,N,N,0.00000,0.00039,N,N,1,30
LOGQ,rf0006,7.19129,7.11986,7.36986,7.04843,7.54843,Y,Y,N,N,0.00796,0.00000,N,N,1,6
LOGZ,rf0006,8.34174,8.24365,8.47252,8.14557,8.70138,Y,Y,N,N,0.00000,0.00000,N,N,1,27
LOGQ,rf0007,7.04843,7.01271,7.29843,-inf,7.47700,Y,Y,Y,N,0.22446,0.00000,N,N,1,2
LOGZ,rf0007,8.53791,8.47252,8.73408,8.37443,8.86486,Y,Y,N,N,0.00000,0.00009,N,N,1,33
LOGQ,rf0008,8.11986,7.83414,8.29843,7.29843,8.44129,Y,Y,N,N,0.00794,0.00107,N,N,3,32
LOGZ,rf0008,9.02833,8.93025,inf,8.60330,inf,Y,Y,N,Y,0.00000,0.69502,N,Y,1,48
LOGQ,rf0010,7.36986,7.29843,7.47700,7.22700,7.54843,Y,Y,N,N,0.00000,0.00000,N,N,1,11
LOGZ,rf0010,8.27635,8.17826,8.37443,8.08018,8.47252,Y,Y,N,N,0.00000,0.00000,N,N,1,25
LOGQ,rf0011,7.04843,7.01271,7.19129,-inf,7.29843,Y,Y,Y,N,0.35243,0.00000,N,N,1,2
LOGZ,rf0011,8.37443,8.27635,8.50521,8.21096,8.66869,Y,Y,N,N,0.00000,0.00000,N,N,1,28
LOGQ,rf0014,7.19129,7.11986,7.33414,7.04843,7.47700,Y,Y,N,N,0.01355,0.00000,N,N,1,6
LOGZ,rf0014,8.24365,8.14557,8.40713,8.08018,8.60330,Y,Y,N,N,0.00000,0.00000,N,N,1,24
LOGQ,rf0015,6.97700,7.01271,7.36986,-inf,7.58414,N,Y,Y,N,0.19637,0.00000,N,N,2,0
LOGZ,rf0015,8.96294,8.50521,8.96294,8.37443,9.02833,Y,Y,N,Y,0.00000,0.04307,N,N,2,46
LOGQ,rf0017,7.26271,7.19129,7.40557,7.11986,7.47700,Y,Y,N,N,0.00001,0.00000,N,N,1,8
LOGZ,rf0017,8.27635,8.17826,8.40713,8.11287,8.50521,Y,Y,N,N,0.00000,0.00000,N,N,1,25
LOGQ,rf0019,7.26271,7.19129,7.51271,7.11986,7.79843,Y,Y,N,N,0.00119,0.00000,N,N,1,8
LOGZ,rf0019,8.14557,8.04748,8.34174,7.91670,8.66869,Y,Y,N,N,0.00000,0.00000,N,N,1,21
LOGQ,rf0020,7.01271,-inf,7.22700,-inf,7.40557,Y,Y,Y,N,0.35817,0.00000,N,N,1,1
LOGZ,rf0020,8.40713,8.30904,8.57060,8.21096,8.76677,Y,Y,N,N,0.00000,0.00001,N,N,1,29
LOGQ,rf0023,7.29843,7.22700,7.44129,7.15557,7.58414,Y,Y,N,N,0.00000,0.00000,N,N,1,9
LOGZ,rf0023,8.21096,8.14557,8.37443,8.04748,8.53791,Y,Y,N,N,0.00000,0.00000,N,N,1,23
