Line,Galaxy Name,In_lhood?,Obs,Model,Resid_Stds,Obs_S/N
hbeta,rf0001,Y,1.00000,1.00000,0.00000,28.19290
oiii4959,rf0001,Y,0.54558,0.42130,3.89408,17.09396
oiii5007,rf0001,Y,1.76289,1.25694,11.62495,40.50475
oi6300,rf0001,Y,0.13946,0.05564,4.10250,6.82583
nii6548,rf0001,Y,0.09083,0.10689,-2.66062,15.04260
halpha,rf0001,Y,2.86000,2.78610,1.90021,73.54457
nii6584,rf0001,Y,0.27383,0.31510,-2.26593,15.03557
sii6717,rf0001,Y,0.58942,0.56636,0.60541,15.47429
sii6731,rf0001,Y,0.38919,0.43068,-1.70099,15.95580
hbeta,rf0003,Y,1.00000,1.00000,0.00000,93.61190
oiii4959,rf0003,Y,0.13398,0.14102,-1.08637,20.67520
oiii5007,rf0003,Y,0.44974,0.42074,3.60944,55.97656
oi6300,rf0003,Y,0.05355,0.04204,2.43511,11.32974
nii6548,rf0003,Y,0.31094,0.37666,-21.13221,99.99018
halpha,rf0003,Y,2.86000,2.81671,2.19134,144.76171
nii6584,rf0003,Y,0.93472,1.11032,-18.72122,99.65387
sii6717,rf0003,Y,0.48393,0.72168,-31.69648,64.51704
sii6731,rf0003,Y,0.35272,0.55234,-26.64709,47.08458
hbeta,rf0006,Y,1.00000,1.00000,0.00000,18.96895
oiii4959,rf0006,Y,0.39701,0.35158,0.94043,8.21789
oiii5007,rf0006,Y,1.20190,1.04893,2.72230,21.38981
oi6300,rf0006,Y,0.09483,0.05553,1.17229,2.82920
nii6548,rf0006,Y,0.19688,0.15966,3.33143,17.62266
halpha,rf0006,Y,2.86000,2.79014,1.49892,61.36597
nii6584,rf0006,Y,0.59448,0.47065,3.67466,17.64161
sii6717,rf0006,Y,0.75593,0.63989,2.96314,19.30300
sii6731,rf0006,Y,0.57028,0.48724,2.34145,16.08036
hbeta,rf0007,Y,1.00000,1.00000,0.00000,19.35663
oiii4959,rf0007,Y,0.21320,0.12534,1.80790,4.38720
oiii5007,rf0007,Y,0.47353,0.37396,2.02597,9.63494
oi6300,rf0007,Y,0.12910,0.05874,1.92758,3.53686
nii6548,rf0007,Y,0.43462,0.33873,7.03213,31.87362
