Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
LOGQ,rf0001,7.28667,7.22186,7.37309,7.15704,7.46671,Y,Y,N,N,0.00000,0.00000,N,N,1,43
LOGZ,rf0001,8.35560,8.22374,8.38856,8.15122,8.48086,Y,Y,N,N,0.00000,0.00000,N,N,1,136
LOGQ,rf0003,7.29387,7.11383,7.42350,7.00581,7.55313,Y,Y,N,N,0.00982,0.00000,N,N,1,44
LOGZ,rf0003,8.84347,8.61931,8.88302,8.50723,8.93577,Y,Y,N,N,0.00000,0.00000,N,N,1,210
LOGQ,rf0006,7.27947,7.19305,7.45951,7.10663,7.61074,Y,Y,N,N,0.00001,0.00000,N,N,1,42
LOGZ,rf0006,8.46767,8.41493,8.65887,8.32922,8.77754,Y,Y,N,N,0.00000,0.00000,N,N,1,153
LOGQ,rf0007,7.18585,7.09943,7.36589,7.01301,7.51712,Y,Y,N,N,0.00554,0.00000,N,N,1,29
LOGZ,rf0007,8.78413,8.65227,8.85006,8.57316,8.92258,Y,Y,N,N,0.00000,0.00000,N,N,1,201
LOGQ,rf0008,8.10046,7.78358,8.27330,7.35869,8.47494,Y,Y,N,N,0.00055,0.00031,N,N,2,156
LOGZ,rf0008,9.05444,8.98851,9.05444,8.87643,inf,Y,Y,N,Y,0.00000,0.28896,N,N,1,242
LOGQ,rf0010,7.35869,7.30828,7.44511,7.25786,7.53153,Y,Y,N,N,0.00000,0.00000,N,N,1,53
LOGZ,rf0010,8.36219,8.26330,8.40175,8.19078,8.48086,Y,Y,N,N,0.00000,0.00000,N,N,1,137
LOGQ,rf0011,7.09943,7.04902,7.22906,6.99860,7.35149,Y,Y,N,N,0.01242,0.00000,N,N,1,17
LOGZ,rf0011,8.52701,8.46767,8.65227,8.40834,8.75117,Y,Y,N,N,0.00000,0.00000,N,N,1,162
LOGQ,rf0014,7.19305,7.12823,7.35869,7.07062,7.53153,Y,Y,N,N,0.00006,0.00000,N,N,1,30
LOGZ,rf0014,8.35560,8.26330,8.49405,8.19078,8.69183,Y,Y,N,N,0.00000,0.00000,N,N,1,136
LOGQ,rf0015,7.13544,7.03461,7.26507,6.98420,7.40190,Y,Y,N,N,0.03192,0.00000,N,N,1,22
LOGZ,rf0015,8.92917,8.79732,8.95554,8.64568,8.98851,Y,Y,N,N,0.00000,0.00000,N,N,1,223
LOGQ,rf0017,7.28667,7.22186,7.39470,7.15704,7.48832,Y,Y,N,N,0.00000,0.00000,N,N,1,43
LOGZ,rf0017,8.36878,8.30285,8.47427,8.23693,8.58635,Y,Y,N,N,0.00000,0.00000,N,N,1,138
LOGQ,rf0019,7.28667,7.22906,7.62515,7.12823,7.89881,Y,Y,N,N,0.00001,0.00000,N,N,1,43
LOGZ,rf0019,8.27648,8.19737,8.59294,8.08529,8.79072,Y,Y,N,N,0.00000,0.00000,N,N,1,124
LOGQ,rf0020,7.10663,7.04902,7.31548,6.99140,7.47391,Y,Y,N,N,0.01736,0.00000,N,N,1,18
LOGZ,rf0020,8.57975,8.50723,8.74457,8.43471,8.85006,Y,Y,N,N,0.00000,0.00000,N,N,1,170
LOGQ,rf0023,7.31548,7.25786,7.46671,7.18585,7.61795,Y,Y,N,N,0.00000,0.00000,N,N,1,47
LOGZ,rf0023,8.34900,8.25011,8.45449,8.17759,8.61931,Y,Y,N,N,0.00000,0.00000,N,N,1,135
LOGQ,rf0024,6.97700,6.99140,7.13544,-inf,7.23626,N,Y,Y,N,0.11839,0.00000,N,N,1,0
LOGZ,rf0024,8.69183,8.57316,8.77754,8.48745,8.85006,Y,Y,N,N,0.00000,0.00000,N,N,1,187
LOGQ,rf0028,7.18585,7.12103,7.40910,7.04902,7.60354,Y,Y,N,N,0.00047,0.00000,N,N,1,29
LOGZ,rf0028,8.38197,8.30285,8.58635,8.22374,8.76435,Y,Y,N,N,0.00000,0.00000,N,N,1,140
LOGQ,rf0029,7.31548,7.25066,7.40910,7.18585,7.49552,Y,Y,N,N,0.00000,0.00000,N,N,1,47
LOGZ,rf0029,8.40834,8.35560,8.50723,8.28967,8.59953,Y,Y,N,N,0.00000,0.00000,N,N,1,144
LOGQ,rf0030,7.12823,7.04902,7.26507,6.99140,7.38029,Y,Y,N,N,0.01813,0.00000,N,N,1,21
LOGZ,rf0030,8.61931,8.52701,8.75117,8.45449,8.83028,Y,Y,N,N,0.00000,0.00000,N,N,1,176
LOGQ,rf0031,7.22186,7.08502,7.33708,6.99860,7.45231,Y,Y,N,N,0.01524,0.00000,N,N,1,34
LOGZ,rf0031,8.88962,8.74457,8.92258,8.60612,8.96873,Y,Y,N,N,0.00000,0.00000,N,N,1,217
LOGQ,rf0032,7.32268,7.21465,7.45951,7.11383,7.57474,Y,Y,N,N,0.00007,0.00000,N,N,1,48
LOGZ,rf0032,8.61272,8.51382,8.73139,8.43471,8.80391,Y,Y,N,N,0.00000,0.00000,N,N,1,175
LOGQ,rf0033,7.30107,7.23626,7.48112,7.16424,7.67556,Y,Y,N,N,0.00000,0.00000,N,N,1,45
LOGZ,rf0033,8.35560,8.25670,8.48745,8.17759,8.67205,Y,Y,N,N,0.00000,0.00000,N,N,1,136
LOGQ,rf0034,7.45231,7.38029,7.62515,7.30828,7.79079,Y,Y,N,N,0.00000,0.00000,N,N,1,66
LOGZ,rf0034,8.26989,8.19078,8.42152,8.11825,8.60612,Y,Y,N,N,0.00000,0.00000,N,N,1,123
LOGQ,rf0040,7.21465,7.07062,7.33708,6.99140,7.47391,Y,Y,N,N,0.02116,0.00000,N,N,1,33
LOGZ,rf0040,8.89621,8.71161,8.92917,8.57316,8.97532,Y,Y,N,N,0.00000,0.00000,N,N,1,218
LOGQ,rf0042,7.48832,7.41630,7.79079,7.32268,7.99963,Y,Y,N,N,0.00000,0.00000,N,N,1,71
LOGZ,rf0042,8.31604,8.25011,8.54679,8.17100,8.71820,Y,Y,N,N,0.00000,0.00000,N,N,2,130
LOGQ,rf0043,7.15704,7.04902,7.31548,6.99140,7.46671,Y,Y,N,N,0.02419,0.00000,N,N,1,25
LOGZ,rf0043,8.90280,8.77095,8.94236,8.63250,8.98851,Y,Y,N,N,0.00000,0.00004,N,N,1,219
LOGQ,rf0045,7.37309,7.31548,7.49552,7.25786,7.60354,Y,Y,N,N,0.00000,0.00000,N,N,1,55
LOGZ,rf0045,8.28307,8.19737,8.38197,8.13144,8.48086,Y,Y,N,N,0.00000,0.00000,N,N,1,125
LOGQ,rf0048,7.29387,7.22906,7.39470,7.17144,7.49552,Y,Y,N,N,0.00000,0.00000,N,N,1,44
LOGZ,rf0048,8.36219,8.26989,8.43471,8.20396,8.54020,Y,Y,N,N,0.00000,0.00000,N,N,1,137
LOGQ,rf0049,7.33708,7.27947,7.51712,7.20025,7.68996,Y,Y,N,N,0.00000,0.00000,N,N,1,50
LOGZ,rf0049,8.32263,8.23693,8.46767,8.16440,8.65227,Y,Y,N,N,0.00000,0.00000,N,N,1,131
LOGQ,rf0051,7.51712,7.43791,7.74037,7.35869,7.95642,Y,Y,N,N,0.00000,0.00000,N,N,1,75
LOGZ,rf0051,8.19737,8.13144,8.38856,8.04573,8.59953,Y,Y,N,N,0.00000,0.00000,N,N,1,112
LOGQ,rf0053,7.37309,7.32268,7.46671,7.27227,7.54593,Y,Y,N,N,0.00000,0.00000,N,N,1,55
LOGZ,rf0053,8.35560,8.23033,8.38856,8.16440,8.46108,Y,Y,N,N,0.00000,0.00000,N,N,1,136
LOGQ,rf0058,7.17865,7.10663,7.38029,7.03461,7.56753,Y,Y,N,N,0.00154,0.00000,N,N,1,28
LOGZ,rf0058,8.48745,8.43471,8.67205,8.36219,8.79732,Y,Y,N,N,0.00000,0.00000,N,N,1,156
LOGQ,rf0059,7.39470,7.32268,7.54593,7.25066,7.66836,Y,Y,N,N,0.00000,0.00000,N,N,1,58
LOGZ,rf0059,8.44130,8.38856,8.58635,8.31604,8.69842,Y,Y,N,N,0.00000,0.00000,N,N,1,149
LOGQ,rf0060,7.16424,7.11383,7.26507,7.06342,7.35149,Y,Y,N,N,0.00001,0.00000,N,N,1,26
LOGZ,rf0060,8.36219,8.28967,8.44790,8.23033,8.55338,Y,Y,N,N,0.00000,0.00000,N,N,1,137
LOGQ,rf0061,7.27227,7.14264,7.43070,7.04902,7.57474,Y,Y,N,N,0.00178,0.00000,N,N,1,41
LOGZ,rf0061,8.55997,8.46767,8.72480,8.38197,8.81050,Y,Y,N,N,0.00000,0.00000,N,N,1,167
LOGQ,rf0062,7.07062,7.02741,7.14264,6.99140,7.20745,Y,Y,N,N,0.02377,0.00000,N,N,1,13
LOGZ,rf0062,8.63909,8.57316,8.71161,8.51382,8.76435,Y,Y,N,N,0.00000,0.00000,N,N,1,179
LOGQ,rf0064,7.42350,7.36589,7.54593,7.30828,7.63955,Y,Y,N,N,0.00000,0.00000,N,N,1,62
LOGZ,rf0064,8.23693,8.15122,8.34900,8.08529,8.43471,Y,Y,N,N,0.00000,0.00000,N,N,1,118
LOGQ,rf0065,7.24346,7.16424,7.30828,7.11383,7.38749,Y,Y,N,N,0.00000,0.00000,N,N,2,37
LOGZ,rf0065,8.36219,8.26989,8.41493,8.20396,8.50064,Y,Y,N,N,0.00000,0.00000,N,N,1,137
LOGQ,rf0068,7.29387,7.22906,7.50992,7.14984,7.76198,Y,Y,N,N,0.00000,0.00000,N,N,1,44
LOGZ,rf0068,8.21055,8.15781,8.41493,8.08529,8.69183,Y,Y,N,N,0.00000,0.00000,N,N,1,114
LOGQ,rf0071,7.20745,7.08502,7.33708,6.99860,7.45951,Y,Y,N,N,0.01179,0.00000,N,N,1,32
LOGZ,rf0071,8.89621,8.78413,8.93577,8.65887,8.97532,Y,Y,N,N,0.00000,0.00000,N,N,1,218
LOGQ,rf0072,7.83400,7.74758,7.97803,7.66116,8.09326,Y,Y,N,N,0.00000,0.00000,N,N,1,119
LOGZ,rf0072,8.09188,8.04573,8.28967,7.96662,8.38197,Y,Y,N,N,0.00000,0.00000,N,N,1,96
LOGQ,rf0073,7.53153,7.44511,7.62515,7.37309,7.71157,Y,Y,N,N,0.00000,0.00000,N,N,1,77
LOGZ,rf0073,8.39515,8.31604,8.47427,8.25011,8.55338,Y,Y,N,N,0.00000,0.00000,N,N,1,142
LOGQ,rf0074,7.14264,7.07062,7.38029,6.99860,7.55313,Y,Y,N,N,0.01352,0.00000,N,N,1,23
LOGZ,rf0074,8.79072,8.65227,8.86984,8.55997,8.94895,Y,Y,N,N,0.00000,0.00000,N,N,1,202
LOGQ,rf0076,7.27947,7.20745,7.42350,7.14264,7.58914,Y,Y,N,N,0.00000,0.00000,N,N,1,42
LOGZ,rf0076,8.36219,8.28967,8.50064,8.21715,8.65887,Y,Y,N,N,0.00000,0.00000,N,N,1,137
LOGQ,rf0077,7.25786,7.17865,7.38029,7.11383,7.48832,Y,Y,N,N,0.00000,0.00000,N,N,1,39
LOGZ,rf0077,8.39515,8.30945,8.50723,8.24352,8.63250,Y,Y,N,N,0.00000,0.00000,N,N,1,142
LOGQ,rf0079,7.14984,7.09223,7.36589,7.02741,7.56033,Y,Y,N,N,0.00240,0.00000,N,N,1,24
LOGZ,rf0079,8.41493,8.34900,8.60612,8.26989,8.77095,Y,Y,N,N,0.00000,0.00000,N,N,1,145
LOGQ,rf0083,7.25786,7.18585,7.44511,7.11383,7.63235,Y,Y,N,N,0.00000,0.00000,N,N,1,39
LOGZ,rf0083,8.36219,8.26989,8.52701,8.19078,8.71820,Y,Y,N,N,0.00000,0.00000,N,N,1,137
LOGQ,rf0084,7.15704,7.07782,7.35149,7.01301,7.50992,Y,Y,N,N,0.00629,0.00000,N,N,1,25
LOGZ,rf0084,8.48086,8.42152,8.68524,8.33582,8.81050,Y,Y,N,N,0.00000,0.00000,N,N,1,155
LOGQ,rf0092,7.22906,7.09943,7.36589,7.00581,7.50272,Y,Y,N,N,0.01143,0.00000,N,N,1,35
LOGZ,rf0092,8.94895,8.83687,8.97532,8.71161,9.00829,Y,Y,N,N,0.00000,0.00002,N,N,1,226
LOGQ,rf0098,6.97700,6.99140,7.14264,-inf,7.25066,N,Y,Y,N,0.12017,0.00000,N,N,1,0
LOGZ,rf0098,8.81709,8.63250,8.85665,8.52042,8.91599,Y,Y,N,N,0.00000,0.00000,N,N,1,206
LOGQ,rf0099,7.17865,7.12103,7.30107,7.07062,7.40910,Y,Y,N,N,0.00002,0.00000,N,N,1,28
LOGZ,rf0099,8.37537,8.30945,8.48745,8.23693,8.61272,Y,Y,N,N,0.00000,0.00000,N,N,1,139
LOGQ,rf0102,7.22906,7.15704,7.50272,7.07782,7.74037,Y,Y,N,N,0.00012,0.00000,N,N,1,35
LOGZ,rf0102,8.33582,8.26989,8.60612,8.18418,8.79072,Y,Y,N,N,0.00000,0.00000,N,N,2,133
LOGQ,rf0104,7.34428,7.28667,7.50272,7.22186,7.65395,Y,Y,N,N,0.00000,0.00000,N,N,1,51
LOGZ,rf0104,8.23033,8.16440,8.36878,8.09848,8.50723,Y,Y,N,N,0.00000,0.00000,N,N,1,117
LOGQ,rf0106,7.25786,7.12823,7.41630,7.03461,7.58194,Y,Y,N,N,0.00240,0.00000,N,N,2,39
LOGZ,rf0106,8.52701,8.46108,8.69842,8.38197,8.80391,Y,Y,N,N,0.00000,0.00000,N,N,1,162
LOGQ,rf0107,7.35869,7.30107,7.47391,7.24346,7.58194,Y,Y,N,N,0.00000,0.00000,N,N,1,53
LOGZ,rf0107,8.34241,8.23033,8.40175,8.15781,8.50723,Y,Y,N,N,0.00000,0.00000,N,N,1,134
LOGQ,rf0108,7.37309,7.31548,7.48112,7.26507,7.58194,Y,Y,N,N,0.00000,0.00000,N,N,1,55
LOGZ,rf0108,8.25670,8.17759,8.36219,8.11166,8.45449,Y,Y,N,N,0.00000,0.00000,N,N,1,121
LOGQ,rf0109,7.15704,7.07782,7.30107,7.01301,7.41630,Y,Y,N,N,0.00566,0.00000,N,N,1,25
LOGZ,rf0109,8.54020,8.47427,8.69183,8.40834,8.79072,Y,Y,N,N,0.00000,0.00000,N,N,1,164
LOGQ,rf0110,7.35149,7.29387,7.57474,7.21465,7.84840,Y,Y,N,N,0.00000,0.00000,N,N,1,52
LOGZ,rf0110,8.21055,8.13803,8.40175,8.03914,8.64568,Y,Y,N,N,0.00000,0.00000,N,N,1,114
LOGQ,rf0111,7.35869,7.24346,7.54593,7.13544,7.69716,Y,Y,N,N,0.00000,0.00000,N,N,1,53
LOGZ,rf0111,8.53360,8.46108,8.71820,8.37537,8.81709,Y,Y,N,N,0.00000,0.00000,N,N,1,163
LOGQ,rf0117,7.18585,7.14264,7.32268,7.08502,7.43070,Y,Y,N,N,0.00001,0.00000,N,N,2,29
LOGZ,rf0117,8.42152,8.37537,8.54679,8.32922,8.65887,Y,Y,N,N,0.00000,0.00000,N,N,1,146
LOGQ,rf0118,7.22186,7.14984,7.38029,7.08502,7.57474,Y,Y,N,N,0.00001,0.00000,N,N,1,34
LOGZ,rf0118,8.23693,8.17759,8.40834,8.11166,8.65227,Y,Y,N,N,0.00000,0.00000,N,N,1,118
LOGQ,rf0119,7.17144,7.11383,7.32268,7.04902,7.49552,Y,Y,N,N,0.00024,0.00000,N,N,1,27
LOGZ,rf0119,8.34900,8.25670,8.46767,8.18418,8.65227,Y,Y,N,N,0.00000,0.00000,N,N,1,135
LOGQ,rf0120,7.21465,7.14984,7.35869,7.08502,7.55313,Y,Y,N,N,0.00002,0.00000,N,N,1,33
LOGZ,rf0120,8.06551,7.96662,8.19737,7.86773,8.38197,Y,Y,N,N,0.00000,0.00000,N,N,1,92
LOGQ,rf0122,7.36589,7.30107,7.53153,7.23626,7.69716,Y,Y,N,N,0.00000,0.00000,N,N,1,54
LOGZ,rf0122,8.23693,8.16440,8.38856,8.08529,8.58635,Y,Y,N,N,0.00000,0.00000,N,N,1,118
LOGQ,rf0125,7.10663,7.02741,7.23626,6.98420,7.35149,Y,Y,N,N,0.04188,0.00000,N,N,1,18
LOGZ,rf0125,8.81050,8.63250,8.85665,8.53360,8.90939,Y,Y,N,N,0.00000,0.00000,N,N,1,205
LOGQ,rf0126,7.23626,7.10663,7.44511,6.99860,7.62515,Y,Y,N,N,0.01221,0.00000,N,N,1,36
LOGZ,rf0126,8.96214,8.83687,8.99510,8.66546,9.02807,Y,Y,N,N,0.00000,0.00205,N,N,1,228
LOGQ,rf0128,7.14984,7.08502,7.31548,7.02021,7.45231,Y,Y,N,N,0.00412,0.00000,N,N,1,24
LOGZ,rf0128,8.49405,8.43471,8.66546,8.36219,8.77754,Y,Y,N,N,0.00000,0.00000,N,N,1,157
LOGQ,rf0129,7.07062,7.02741,7.20745,6.98420,7.31548,Y,Y,N,N,0.02803,0.00000,N,N,1,13
LOGZ,rf0129,8.48745,8.42812,8.63250,8.36219,8.74457,Y,Y,N,N,0.00000,0.00000,N,N,1,156
LOGQ,rf0132,7.09943,7.04902,7.17144,7.00581,7.23626,Y,Y,N,N,0.00494,0.00000,N,N,1,17
LOGZ,rf0132,8.61272,8.54679,8.68524,8.49405,8.74457,Y,Y,N,N,0.00000,0.00000,N,N,1,175
LOGQ,rf0134,7.15704,7.04902,7.32988,6.99140,7.47391,Y,Y,N,N,0.02200,0.00000,N,N,1,25
LOGZ,rf0134,8.57316,8.49405,8.77095,8.41493,8.86324,Y,Y,N,N,0.00000,0.00000,N,N,1,169
LOGQ,rf0141,7.31548,7.25786,7.50992,7.17865,7.71877,Y,Y,N,N,0.00000,0.00000,N,N,1,47
LOGZ,rf0141,8.19737,8.13803,8.38856,8.05233,8.65227,Y,Y,N,N,0.00000,0.00000,N,N,1,112
LOGQ,rf0143,7.14264,7.07782,7.27227,7.02021,7.38749,Y,Y,N,N,0.00219,0.00000,N,N,1,23
LOGZ,rf0143,8.45449,8.40175,8.58635,8.32922,8.70502,Y,Y,N,N,0.00000,0.00000,N,N,1,151
LOGQ,rf0145,7.12823,7.06342,7.28667,6.99860,7.42350,Y,Y,N,N,0.01093,0.00000,N,N,1,21
LOGZ,rf0145,8.64568,8.56657,8.75776,8.49405,8.84347,Y,Y,N,N,0.00000,0.00000,N,N,1,180
LOGQ,rf0147,7.22906,7.10663,7.41630,7.01301,7.57474,Y,Y,N,N,0.00819,0.00000,N,N,1,35
LOGZ,rf0147,8.85665,8.73139,8.92917,8.62590,8.98192,Y,Y,N,N,0.00000,0.00001,N,N,1,212
LOGQ,rf0150,7.11383,7.02741,7.25066,6.98420,7.38029,Y,Y,N,N,0.03947,0.00000,N,N,1,19
LOGZ,rf0150,8.87643,8.71161,8.91599,8.57975,8.96214,Y,Y,N,N,0.00000,0.00000,N,N,1,215
LOGQ,rf0154,7.36589,7.29387,7.59634,7.20745,7.74037,Y,Y,N,N,0.00000,0.00000,N,N,1,54
LOGZ,rf0154,8.29626,8.23693,8.50723,8.16440,8.66546,Y,Y,N,N,0.00000,0.00000,N,N,2,127
LOGQ,rf0155,7.25786,7.12103,7.47391,7.02021,7.66836,Y,Y,N,N,0.00600,0.00000,N,N,1,39
LOGZ,rf0155,8.68524,8.55338,8.81050,8.46108,8.90939,Y,Y,N,N,0.00000,0.00001,N,N,1,186
LOGQ,rf0156,7.28667,7.10663,7.47391,7.00581,7.63235,Y,Y,N,N,0.01121,0.00000,N,N,1,43
LOGZ,rf0156,8.85006,8.59953,8.89621,8.48086,8.96214,Y,Y,N,N,0.00000,0.00000,N,N,1,211
LOGQ,rf0157,7.66116,7.55313,7.85560,7.45231,8.01404,Y,Y,N,N,0.00000,0.00000,N,N,1,95
LOGZ,rf0157,8.20396,8.13803,8.38856,8.05892,8.53360,Y,Y,N,N,0.00000,0.00000,N,N,1,113
LOGQ,rf0160,7.02021,7.02021,7.29387,6.98420,7.45231,Y,Y,N,N,0.04560,0.00000,N,N,1,6
LOGZ,rf0160,8.59953,8.50723,8.80391,8.42152,8.90939,Y,Y,N,N,0.00000,0.00000,N,N,1,173
LOGQ,rf0164,7.09223,7.02021,7.25786,6.98420,7.40190,Y,Y,N,N,0.04596,0.00000,N,N,2,16
LOGZ,rf0164,8.88962,8.67865,8.92258,8.53360,8.96873,Y,Y,N,N,0.00000,0.00000,N,N,1,217
LOGQ,rf0165,6.97700,7.00581,7.32268,-inf,7.56033,N,Y,Y,N,0.07130,0.00000,N,N,1,0
LOGZ,rf0165,8.58635,8.51382,8.90280,8.40834,9.00169,Y,Y,N,N,0.00000,0.00096,N,N,2,171
LOGQ,rf0167,7.12103,7.02741,7.28667,6.98420,7.45231,Y,Y,N,N,0.04131,0.00000,N,N,2,20
LOGZ,rf0167,8.92258,8.69183,8.94895,8.51382,8.99510,Y,Y,N,N,0.00000,0.00000,N,N,1,222
LOGQ,rf0169,7.28667,7.21465,7.40190,7.14984,7.53153,Y,Y,N,N,0.00000,0.00000,N,N,1,43
LOGZ,rf0169,8.36219,8.26989,8.44790,8.19737,8.57975,Y,Y,N,N,0.00000,0.00000,N,N,1,137
LOGQ,rf0170,7.20025,7.08502,7.31548,7.00581,7.43791,Y,Y,N,N,0.01011,0.00000,N,N,1,31
LOGZ,rf0170,8.81709,8.67865,8.86324,8.58635,8.92258,Y,Y,N,N,0.00000,0.00000,N,N,1,206
LOGQ,rf0171,7.35149,7.17144,7.68996,7.01301,7.96363,Y,Y,N,N,0.00922,0.00000,N,N,2,52
LOGZ,rf0171,9.03466,8.85665,9.04125,8.55997,inf,Y,Y,N,N,0.00000,0.08778,N,N,1,239
LOGQ,rf0172,6.97700,6.99140,7.15704,-inf,7.30828,N,Y,Y,N,0.12782,0.00000,N,N,1,0
LOGZ,rf0172,8.63250,8.52042,8.78413,8.43471,8.88962,Y,Y,N,N,0.00000,0.00000,N,N,1,178
LOGQ,rf0173,6.97700,7.01301,7.25786,-inf,7.43791,N,Y,Y,N,0.06159,0.00000,N,N,1,0
LOGZ,rf0173,8.90939,8.65887,8.93577,8.52042,8.98851,Y,Y,N,N,0.00000,0.00008,N,N,1,220
LOGQ,rf0175,7.04902,7.02021,7.22186,6.98420,7.36589,Y,Y,N,N,0.04235,0.00000,N,N,1,10
LOGZ,rf0175,8.43471,8.37537,8.59953,8.28967,8.74457,Y,Y,N,N,0.00000,0.00000,N,N,1,148
LOGQ,rf0176,7.22906,7.09223,7.45951,6.99860,7.59634,Y,Y,N,N,0.01260,0.00000,N,N,1,35
LOGZ,rf0176,8.58635,8.50064,8.81709,8.40175,8.90280,Y,Y,N,N,0.00000,0.00000,N,N,2,171
LOGQ,rf0177,7.09943,7.04902,7.22186,7.00581,7.34428,Y,Y,N,N,0.00822,0.00000,N,N,1,17
LOGZ,rf0177,8.48086,8.42812,8.59953,8.36878,8.71161,Y,Y,N,N,0.00000,0.00000,N,N,1,155
LOGQ,rf0179,7.24346,7.16424,7.31548,7.10663,7.39470,Y,Y,N,N,0.00000,0.00000,N,N,2,37
LOGZ,rf0179,8.36219,8.28307,8.42812,8.21715,8.52042,Y,Y,N,N,0.00000,0.00000,N,N,1,137
