Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
LOGQ,rf0001,7.56753,7.32988,7.68276,7.16424,7.80519,Y,Y,N,N,0.00009,0.00000,N,N,1,82
LOGZ,rf0001,7.51171,7.55786,8.07210,7.47216,8.32263,N,Y,N,N,0.02085,0.00000,N,N,1,8
LOGQ,rf0003,7.40910,7.17865,7.60354,7.02021,7.76198,Y,Y,N,N,0.00790,0.00000,N,N,1,60
LOGZ,rf0003,8.75776,8.51382,8.86324,8.26330,8.96873,Y,Y,N,N,0.00000,0.00011,N,N,1,197
LOGQ,rf0006,7.40190,7.18585,7.55313,7.04181,7.68276,Y,Y,N,N,0.00319,0.00000,N,N,1,59
LOGZ,rf0006,8.34900,7.87432,8.48086,7.57764,8.69842,Y,Y,N,N,0.00220,0.00000,N,N,1,135
LOGQ,rf0007,7.13544,7.04902,7.32988,6.98420,7.50272,Y,Y,N,N,0.02690,0.00000,N,N,1,22
LOGZ,rf0007,8.63250,8.42812,8.74457,8.23693,8.85665,Y,Y,N,N,0.00000,0.00001,N,N,1,178
LOGQ,rf0008,8.10766,7.61795,8.28770,7.16424,8.49655,Y,Y,N,N,0.00175,0.00028,N,N,2,157
LOGZ,rf0008,9.06103,8.73139,9.02807,8.54020,inf,N,Y,N,Y,0.00000,0.07051,N,N,2,243
LOGQ,rf0010,7.65395,7.46671,7.74758,7.30107,7.84840,Y,Y,N,N,0.00000,0.00000,N,N,1,94
LOGZ,rf0010,7.90069,7.61061,8.12485,7.48534,8.33582,Y,Y,N,N,0.01138,0.00000,N,N,1,67
LOGQ,rf0011,7.04181,7.02021,7.27947,6.98420,7.43070,Y,Y,N,N,0.04525,0.00000,N,N,1,9
LOGZ,rf0011,8.34241,7.97980,8.48086,7.68313,8.65887,Y,Y,N,N,0.00057,0.00000,N,N,1,134
LOGQ,rf0014,7.46671,7.19305,7.60354,7.04181,7.74037,Y,Y,N,N,0.00359,0.00000,N,N,1,68
LOGZ,rf0014,8.05892,7.64357,8.30285,7.49193,8.59953,Y,Y,N,N,0.00985,0.00000,N,N,1,91
LOGQ,rf0015,7.22186,7.06342,7.44511,6.99140,7.67556,Y,Y,N,N,0.02490,0.00000,N,N,1,34
LOGZ,rf0015,8.98192,8.65887,8.99510,8.44130,9.04125,Y,Y,N,N,0.00000,0.01327,N,N,2,231
LOGQ,rf0017,7.53153,7.32268,7.64675,7.15704,7.75478,Y,Y,N,N,0.00016,0.00000,N,N,1,77
LOGZ,rf0017,8.06551,7.72268,8.28967,7.51171,8.48745,Y,Y,N,N,0.00523,0.00000,N,N,1,92
LOGQ,rf0019,7.72597,7.45951,7.88441,7.19305,8.06445,Y,Y,N,N,0.00031,0.00000,N,N,1,104
LOGZ,rf0019,8.36219,7.77543,8.50064,7.51831,8.75117,Y,Y,N,N,0.00492,0.00000,N,N,1,137
LOGQ,rf0020,6.99860,7.02741,7.32988,6.98420,7.51712,N,Y,N,N,0.04293,0.00000,N,N,1,3
LOGZ,rf0020,8.38856,8.08529,8.61931,7.76224,8.78413,Y,Y,N,N,0.00028,0.00000,N,N,1,141
LOGQ,rf0023,7.64675,7.43070,7.75478,7.22906,7.87000,Y,Y,N,N,0.00004,0.00000,N,N,1,93
LOGZ,rf0023,8.05892,7.67653,8.27648,7.49853,8.50723,Y,Y,N,N,0.00736,0.00000,N,N,1,91
LOGQ,rf0024,6.97700,6.99860,7.20745,-inf,7.37309,N,Y,Y,N,0.08856,0.00000,N,N,1,0
LOGZ,rf0024,8.71161,8.30285,8.74457,8.00618,8.84347,Y,Y,N,N,0.00002,0.00000,N,N,1,190
LOGQ,rf0028,7.47391,7.18585,7.60354,7.02741,7.75478,Y,Y,N,N,0.00512,0.00000,N,N,1,69
LOGZ,rf0028,8.08529,7.74246,8.43471,7.51171,8.71161,Y,Y,N,N,0.00529,0.00000,N,N,1,95
LOGQ,rf0029,7.47391,7.30107,7.59634,7.15704,7.70437,Y,Y,N,N,0.00008,0.00000,N,N,1,69
LOGZ,rf0029,8.13803,7.77543,8.30945,7.53808,8.47427,Y,Y,N,N,0.00351,0.00000,N,N,1,103
LOGQ,rf0030,7.22186,7.06342,7.38029,6.99140,7.53873,Y,Y,N,N,0.02384,0.00000,N,N,1,34
LOGZ,rf0030,8.66546,8.30285,8.72480,7.99958,8.83028,Y,Y,N,N,0.00004,0.00000,N,N,1,183
LOGQ,rf0031,7.22906,7.09943,7.48112,6.99860,7.66116,Y,Y,N,N,0.01541,0.00000,N,N,1,35
