Line,Galaxy Name,In_lhood?,Obs,Model,Resid_Stds,Obs_S/N
hbeta,rf0001,Y,1.00000,1.00000,0.00000,28.19290
oiii4959,rf0001,Y,0.54558,0.79983,-7.96599,17.09396
oiii5007,rf0001,Y,1.76289,2.38639,-14.32567,40.50475
oi6300,rf0001,Y,0.13946,0.09312,2.26802,6.82583
nii6548,rf0001,Y,0.09083,0.11870,-4.61568,15.04260
halpha,rf0001,Y,2.86000,2.80042,1.53217,73.54457
nii6584,rf0001,Y,0.27383,0.34990,-4.17703,15.03557
sii6717,rf0001,Y,0.58942,0.84310,-6.65988,15.47429
sii6731,rf0001,Y,0.38919,0.63642,-10.13565,15.95580
hbeta,rf0003,Y,1.00000,1.00000,0.00000,93.61190
oiii4959,rf0003,Y,0.13398,0.14831,-2.21127,20.67520
oiii5007,rf0003,Y,0.44974,0.44250,0.90207,55.97656
oi6300,rf0003,Y,0.05355,0.04819,1.13519,11.32974
nii6548,rf0003,Y,0.31094,0.19236,38.13392,99.99018
halpha,rf0003,Y,2.86000,2.80657,2.70431,144.76171
nii6584,rf0003,Y,0.93472,0.56703,39.20028,99.65387
sii6717,rf0003,Y,0.48393,0.92913,-59.35345,64.51704
sii6731,rf0003,Y,0.35272,0.70855,-47.49913,47.08458
hbeta,rf0006,Y,1.00000,1.00000,0.00000,18.96895
oiii4959,rf0006,Y,0.39701,0.35659,0.83661,8.21789
oiii5007,rf0006,Y,1.20190,1.06394,2.45523,21.38981
oi6300,rf0006,Y,0.09483,0.05471,1.19705,2.82920
nii6548,rf0006,Y,0.19688,0.15127,4.08271,17.62266
halpha,rf0006,Y,2.86000,2.80555,1.16822,61.36597
nii6584,rf0006,Y,0.59448,0.44592,4.40848,17.64161
sii6717,rf0006,Y,0.75593,0.83938,-2.13095,19.30300
sii6731,rf0006,Y,0.57028,0.63825,-1.91668,16.08036
hbeta,rf0007,Y,1.00000,1.00000,0.00000,19.35663
oiii4959,rf0007,Y,0.21320,0.17926,0.69833,4.38720
oiii5007,rf0007,Y,0.47353,0.53483,-1.24740,9.63494
oi6300,rf0007,Y,0.12910,0.09284,0.99356,3.53686
nii6548,rf0007,Y,0.43462,0.47746,-3.14155,31.87362
halpha,rf0007,Y,2.86000,2.79934,1.25056,58.96004
nii6584,rf0007,Y,1.30974,1.40746,-2.37585,31.84513
sii6717,rf0007,Y,0.83806,1.07962,-6.04146,20.96023
sii6731,rf0007,Y,0.41393,0.82096,-11.40532,11.59860
hbeta,rf0008,Y,1.00000,1.00000,0.00000,31.01034
oiii4959,rf0008,Y,0.09624,0.03572,2.11876,3.36936
oiii5007,rf0008,Y,0.21956,0.10658,3.92441,7.62680
oi6300,rf0008,Y,0.02792,0.02992,-0.09038,1.25952
nii6548,rf0008,Y,0.29594,1.25428,-99.71940,30.79445
halpha,rf0008,Y,2.86000,2.81976,1.10131,78.26470
nii6584,rf0008,Y,0.89042,3.69752,-96.84012,30.71795
sii6717,rf0008,Y,0.23359,0.60100,-14.78206,9.39814
sii6731,rf0008,Y,0.16906,0.46163,-12.77420,7.38173
hbeta,rf0010,Y,1.00000,1.00000,0.00000,63.89095
oiii4959,rf0010,Y,0.73713,0.90916,-11.25492,48.22810
oiii5007,rf0010,Y,2.21207,2.71256,-25.36734,112.11878
oi6300,rf0010,Y,0.10549,0.06875,3.71653,10.66992
nii6548,rf0010,Y,0.10365,0.10393,-0.08909,33.84628
halpha,rf0010,Y,2.86000,2.80220,3.24073,160.35536
nii6584,rf0010,Y,0.31146,0.30636,0.55199,33.71830
sii6717,rf0010,Y,0.53102,0.67610,-11.80164,43.19665
sii6731,rf0010,Y,0.35267,0.51050,-15.99162,35.73386
hbeta,rf0011,Y,1.00000,1.00000,0.00000,22.00847
oiii4959,rf0011,Y,0.24073,0.21324,0.67692,5.92682
oiii5007,rf0011,Y,0.71373,0.63620,1.73113,15.93762
oi6300,rf0011,Y,0.16203,0.10029,2.07430,5.44355
nii6548,rf0011,Y,0.27308,0.27565,-0.22979,24.39870
halpha,rf0011,Y,2.86000,2.80116,1.20265,58.45497
nii6584,rf0011,Y,0.82291,0.81257,0.30628,24.37621
sii6717,rf0011,Y,0.78900,1.16048,-9.95212,21.13751
sii6731,rf0011,Y,0.51171,0.88138,-11.41236,15.79741
hbeta,rf0014,Y,1.00000,1.00000,0.00000,14.52794
oiii4959,rf0014,Y,0.37366,0.40764,-0.53816,5.91693
oiii5007,rf0014,Y,1.21594,1.21624,-0.00426,17.24958
oi6300,rf0014,Y,0.12128,0.04799,1.51907,2.51381
nii6548,rf0014,Y,0.12454,0.14267,-1.30041,8.93338
halpha,rf0014,Y,2.86000,2.80614,0.94018,49.92436
nii6584,rf0014,Y,0.37515,0.42058,-1.08053,8.92138
sii6717,rf0014,Y,0.79601,0.75394,0.82522,15.61499
sii6731,rf0014,Y,0.54925,0.57307,-0.47479,10.94670
hbeta,rf0015,Y,1.00000,1.00000,0.00000,636.90648
oiii4959,rf0015,Y,0.06927,0.07555,-6.06010,66.82230
oiii5007,rf0015,Y,0.15198,0.22542,-66.31627,137.25983
oi6300,rf0015,Y,0.05717,0.05847,-1.27252,55.95660
nii6548,rf0015,Y,0.36176,0.20075,240.00204,539.26360
halpha,rf0015,Y,2.86000,2.80633,13.24405,705.72948
nii6584,rf0015,Y,1.08322,0.59178,242.88072,535.35149
sii6717,rf0015,Y,0.36495,1.09719,-485.29019,241.87136
sii6731,rf0015,Y,0.27992,0.83736,-405.32259,203.52668
hbeta,rf0017,Y,1.00000,1.00000,0.00000,50.16413
oiii4959,rf0017,Y,0.53613,0.56982,-1.82025,28.96357
oiii5007,rf0017,Y,1.57151,1.70012,-5.43215,66.37883
oi6300,rf0017,Y,0.09850,0.06426,2.86305,8.23598
nii6548,rf0017,Y,0.14092,0.13322,1.98310,36.27779
halpha,rf0017,Y,2.86000,2.80389,2.53929,129.43444
nii6584,rf0017,Y,0.42499,0.39272,2.75394,36.27146
sii6717,rf0017,Y,0.64452,0.78888,-10.03948,44.82394
sii6731,rf0017,Y,0.45663,0.59806,-11.35394,36.65669
hbeta,rf0019,Y,1.00000,1.00000,0.00000,4.82090
oiii4959,rf0019,Y,0.34922,0.41437,-0.37556,2.01293
oiii5007,rf0019,Y,1.57156,1.23632,1.89287,8.87361
oi6300,rf0019,Y,-0.02741,0.02149,-0.38689,-0.21686
nii6548,rf0019,Y,0.10987,0.12103,-0.30895,3.04122
halpha,rf0019,Y,2.86000,2.81016,0.30914,17.73887
nii6584,rf0019,Y,0.33119,0.35677,-0.23481,3.03936
sii6717,rf0019,Y,0.53327,0.45892,0.60492,4.33918
sii6731,rf0019,Y,0.45085,0.34873,0.88970,3.92809
hbeta,rf0020,Y,1.00000,1.00000,0.00000,14.68163
oiii4959,rf0020,Y,0.20386,0.17369,0.46245,3.12484
oiii5007,rf0020,Y,0.60883,0.51821,1.39950,9.40275
oi6300,rf0020,Y,0.14851,0.08439,1.26736,2.93547
nii6548,rf0020,Y,0.28387,0.24760,2.26064,17.69097
halpha,rf0020,Y,2.86000,2.80298,0.98359,49.33613
nii6584,rf0020,Y,0.84922,0.72988,2.46588,17.54623
sii6717,rf0020,Y,0.84930,1.12928,-5.17067,15.68518
sii6731,rf0020,Y,0.59575,0.85910,-5.37597,12.16193
hbeta,rf0023,Y,1.00000,1.00000,0.00000,24.83350
oiii4959,rf0023,Y,0.50898,0.62334,-2.89747,12.89524
oiii5007,rf0023,Y,1.80302,1.85979,-1.14304,36.30155
oi6300,rf0023,Y,0.09046,0.04968,1.74330,3.86750
nii6548,rf0023,Y,0.10965,0.12251,-1.64653,14.04329
halpha,rf0023,Y,2.86000,2.80526,1.15340,60.25751
nii6584,rf0023,Y,0.32995,0.36114,-1.32445,14.00988
sii6717,rf0023,Y,0.61303,0.66153,-1.56718,19.80836
sii6731,rf0023,Y,0.44710,0.50152,-2.12014,17.41756
hbeta,rf0024,Y,1.00000,1.00000,0.00000,30.35192
oiii4959,rf0024,Y,0.07978,0.08914,-0.30095,2.56342
oiii5007,rf0024,Y,0.34668,0.26596,2.63535,11.31941
oi6300,rf0024,Y,0.14530,0.11037,1.44719,6.02089
nii6548,rf0024,Y,0.32654,0.26609,7.10936,38.40273
halpha,rf0024,Y,2.86000,2.80298,1.72406,86.46836
nii6584,rf0024,Y,0.98371,0.78437,7.77255,38.35594
sii6717,rf0024,Y,0.76278,1.34967,-20.68926,26.88946
sii6731,rf0024,Y,0.53954,1.02669,-20.52765,22.73500
hbeta,rf0028,Y,1.00000,1.00000,0.00000,13.13254
oiii4959,rf0028,Y,0.36050,0.33101,0.39701,4.85311
oiii5007,rf0028,Y,1.05072,0.98759,0.79423,13.22007
oi6300,rf0028,Y,0.09694,0.03772,1.16153,1.90136
nii6548,rf0028,Y,0.14957,0.14469,0.31602,9.69443
halpha,rf0028,Y,2.86000,2.80757,0.73066,39.85437
nii6584,rf0028,Y,0.45124,0.42654,0.53072,9.69665
sii6717,rf0028,Y,0.88251,0.70264,3.17441,15.57495
sii6731,rf0028,Y,0.36627,0.53467,-2.61161,5.68008
hbeta,rf0029,Y,1.00000,1.00000,0.00000,46.80756
oiii4959,rf0029,Y,0.64044,0.55350,4.15933,30.64050
oiii5007,rf0029,Y,1.56286,1.65143,-3.24695,57.29215
oi6300,rf0029,Y,0.10803,0.07304,2.99497,9.24556
nii6548,rf0029,Y,0.17122,0.13715,7.53243,37.85066
halpha,rf0029,Y,2.86000,2.80318,1.81312,91.26153
nii6584,rf0029,Y,0.51548,0.40430,8.14875,37.77974
sii6717,rf0029,Y,0.57940,0.84985,-17.97813,38.51558
sii6731,rf0029,Y,0.42916,0.64411,-14.83286,29.61533
hbeta,rf0030,Y,1.00000,1.00000,0.00000,46.70307
oiii4959,rf0030,Y,0.17406,0.16320,0.66081,10.59347
oiii5007,rf0030,Y,0.52408,0.48691,1.88724,26.60914
oi6300,rf0030,Y,0.09328,0.07030,1.83571,7.44958
nii6548,rf0030,Y,0.30024,0.22886,11.86523,49.91012
halpha,rf0030,Y,2.86000,2.80401,1.78508,91.18690
nii6584,rf0030,Y,0.90471,0.67465,12.67933,49.86124
sii6717,rf0030,Y,0.72202,1.06744,-19.47582,40.71013
sii6731,rf0030,Y,0.50681,0.81289,-18.51831,30.66219
hbeta,rf0031,Y,1.00000,1.00000,0.00000,588.03303
oiii4959,rf0031,Y,0.09062,0.11355,-25.49608,100.77145
oiii5007,rf0031,Y,0.28982,0.33877,-42.81635,253.51310
oi6300,rf0031,Y,0.05502,0.06245,-8.00507,59.32349
nii6548,rf0031,Y,0.37196,0.21205,191.40492,445.22297
halpha,rf0031,Y,2.86000,2.80536,9.83674,514.90936
nii6584,rf0031,Y,1.11288,0.62508,193.58230,441.64166
sii6717,rf0031,Y,0.49678,1.07642,-305.33001,261.67635
sii6731,rf0031,Y,0.38236,0.82081,-261.15134,227.75006
hbeta,rf0032,Y,1.00000,1.00000,0.00000,8.10726
oiii4959,rf0032,Y,0.49175,0.35543,1.18691,4.28178
oiii5007,rf0032,Y,1.03637,1.06046,-0.19470,8.37740
oi6300,rf0032,Y,0.06424,0.06465,-0.00499,0.78401
nii6548,rf0032,Y,0.26967,0.22273,1.70701,9.80659
halpha,rf0032,Y,2.86000,2.80316,0.50838,25.58168
nii6584,rf0032,Y,0.81160,0.65658,1.86895,9.78485
sii6717,rf0032,Y,0.92060,0.86857,0.52761,9.33492
sii6731,rf0032,Y,0.84465,0.65972,2.17000,9.91121
hbeta,rf0033,Y,1.00000,1.00000,0.00000,15.12874
oiii4959,rf0033,Y,0.48756,0.61393,-2.03096,7.83575
oiii5007,rf0033,Y,1.71236,1.83172,-1.56249,22.41519
oi6300,rf0033,Y,0.13370,0.05290,1.81476,3.00297
nii6548,rf0033,Y,0.11465,0.12474,-0.79362,9.01765
halpha,rf0033,Y,2.86000,2.80494,0.85366,44.34261
nii6584,rf0033,Y,0.34567,0.36773,-0.57529,9.01367
sii6717,rf0033,Y,0.64680,0.68965,-0.94301,14.23528
sii6731,rf0033,Y,0.41902,0.52284,-0.84389,3.40573
hbeta,rf0034,Y,1.00000,1.00000,0.00000,33.10948
oiii4959,rf0034,Y,0.74703,0.82520,-2.60661,24.91080
oiii5007,rf0034,Y,2.28167,2.46207,-4.39890,55.63773
oi6300,rf0034,Y,0.05134,0.03279,1.13537,3.14215
nii6548,rf0034,Y,0.07627,0.09547,-3.56265,14.15069
halpha,rf0034,Y,2.86000,2.80682,1.54410,83.04479
nii6584,rf0034,Y,0.22943,0.28142,-3.19809,14.11356
sii6717,rf0034,Y,0.54401,0.44276,4.08164,21.93067
sii6731,rf0034,Y,0.34780,0.33507,0.67867,18.54229
hbeta,rf0040,Y,1.00000,1.00000,0.00000,86.81342
oiii4959,rf0040,Y,0.07516,0.08517,-1.27034,9.52959
oiii5007,rf0040,Y,0.30010,0.25412,5.17422,33.77268
oi6300,rf0040,Y,0.05540,0.05796,-0.42643,9.21213
nii6548,rf0040,Y,0.33875,0.20244,39.97955,99.35590
halpha,rf0040,Y,2.86000,2.80613,2.79561,148.43428
nii6584,rf0040,Y,1.01684,0.59675,40.84992,98.87893
sii6717,rf0040,Y,0.55219,1.08156,-58.95447,61.49592
sii6731,rf0040,Y,0.38865,0.82533,-51.01030,45.39966
hbeta,rf0042,Y,1.00000,1.00000,0.00000,31.66552
oiii4959,rf0042,Y,0.73271,0.77256,-1.31607,24.19444
oiii5007,rf0042,Y,2.25691,2.30502,-1.13912,53.43951
oi6300,rf0042,Y,0.05267,0.02483,1.76269,3.33465
nii6548,rf0042,Y,0.09922,0.09354,1.05199,18.39412
halpha,rf0042,Y,2.86000,2.80844,1.31365,72.86779
nii6584,rf0042,Y,0.29896,0.27574,1.42734,18.37595
sii6717,rf0042,Y,0.34992,0.37560,-1.40300,19.11953
sii6731,rf0042,Y,0.26552,0.28438,-1.00212,14.10866
hbeta,rf0043,Y,1.00000,1.00000,0.00000,65.38545
oiii4959,rf0043,Y,0.06317,0.14508,-6.16062,4.75046
oiii5007,rf0043,Y,0.26125,0.43286,-12.44555,18.94608
oi6300,rf0043,Y,0.06385,0.06953,-0.52005,5.83819
nii6548,rf0043,Y,0.38621,0.55045,-31.80746,74.79802
halpha,rf0043,Y,2.86000,2.79986,2.63873,125.48526
