Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
AGNFRAC,rf0001,0.39474,0.21053,0.76316,0.05263,0.97368,Y,Y,N,N,0.01470,0.02848,N,N,1,15
LOGQ,rf0001,7.16121,7.06911,7.34542,-inf,7.52963,Y,Y,N,N,0.13459,0.00000,N,N,1,4
LOGZ,rf0001,-0.62648,-0.71080,-0.50000,-0.75296,-0.33136,Y,Y,N,N,0.00000,0.00012,N,N,1,16
AGNFRAC,rf0002,0.23684,0.13158,0.50000,0.05263,0.78947,Y,Y,N,N,0.01819,0.00426,N,N,1,9
LOGQ,rf0002,7.02305,7.02305,7.29937,-inf,7.57568,Y,Y,Y,N,0.32111,0.00000,N,N,1,1
LOGZ,rf0002,-0.24704,-0.33136,-0.03625,-0.37352,0.21671,Y,Y,N,N,0.00000,0.01677,N,N,1,25
AGNFRAC,rf0003,0.00000,-inf,0.18421,-inf,0.34211,Y,Y,Y,N,0.39461,0.00018,N,N,1,0
LOGQ,rf0003,7.39147,7.16121,7.62174,-inf,8.03621,Y,Y,N,N,0.06591,0.00017,N,N,2,9
LOGZ,rf0003,0.25887,-0.07841,0.25887,-0.33136,inf,Y,Y,N,Y,0.00000,0.27393,N,N,3,37
AGNFRAC,rf0006,0.05263,0.02632,0.34211,-inf,0.68421,Y,Y,Y,N,0.19840,0.00211,N,N,1,2
LOGQ,rf0006,7.06911,7.02305,7.39147,-inf,7.71384,Y,Y,Y,N,0.22963,0.00000,N,N,1,2
LOGZ,rf0006,-0.41568,-0.45784,-0.12056,-0.54216,0.21671,Y,Y,N,N,0.00000,0.01662,N,N,1,21
AGNFRAC,rf0007,0.02632,0.02632,0.21053,-inf,0.36842,Y,Y,Y,N,0.29024,0.00016,N,N,1,1
LOGQ,rf0007,7.06911,7.02305,7.43753,-inf,7.66779,Y,Y,Y,N,0.20346,0.00000,N,N,1,2
LOGZ,rf0007,-0.03625,-0.16272,0.21671,-0.28920,inf,Y,Y,N,N,0.00000,0.14848,N,N,3,30
AGNFRAC,rf0010,0.26316,0.13158,0.65789,0.02632,0.92105,Y,Y,N,N,0.03778,0.01448,N,N,1,10
LOGQ,rf0010,7.25332,7.16121,7.48358,7.06911,7.75989,Y,Y,N,N,0.01735,0.00003,N,N,1,6
LOGZ,rf0010,-0.58432,-0.62648,-0.41568,-0.71080,-0.20488,Y,Y,N,N,0.00000,0.00079,N,N,1,17
AGNFRAC,rf0011,0.02632,0.02632,0.26316,-inf,0.52632,Y,Y,Y,N,0.26105,0.00079,N,N,1,1
LOGQ,rf0011,6.97700,-inf,7.25332,-inf,7.48358,Y,Y,Y,N,0.46632,0.00000,N,N,1,0
LOGZ,rf0011,-0.28920,-0.37352,-0.07841,-0.45784,0.13239,Y,Y,N,N,0.00000,0.01095,N,N,1,24
AGNFRAC,rf0013,0.71053,0.57895,0.89474,0.47368,inf,Y,Y,N,N,0.00000,0.05615,N,N,1,27
LOGQ,rf0013,7.66779,7.43753,7.85200,7.25332,7.99016,Y,Y,N,N,0.00013,0.00000,N,N,1,15
LOGZ,rf0013,0.30103,0.04807,inf,-0.03625,inf,Y,Y,N,Y,0.00000,0.39158,N,N,1,38
AGNFRAC,rf0014,0.10526,0.07895,0.63158,-inf,0.92105,Y,Y,N,N,0.08424,0.01452,N,N,1,4
LOGQ,rf0014,7.02305,-inf,7.25332,-inf,7.48358,Y,Y,Y,N,0.43425,0.00000,N,N,1,1
LOGZ,rf0014,-0.54216,-0.62648,-0.37352,-0.71080,-0.12056,Y,Y,N,N,0.00000,0.00300,N,N,1,18
AGNFRAC,rf0015,0.00000,-inf,0.13158,-inf,0.26316,Y,Y,Y,N,0.49937,0.00012,N,N,1,0
LOGQ,rf0015,7.16121,7.02305,7.39147,-inf,7.85200,Y,Y,N,N,0.17520,0.00013,N,N,1,4
LOGZ,rf0015,0.25887,0.09023,inf,-0.12056,inf,Y,Y,N,Y,0.00000,0.45072,N,N,1,37
AGNFRAC,rf0016,0.44737,0.34211,0.65789,0.23684,0.89474,Y,Y,N,N,0.00003,0.00803,N,N,1,17
LOGQ,rf0016,6.97700,-inf,7.20726,-inf,7.39147,Y,Y,Y,N,0.49395,0.00000,N,N,1,0
LOGZ,rf0016,0.09023,-0.03625,0.25887,-0.12056,inf,Y,Y,N,N,0.00000,0.17192,N,N,1,33
AGNFRAC,rf0017,0.10526,0.05263,0.50000,-inf,0.84211,Y,Y,N,N,0.10640,0.00666,N,N,1,4
LOGQ,rf0017,7.16121,7.06911,7.39147,-inf,7.66779,Y,Y,N,N,0.13267,0.00001,N,N,1,4
LOGZ,rf0017,-0.50000,-0.58432,-0.33136,-0.66864,-0.07841,Y,Y,N,N,0.00000,0.00255,N,N,1,19
AGNFRAC,rf0022,0.50000,0.39474,0.76316,0.28947,0.94737,Y,Y,N,N,0.00000,0.01970,N,N,1,19
LOGQ,rf0022,7.06911,7.02305,7.29937,-inf,7.48358,Y,Y,Y,N,0.28173,0.00000,N,N,1,2
LOGZ,rf0022,-0.12056,-0.20488,0.09023,-0.28920,0.21671,Y,Y,N,N,0.00000,0.02443,N,N,1,28
AGNFRAC,rf0023,0.13158,0.07895,0.63158,-inf,0.92105,Y,Y,N,N,0.08099,0.01301,N,N,1,5
LOGQ,rf0023,7.16121,7.06911,7.39147,-inf,7.66779,Y,Y,N,N,0.11679,0.00001,N,N,1,4
LOGZ,rf0023,-0.58432,-0.62648,-0.37352,-0.71080,-0.12056,Y,Y,N,N,0.00000,0.00266,N,N,1,17
