Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
LOGQ,rf0001,7.65807,7.45642,7.77330,7.25478,7.87412,Y,Y,N,N,0.00000,0.00000,N,N,1,82
LOGZ,rf0001,7.79520,7.61061,8.22374,7.47875,8.45449,Y,Y,N,N,0.01286,0.00000,N,N,2,51
LOGQ,rf0003,7.48523,7.31239,7.64367,7.08194,7.77330,Y,Y,N,N,0.00000,0.00000,N,N,1,70
LOGZ,rf0003,8.92258,8.63909,8.92917,8.40175,8.99510,Y,Y,N,N,0.00004,0.00043,N,N,1,222
LOGQ,rf0006,7.44202,7.24037,7.55725,7.03873,7.67247,Y,Y,N,N,0.00000,0.00000,N,N,1,67
LOGZ,rf0006,8.45449,8.03255,8.54679,7.61720,8.70502,Y,Y,N,N,0.00168,0.00000,N,N,1,151
LOGQ,rf0007,7.25478,7.08194,7.39881,6.90910,7.52844,Y,Y,N,N,0.00000,0.00000,N,N,1,54
LOGZ,rf0007,8.67205,8.46108,8.79072,8.23033,8.90939,Y,Y,N,N,0.00000,0.00000,N,N,1,184
LOGQ,rf0008,8.01815,7.68688,8.17659,7.25478,8.36383,Y,Y,N,N,0.00012,0.00000,N,N,2,107
LOGZ,rf0008,9.06103,8.77095,9.02147,8.60612,inf,N,Y,N,Y,0.00002,0.05448,N,N,2,243
LOGQ,rf0010,7.71568,7.54284,7.81651,7.38441,7.90293,Y,Y,N,N,0.00000,0.00000,N,N,1,86
LOGZ,rf0010,8.11825,7.71609,8.28307,7.50512,8.45449,Y,Y,N,N,0.00610,0.00000,N,N,1,100
LOGQ,rf0011,7.22597,7.03873,7.38441,6.85149,7.51404,Y,Y,N,N,0.00000,0.00000,N,N,1,52
LOGZ,rf0011,8.46108,8.11825,8.58635,7.70291,8.71820,Y,Y,N,N,0.00092,0.00000,N,N,1,152
LOGQ,rf0014,7.47083,7.24037,7.60046,7.03873,7.71568,Y,Y,N,N,0.00000,0.00000,N,N,1,69
