Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
LOGQ,rf0001,7.62926,7.37000,7.73009,7.15395,7.84531,Y,Y,N,N,0.00000,0.00000,N,N,1,80
LOGZ,rf0001,7.76224,7.59083,8.17759,7.47875,8.41493,Y,Y,N,N,0.01523,0.00000,N,N,1,46
LOGQ,rf0003,7.39881,7.19716,7.60046,6.89470,7.75889,Y,Y,N,N,0.00000,0.00000,N,N,1,64
LOGZ,rf0003,8.85006,8.57975,8.90939,8.26330,8.98851,Y,Y,N,N,0.00008,0.00036,N,N,1,211
LOGQ,rf0006,7.44202,7.19716,7.58605,6.99552,7.70128,Y,Y,N,N,0.00000,0.00000,N,N,1,67
LOGZ,rf0006,8.45449,8.04573,8.57975,7.62379,8.75776,Y,Y,N,N,0.00167,0.00000,N,N,1,151
LOGQ,rf0007,7.19716,7.00992,7.35560,6.85149,7.52844,Y,Y,N,N,0.00000,0.00000,N,N,1,50
LOGZ,rf0007,8.64568,8.42812,8.78413,8.19737,8.91599,Y,Y,N,N,0.00000,0.00006,N,N,1,180
LOGQ,rf0008,8.16219,7.65807,8.34943,7.02433,8.60869,Y,Y,N,N,0.00043,0.00000,N,N,2,117
LOGZ,rf0008,8.94236,8.77754,9.01488,8.54679,9.05444,Y,Y,N,N,0.00004,0.04419,N,N,2,225
LOGQ,rf0010,7.68688,7.48523,7.78770,7.29799,7.88852,Y,Y,N,N,0.00000,0.00000,N,N,1,84
LOGZ,rf0010,8.05892,7.68313,8.24352,7.49853,8.42812,Y,Y,N,N,0.00748,0.00000,N,N,1,91
LOGQ,rf0011,7.13955,6.93791,7.29799,6.79387,7.45642,Y,Y,N,N,0.00000,0.00000,N,N,1,46
LOGZ,rf0011,8.45449,8.03255,8.54020,7.63698,8.68524,Y,Y,N,N,0.00138,0.00000,N,N,1,151
