Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
AGNFRAC,rf0001,0.00000,-inf,0.02632,-inf,0.18421,Y,Y,Y,N,0.91537,0.00005,Y,N,1,0
LOGQ,rf0001,5.92437,5.83226,6.01647,5.74016,6.10858,Y,Y,N,N,0.00000,0.00000,N,N,1,26
LOGZ,rf0001,8.26000,8.13352,8.51296,7.96488,8.63944,Y,Y,N,N,0.00218,0.00019,N,N,1,19
AGNFRAC,rf0002,1.00000,0.97368,inf,0.97368,inf,Y,Y,N,Y,0.00000,1.00000,N,Y,1,38
LOGQ,rf0002,6.33884,6.29279,6.38489,6.29279,6.38489,Y,Y,N,Y,0.00000,0.00000,N,N,1,35
LOGZ,rf0002,7.45897,-inf,7.50113,-inf,7.50113,Y,Y,Y,N,0.99974,0.00000,Y,N,1,0
AGNFRAC,rf0003,0.00000,-inf,0.07895,-inf,0.13158,Y,Y,Y,N,0.77365,0.00000,Y,N,1,0
LOGQ,rf0003,6.01647,5.92437,6.10858,5.87832,6.20068,Y,Y,N,N,0.00000,0.00003,N,N,1,28
LOGZ,rf0003,9.01887,8.89239,inf,8.76591,inf,Y,Y,N,Y,0.00000,0.54578,N,Y,1,37
AGNFRAC,rf0006,1.00000,0.97368,inf,0.97368,inf,Y,Y,N,Y,0.00000,1.00000,N,Y,1,38
LOGQ,rf0006,6.33884,6.29279,6.38489,6.29279,6.38489,Y,Y,N,Y,0.00000,0.00000,N,N,1,35
LOGZ,rf0006,7.45897,-inf,7.50113,-inf,7.50113,Y,Y,Y,N,1.00000,0.00000,Y,N,1,0
AGNFRAC,rf0007,1.00000,0.97368,inf,0.97368,inf,Y,Y,N,Y,0.00000,1.00000,N,Y,1,38
LOGQ,rf0007,6.33884,6.29279,6.38489,6.29279,6.38489,Y,Y,N,Y,0.00000,0.00000,N,N,1,35
LOGZ,rf0007,7.45897,-inf,7.50113,-inf,7.50113,Y,Y,Y,N,1.00000,0.00000,Y,N,1,0
AGNFRAC,rf0008,1.00000,0.34211,0.92105,0.07895,inf,N,Y,N,Y,0.01274,0.10387,N,N,1,38
LOGQ,rf0008,6.47700,6.33884,inf,6.24674,inf,Y,Y,N,Y,0.00000,0.72017,N,Y,1,38
LOGZ,rf0008,8.09136,7.71193,8.26000,7.50113,8.47080,Y,Y,N,N,0.04886,0.00003,N,N,2,15
AGNFRAC,rf0010,1.00000,0.97368,inf,0.97368,inf,Y,Y,N,Y,0.00000,1.00000,N,Y,1,38
LOGQ,rf0010,6.33884,6.29279,6.38489,6.29279,6.38489,Y,Y,N,Y,0.00000,0.00000,N,N,1,35
LOGZ,rf0010,7.45897,-inf,7.50113,-inf,7.50113,Y,Y,Y,N,1.00000,0.00000,Y,N,1,0
AGNFRAC,rf0011,0.00000,-inf,0.02632,-inf,0.05263,Y,Y,Y,N,0.98744,0.00000,Y,N,1,0
LOGQ,rf0011,6.15463,6.06253,6.24674,5.97042,6.29279,Y,Y,N,N,0.00000,0.00003,N,N,1,31
LOGZ,rf0011,8.55512,8.38648,8.72375,8.17568,8.85023,Y,Y,N,N,0.00002,0.00069,N,N,1,26
AGNFRAC,rf0013,0.81579,0.71053,0.94737,0.63158,inf,Y,Y,N,N,0.00000,0.11033,N,N,1,31
LOGQ,rf0013,5.78621,5.69411,5.92437,5.64805,5.97042,Y,Y,N,N,0.00000,0.00000,N,N,1,23
LOGZ,rf0013,8.97671,8.85023,9.01887,8.72375,inf,Y,Y,N,Y,0.00000,0.36921,N,N,1,36
AGNFRAC,rf0014,0.00000,-inf,0.02632,-inf,0.05263,Y,Y,Y,N,0.98966,0.00000,Y,N,1,0
LOGQ,rf0014,5.97042,5.87832,6.10858,5.78621,6.20068,Y,Y,N,N,0.00000,0.00000,N,N,1,27
