Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
LOGQ,rf0001,7.62926,7.42762,7.73009,7.24037,7.84531,Y,Y,N,N,0.00000,0.00000,N,N,1,80
LOGZ,rf0001,7.71609,7.57764,8.13144,7.47216,8.38197,Y,Y,N,N,0.01725,0.00000,N,N,1,39
LOGQ,rf0003,7.54284,7.37000,7.65807,7.13955,7.77330,Y,Y,N,N,0.00000,0.00000,N,N,1,74
LOGZ,rf0003,8.83028,8.65227,8.88962,8.42812,8.94236,Y,Y,N,N,0.00003,0.00000,N,N,1,208
LOGQ,rf0006,7.42762,7.21157,7.54284,7.05313,7.65807,Y,Y,N,N,0.00000,0.00000,N,N,1,66
LOGZ,rf0006,8.40175,7.88091,8.48745,7.55786,8.63250,Y,Y,N,N,0.00296,0.00000,N,N,1,143
LOGQ,rf0007,7.25478,7.09634,7.41321,6.92350,7.55725,Y,Y,N,N,0.00000,0.00000,N,N,1,54
LOGZ,rf0007,8.63909,8.43471,8.72480,8.19737,8.83687,Y,Y,N,N,0.00000,0.00000,N,N,1,179
LOGQ,rf0008,8.00375,7.70128,8.19099,7.38441,8.37823,Y,Y,N,N,0.00002,0.00000,N,N,2,106
LOGZ,rf0008,9.05444,8.81709,9.03466,8.66546,inf,N,Y,N,Y,0.00001,0.06817,N,N,2,242
LOGQ,rf0010,7.68688,7.52844,7.78770,7.37000,7.88852,Y,Y,N,N,0.00000,0.00000,N,N,1,84
LOGZ,rf0010,8.02595,7.64357,8.20396,7.49193,8.40175,Y,Y,N,N,0.00952,0.00000,N,N,1,86
LOGQ,rf0011,7.22597,7.00992,7.37000,6.86589,7.49963,Y,Y,N,N,0.00000,0.00000,N,N,1,52
LOGZ,rf0011,8.46108,8.00618,8.53360,7.63038,8.65887,Y,Y,N,N,0.00140,0.00000,N,N,1,152
LOGQ,rf0014,7.45642,7.22597,7.57165,7.05313,7.68688,Y,Y,N,N,0.00000,0.00000,N,N,1,68
LOGZ,rf0014,8.05892,7.62379,8.31604,7.48534,8.55997,Y,Y,N,N,0.01166,0.00000,N,N,2,91
LOGQ,rf0015,7.41321,7.21157,7.55725,6.95231,7.70128,Y,Y,N,N,0.00026,0.00000,N,N,1,65
LOGZ,rf0015,8.93577,8.75117,8.95554,8.52701,9.00169,Y,Y,N,N,0.00001,0.00005,N,N,1,224
LOGQ,rf0017,7.57165,7.37000,7.67247,7.19716,7.77330,Y,Y,N,N,0.00000,0.00000,N,N,1,76
LOGZ,rf0017,8.06551,7.74905,8.35560,7.51171,8.53360,Y,Y,N,N,0.00529,0.00000,N,N,1,92
LOGQ,rf0019,7.67247,7.42762,7.83091,7.19716,7.98935,Y,Y,N,N,0.00000,0.00000,N,N,1,83
LOGZ,rf0019,8.06551,7.71609,8.46767,7.49853,8.69183,Y,Y,N,N,0.00712,0.00000,N,N,1,92
LOGQ,rf0020,7.22597,6.98112,7.37000,6.82268,7.51404,Y,Y,N,N,0.00000,0.00000,N,N,1,52
LOGZ,rf0020,8.49405,8.05233,8.61272,7.65676,8.75117,Y,Y,N,N,0.00116,0.00000,N,N,1,157
LOGQ,rf0023,7.64367,7.44202,7.74449,7.26918,7.84531,Y,Y,N,N,0.00000,0.00000,N,N,1,81
LOGZ,rf0023,8.05892,7.66335,8.29626,7.49193,8.52042,Y,Y,N,N,0.00888,0.00000,N,N,1,91
LOGQ,rf0024,7.15395,6.88029,7.26918,6.67865,7.41321,Y,Y,N,N,0.00006,0.00000,N,N,1,47
LOGZ,rf0024,8.67865,8.27648,8.72480,7.82817,8.82369,Y,Y,N,N,0.00039,0.00000,N,N,1,185
LOGQ,rf0028,7.45642,7.21157,7.57165,7.00992,7.70128,Y,Y,N,N,0.00000,0.00000,N,N,1,68
LOGZ,rf0028,8.06551,7.71609,8.44790,7.50512,8.64568,Y,Y,N,N,0.00692,0.00000,N,N,1,92
LOGQ,rf0029,7.55725,7.37000,7.65807,7.21157,7.75889,Y,Y,N,N,0.00000,0.00000,N,N,1,75
LOGZ,rf0029,8.26989,7.86773,8.38197,7.55786,8.52701,Y,Y,N,N,0.00274,0.00000,N,N,2,123
LOGQ,rf0030,7.35560,7.12515,7.45642,6.88029,7.57165,Y,Y,N,N,0.00000,0.00000,N,N,1,61
LOGZ,rf0030,8.67865,8.37537,8.73139,7.95343,8.82369,Y,Y,N,N,0.00025,0.00000,N,N,1,185
LOGQ,rf0031,7.47083,7.28358,7.57165,7.05313,7.68688,Y,Y,N,N,0.00000,0.00000,N,N,1,69
