Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
AGNFRAC,rf0001,0.02632,-inf,0.44737,-inf,0.86842,Y,Y,Y,N,0.45229,0.00830,N,N,1,1
LOGQ,rf0001,7.39805,7.21384,7.95068,7.02963,8.13489,Y,Y,N,N,0.00000,0.00000,N,N,2,10
LOGZ,rf0001,7.45897,7.54329,8.21784,-inf,8.51296,N,Y,Y,N,0.12142,0.00016,N,N,1,0
AGNFRAC,rf0002,0.07895,0.05263,0.39474,-inf,0.73684,Y,Y,N,N,0.10047,0.00320,N,N,1,3
LOGQ,rf0002,7.12174,6.93753,7.39805,6.75332,7.58226,Y,Y,N,N,0.00166,0.00000,N,N,1,7
LOGZ,rf0002,8.38648,8.04920,8.59728,7.66977,8.80807,Y,Y,N,N,0.00544,0.00147,N,N,1,22
AGNFRAC,rf0003,0.00000,-inf,0.10526,-inf,0.39474,Y,Y,Y,N,0.74093,0.00058,Y,N,1,0
LOGQ,rf0003,7.39805,7.02963,7.67437,6.75332,8.04279,Y,Y,N,N,0.01063,0.00000,N,N,1,10
LOGZ,rf0003,8.85023,8.47080,8.89239,8.13352,9.01887,Y,Y,N,N,0.00127,0.03432,N,N,1,33
AGNFRAC,rf0006,0.02632,-inf,0.21053,-inf,0.52632,Y,Y,Y,N,0.55157,0.00115,Y,N,1,1
LOGQ,rf0006,7.21384,7.02963,7.67437,6.93753,7.85858,Y,Y,N,N,0.00018,0.00000,N,N,1,8
LOGZ,rf0006,8.38648,7.96488,8.59728,7.58545,8.85023,Y,Y,N,N,0.01455,0.00218,N,N,1,22
AGNFRAC,rf0007,0.00000,-inf,0.18421,-inf,0.42105,Y,Y,Y,N,0.49147,0.00054,N,N,1,0
LOGQ,rf0007,7.12174,6.84542,7.39805,6.66121,7.67437,Y,Y,N,N,0.01355,0.00000,N,N,1,7
LOGZ,rf0007,8.68159,8.42864,8.85023,8.13352,8.97671,Y,Y,N,N,0.00025,0.01799,N,N,1,29
AGNFRAC,rf0010,0.02632,-inf,0.39474,-inf,0.81579,Y,Y,Y,N,0.37921,0.00599,N,N,1,1
LOGQ,rf0010,7.76647,7.39805,8.04279,7.21384,8.22700,Y,Y,N,N,0.00000,0.00000,N,N,1,14
LOGZ,rf0010,8.04920,7.62761,8.34432,-inf,8.59728,Y,Y,N,N,0.05899,0.00022,N,N,1,14
AGNFRAC,rf0011,0.02632,-inf,0.21053,-inf,0.55263,Y,Y,Y,N,0.53711,0.00130,Y,N,1,1
LOGQ,rf0011,7.02963,6.84542,7.30595,6.66121,7.67437,Y,Y,N,N,0.01403,0.00000,N,N,1,6
LOGZ,rf0011,8.42864,8.00704,8.59728,7.58545,8.85023,Y,Y,N,N,0.01201,0.00188,N,N,1,23
AGNFRAC,rf0013,0.55263,0.44737,0.81579,0.34211,0.97368,Y,Y,N,N,0.00000,0.02877,N,N,1,21
LOGQ,rf0013,7.58226,7.39805,7.76647,7.21384,7.95068,Y,Y,N,N,0.00000,0.00000,N,N,1,12
LOGZ,rf0013,8.93455,8.72375,8.97671,8.55512,inf,Y,Y,N,Y,0.00000,0.11254,N,N,1,35
AGNFRAC,rf0014,0.02632,-inf,0.23684,-inf,0.68421,Y,Y,Y,N,0.60179,0.00278,Y,N,1,1
LOGQ,rf0014,7.21384,7.02963,7.67437,6.84542,7.95068,Y,Y,N,N,0.00016,0.00000,N,N,1,8
LOGZ,rf0014,7.66977,7.58545,8.38648,-inf,8.72375,Y,Y,N,N,0.08199,0.00099,N,N,2,5
AGNFRAC,rf0015,0.00000,-inf,0.07895,-inf,0.39474,Y,Y,Y,N,0.81267,0.00073,Y,N,1,0
LOGQ,rf0015,7.21384,6.84542,7.49016,6.56911,8.13489,Y,Y,N,N,0.04898,0.00000,N,N,1,8
LOGZ,rf0015,8.89239,8.55512,8.97671,8.21784,inf,Y,Y,N,N,0.00029,0.09325,N,N,1,34
AGNFRAC,rf0016,0.39474,0.26316,0.68421,0.15789,0.92105,Y,Y,N,N,0.00072,0.01260,N,N,1,15
LOGQ,rf0016,6.93753,6.75332,7.12174,6.66121,7.30595,Y,Y,N,N,0.01690,0.00000,N,N,1,5
LOGZ,rf0016,8.68159,8.47080,8.85023,8.30216,8.97671,Y,Y,N,N,0.00000,0.01433,N,N,1,29
AGNFRAC,rf0017,0.02632,-inf,0.26316,-inf,0.68421,Y,Y,Y,N,0.50149,0.00259,Y,N,1,1
LOGQ,rf0017,7.30595,7.21384,7.85858,7.02963,8.04279,Y,Y,N,N,0.00000,0.00000,N,N,1,9
LOGZ,rf0017,8.30216,7.75409,8.47080,7.50113,8.72375,Y,Y,N,N,0.03296,0.00058,N,N,1,20
AGNFRAC,rf0022,0.39474,0.28947,0.71053,0.18421,0.92105,Y,Y,N,N,0.00033,0.01406,N,N,1,15
LOGQ,rf0022,7.12174,6.93753,7.30595,6.84542,7.49016,Y,Y,N,N,0.00000,0.00000,N,N,1,7
LOGZ,rf0022,8.47080,8.26000,8.72375,8.04920,8.89239,Y,Y,N,N,0.00002,0.00286,N,N,1,24
AGNFRAC,rf0023,0.02632,-inf,0.31579,-inf,0.73684,Y,Y,Y,N,0.48707,0.00366,N,N,1,1
LOGQ,rf0023,7.49016,7.21384,7.95068,7.12174,8.13489,Y,Y,N,N,0.00000,0.00000,N,N,2,11
LOGZ,rf0023,8.26000,7.66977,8.42864,-inf,8.72375,Y,Y,N,N,0.05546,0.00067,N,N,1,19
AGNFRAC,rf0024,0.00000,-inf,0.13158,-inf,0.39474,Y,Y,Y,N,0.70540,0.00053,Y,N,1,0
LOGQ,rf0024,6.93753,6.66121,7.12174,-inf,7.49016,Y,Y,N,N,0.07876,0.00000,N,N,1,5
