Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
LOGQ,rf0001,7.26507,7.19305,7.37309,7.12823,7.48112,Y,Y,N,N,0.00000,0.00000,N,N,1,40
LOGZ,rf0001,-0.47693,-0.54945,-0.35825,-0.61537,-0.23958,Y,Y,N,N,0.00000,0.00000,N,N,1,125
LOGQ,rf0003,7.36589,7.17865,7.48832,7.02741,7.61074,Y,Y,N,N,0.00516,0.00000,N,N,1,54
LOGZ,rf0003,0.10984,-0.06817,0.14280,-0.20662,0.18895,Y,Y,N,N,0.00000,0.00000,N,N,1,214
LOGQ,rf0006,7.27227,7.17865,7.45231,7.09223,7.61074,Y,Y,N,N,0.00006,0.00000,N,N,1,41
LOGZ,rf0006,-0.26595,-0.34507,-0.10113,-0.42418,0.01754,Y,Y,N,N,0.00000,0.00000,N,N,1,157
LOGQ,rf0007,7.21465,7.10663,7.40910,7.01301,7.57474,Y,Y,N,N,0.00590,0.00000,N,N,1,33
LOGZ,rf0007,-0.01543,-0.09454,0.10984,-0.18025,0.18895,Y,Y,N,N,0.00000,0.00000,N,N,1,195
LOGQ,rf0008,8.09326,7.82679,8.33091,7.45951,8.59017,Y,Y,N,N,0.00027,0.00174,N,N,1,155
LOGZ,rf0008,0.28784,0.23510,0.29444,0.16258,inf,Y,Y,N,Y,0.00000,0.25685,N,N,1,241
LOGQ,rf0010,7.35869,7.30107,7.48112,7.23626,7.59634,Y,Y,N,N,0.00000,0.00000,N,N,1,53
LOGZ,rf0010,-0.41100,-0.49670,-0.31870,-0.56922,-0.20662,Y,Y,N,N,0.00000,0.00000,N,N,1,135
LOGQ,rf0011,7.11383,7.04902,7.25786,6.99860,7.39470,Y,Y,N,N,0.01406,0.00000,N,N,1,19
LOGZ,rf0011,-0.20003,-0.27914,-0.09454,-0.35166,0.00435,Y,Y,N,N,0.00000,0.00000,N,N,1,167
LOGQ,rf0014,7.16424,7.09943,7.35869,7.03461,7.56033,Y,Y,N,N,0.00202,0.00000,N,N,1,26
LOGZ,rf0014,-0.41759,-0.49011,-0.23958,-0.56922,-0.04839,Y,Y,N,N,0.00000,0.00000,N,N,1,134
LOGQ,rf0015,7.18585,7.06342,7.30828,6.99140,7.44511,Y,Y,N,N,0.01977,0.00000,N,N,1,29
LOGZ,rf0015,0.17577,0.05709,0.20214,-0.06158,0.23510,Y,Y,N,N,0.00000,0.00000,N,N,1,224
LOGQ,rf0017,7.28667,7.21465,7.41630,7.14264,7.53153,Y,Y,N,N,0.00000,0.00000,N,N,1,43
LOGZ,rf0017,-0.37803,-0.44396,-0.23958,-0.50989,-0.13410,Y,Y,N,N,0.00000,0.00000,N,N,1,140
LOGQ,rf0023,7.29387,7.22906,7.48832,7.14264,7.66836,Y,Y,N,N,0.00000,0.00000,N,N,1,44
LOGZ,rf0023,-0.43737,-0.50330,-0.25936,-0.58241,-0.09454,Y,Y,N,N,0.00000,0.00000,N,N,1,131
LOGQ,rf0024,6.97700,6.99860,7.17144,-inf,7.29387,N,Y,Y,N,0.08807,0.00000,N,N,1,0
LOGZ,rf0024,-0.06158,-0.17365,0.03072,-0.25936,0.10984,Y,Y,N,N,0.00000,0.00000,N,N,1,188
LOGQ,rf0028,7.17144,7.10663,7.41630,7.02741,7.63955,Y,Y,N,N,0.00260,0.00000,N,N,1,27
LOGZ,rf0028,-0.37803,-0.44396,-0.15388,-0.52307,0.03732,Y,Y,N,N,0.00000,0.00000,N,N,1,140
LOGQ,rf0029,7.32988,7.25066,7.45231,7.17865,7.56033,Y,Y,N,N,0.00000,0.00000,N,N,1,49
LOGZ,rf0029,-0.31210,-0.39122,-0.20662,-0.45715,-0.12091,Y,Y,N,N,0.00000,0.00000,N,N,1,150
LOGQ,rf0030,7.18585,7.06342,7.31548,6.99860,7.43070,Y,Y,N,N,0.01496,0.00000,N,N,1,29
LOGZ,rf0030,-0.08795,-0.20662,0.01095,-0.29233,0.09665,Y,Y,N,N,0.00000,0.00000,N,N,1,184
LOGQ,rf0031,7.26507,7.12103,7.38749,7.01301,7.50272,Y,Y,N,N,0.00792,0.00000,N,N,1,40
LOGZ,rf0031,0.14280,0.01095,0.17577,-0.10773,0.21532,Y,Y,N,N,0.00000,0.00000,N,N,1,219
LOGQ,rf0033,7.27227,7.20025,7.47391,7.12103,7.68276,Y,Y,N,N,0.00001,0.00000,N,N,1,41
LOGZ,rf0033,-0.42418,-0.49670,-0.25277,-0.58241,-0.07476,Y,Y,N,N,0.00000,0.00000,N,N,1,133
LOGQ,rf0034,7.41630,7.35149,7.63955,7.27227,7.81959,Y,Y,N,N,0.00000,0.00000,N,N,1,61
LOGZ,rf0034,-0.49670,-0.56263,-0.29233,-0.64175,-0.11432,Y,Y,N,N,0.00000,0.00000,N,N,1,122
LOGQ,rf0040,7.26507,7.12103,7.40910,7.00581,7.55313,Y,Y,N,N,0.01001,0.00000,N,N,1,40
LOGZ,rf0040,0.15599,0.00435,0.18895,-0.12750,0.22851,Y,Y,N,N,0.00000,0.00001,N,N,1,221
LOGQ,rf0042,7.48112,7.40190,7.84120,7.29387,8.05005,Y,Y,N,N,0.00000,0.00000,N,N,1,70
LOGZ,rf0042,-0.43078,-0.48352,-0.15388,-0.58241,-0.00883,Y,Y,N,N,0.00000,0.00000,N,N,2,132
LOGQ,rf0043,7.23626,7.14264,7.66116,7.01301,7.87721,Y,Y,N,N,0.00788,0.00000,N,N,1,36
LOGZ,rf0043,0.25488,0.07028,0.26147,-0.06158,0.29444,Y,Y,N,N,0.00000,0.02638,N,N,1,236
LOGQ,rf0045,7.35149,7.29387,7.50272,7.22906,7.63955,Y,Y,N,N,0.00000,0.00000,N,N,1,52
LOGZ,rf0045,-0.49670,-0.56263,-0.35825,-0.62856,-0.22640,Y,Y,N,N,0.00000,0.00000,N,N,1,122
LOGQ,rf0048,7.28667,7.21465,7.41630,7.14264,7.53873,Y,Y,N,N,0.00000,0.00000,N,N,1,43
LOGZ,rf0048,-0.39781,-0.48352,-0.28573,-0.54945,-0.16706,Y,Y,N,N,0.00000,0.00000,N,N,1,137
LOGQ,rf0049,7.30828,7.24346,7.50992,7.16424,7.67556,Y,Y,N,N,0.00000,0.00000,N,N,1,46
LOGZ,rf0049,-0.45055,-0.50989,-0.27255,-0.58900,-0.11432,Y,Y,N,N,0.00000,0.00000,N,N,1,129
LOGQ,rf0051,7.46671,7.39470,7.71877,7.30828,7.95642,Y,Y,N,N,0.00000,0.00000,N,N,1,68
LOGZ,rf0051,-0.55604,-0.62856,-0.35166,-0.70767,-0.13410,Y,Y,N,N,0.00000,0.00000,N,N,1,113
LOGQ,rf0053,7.37309,7.30828,7.49552,7.25066,7.60354,Y,Y,N,N,0.00000,0.00000,N,N,1,55
LOGZ,rf0053,-0.45715,-0.52967,-0.34507,-0.60219,-0.23958,Y,Y,N,N,0.00000,0.00000,N,N,1,128
LOGQ,rf0058,7.20025,7.10663,7.48832,7.02021,7.70437,Y,Y,N,N,0.00545,0.00000,N,N,1,31
LOGZ,rf0058,-0.23958,-0.31210,-0.01543,-0.39781,0.12302,Y,Y,N,N,0.00000,0.00000,N,N,1,161
LOGQ,rf0060,7.16424,7.10663,7.29387,7.04902,7.39470,Y,Y,N,N,0.00013,0.00000,N,N,1,26
LOGZ,rf0060,-0.39781,-0.45715,-0.27255,-0.52307,-0.16047,Y,Y,N,N,0.00000,0.00000,N,N,1,137
