Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
AGNFRAC,rf0001,0.00000,0.02041,0.40816,-inf,0.73469,N,Y,Y,N,0.17882,0.00221,N,N,1,0
LOGQ,rf0001,5.83414,5.72700,5.94129,5.61986,6.08414,Y,Y,N,N,0.00000,0.00000,N,N,1,31
LOGZ,rf0001,-0.77791,-1.10486,-0.41826,-1.26833,-0.09131,Y,Y,N,N,0.04711,0.00072,N,N,1,16
AGNFRAC,rf0002,0.12245,0.06122,0.42857,-inf,0.81633,Y,Y,N,N,0.08875,0.00385,N,N,1,6
LOGQ,rf0002,6.11986,5.97700,6.22700,5.83414,6.29843,Y,Y,N,N,0.00000,0.00001,N,N,1,39
LOGZ,rf0002,-0.38557,-0.61443,-0.12401,-0.90869,0.10486,Y,Y,N,N,0.00094,0.00165,N,N,1,28
AGNFRAC,rf0003,0.00000,-inf,0.06122,-inf,0.12245,Y,Y,Y,N,0.71346,0.00000,Y,N,1,0
LOGQ,rf0003,6.04843,5.94129,6.11986,5.86986,6.19129,Y,Y,N,N,0.00000,0.00011,N,N,1,37
LOGZ,rf0003,0.26833,0.07216,inf,-0.05862,inf,Y,Y,N,Y,0.00001,0.35038,N,N,1,48
AGNFRAC,rf0006,0.00000,-inf,0.12245,-inf,0.24490,Y,Y,Y,N,0.45857,0.00002,N,N,1,0
LOGQ,rf0006,5.94129,5.86986,6.08414,5.79843,6.15557,Y,Y,N,N,0.00000,0.00000,N,N,1,34
LOGZ,rf0006,0.00677,-0.35287,0.13755,-0.71252,0.26833,Y,Y,N,N,0.00095,0.02817,N,N,1,40
AGNFRAC,rf0007,0.00000,-inf,0.14286,-inf,0.38776,Y,Y,Y,N,0.46171,0.00033,N,N,1,0
LOGQ,rf0007,6.11986,5.97700,6.22700,5.83414,6.29843,Y,Y,N,N,0.00000,0.00140,N,N,1,39
LOGZ,rf0007,0.03947,-0.22209,0.17025,-0.45096,0.26833,Y,Y,N,N,0.00002,0.04004,N,N,1,41
AGNFRAC,rf0008,0.00000,-inf,0.22449,-inf,0.46939,Y,Y,Y,N,0.30242,0.00052,N,N,1,0
LOGQ,rf0008,5.54843,5.33414,5.69129,5.08414,5.94129,Y,Y,N,N,0.00090,0.00115,N,N,2,23
LOGZ,rf0008,0.23564,0.07216,inf,-0.09131,inf,Y,Y,N,Y,0.00007,0.32482,N,N,2,47
AGNFRAC,rf0010,0.00000,0.04082,0.38776,-inf,0.65306,N,Y,Y,N,0.11327,0.00100,N,N,1,0
LOGQ,rf0010,5.76271,5.65557,5.86986,5.58414,5.94129,Y,Y,N,N,0.00000,0.00000,N,N,1,29
LOGZ,rf0010,-0.61443,-0.97408,-0.38557,-1.23564,-0.12401,Y,Y,N,N,0.01991,0.00020,N,N,1,21
AGNFRAC,rf0011,0.00000,-inf,0.14286,-inf,0.28571,Y,Y,Y,N,0.39485,0.00004,N,N,1,0
