Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
LOGQ,rf0001,7.39234,7.32695,7.52312,7.26156,7.62121,Y,Y,N,N,0.00000,0.00000,N,N,1,12
LOGZ,rf0001,8.27443,8.20904,8.43791,8.14365,8.56869,Y,Y,N,N,0.00000,0.00000,N,N,1,28
LOGQ,rf0003,7.29426,7.13078,7.52312,7.03270,7.65390,Y,Y,N,N,0.05171,0.00000,N,N,1,9
LOGZ,rf0003,8.79755,8.47060,8.83025,8.37252,8.89564,Y,Y,N,N,0.00000,0.01617,N,N,2,44
LOGQ,rf0006,7.35965,7.22887,7.42504,7.16348,7.52312,Y,Y,N,N,0.00002,0.00000,N,N,1,11
LOGZ,rf0006,8.40521,8.33982,8.56869,8.24174,8.66677,Y,Y,N,N,0.00000,0.00000,N,N,1,32
LOGQ,rf0007,7.22887,7.13078,7.35965,7.03270,7.45773,Y,Y,N,N,0.02878,0.00000,N,N,1,7
LOGZ,rf0007,8.66677,8.53599,8.76486,8.47060,8.83025,Y,Y,N,N,0.00000,0.00023,N,N,1,40
LOGQ,rf0008,7.78468,7.45773,7.91546,7.13078,8.07894,Y,Y,N,N,0.00957,0.00000,N,N,2,24
LOGZ,rf0008,8.96103,8.83025,inf,8.60138,inf,Y,Y,N,Y,0.00000,0.67080,N,Y,1,49
LOGQ,rf0010,7.49043,7.42504,7.58851,7.35965,7.68660,Y,Y,N,N,0.00000,0.00000,N,N,1,15
LOGZ,rf0010,8.27443,8.20904,8.43791,8.17635,8.56869,Y,Y,N,N,0.00000,0.00000,N,N,1,28
LOGQ,rf0011,7.22887,7.13078,7.35965,7.06539,7.49043,Y,Y,N,N,0.01152,0.00000,N,N,1,7
LOGZ,rf0011,8.50330,8.40521,8.66677,8.33982,8.76486,Y,Y,N,N,0.00000,0.00000,N,N,1,35
LOGQ,rf0014,7.22887,7.16348,7.39234,7.13078,7.49043,Y,Y,N,N,0.00018,0.00000,N,N,1,7
LOGZ,rf0014,8.27443,8.24174,8.50330,8.17635,8.63408,Y,Y,N,N,0.00000,0.00000,N,N,1,28
LOGQ,rf0015,7.42504,7.16348,7.62121,-inf,7.75199,Y,Y,N,N,0.05033,0.00000,N,N,2,13
LOGZ,rf0015,8.92833,8.79755,inf,8.56869,inf,Y,Y,N,Y,0.00000,0.52919,N,Y,1,48
LOGQ,rf0017,7.39234,7.32695,7.49043,7.22887,7.58851,Y,Y,N,N,0.00000,0.00000,N,N,1,12
LOGZ,rf0017,8.33982,8.27443,8.50330,8.20904,8.63408,Y,Y,N,N,0.00000,0.00000,N,N,1,30
