Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
LOGQ,rf0001,7.09815,7.02557,7.20701,6.95299,7.35217,Y,Y,N,N,0.00000,0.00000,N,N,1,11
LOGZ,rf0001,8.08189,8.05174,8.26276,7.99145,8.44363,Y,Y,N,N,0.00000,0.00000,N,N,2,13
LOGQ,rf0002,6.98928,6.88041,7.13444,6.80784,7.27959,Y,Y,N,N,0.00076,0.00000,N,N,1,8
LOGZ,rf0002,8.41349,8.32305,8.59436,8.23262,8.86567,Y,Y,N,N,0.00000,0.00000,N,N,1,24
LOGQ,rf0003,6.69897,-inf,7.06186,-inf,7.42475,Y,Y,Y,N,0.42089,0.00000,N,N,2,0
LOGZ,rf0003,8.26276,8.20247,8.56421,8.14218,inf,Y,Y,N,N,0.00000,0.08043,N,N,2,19
LOGQ,rf0006,6.95299,6.88041,7.06186,6.80784,7.17072,Y,Y,N,N,0.00222,0.00000,N,N,1,7
LOGZ,rf0006,8.23262,8.17232,8.38334,8.11203,8.56421,Y,Y,N,N,0.00000,0.00000,N,N,2,18
LOGQ,rf0007,6.73526,-inf,6.98928,-inf,7.20701,Y,Y,Y,N,0.36009,0.00000,N,N,1,1
LOGZ,rf0007,8.44363,8.35320,8.71494,8.26276,9.10683,Y,Y,N,N,0.00000,0.02028,N,N,2,25
LOGQ,rf0010,7.17072,7.09815,7.31588,7.02557,7.46103,Y,Y,N,N,0.00000,0.00000,N,N,1,13
LOGZ,rf0010,8.11203,8.05174,8.29291,8.02160,8.50392,Y,Y,N,N,0.00000,0.00000,N,N,1,14
LOGQ,rf0011,6.80784,6.73526,6.95299,-inf,7.09815,Y,Y,N,N,0.18623,0.00000,N,N,1,3
LOGZ,rf0011,8.26276,8.20247,8.41349,8.14218,8.59436,Y,Y,N,N,0.00000,0.00054,N,N,2,19
LOGQ,rf0013,7.35217,7.27959,7.46103,7.20701,7.49732,Y,Y,N,N,0.00000,0.00000,N,N,1,18
LOGZ,rf0013,8.68480,8.62450,8.74509,8.56421,8.80538,Y,Y,N,N,0.00000,0.00000,N,N,1,33
LOGQ,rf0014,6.95299,6.88041,7.06186,6.80784,7.17072,Y,Y,N,N,0.00170,0.00000,N,N,1,7
LOGZ,rf0014,8.17232,8.11203,8.35320,8.05174,8.50392,Y,Y,N,N,0.00000,0.00000,N,N,2,16
LOGQ,rf0015,6.69897,6.77155,7.53361,-inf,7.71506,N,Y,Y,N,0.15103,0.00000,N,N,2,0
LOGZ,rf0015,9.16712,8.32305,inf,8.20247,inf,Y,Y,N,Y,0.00000,0.49817,N,N,2,49
