Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
AGNFRAC,rf0001,0.02632,-inf,0.44737,-inf,0.86842,Y,Y,Y,N,0.45285,0.00833,N,N,1,1
LOGQ,rf0001,7.39147,7.25332,7.94411,7.11516,8.17437,Y,Y,N,N,0.00910,0.00000,N,N,2,9
LOGZ,rf0001,7.45897,7.54329,8.21784,-inf,8.51296,N,Y,Y,N,0.12105,0.00016,N,N,1,0
AGNFRAC,rf0002,0.07895,0.05263,0.36842,-inf,0.68421,Y,Y,N,N,0.11525,0.00214,N,N,1,3
LOGQ,rf0002,7.11516,7.02305,7.39147,-inf,7.62174,Y,Y,N,N,0.21931,0.00000,N,N,1,3
LOGZ,rf0002,8.38648,8.13352,8.63944,7.83841,8.85023,Y,Y,N,N,0.00137,0.00173,N,N,1,22
AGNFRAC,rf0003,0.00000,-inf,0.10526,-inf,0.36842,Y,Y,Y,N,0.74803,0.00051,Y,N,1,0
LOGQ,rf0003,7.34542,7.16121,7.71384,-inf,8.08226,Y,Y,N,N,0.07396,0.00007,N,N,2,8
LOGZ,rf0003,8.85023,8.55512,8.93455,8.38648,9.01887,Y,Y,N,N,0.00002,0.03815,N,N,1,33
AGNFRAC,rf0006,0.02632,-inf,0.18421,-inf,0.52632,Y,Y,Y,N,0.55860,0.00107,Y,N,1,1
LOGQ,rf0006,7.20726,7.11516,7.62174,-inf,7.85200,Y,Y,N,N,0.06928,0.00000,N,N,1,5
LOGZ,rf0006,8.42864,8.00704,8.63944,7.62761,8.85023,Y,Y,N,N,0.01032,0.00226,N,N,1,23
AGNFRAC,rf0007,0.00000,-inf,0.15789,-inf,0.34211,Y,Y,Y,N,0.54284,0.00031,Y,N,1,0
LOGQ,rf0007,7.11516,7.02305,7.39147,-inf,7.66779,Y,Y,N,N,0.20174,0.00000,N,N,1,3
