Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
AGNFRAC,rf0001,0,#NAME?,0.05263,#NAME?,0.23684,Y,Y,Y,N,0.86749,0.00009,Y,N,1,0
LOGQ,rf0001,5.92437,5.83226,6.01647,5.74016,6.10858,Y,Y,N,N,0,0,N,N,1,26
LOGZ,rf0001,-0.33136,-0.92159,-0.24704,-1.21671,-0.12056,Y,Y,N,N,0.02378,0.00009,N,N,1,23
AGNFRAC,rf0002,1,0.97368,inf,0.97368,inf,Y,Y,N,Y,0,1,N,Y,1,38
LOGQ,rf0002,6.33884,6.29279,6.38489,6.29279,6.38489,Y,Y,N,Y,0,0,N,N,1,35
LOGZ,rf0002,-1.30103,#NAME?,-1.25887,#NAME?,-1.25887,Y,Y,Y,N,0.99974,0,Y,N,1,0
AGNFRAC,rf0003,0,#NAME?,0.07895,#NAME?,0.13158,Y,Y,Y,N,0.79578,0,Y,N,1,0
LOGQ,rf0003,6.01647,5.92437,6.10858,5.83226,6.20068,Y,Y,N,N,0,0.00007,N,N,1,28
LOGZ,rf0003,0.25887,0.09023,inf,-0.03625,inf,Y,Y,N,Y,0,0.46069,N,N,1,37
AGNFRAC,rf0006,1,0.97368,inf,0.97368,inf,Y,Y,N,Y,0,1,N,Y,1,38
LOGQ,rf0006,6.33884,6.29279,6.38489,6.29279,6.38489,Y,Y,N,Y,0,0,N,N,1,35
LOGZ,rf0006,-1.30103,#NAME?,-1.25887,#NAME?,-1.25887,Y,Y,Y,N,1,0,Y,N,1,0
AGNFRAC,rf0007,1,0.97368,inf,0.97368,inf,Y,Y,N,Y,0,1,N,Y,1,38
LOGQ,rf0007,6.33884,6.29279,6.38489,6.29279,6.38489,Y,Y,N,Y,0,0,N,N,1,35
LOGZ,rf0007,-1.30103,#NAME?,-1.25887,#NAME?,-1.25887,Y,Y,Y,N,1,0,Y,N,1,0
AGNFRAC,rf0008,1,0.36842,0.92105,0.07895,inf,N,Y,N,Y,0.01181,0.10503,N,N,1,38
LOGQ,rf0008,6.477,6.33884,inf,6.24674,inf,Y,Y,N,Y,0,0.74658,N,Y,1,38
LOGZ,rf0008,-1.21671,-1.21671,-0.7108,#NAME?,-0.45784,Y,Y,Y,N,0.1492,0,N,N,1,2
AGNFRAC,rf0010,1,0.97368,inf,0.97368,inf,Y,Y,N,Y,0,1,N,Y,1,38
LOGQ,rf0010,6.33884,6.29279,6.38489,6.29279,6.38489,Y,Y,N,Y,0,0,N,N,1,35
LOGZ,rf0010,-1.30103,#NAME?,-1.25887,#NAME?,-1.25887,Y,Y,Y,N,1,0,Y,N,1,0
AGNFRAC,rf0011,0,#NAME?,0.02632,#NAME?,0.05263,Y,Y,Y,N,0.98785,0,Y,N,1,0
LOGQ,rf0011,6.15463,6.06253,6.20068,5.97042,6.29279,Y,Y,N,N,0,0.00018,N,N,1,31
LOGZ,rf0011,-0.16272,-0.37352,-0.03625,-0.58432,0.09023,Y,Y,N,N,0.00023,0.00034,N,N,1,27
