Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
LOGQ,rf0001,7.09815,7.02557,7.20701,6.95299,7.35217,Y,Y,N,N,0.00000,0.00000,N,N,1,11
LOGZ,rf0001,8.11203,8.05174,8.29291,7.99145,8.47378,Y,Y,N,N,0.00000,0.00000,N,N,2,14
LOGQ,rf0002,6.98928,6.88041,7.13444,6.80784,7.27959,Y,Y,N,N,0.00077,0.00000,N,N,1,8
LOGZ,rf0002,8.41349,8.32305,8.56421,8.23262,8.92596,Y,Y,N,N,0.00000,0.00000,N,N,2,24
LOGQ,rf0003,6.69897,-inf,7.27959,-inf,7.46103,Y,Y,Y,N,0.33065,0.00000,N,N,2,0
LOGZ,rf0003,9.16712,8.20247,9.13698,8.14218,inf,N,Y,N,Y,0.00000,0.21320,N,N,2,49
LOGQ,rf0006,6.95299,6.88041,7.06186,6.80784,7.17072,Y,Y,N,N,0.00231,0.00000,N,N,1,7
LOGZ,rf0006,8.26276,8.17232,8.38334,8.11203,8.56421,Y,Y,N,N,0.00000,0.00001,N,N,2,19
LOGQ,rf0007,6.73526,-inf,7.06186,-inf,7.24330,Y,Y,Y,N,0.31458,0.00000,N,N,1,1
LOGZ,rf0007,8.41349,8.35320,9.04654,8.26276,9.13698,Y,Y,N,N,0.00000,0.06119,N,N,2,24
LOGQ,rf0010,7.17072,7.09815,7.31588,7.02557,7.46103,Y,Y,N,N,0.00000,0.00000,N,N,1,13
LOGZ,rf0010,8.14218,8.08189,8.32305,8.02160,8.50392,Y,Y,N,N,0.00000,0.00000,N,N,2,15
LOGQ,rf0011,6.80784,6.73526,6.95299,-inf,7.09815,Y,Y,N,N,0.18589,0.00000,N,N,1,3
