Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
LOGQ,rf0001,7.39234,7.32695,7.52312,7.26156,7.62121,Y,Y,N,N,0.00000,0.00000,N,N,1,12
LOGZ,rf0001,8.27443,8.20904,8.40521,8.14365,8.53599,Y,Y,N,N,0.00000,0.00000,N,N,1,28
LOGQ,rf0003,7.29426,7.09809,7.49043,7.03270,7.65390,Y,Y,N,N,0.06585,0.00000,N,N,1,9
LOGZ,rf0003,8.79755,8.43791,8.83025,8.33982,8.89564,Y,Y,N,N,0.00000,0.01535,N,N,2,44
LOGQ,rf0006,7.32695,7.19617,7.42504,7.13078,7.52312,Y,Y,N,N,0.00002,0.00000,N,N,2,10
LOGZ,rf0006,8.37252,8.30713,8.56869,8.24174,8.66677,Y,Y,N,N,0.00000,0.00000,N,N,1,31
LOGQ,rf0007,7.22887,7.13078,7.35965,7.03270,7.45773,Y,Y,N,N,0.03274,0.00000,N,N,1,7
LOGZ,rf0007,8.66677,8.53599,8.76486,8.43791,8.83025,Y,Y,N,N,0.00000,0.00023,N,N,1,40
LOGQ,rf0008,7.78468,7.45773,7.91546,7.13078,8.07894,Y,Y,N,N,0.01189,0.00000,N,N,2,24
LOGZ,rf0008,8.92833,8.83025,inf,8.53599,inf,Y,Y,N,Y,0.00000,0.65044,N,Y,2,48
LOGQ,rf0010,7.49043,7.39234,7.58851,7.35965,7.68660,Y,Y,N,N,0.00000,0.00000,N,N,1,15
LOGZ,rf0010,8.27443,8.20904,8.40521,8.17635,8.53599,Y,Y,N,N,0.00000,0.00000,N,N,1,28
LOGQ,rf0011,7.19617,7.13078,7.35965,7.06539,7.45773,Y,Y,N,N,0.01519,0.00000,N,N,1,6
LOGZ,rf0011,8.47060,8.37252,8.63408,8.30713,8.73216,Y,Y,N,N,0.00000,0.00000,N,N,1,34
LOGQ,rf0014,7.22887,7.16348,7.39234,7.13078,7.49043,Y,Y,N,N,0.00021,0.00000,N,N,1,7
LOGZ,rf0014,8.27443,8.24174,8.47060,8.17635,8.63408,Y,Y,N,N,0.00000,0.00000,N,N,1,28
LOGQ,rf0015,7.42504,7.16348,7.58851,-inf,7.75199,Y,Y,N,N,0.05252,0.00000,N,N,2,13
LOGZ,rf0015,8.92833,8.79755,inf,8.53599,inf,Y,Y,N,Y,0.00000,0.51202,N,Y,1,48
LOGQ,rf0017,7.39234,7.29426,7.49043,7.22887,7.58851,Y,Y,N,N,0.00000,0.00000,N,N,1,12
LOGZ,rf0017,8.30713,8.27443,8.47060,8.20904,8.60138,Y,Y,N,N,0.00000,0.00000,N,N,1,29
LOGQ,rf0019,7.39234,7.29426,7.58851,7.19617,7.78468,Y,Y,N,N,0.00001,0.00001,N,N,1,12
LOGZ,rf0019,8.27443,8.17635,8.47060,8.07826,8.66677,Y,Y,N,N,0.00000,0.00000,N,N,1,28
LOGQ,rf0020,7.16348,7.06539,7.29426,7.03270,7.42504,Y,Y,N,N,0.07919,0.00000,N,N,1,5
LOGZ,rf0020,8.47060,8.40521,8.66677,8.33982,8.76486,Y,Y,N,N,0.00000,0.00001,N,N,1,34
LOGQ,rf0023,7.39234,7.32695,7.49043,7.26156,7.58851,Y,Y,N,N,0.00000,0.00000,N,N,1,12
LOGZ,rf0023,8.27443,8.24174,8.43791,8.17635,8.56869,Y,Y,N,N,0.00000,0.00000,N,N,1,28
LOGQ,rf0024,7.03270,7.03270,7.26156,-inf,7.39234,Y,Y,Y,N,0.27602,0.00000,N,N,1,1
LOGZ,rf0024,8.53599,8.47060,8.79755,8.37252,8.86294,Y,Y,N,N,0.00000,0.00441,N,N,2,36
LOGQ,rf0028,7.22887,7.16348,7.35965,7.09809,7.49043,Y,Y,N,N,0.00177,0.00000,N,N,1,7
LOGZ,rf0028,8.30713,8.24174,8.50330,8.17635,8.63408,Y,Y,N,N,0.00000,0.00000,N,N,1,29
LOGQ,rf0029,7.42504,7.35965,7.55582,7.29426,7.62121,Y,Y,N,N,0.00000,0.00000,N,N,1,13
LOGZ,rf0029,8.37252,8.30713,8.50330,8.24174,8.60138,Y,Y,N,N,0.00000,0.00000,N,N,1,31
LOGQ,rf0030,7.16348,7.06539,7.32695,7.03270,7.45773,Y,Y,N,N,0.07329,0.00000,N,N,1,5
LOGZ,rf0030,8.47060,8.40521,8.69947,8.33982,8.79755,Y,Y,N,N,0.00000,0.00004,N,N,1,34
LOGQ,rf0031,7.29426,7.09809,7.45773,-inf,7.58851,Y,Y,N,N,0.10279,0.00000,N,N,1,9
LOGZ,rf0031,8.86294,8.56869,8.89564,8.43791,8.92833,Y,Y,N,Y,0.00000,0.09417,N,N,1,46
LOGQ,rf0032,7.22887,7.16348,7.35965,7.09809,7.45773,Y,Y,N,N,0.00314,0.00000,N,N,1,7
LOGZ,rf0032,8.47060,8.37252,8.60138,8.30713,8.69947,Y,Y,N,N,0.00000,0.00000,N,N,1,34
LOGQ,rf0033,7.39234,7.32695,7.52312,7.22887,7.62121,Y,Y,N,N,0.00000,0.00000,N,N,1,12
LOGZ,rf0033,8.27443,8.20904,8.43791,8.14365,8.56869,Y,Y,N,N,0.00000,0.00000,N,N,1,28
LOGQ,rf0034,7.49043,7.42504,7.58851,7.35965,7.68660,Y,Y,N,N,0.00000,0.00000,N,N,1,15
LOGZ,rf0034,8.27443,8.20904,8.37252,8.14365,8.50330,Y,Y,N,N,0.00000,0.00000,N,N,1,28
LOGQ,rf0040,7.00000,7.06539,7.42504,-inf,7.55582,N,Y,Y,N,0.14410,0.00000,N,N,2,0
LOGZ,rf0040,8.86294,8.53599,8.89564,8.40521,8.92833,Y,Y,N,Y,0.00000,0.07850,N,N,2,46
LOGQ,rf0042,7.55582,7.45773,7.71929,7.39234,7.81738,Y,Y,N,N,0.00000,0.00000,N,N,1,17
LOGZ,rf0042,8.27443,8.20904,8.40521,8.11096,8.53599,Y,Y,N,N,0.00000,0.00000,N,N,1,28
LOGQ,rf0043,7.42504,7.16348,7.55582,-inf,7.71929,Y,Y,N,N,0.05927,0.00000,N,N,1,13
LOGZ,rf0043,8.89564,8.73216,8.92833,8.50330,inf,Y,Y,N,Y,0.00000,0.31620,N,N,1,47
LOGQ,rf0045,7.49043,7.42504,7.58851,7.35965,7.71929,Y,Y,N,N,0.00000,0.00000,N,N,1,15
LOGZ,rf0045,8.27443,8.17635,8.37252,8.11096,8.53599,Y,Y,N,N,0.00000,0.00000,N,N,1,28
LOGQ,rf0048,7.39234,7.32695,7.52312,7.26156,7.58851,Y,Y,N,N,0.00000,0.00000,N,N,1,12
LOGZ,rf0048,8.27443,8.24174,8.43791,8.17635,8.56869,Y,Y,N,N,0.00000,0.00000,N,N,1,28
LOGQ,rf0049,7.39234,7.32695,7.52312,7.26156,7.62121,Y,Y,N,N,0.00000,0.00000,N,N,1,12
LOGZ,rf0049,8.27443,8.20904,8.43791,8.14365,8.56869,Y,Y,N,N,0.00000,0.00000,N,N,1,28
LOGQ,rf0051,7.55582,7.49043,7.71929,7.42504,7.81738,Y,Y,N,N,0.00000,0.00000,N,N,1,17
LOGZ,rf0051,8.24174,8.17635,8.37252,8.07826,8.47060,Y,Y,N,N,0.00000,0.00000,N,N,1,27
LOGQ,rf0053,7.52312,7.45773,7.65390,7.39234,7.75199,Y,Y,N,N,0.00000,0.00000,N,N,1,16
LOGZ,rf0053,8.27443,8.20904,8.40521,8.14365,8.50330,Y,Y,N,N,0.00000,0.00000,N,N,1,28
LOGQ,rf0058,7.26156,7.16348,7.42504,7.09809,7.52312,Y,Y,N,N,0.00240,0.00000,N,N,1,8
LOGZ,rf0058,8.40521,8.33982,8.60138,8.27443,8.73216,Y,Y,N,N,0.00000,0.00000,N,N,1,32
LOGQ,rf0059,7.42504,7.35965,7.52312,7.29426,7.58851,Y,Y,N,N,0.00000,0.00000,N,N,1,13
LOGZ,rf0059,8.37252,8.30713,8.50330,8.24174,8.60138,Y,Y,N,N,0.00000,0.00000,N,N,1,31
LOGQ,rf0060,7.26156,7.19617,7.42504,7.13078,7.52312,Y,Y,N,N,0.00001,0.00000,N,N,1,8
LOGZ,rf0060,8.30713,8.24174,8.47060,8.17635,8.63408,Y,Y,N,N,0.00000,0.00000,N,N,1,29
LOGQ,rf0061,7.19617,7.13078,7.35965,7.03270,7.45773,Y,Y,N,N,0.02592,0.00000,N,N,1,6
LOGZ,rf0061,8.43791,8.37252,8.60138,8.27443,8.69947,Y,Y,N,N,0.00000,0.00000,N,N,1,33
LOGQ,rf0062,7.22887,7.13078,7.35965,7.06539,7.42504,Y,Y,N,N,0.01749,0.00000,N,N,1,7
LOGZ,rf0062,8.63408,8.50330,8.73216,8.43791,8.79755,Y,Y,N,N,0.00000,0.00000,N,N,1,39
LOGQ,rf0064,7.58851,7.49043,7.71929,7.42504,7.81738,Y,Y,N,N,0.00000,0.00000,N,N,1,18
LOGZ,rf0064,8.24174,8.17635,8.37252,8.07826,8.47060,Y,Y,N,N,0.00000,0.00000,N,N,1,27
LOGQ,rf0065,7.35965,7.26156,7.45773,7.19617,7.55582,Y,Y,N,N,0.00000,0.00000,N,N,1,11
LOGZ,rf0065,8.27443,8.24174,8.47060,8.17635,8.60138,Y,Y,N,N,0.00000,0.00000,N,N,1,28
LOGQ,rf0068,7.35965,7.29426,7.49043,7.19617,7.58851,Y,Y,N,N,0.00000,0.00000,N,N,1,11
LOGZ,rf0068,8.24174,8.17635,8.40521,8.11096,8.56869,Y,Y,N,N,0.00000,0.00000,N,N,1,27
LOGQ,rf0071,7.32695,7.13078,7.49043,-inf,7.62121,Y,Y,N,N,0.06474,0.00000,N,N,1,10
LOGZ,rf0071,8.86294,8.66677,8.92833,8.50330,inf,Y,Y,N,Y,0.00000,0.16270,N,N,1,46
LOGQ,rf0072,8.01355,7.91546,8.11163,7.81738,8.20972,Y,Y,N,N,0.00000,0.00000,N,N,1,31
LOGZ,rf0072,8.24174,8.14365,8.30713,8.04557,8.40521,Y,Y,N,N,0.00000,0.00000,N,N,1,27
LOGQ,rf0073,7.65390,7.55582,7.78468,7.49043,7.88277,Y,Y,N,N,0.00000,0.00000,N,N,1,20
LOGZ,rf0073,8.30713,8.24174,8.43791,8.17635,8.53599,Y,Y,N,N,0.00000,0.00000,N,N,1,29
LOGQ,rf0074,7.19617,7.09809,7.35965,7.03270,7.45773,Y,Y,N,N,0.06176,0.00000,N,N,1,6
