Line,Galaxy Name,In_lhood?,Obs,Model,Resid_Stds,Obs_S/N
oii3726,rf0001,Y,0.92327,1.49148,-2.56739,4.17169
oii3729,rf0001,Y,2.27738,2.03251,0.69646,6.47738
neiii3869,rf0001,Y,0.11448,0.27241,-3.07101,2.22611
oiii4363,rf0001,Y,0.05666,0.00847,1.38180,1.62450
hgamma,rf0001,Y,0.52991,0.47567,1.48975,14.55556
heii4685,rf0001,Y,0.00000,0.00013,-inf,
ariv4711,rf0001,Y,0.19243,0.00041,1.14513,1.14756
hbeta,rf0001,Y,1.00000,1.00000,0.00000,28.19290
oiii4959,rf0001,Y,0.54558,0.72921,-5.75342,17.09396
oiii5007,rf0001,Y,1.76289,2.17567,-9.48403,40.50475
hei5875,rf0001,Y,0.09350,0.10988,-0.58973,3.36562
oi6300,rf0001,Y,0.13946,0.06024,3.87740,6.82583
nii6548,rf0001,Y,0.09083,0.22051,-21.47775,15.04260
halpha,rf0001,Y,2.86000,2.80933,1.30287,73.54457
nii6584,rf0001,Y,0.27383,0.65004,-20.65677,15.03557
sii6717,rf0001,Y,0.58942,0.58590,0.09236,15.47429
sii6731,rf0001,Y,0.38919,0.44233,-2.17841,15.95580
ariii7136,rf0001,Y,0.04527,0.18737,-6.81831,2.17223
oii3726,rf0002,Y,1.53269,4.01229,-9.98383,6.17118
oii3729,rf0002,Y,235.60412,5.47511,inf,inf
neiii3869,rf0002,Y,0.40328,0.95331,-12.71803,9.32489
oiii4363,rf0002,Y,0.10250,0.00922,2.70075,2.96759
hgamma,rf0002,Y,0.63649,0.47202,5.45832,21.12361
heii4685,rf0002,Y,0.00000,0.09941,-inf,
ariv4711,rf0002,Y,0.00000,0.00039,-inf,
hbeta,rf0002,Y,1.00000,1.00000,0.00000,33.15736
oiii4959,rf0002,Y,0.52658,0.41078,3.63166,16.51393
oiii5007,rf0002,Y,1.01017,1.22563,-6.32371,29.64770
hei5875,rf0002,Y,-0.00729,0.10521,-3.77003,-0.24420
oi6300,rf0002,Y,0.24589,0.73597,-17.98631,9.02450
nii6548,rf0002,Y,0.36226,0.23573,11.79850,33.77851
halpha,rf0002,Y,2.86000,2.82719,0.82038,71.51784
nii6584,rf0002,Y,1.08560,0.69487,12.07925,33.56036
sii6717,rf0002,Y,0.84675,2.83442,-59.00668,25.13692
sii6731,rf0002,Y,0.52736,2.11789,-46.03629,15.26400
ariii7136,rf0002,Y,0.01796,0.29863,-7.51668,0.48108
oii3726,rf0003,Y,0.18682,0.86723,-10.87225,2.98508
oii3729,rf0003,Y,1.45606,1.16525,1.38093,6.91420
neiii3869,rf0003,Y,0.06006,0.02523,3.42932,5.91296
oiii4363,rf0003,Y,-0.00825,0.00062,-1.37797,-1.28225
hgamma,rf0003,Y,0.53314,0.47945,6.11271,60.69958
heii4685,rf0003,Y,0.01484,0.00002,0.42576,0.42643
ariv4711,rf0003,Y,0.02512,0.00002,0.92110,0.92196
hbeta,rf0003,Y,1.00000,1.00000,0.00000,93.61190
oiii4959,rf0003,Y,0.13398,0.09981,5.27388,20.67520
oiii5007,rf0003,Y,0.44974,0.29778,18.91382,55.97656
hei5875,rf0003,Y,0.08950,0.10904,-3.43797,15.75087
oi6300,rf0003,Y,0.05355,0.02890,5.21588,11.32974
nii6548,rf0003,Y,0.31094,0.96928,-211.70206,99.99018
halpha,rf0003,Y,2.86000,2.83607,1.21101,144.76171
nii6584,rf0003,Y,0.93472,2.85721,-204.96346,99.65387
