Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
LOGQ,rf0001,7.49043,7.42504,7.62121,7.35965,7.71929,Y,Y,N,N,0.00000,0.00000,N,N,1,15
LOGZ,rf0001,8.47060,8.40521,8.56869,8.33982,8.66677,Y,Y,N,N,0.00000,0.00000,N,N,1,34
LOGQ,rf0002,7.39234,7.35965,7.45773,7.32695,7.49043,Y,Y,N,N,0.00000,0.00000,N,N,1,12
LOGZ,rf0002,8.66677,8.63408,8.69947,8.60138,8.73216,Y,Y,N,N,0.00000,0.00000,N,N,1,40
LOGQ,rf0003,7.22887,7.13078,7.32695,7.06539,7.39234,Y,Y,N,N,0.00593,0.00000,N,N,1,7
LOGZ,rf0003,8.73216,8.66677,8.79755,8.60138,8.86294,Y,Y,N,N,0.00000,0.00017,N,N,1,42
LOGQ,rf0006,7.42504,7.35965,7.49043,7.29426,7.55582,Y,Y,N,N,0.00000,0.00000,N,N,1,13
LOGZ,rf0006,8.63408,8.56869,8.69947,8.50330,8.73216,Y,Y,N,N,0.00000,0.00000,N,N,1,39
LOGQ,rf0007,7.16348,7.09809,7.22887,7.03270,7.29426,Y,Y,N,N,0.04044,0.00000,N,N,1,5
LOGZ,rf0007,8.69947,8.66677,8.76486,8.63408,8.83025,Y,Y,N,N,0.00000,0.00001,N,N,1,41
LOGQ,rf0010,7.55582,7.49043,7.65390,7.45773,7.71929,Y,Y,N,N,0.00000,0.00000,N,N,1,17
LOGZ,rf0010,8.43791,8.37252,8.53599,8.33982,8.60138,Y,Y,N,N,0.00000,0.00000,N,N,1,33
LOGQ,rf0011,7.26156,7.19617,7.35965,7.16348,7.42504,Y,Y,N,N,0.00001,0.00000,N,N,1,8
LOGZ,rf0011,8.66677,8.60138,8.73216,8.56869,8.76486,Y,Y,N,N,0.00000,0.00000,N,N,1,40
LOGQ,rf0013,7.58851,7.55582,7.62121,7.52312,7.62121,Y,Y,N,N,0.00000,0.00000,N,N,1,18
LOGZ,rf0013,8.63408,8.60138,8.66677,8.60138,8.66677,Y,Y,N,N,0.00000,0.00000,N,N,1,39
LOGQ,rf0014,7.39234,7.32695,7.49043,7.22887,7.55582,Y,Y,N,N,0.00000,0.00000,N,N,1,12
LOGZ,rf0014,8.56869,8.47060,8.63408,8.37252,8.69947,Y,Y,N,N,0.00000,0.00000,N,N,1,37
LOGQ,rf0015,7.39234,7.32695,7.45773,7.29426,7.49043,Y,Y,N,N,0.00000,0.00000,N,N,1,12
LOGZ,rf0015,8.56869,8.50330,8.60138,8.50330,8.60138,Y,Y,N,N,0.00000,0.00000,N,N,1,37
LOGQ,rf0016,7.22887,7.19617,7.29426,7.16348,7.32695,Y,Y,N,N,0.00000,0.00000,N,N,1,7
LOGZ,rf0016,8.66677,8.63408,8.69947,8.63408,8.73216,Y,Y,N,N,0.00000,0.00000,N,N,1,40
LOGQ,rf0017,7.49043,7.42504,7.55582,7.35965,7.62121,Y,Y,N,N,0.00000,0.00000,N,N,1,15
LOGZ,rf0017,8.56869,8.47060,8.63408,8.43791,8.66677,Y,Y,N,N,0.00000,0.00000,N,N,1,37
LOGQ,rf0020,7.22887,7.16348,7.32695,7.09809,7.35965,Y,Y,N,N,0.00029,0.00000,N,N,1,7
LOGZ,rf0020,8.66677,8.60138,8.73216,8.56869,8.76486,Y,Y,N,N,0.00000,0.00000,N,N,1,40
LOGQ,rf0022,7.42504,7.39234,7.49043,7.35965,7.49043,Y,Y,N,N,0.00000,0.00000,N,N,1,13
LOGZ,rf0022,8.66677,8.63408,8.69947,8.63408,8.69947,Y,Y,N,N,0.00000,0.00000,N,N,1,40
LOGQ,rf0023,7.49043,7.42504,7.58851,7.35965,7.65390,Y,Y,N,N,0.00000,0.00000,N,N,1,15
LOGZ,rf0023,8.50330,8.43791,8.60138,8.37252,8.66677,Y,Y,N,N,0.00000,0.00000,N,N,1,35
LOGQ,rf0024,7.09809,7.03270,7.19617,-inf,7.29426,Y,Y,N,N,0.21135,0.00000,N,N,1,3
LOGZ,rf0024,8.73216,8.66677,8.79755,8.63408,8.86294,Y,Y,N,N,0.00000,0.00035,N,N,1,42
LOGQ,rf0025,7.29426,7.22887,7.32695,7.19617,7.39234,Y,Y,N,N,0.00000,0.00000,N,N,1,9
LOGZ,rf0025,8.66677,8.63408,8.69947,8.60138,8.73216,Y,Y,N,N,0.00000,0.00000,N,N,1,40
LOGQ,rf0029,7.52312,7.45773,7.58851,7.39234,7.65390,Y,Y,N,N,0.00000,0.00000,N,N,1,16
LOGZ,rf0029,8.60138,8.53599,8.66677,8.47060,8.69947,Y,Y,N,N,0.00000,0.00000,N,N,1,38
LOGQ,rf0030,7.19617,7.13078,7.29426,7.09809,7.35965,Y,Y,N,N,0.00108,0.00000,N,N,1,6
LOGZ,rf0030,8.66677,8.63408,8.76486,8.60138,8.79755,Y,Y,N,N,0.00000,0.00000,N,N,1,40
LOGQ,rf0031,7.39234,7.35965,7.45773,7.29426,7.49043,Y,Y,N,N,0.00000,0.00000,N,N,1,12
LOGZ,rf0031,8.53599,8.50330,8.60138,8.50330,8.60138,Y,Y,N,N,0.00000,0.00000,N,N,1,36
LOGQ,rf0033,7.55582,7.49043,7.75199,7.39234,7.88277,Y,Y,N,N,0.00000,0.00001,N,N,1,17
LOGZ,rf0033,8.56869,8.43791,8.66677,8.37252,8.73216,Y,Y,N,N,0.00000,0.00000,N,N,1,37
LOGQ,rf0034,7.55582,7.49043,7.65390,7.42504,7.75199,Y,Y,N,N,0.00000,0.00000,N,N,1,17
LOGZ,rf0034,8.40521,8.33982,8.50330,8.27443,8.56869,Y,Y,N,N,0.00000,0.00000,N,N,1,32
LOGQ,rf0040,7.13078,7.03270,7.26156,-inf,7.32695,Y,Y,N,N,0.16412,0.00000,N,N,1,4
LOGZ,rf0040,8.79755,8.69947,8.86294,8.63408,8.89564,Y,Y,N,N,0.00000,0.00626,N,N,1,44
LOGQ,rf0042,7.68660,7.58851,7.78468,7.49043,7.85007,Y,Y,N,N,0.00000,0.00000,N,N,1,21
LOGZ,rf0042,8.50330,8.43791,8.60138,8.37252,8.66677,Y,Y,N,N,0.00000,0.00000,N,N,1,35
LOGQ,rf0043,7.09809,7.03270,7.22887,-inf,7.32695,Y,Y,N,N,0.21449,0.00000,N,N,1,3
LOGZ,rf0043,8.83025,8.73216,8.86294,8.66677,8.92833,Y,Y,N,N,0.00000,0.02756,N,N,1,45
LOGQ,rf0045,7.55582,7.49043,7.68660,7.42504,7.75199,Y,Y,N,N,0.00000,0.00000,N,N,1,17
LOGZ,rf0045,8.43791,8.37252,8.53599,8.30713,8.63408,Y,Y,N,N,0.00000,0.00000,N,N,1,33
LOGQ,rf0048,7.49043,7.42504,7.58851,7.39234,7.65390,Y,Y,N,N,0.00000,0.00000,N,N,1,15
LOGZ,rf0048,8.53599,8.43791,8.60138,8.40521,8.66677,Y,Y,N,N,0.00000,0.00000,N,N,1,36
