Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
LOGQ,rf0001,7.29426,7.22887,7.35965,7.16348,7.42504,Y,Y,N,N,0.00005,0,N,N,1,9
LOGZ,rf0001,7.94748,7.48975,8.01287,#NAME?,8.24174,Y,Y,N,N,0.07472,0,N,N,2,18
LOGQ,rf0003,7.22887,7.13078,7.32695,7.06539,7.42504,Y,Y,N,N,0.0234,0,N,N,1,7
LOGZ,rf0003,8.73216,8.63408,8.79755,8.56869,8.83025,Y,Y,N,N,0,0.00002,N,N,1,42
LOGQ,rf0006,7.26156,7.19617,7.42504,7.09809,7.58851,Y,Y,N,N,0.00249,0,N,N,1,8
LOGZ,rf0006,8.24174,8.11096,8.43791,7.88209,8.69947,Y,Y,N,N,0.00006,0.00073,N,N,1,27
LOGQ,rf0007,7.22887,7.09809,7.49043,7.0327,7.6866,Y,Y,N,N,0.05477,0,N,N,1,7
LOGZ,rf0007,8.83025,8.63408,8.89564,8.5033,inf,Y,Y,N,N,0,0.10227,N,N,1,45
LOGQ,rf0008,7.62121,7.42504,7.98085,7.22887,8.3078,Y,Y,N,N,0.00134,0.00235,N,N,1,19
LOGZ,rf0008,8.96103,8.89564,inf,8.79755,inf,Y,Y,N,Y,0,0.88001,N,Y,1,49
LOGQ,rf0010,7.35965,7.29426,7.42504,7.26156,7.49043,Y,Y,N,N,0,0,N,N,1,11
LOGZ,rf0010,7.94748,7.52245,8.01287,7.39166,8.24174,Y,Y,N,N,0.03709,0,N,N,1,18
LOGQ,rf0011,7.06539,7.0327,7.19617,#NAME?,7.29426,Y,Y,Y,N,0.299,0,N,N,1,2
LOGZ,rf0011,8.40521,8.33982,8.5033,8.27443,8.60138,Y,Y,N,N,0,0,N,N,1,32
LOGQ,rf0014,7.19617,7.16348,7.35965,7.09809,7.49043,Y,Y,N,N,0.0027,0,N,N,1,6
LOGZ,rf0014,8.17635,7.78401,8.30713,7.52245,8.53599,Y,Y,N,N,0.00423,0.00021,N,N,2,25
LOGQ,rf0015,7.45773,7.32695,7.62121,7.19617,7.78468,Y,Y,N,N,0.00076,0,N,N,1,14
