Line,Galaxy Name,In_lhood?,Obs,Model,Resid_Stds,Obs_S/N
oii3726,rf0001,Y,0.92327,1.49924,-2.60245,4.17169
oii3729,rf0001,Y,2.27738,2.04798,0.65247,6.47738
neiii3869,rf0001,Y,0.11448,0.36573,-4.88575,2.22611
oiii4363,rf0001,Y,0.05666,0.01139,1.29807,1.62450
hgamma,rf0001,Y,0.52991,0.47485,1.51223,14.55556
heii4685,rf0001,Y,0.00000,0.00025,-inf,
ariv4711,rf0001,Y,0.19243,0.00063,1.14377,1.14756
hbeta,rf0001,Y,1.00000,1.00000,0.00000,28.19290
oiii4959,rf0001,Y,0.54558,0.90033,-11.11491,17.09396
oiii5007,rf0001,Y,1.76289,2.68622,-21.21472,40.50475
hei5875,rf0001,Y,0.09350,0.10788,-0.51746,3.36562
oi6300,rf0001,Y,0.13946,0.07173,3.31522,6.82583
nii6548,rf0001,Y,0.09083,0.16947,-13.02454,15.04260
halpha,rf0001,Y,2.86000,2.80719,1.35808,73.54457
nii6584,rf0001,Y,0.27383,0.49957,-12.39491,15.03557
sii6717,rf0001,Y,0.58942,0.61572,-0.69059,15.47429
sii6731,rf0001,Y,0.38919,0.46373,-3.05597,15.95580
ariii7136,rf0001,Y,0.04527,0.19838,-7.34675,2.17223
oii3726,rf0002,Y,1.53269,4.01229,-9.98383,6.17118
oii3729,rf0002,Y,235.60412,5.47511,inf,inf
neiii3869,rf0002,Y,0.40328,0.95331,-12.71803,9.32489
oiii4363,rf0002,Y,0.10250,0.00922,2.70075,2.96759
hgamma,rf0002,Y,0.63649,0.47202,5.45832,21.12361
heii4685,rf0002,Y,0.00000,0.09941,-inf,
ariv4711,rf0002,Y,0.00000,0.00039,-inf,
hbeta,rf0002,Y,1.00000,1.00000,0.00000,33.15736
oiii4959,rf0002,Y,0.52658,0.41078,3.63166,16.51393
oiii5007,rf0002,Y,1.01017,1.22563,-6.32371,29.64770
hei5875,rf0002,Y,-0.00729,0.10521,-3.77003,-0.24420
oi6300,rf0002,Y,0.24589,0.73597,-17.98631,9.02450
nii6548,rf0002,Y,0.36226,0.23573,11.79850,33.77851
halpha,rf0002,Y,2.86000,2.82719,0.82038,71.51784
nii6584,rf0002,Y,1.08560,0.69487,12.07925,33.56036
sii6717,rf0002,Y,0.84675,2.83442,-59.00668,25.13692
sii6731,rf0002,Y,0.52736,2.11789,-46.03629,15.26400
ariii7136,rf0002,Y,0.01796,0.29863,-7.51668,0.48108
oii3726,rf0003,Y,0.18682,0.86723,-10.87225,2.98508
oii3729,rf0003,Y,1.45606,1.16525,1.38093,6.91420
neiii3869,rf0003,Y,0.06006,0.02523,3.42932,5.91296
oiii4363,rf0003,Y,-0.00825,0.00062,-1.37797,-1.28225
hgamma,rf0003,Y,0.53314,0.47945,6.11271,60.69958
heii4685,rf0003,Y,0.01484,0.00002,0.42576,0.42643
ariv4711,rf0003,Y,0.02512,0.00002,0.92110,0.92196
hbeta,rf0003,Y,1.00000,1.00000,0.00000,93.61190
oiii4959,rf0003,Y,0.13398,0.09981,5.27388,20.67520
oiii5007,rf0003,Y,0.44974,0.29778,18.91382,55.97656
hei5875,rf0003,Y,0.08950,0.10904,-3.43797,15.75087
oi6300,rf0003,Y,0.05355,0.02890,5.21588,11.32974
nii6548,rf0003,Y,0.31094,0.96928,-211.70206,99.99018
halpha,rf0003,Y,2.86000,2.83607,1.21101,144.76171
nii6584,rf0003,Y,0.93472,2.85721,-204.96346,99.65387
sii6717,rf0003,Y,0.48393,0.60133,-15.65151,64.51704
sii6731,rf0003,Y,0.35272,0.46106,-14.46146,47.08458
ariii7136,rf0003,Y,0.04846,0.08467,-4.00957,5.36628
oii3726,rf0006,Y,-230.38744,4.01229,-inf,-inf
oii3729,rf0006,Y,0.00000,5.47511,-inf,
neiii3869,rf0006,Y,-0.00099,0.95331,-10.29889,-0.01071
oiii4363,rf0006,Y,-0.06320,0.00922,-1.28783,-1.12391
hgamma,rf0006,Y,0.44495,0.47202,-0.46066,7.57172
heii4685,rf0006,Y,0.08344,0.09941,-0.06562,0.34290
ariv4711,rf0006,Y,0.01816,0.00039,0.00294,0.00300
hbeta,rf0006,Y,1.00000,1.00000,0.00000,18.96895
oiii4959,rf0006,Y,0.39701,0.41078,-0.28504,8.21789
oiii5007,rf0006,Y,1.20190,1.22563,-0.42243,21.38981
hei5875,rf0006,Y,0.12894,0.10521,0.51483,2.79729
oi6300,rf0006,Y,0.09483,0.73597,-19.12891,2.82920
nii6548,rf0006,Y,0.19688,0.23573,-3.47688,17.62266
halpha,rf0006,Y,2.86000,2.82719,0.70393,61.36597
nii6584,rf0006,Y,0.59448,0.69487,-2.97902,17.64161
sii6717,rf0006,Y,0.75593,2.83442,-53.07494,19.30300
sii6731,rf0006,Y,0.57028,2.11789,-43.63855,16.08036
ariii7136,rf0006,Y,0.02808,0.29863,-7.93268,0.82322
oii3726,rf0007,Y,-407.05323,4.01229,-inf,-inf
oii3729,rf0007,Y,-406.93488,5.47511,-inf,-inf
neiii3869,rf0007,Y,-0.17408,0.95331,-13.17048,-2.03360
oiii4363,rf0007,Y,0.10169,0.00922,1.57206,1.72876
hgamma,rf0007,Y,0.31112,0.47202,-2.82818,5.46854
heii4685,rf0007,Y,0.00000,0.09941,-inf,
ariv4711,rf0007,Y,0.05922,0.00039,0.22220,0.22369
hbeta,rf0007,Y,1.00000,1.00000,0.00000,19.35663
oiii4959,rf0007,Y,0.21320,0.41078,-4.06586,4.38720
oiii5007,rf0007,Y,0.47353,1.22563,-15.30313,9.63494
hei5875,rf0007,Y,0.07936,0.10521,-0.58266,1.78922
oi6300,rf0007,Y,0.12910,0.73597,-16.62583,3.53686
nii6548,rf0007,Y,0.43462,0.23573,14.58627,31.87362
halpha,rf0007,Y,2.86000,2.82719,0.67633,58.96004
nii6584,rf0007,Y,1.30974,0.69487,14.95017,31.84513
sii6717,rf0007,Y,0.83806,2.83442,-49.92961,20.96023
sii6731,rf0007,Y,0.41393,2.11789,-47.74655,11.59860
ariii7136,rf0007,Y,0.15869,0.29863,-3.36087,3.81119
oii3726,rf0008,Y,33.71086,3.69764,8.80801,9.89316
oii3729,rf0008,Y,2.87229,5.06636,-0.00046,0.00060
neiii3869,rf0008,Y,-0.15286,0.78876,-16.88604,-2.74122
oiii4363,rf0008,Y,-0.04229,0.00236,-1.23590,-1.17068
hgamma,rf0008,Y,0.66087,0.47175,5.35066,18.69788
heii4685,rf0008,Y,0.20364,0.07489,1.29345,2.04579
