Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
LOGQ,rf0001,7.26507,7.19305,7.38029,7.13544,7.51712,Y,Y,N,N,0.00000,0.00000,N,N,1,40
LOGZ,rf0001,8.26330,8.19737,8.36219,8.13144,8.49405,Y,Y,N,N,0.00000,0.00000,N,N,1,122
LOGQ,rf0003,6.97700,7.02741,7.54593,-inf,7.71157,N,Y,Y,N,0.04997,0.00000,N,N,3,0
LOGZ,rf0003,8.35560,8.34241,8.73798,8.28307,8.83028,Y,Y,N,N,0.00000,0.00000,N,N,4,136
LOGQ,rf0006,7.16424,7.11383,7.36589,7.04902,7.57474,Y,Y,N,N,0.00026,0.00000,N,N,1,26
LOGZ,rf0006,8.32922,8.26330,8.45449,8.20396,8.66546,Y,Y,N,N,0.00000,0.00000,N,N,4,132
LOGQ,rf0007,7.10663,7.04181,7.29387,6.98420,7.45231,Y,Y,N,N,0.02760,0.00000,N,N,1,18
LOGZ,rf0007,8.60612,8.47427,8.70502,8.38856,8.79072,Y,Y,N,N,0.00000,0.00000,N,N,2,174
LOGQ,rf0008,6.97700,7.21465,8.10046,6.99140,8.29490,N,N,Y,N,0.02071,0.00001,N,N,2,0
LOGZ,rf0008,8.77754,8.56657,8.82369,8.30285,8.88302,Y,Y,N,N,0.00000,0.00000,N,N,4,200
LOGQ,rf0010,7.35149,7.29387,7.48112,7.23626,7.62515,Y,Y,N,N,0.00000,0.00000,N,N,1,52
LOGZ,rf0010,8.29626,8.21055,8.37537,8.14463,8.49405,Y,Y,N,N,0.00000,0.00000,N,N,1,127
LOGQ,rf0011,7.02021,7.00581,7.20025,-inf,7.35149,Y,Y,N,N,0.06444,0.00000,N,N,1,6
LOGZ,rf0011,8.36878,8.30945,8.52042,8.25670,8.65227,Y,Y,N,N,0.00000,0.00000,N,N,4,138
LOGQ,rf0014,7.14984,7.09223,7.30107,7.04181,7.50272,Y,Y,N,N,0.00063,0.00000,N,N,1,24
LOGZ,rf0014,8.29626,8.21055,8.36878,8.14463,8.59294,Y,Y,N,N,0.00000,0.00000,N,N,3,127
LOGQ,rf0015,6.97700,7.02021,7.54593,-inf,7.70437,N,Y,Y,N,0.05446,0.00000,N,N,3,0
LOGZ,rf0015,8.70502,8.53360,8.77754,8.34900,8.85006,Y,Y,N,N,0.00000,0.00000,N,N,3,189
LOGQ,rf0017,7.25786,7.19305,7.39470,7.12823,7.56753,Y,Y,N,N,0.00000,0.00000,N,N,1,39
LOGZ,rf0017,8.30945,8.22374,8.37537,8.16440,8.54679,Y,Y,N,N,0.00000,0.00000,N,N,1,129
LOGQ,rf0019,7.25786,7.18585,7.54593,7.09943,7.87721,Y,Y,N,N,0.00006,0.00000,N,N,1,39
LOGZ,rf0019,8.24352,8.17759,8.38197,8.09848,8.68524,Y,Y,N,N,0.00000,0.00000,N,N,3,119
LOGQ,rf0020,6.99140,7.00581,7.23626,-inf,7.42350,N,Y,Y,N,0.07965,0.00000,N,N,1,2
LOGZ,rf0020,8.36878,8.31604,8.59953,8.26330,8.73139,Y,Y,N,N,0.00000,0.00000,N,N,3,138
LOGQ,rf0023,7.28667,7.22186,7.45231,7.14984,7.65395,Y,Y,N,N,0.00000,0.00000,N,N,1,43
LOGZ,rf0023,8.26330,8.19737,8.36878,8.13144,8.55997,Y,Y,N,N,0.00000,0.00000,N,N,1,122
LOGQ,rf0024,6.97700,6.99140,7.15704,-inf,7.30828,N,Y,Y,N,0.13738,0.00000,N,N,1,0
LOGZ,rf0024,8.38197,8.36878,8.69183,8.30285,8.77754,Y,Y,N,N,0.00000,0.00000,N,N,2,140
LOGQ,rf0028,7.12823,7.07782,7.30107,7.02021,7.53153,Y,Y,N,N,0.00316,0.00000,N,N,1,21
LOGZ,rf0028,8.29626,8.21055,8.36878,8.15122,8.62590,Y,Y,N,N,0.00000,0.00000,N,N,4,127
LOGQ,rf0029,7.27947,7.22186,7.43070,7.14984,7.59634,Y,Y,N,N,0.00000,0.00000,N,N,1,42
LOGZ,rf0029,8.32263,8.25670,8.40834,8.19737,8.55338,Y,Y,N,N,0.00000,0.00000,N,N,1,131
LOGQ,rf0030,6.97700,7.00581,7.27227,-inf,7.45231,N,Y,Y,N,0.08119,0.00000,N,N,1,0
LOGZ,rf0030,8.35560,8.32263,8.65227,8.26989,8.76435,Y,Y,N,N,0.00000,0.00000,N,N,2,136
LOGQ,rf0031,6.97700,7.03461,7.48832,6.98420,7.65395,N,N,Y,N,0.04378,0.00000,N,N,2,0
LOGZ,rf0031,8.70502,8.54679,8.77754,8.35560,8.85006,Y,Y,N,N,0.00000,0.00000,N,N,2,189
LOGQ,rf0032,7.27227,7.12823,7.41630,7.04181,7.54593,Y,Y,N,N,0.00152,0.00000,N,N,1,41
LOGZ,rf0032,8.38856,8.35560,8.59953,8.28967,8.72480,Y,Y,N,N,0.00000,0.00000,N,N,1,141
LOGQ,rf0033,7.26507,7.20025,7.43791,7.12823,7.66116,Y,Y,N,N,0.00000,0.00000,N,N,1,40
LOGZ,rf0033,8.26330,8.19737,8.36878,8.13144,8.56657,Y,Y,N,N,0.00000,0.00000,N,N,2,122
LOGQ,rf0034,7.43791,7.36589,7.65395,7.28667,7.87000,Y,Y,N,N,0.00000,0.00000,N,N,1,64
LOGZ,rf0034,8.23693,8.17759,8.37537,8.10507,8.58635,Y,Y,N,N,0.00000,0.00000,N,N,1,118
LOGQ,rf0040,6.97700,7.02021,7.49552,-inf,7.67556,N,Y,Y,N,0.05371,0.00000,N,N,3,0
LOGZ,rf0040,8.67865,8.42812,8.76435,8.31604,8.84347,Y,Y,N,N,0.00000,0.00000,N,N,4,185
LOGQ,rf0042,7.48112,7.40910,7.81239,7.30828,8.06445,Y,Y,N,N,0.00000,0.00000,N,N,1,70
LOGZ,rf0042,8.24352,8.18418,8.42152,8.10507,8.61931,Y,Y,N,N,0.00000,0.00000,N,N,2,119
LOGQ,rf0043,6.97700,7.02021,7.46671,-inf,7.66836,N,Y,Y,N,0.05451,0.00000,N,N,1,0
LOGZ,rf0043,8.71820,8.55997,8.77754,8.37537,8.85006,Y,Y,N,N,0.00000,0.00000,N,N,2,191
LOGQ,rf0045,7.36589,7.30107,7.51712,7.23626,7.68276,Y,Y,N,N,0.00000,0.00000,N,N,1,54
LOGZ,rf0045,8.23693,8.17100,8.34900,8.09848,8.48086,Y,Y,N,N,0.00000,0.00000,N,N,1,118
LOGQ,rf0048,7.27227,7.20745,7.40190,7.14264,7.56033,Y,Y,N,N,0.00000,0.00000,N,N,1,41
LOGZ,rf0048,8.29626,8.21055,8.36878,8.15122,8.51382,Y,Y,N,N,0.00000,0.00000,N,N,1,127
LOGQ,rf0049,7.30828,7.24346,7.49552,7.16424,7.72597,Y,Y,N,N,0.00000,0.00000,N,N,1,46
LOGZ,rf0049,8.24352,8.18418,8.36219,8.11825,8.57316,Y,Y,N,N,0.00000,0.00000,N,N,1,119
LOGQ,rf0051,7.53153,7.43791,7.80519,7.33708,8.06445,Y,Y,N,N,0.00000,0.00000,N,N,1,77
LOGZ,rf0051,8.23693,8.15122,8.37537,8.06551,8.57975,Y,Y,N,N,0.00000,0.00000,N,N,3,118
LOGQ,rf0053,7.37309,7.30828,7.50272,7.25066,7.63955,Y,Y,N,N,0.00000,0.00000,N,N,1,55
LOGZ,rf0053,8.24352,8.19078,8.35560,8.12485,8.47427,Y,Y,N,N,0.00000,0.00000,N,N,1,119
LOGQ,rf0058,7.07782,7.04181,7.26507,6.99140,7.48832,Y,Y,N,N,0.01551,0.00000,N,N,1,14
LOGZ,rf0058,8.33582,8.26989,8.42812,8.21715,8.64568,Y,Y,N,N,0.00000,0.00000,N,N,4,133
LOGQ,rf0059,7.33708,7.28667,7.54593,7.20745,7.66836,Y,Y,N,N,0.00000,0.00000,N,N,1,50
LOGZ,rf0059,8.38197,8.30945,8.49405,8.24352,8.60612,Y,Y,N,N,0.00000,0.00000,N,N,2,140
LOGQ,rf0060,7.14264,7.09223,7.26507,7.04181,7.39470,Y,Y,N,N,0.00021,0.00000,N,N,1,23
LOGZ,rf0060,8.30285,8.22374,8.36878,8.15781,8.52042,Y,Y,N,N,0.00000,0.00000,N,N,1,128
LOGQ,rf0061,7.12823,7.07062,7.36589,7.00581,7.53153,Y,Y,N,N,0.01013,0.00000,N,N,1,21
LOGZ,rf0061,8.37537,8.32263,8.57316,8.25670,8.71161,Y,Y,N,N,0.00000,0.00000,N,N,1,139
LOGQ,rf0062,7.04902,7.01301,7.17144,-inf,7.27227,Y,Y,N,N,0.05705,0.00000,N,N,1,10
LOGZ,rf0062,8.56657,8.42152,8.62590,8.37537,8.69842,Y,Y,N,N,0.00000,0.00000,N,N,2,168
LOGQ,rf0064,7.43070,7.36589,7.58194,7.29387,7.72597,Y,Y,N,N,0.00000,0.00000,N,N,1,63
LOGZ,rf0064,8.23693,8.15781,8.34241,8.07870,8.46108,Y,Y,N,N,0.00000,0.00000,N,N,1,118
LOGQ,rf0065,7.19305,7.14264,7.32268,7.09223,7.45231,Y,Y,N,N,0.00000,0.00000,N,N,1,30
LOGZ,rf0065,8.30945,8.22374,8.37537,8.15781,8.50723,Y,Y,N,N,0.00000,0.00000,N,N,1,129
LOGQ,rf0068,7.27227,7.20025,7.50272,7.12103,7.77638,Y,Y,N,N,0.00000,0.00000,N,N,1,41
LOGZ,rf0068,8.21715,8.14463,8.34241,8.07210,8.59953,Y,Y,N,N,0.00000,0.00000,N,N,3,115
LOGQ,rf0071,6.97700,7.02741,7.43791,6.98420,7.63235,N,N,Y,N,0.04356,0.00000,N,N,1,0
LOGZ,rf0071,8.71820,8.59294,8.78413,8.42152,8.85006,Y,Y,N,N,0.00000,0.00000,N,N,2,191
LOGQ,rf0072,7.94202,7.81959,8.10046,7.69716,8.28770,Y,Y,N,N,0.00000,0.00000,N,N,1,134
LOGZ,rf0072,8.23693,8.13144,8.34900,8.03914,8.46767,Y,Y,N,N,0.00000,0.00000,N,N,2,118
LOGQ,rf0073,7.52433,7.44511,7.71877,7.35869,7.89881,Y,Y,N,N,0.00000,0.00000,N,N,1,76
LOGZ,rf0073,8.31604,8.23033,8.41493,8.16440,8.54020,Y,Y,N,N,0.00000,0.00000,N,N,1,130
LOGQ,rf0074,7.02741,7.02021,7.26507,6.98420,7.44511,Y,Y,N,N,0.05019,0.00000,N,N,1,7
LOGZ,rf0074,8.60612,8.44790,8.69842,8.37537,8.79072,Y,Y,N,N,0.00000,0.00000,N,N,2,174
LOGQ,rf0076,7.24346,7.17144,7.38749,7.10663,7.58914,Y,Y,N,N,0.00000,0.00000,N,N,1,37
LOGZ,rf0076,8.29626,8.21715,8.37537,8.15122,8.56657,Y,Y,N,N,0.00000,0.00000,N,N,1,127
LOGQ,rf0077,7.21465,7.14984,7.36589,7.08502,7.56033,Y,Y,N,N,0.00001,0.00000,N,N,1,33
LOGZ,rf0077,8.28967,8.20396,8.36219,8.14463,8.54020,Y,Y,N,N,0.00000,0.00000,N,N,3,126
LOGQ,rf0079,7.08502,7.04181,7.25066,6.99860,7.45951,Y,Y,N,N,0.01315,0.00000,N,N,1,15
LOGZ,rf0079,8.31604,8.23693,8.38197,8.17100,8.61272,Y,Y,N,N,0.00000,0.00000,N,N,4,130
LOGQ,rf0083,7.20745,7.14264,7.38749,7.07782,7.61074,Y,Y,N,N,0.00005,0.00000,N,N,1,32
LOGZ,rf0083,8.28967,8.21055,8.37537,8.13803,8.61272,Y,Y,N,N,0.00000,0.00000,N,N,3,126
LOGQ,rf0084,7.03461,7.01301,7.24346,6.98420,7.47391,Y,Y,N,N,0.04409,0.00000,N,N,1,8
LOGZ,rf0084,8.31604,8.25011,8.40175,8.19078,8.68524,Y,Y,N,N,0.00000,0.00000,N,N,2,130
LOGQ,rf0092,6.97700,7.04181,7.57474,6.98420,7.74037,N,N,Y,N,0.04155,0.00000,N,N,3,0
LOGZ,rf0092,8.73798,8.59294,8.79732,8.41493,8.86324,Y,Y,N,N,0.00000,0.00000,N,N,2,194
LOGQ,rf0098,6.97700,6.99140,7.23626,-inf,7.45231,N,Y,Y,N,0.11515,0.00000,N,N,1,0
LOGZ,rf0098,8.36878,8.35560,8.74457,8.28967,8.82369,Y,Y,N,N,0.00000,0.00000,N,N,3,138
LOGQ,rf0099,7.14264,7.09223,7.27947,7.04181,7.43791,Y,Y,N,N,0.00030,0.00000,N,N,1,23
LOGZ,rf0099,8.30285,8.22374,8.36878,8.15781,8.54020,Y,Y,N,N,0.00000,0.00000,N,N,1,128
LOGQ,rf0102,7.17144,7.10663,7.38029,7.04181,7.67556,Y,Y,N,N,0.00093,0.00000,N,N,1,27
LOGZ,rf0102,8.26330,8.19078,8.36878,8.12485,8.65227,Y,Y,N,N,0.00000,0.00000,N,N,3,122
LOGQ,rf0104,7.32988,7.27227,7.51712,7.19305,7.71877,Y,Y,N,N,0.00000,0.00000,N,N,1,49
LOGZ,rf0104,8.23693,8.15122,8.33582,8.07870,8.48745,Y,Y,N,N,0.00000,0.00000,N,N,1,118
LOGQ,rf0106,7.11383,7.05622,7.32268,6.99860,7.49552,Y,Y,N,N,0.01267,0.00000,N,N,1,19
LOGZ,rf0106,8.38197,8.32263,8.52042,8.26330,8.65887,Y,Y,N,N,0.00000,0.00000,N,N,1,140
LOGQ,rf0107,7.34428,7.28667,7.48832,7.21465,7.66116,Y,Y,N,N,0.00000,0.00000,N,N,1,51
