,Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
0,LOGQ,rf0001,7.250660000000001,7.17144,7.34428,7.11383,7.452310000000001,Y,Y,N,N,0.0,0.0,N,N,1,38
1,LOGZ,rf0001,-0.4967,-0.56263,-0.37144,-0.62856,-0.25277,Y,Y,N,N,0.0,0.0,N,N,1,122
2,LOGQ,rf0003,7.365889999999999,7.11383,7.48832,6.9914,7.62515,Y,Y,N,N,0.01695,0.0,N,N,2,54
3,LOGZ,rf0003,0.08347,-0.19343,0.10984000000000001,-0.33188,0.16258,Y,Y,N,N,0.0,0.0,N,N,1,210
4,LOGQ,rf0006,7.19305,7.12103,7.38749,7.05622,7.56033,Y,Y,N,N,0.00032,0.0,N,N,1,30
5,LOGZ,rf0006,-0.35166,-0.411,-0.16706,-0.48352,-0.028610000000000003,Y,Y,N,N,0.0,0.0,N,N,1,144
6,LOGQ,rf0007,7.12823,7.05622,7.358689999999999,6.9914,7.55313,Y,Y,N,N,0.01855,0.0,N,N,1,21
7,LOGZ,rf0007,-0.09454,-0.18684,0.043910000000000005,-0.26595,0.14939000000000002,Y,Y,N,N,0.0,0.0,N,N,1,183
8,LOGQ,rf0008,8.05005,7.7763800000000005,8.3021,7.466710000000001,8.56856,Y,Y,N,N,0.00023999999999999998,0.00147,N,N,2,149
9,LOGZ,rf0008,0.29444000000000004,0.22851,0.29444000000000004,0.15599000000000002,inf,Y,Y,N,Y,0.0,0.26974000000000004,N,N,1,242
10,LOGQ,rf0010,7.33708,7.27947,7.452310000000001,7.21465,7.5675300000000005,Y,Y,N,N,0.0,0.0,N,N,1,50
11,LOGZ,rf0010,-0.45715,-0.5362600000000001,-0.34507,-0.60219,-0.23299,Y,Y,N,N,0.0,0.0,N,N,1,128
12,LOGQ,rf0011,7.05622,7.0202100000000005,7.20745,6.9842,7.33708,Y,Y,N,N,0.03927,0.0,N,N,1,11
13,LOGZ,rf0011,-0.29233000000000003,-0.35825,-0.16706,-0.43078,-0.061579999999999996,Y,Y,N,N,0.0,0.0,N,N,1,153
14,LOGQ,rf0014,7.135439999999999,7.07782,7.31548,7.01301,7.52433,Y,Y,N,N,0.00426,0.0,N,N,1,22
15,LOGZ,rf0014,-0.43078,-0.50989,-0.25936,-0.589,-0.061579999999999996,Y,Y,N,N,0.0,0.0,N,N,1,132
16,LOGQ,rf0015,7.19305,7.06342,7.31548,6.9914,7.459510000000001,Y,Y,N,N,0.020380000000000002,0.0,N,N,1,30
17,LOGZ,rf0015,0.14939000000000002,0.024130000000000002,0.18895,-0.15388,0.22851,Y,Y,N,N,0.0,0.0,N,N,1,220
18,LOGQ,rf0017,7.257860000000001,7.17865,7.38029,7.11383,7.50272,Y,Y,N,N,0.0,0.0,N,N,1,39
