Line,Galaxy Name,In_lhood?,Obs,Model,Resid_Stds,Obs_S/N
hbeta,rf0001,Y,0.34965,0.34816,0.12029,28.19290
oiii4959,rf0001,Y,0.19076,0.12156,6.20141,17.09396
oiii5007,rf0001,Y,0.61640,0.35011,17.49809,40.50475
oi6300,rf0001,Y,0.04876,0.01071,5.32647,6.82583
nii6548,rf0001,Y,0.03176,0.03942,-3.63116,15.04260
halpha,rf0001,Y,1.00000,1.00000,0.00000,73.54457
nii6584,rf0001,Y,0.09575,0.11605,-3.18885,15.03557
sii6717,rf0001,Y,0.20609,0.11277,7.00704,15.47429
sii6731,rf0001,Y,0.13608,0.08423,6.08011,15.95580
hbeta,rf0002,Y,0.34965,0.34646,0.30250,33.15736
oiii4959,rf0002,Y,0.18412,0.06992,10.24262,16.51393
oiii5007,rf0002,Y,0.35321,0.20137,12.74457,29.64770
oi6300,rf0002,Y,0.08598,0.01314,7.64571,9.02450
nii6548,rf0002,Y,0.12666,0.07220,14.52516,33.77851
halpha,rf0002,Y,1.00000,1.00000,0.00000,71.51784
nii6584,rf0002,Y,0.37958,0.21257,14.76626,33.56036
sii6717,rf0002,Y,0.29607,0.16496,11.13109,25.13692
sii6731,rf0002,Y,0.18439,0.12316,5.06903,15.26400
hbeta,rf0003,Y,0.34965,0.34533,1.15774,93.61190
oiii4959,rf0003,Y,0.04685,0.05065,-1.67710,20.67520
oiii5007,rf0003,Y,0.15725,0.14587,4.05147,55.97656
oi6300,rf0003,Y,0.01873,0.01470,2.43570,11.32974
nii6548,rf0003,Y,0.10872,0.09229,15.10969,99.99018
halpha,rf0003,Y,1.00000,1.00000,0.00000,144.76171
nii6584,rf0003,Y,0.32682,0.27178,16.78521,99.65387
sii6717,rf0003,Y,0.16921,0.20032,-11.86167,64.51704
sii6731,rf0003,Y,0.12333,0.14952,-9.99957,47.08458
hbeta,rf0006,Y,0.34965,0.34727,0.12938,18.96895
oiii4959,rf0006,Y,0.13881,0.08263,3.32610,8.21789
oiii5007,rf0006,Y,0.42024,0.23797,9.27735,21.38981
oi6300,rf0006,Y,0.03316,0.01242,1.76925,2.82920
nii6548,rf0006,Y,0.06884,0.05965,2.35135,17.62266
halpha,rf0006,Y,1.00000,1.00000,0.00000,61.36597
nii6584,rf0006,Y,0.20786,0.17562,2.73599,17.64161
sii6717,rf0006,Y,0.26431,0.14613,8.63097,19.30300
sii6731,rf0006,Y,0.19940,0.10912,7.28080,16.08036
hbeta,rf0007,Y,0.34965,0.34432,0.29525,19.35663
oiii4959,rf0007,Y,0.07454,0.04282,1.86731,4.38720
oiii5007,rf0007,Y,0.16557,0.12332,2.45834,9.63494
oi6300,rf0007,Y,0.04514,0.01465,2.38933,3.53686
nii6548,rf0007,Y,0.15197,0.11017,8.76603,31.87362
halpha,rf0007,Y,1.00000,1.00000,0.00000,58.96004
nii6584,rf0007,Y,0.45795,0.32444,9.28451,31.84513
sii6717,rf0007,Y,0.29303,0.21866,5.31932,20.96023
sii6731,rf0007,Y,0.14473,0.16322,-1.48149,11.59860
hbeta,rf0008,Y,0.34965,0.33363,1.42080,31.01034
oiii4959,rf0008,Y,0.03365,0.02994,0.37135,3.36936
oiii5007,rf0008,Y,0.07677,0.08625,-0.94193,7.62680
oi6300,rf0008,Y,0.00976,0.00249,0.93819,1.25952
nii6548,rf0008,Y,0.10348,0.08782,4.65876,30.79445
halpha,rf0008,Y,1.00000,1.00000,0.00000,78.26470
nii6584,rf0008,Y,0.31134,0.25857,5.20605,30.71795
sii6717,rf0008,Y,0.08167,0.07485,0.78553,9.39814
sii6731,rf0008,Y,0.05911,0.05619,0.36479,7.38173
hbeta,rf0010,Y,0.34965,0.34795,0.31018,63.89095
oiii4959,rf0010,Y,0.25774,0.13254,23.42772,48.22810
oiii5007,rf0010,Y,0.77345,0.38176,56.77967,112.11878
oi6300,rf0010,Y,0.03688,0.01019,7.72235,10.66992
nii6548,rf0010,Y,0.03624,0.03820,-1.82968,33.84628
halpha,rf0010,Y,1.00000,1.00000,0.00000,160.35536
nii6584,rf0010,Y,0.10890,0.11245,-1.10014,33.71830
sii6717,rf0010,Y,0.18567,0.10748,18.19071,43.19665
sii6731,rf0010,Y,0.12331,0.08027,12.47158,35.73386
hbeta,rf0011,Y,0.34965,0.34628,0.21206,22.00847
oiii4959,rf0011,Y,0.08417,0.05283,2.20708,5.92682
oiii5007,rf0011,Y,0.24956,0.15215,6.22080,15.93762
oi6300,rf0011,Y,0.05665,0.01556,3.94824,5.44355
nii6548,rf0011,Y,0.09548,0.07536,5.14100,24.39870
halpha,rf0011,Y,1.00000,1.00000,0.00000,58.45497
nii6584,rf0011,Y,0.28773,0.22192,5.57492,24.37621
sii6717,rf0011,Y,0.27587,0.19030,6.55636,21.13751
sii6731,rf0011,Y,0.17892,0.14204,3.25646,15.79741
hbeta,rf0013,Y,0.19002,0.78955,-433.43184,137.37950
oiii4959,rf0013,Y,0.33249,0.34715,-7.51584,170.54115
oiii5007,rf0013,Y,1.00000,1.00000,0.00000,279.36728
oi6300,rf0013,Y,0.03240,0.01933,12.56055,31.14752
nii6548,rf0013,Y,0.13920,0.10084,58.35742,211.76381
halpha,rf0013,Y,0.54347,2.27724,-704.02664,220.68609
nii6584,rf0013,Y,0.41880,0.29688,61.49141,211.23177
sii6717,rf0013,Y,0.14682,0.22504,-54.50322,102.30164
sii6731,rf0013,Y,0.11135,0.16802,-43.13985,84.75632
hbeta,rf0014,Y,0.34965,0.34827,0.05715,14.52794
oiii4959,rf0014,Y,0.13065,0.08605,2.02002,5.91693
oiii5007,rf0014,Y,0.42515,0.24780,7.19555,17.24958
oi6300,rf0014,Y,0.04240,0.01333,1.72380,2.51381
nii6548,rf0014,Y,0.04355,0.04292,0.12825,8.93338
halpha,rf0014,Y,1.00000,1.00000,0.00000,49.92436
nii6584,rf0014,Y,0.13117,0.12635,0.32761,8.92138
sii6717,rf0014,Y,0.27833,0.13727,7.91344,15.61499
sii6731,rf0014,Y,0.19204,0.10250,5.10430,10.94670
