Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
LOGHDEN,rf0001,1.91837,1.81633,2.83673,1.61224,3.14286,Y,Y,N,N,0.00000,0.00000,N,N,2,9
LOGQ,rf0001,7.08414,7.11986,8.01271,-inf,8.40557,N,Y,N,N,0.06348,0.00153,N,N,5,3
LOGZ,rf0001,8.27635,8.21096,8.43982,8.11287,8.53791,Y,Y,N,N,0.00000,0.00000,N,N,1,25
LOGHDEN,rf0003,2.12245,1.91837,3.34694,1.51020,3.75510,Y,Y,N,N,0.00001,0.00000,N,N,3,11
LOGQ,rf0003,6.97700,7.19129,8.44129,7.01271,8.69129,N,N,Y,N,0.04758,0.03201,N,N,7,0
LOGZ,rf0003,8.83216,8.43982,8.86486,8.34174,8.96294,Y,Y,N,N,0.00000,0.00836,N,N,2,42
LOGHDEN,rf0006,2.02041,1.81633,2.83673,1.61224,3.14286,Y,Y,N,N,0.00002,0.00000,N,N,2,10
LOGQ,rf0006,7.08414,7.11986,8.01271,-inf,8.40557,N,Y,N,N,0.06503,0.00155,N,N,4,3
LOGZ,rf0006,8.43982,8.34174,8.63599,8.27635,8.76677,Y,Y,N,N,0.00000,0.00001,N,N,1,30
LOGHDEN,rf0007,2.63265,2.02041,3.14286,1.71429,3.55102,Y,Y,N,N,0.00000,0.00000,N,N,2,16
LOGQ,rf0007,7.83414,7.22700,8.26271,7.01271,8.58414,Y,Y,N,N,0.04255,0.00749,N,N,5,24
LOGZ,rf0007,8.63599,8.53791,8.79947,8.47252,8.93025,Y,Y,N,N,0.00000,0.00198,N,N,1,36
LOGHDEN,rf0008,1.71429,1.30612,2.22449,1.10204,2.93878,Y,Y,N,N,0.06151,0.00000,N,N,3,7
LOGQ,rf0008,7.40557,7.19129,8.29843,7.01271,8.65557,Y,Y,N,N,0.04174,0.01798,N,N,2,12
LOGZ,rf0008,9.02833,8.96294,inf,8.63599,inf,Y,Y,N,Y,0.00000,0.69213,N,Y,2,48
LOGHDEN,rf0010,1.91837,1.71429,2.73469,1.51020,3.14286,Y,Y,N,N,0.00000,0.00000,N,N,3,9
LOGQ,rf0010,7.11986,7.15557,8.08414,-inf,8.44129,N,Y,N,N,0.05791,0.00256,N,N,5,4
LOGZ,rf0010,8.30904,8.21096,8.43982,8.14557,8.53791,Y,Y,N,N,0.00000,0.00000,N,N,1,26
LOGHDEN,rf0011,2.12245,2.02041,3.04082,1.81633,3.44898,Y,Y,N,N,0.00000,0.00000,N,N,3,11
LOGQ,rf0011,7.58414,7.15557,8.08414,-inf,8.44129,Y,Y,N,N,0.05317,0.00192,N,N,5,17
LOGZ,rf0011,8.47252,8.37443,8.60330,8.30904,8.73408,Y,Y,N,N,0.00000,0.00000,N,N,1,31
LOGHDEN,rf0014,2.02041,1.81633,2.73469,1.61224,3.04082,Y,Y,N,N,0.00002,0.00000,N,N,1,10
LOGQ,rf0014,7.08414,7.08414,7.86986,-inf,8.26271,Y,Y,N,N,0.08328,0.00054,N,N,4,3
LOGZ,rf0014,8.34174,8.27635,8.53791,8.17826,8.73408,Y,Y,N,N,0.00000,0.00000,N,N,1,27
LOGHDEN,rf0015,3.75510,2.12245,3.85714,1.71429,4.06122,Y,Y,N,N,0.00000,0.00000,N,N,2,27
LOGQ,rf0015,8.72700,7.29843,8.61986,7.01271,inf,N,Y,N,Y,0.03655,0.08315,N,N,4,49
LOGZ,rf0015,8.50521,8.47252,8.96294,8.37443,9.02833,Y,Y,N,N,0.00000,0.05381,N,N,2,32
LOGHDEN,rf0017,1.91837,1.81633,2.73469,1.61224,3.14286,Y,Y,N,N,0.00000,0.00000,N,N,2,9
LOGQ,rf0017,7.08414,7.11986,8.01271,-inf,8.36986,N,Y,N,N,0.06484,0.00132,N,N,5,3
LOGZ,rf0017,8.34174,8.27635,8.50521,8.21096,8.63599,Y,Y,N,N,0.00000,0.00000,N,N,1,27
LOGHDEN,rf0019,1.91837,1.81633,2.83673,1.40816,3.34694,Y,Y,N,N,0.00622,0.00000,N,N,2,9
LOGQ,rf0019,7.08414,7.15557,8.15557,-inf,8.58414,N,Y,N,N,0.05600,0.00864,N,N,4,3
LOGZ,rf0019,8.27635,8.17826,8.60330,8.08018,8.86486,Y,Y,N,N,0.00000,0.00009,N,N,2,25
LOGHDEN,rf0020,2.12245,2.02041,3.04082,1.71429,3.34694,Y,Y,N,N,0.00000,0.00000,N,N,1,11
LOGQ,rf0020,7.08414,7.15557,8.04843,-inf,8.40557,N,Y,N,N,0.06082,0.00168,N,N,4,3
LOGZ,rf0020,8.47252,8.40713,8.70138,8.34174,8.86486,Y,Y,N,N,0.00000,0.00059,N,N,1,31
LOGHDEN,rf0023,1.91837,1.81633,2.73469,1.51020,3.14286,Y,Y,N,N,0.00006,0.00000,N,N,2,9
LOGQ,rf0023,7.08414,7.11986,7.97700,-inf,8.36986,N,Y,N,N,0.06855,0.00144,N,N,4,3
LOGZ,rf0023,8.30904,8.24365,8.50521,8.14557,8.63599,Y,Y,N,N,0.00000,0.00000,N,N,1,26
LOGHDEN,rf0024,3.04082,2.22449,3.34694,2.02041,3.65306,Y,Y,N,N,0.00000,0.00000,N,N,3,20
LOGQ,rf0024,7.90557,7.19129,8.19129,7.01271,8.51271,Y,Y,N,N,0.04531,0.00462,N,N,5,26
LOGZ,rf0024,8.50521,8.40713,8.70138,8.34174,8.83216,Y,Y,N,N,0.00000,0.00013,N,N,1,32
LOGHDEN,rf0028,2.02041,1.81633,2.63265,1.51020,3.04082,Y,Y,N,N,0.00014,0.00000,N,N,1,10
LOGQ,rf0028,7.04843,7.08414,7.79843,-inf,8.19129,N,Y,Y,N,0.09739,0.00032,N,N,3,2
LOGZ,rf0028,8.34174,8.27635,8.60330,8.17826,8.79947,Y,Y,N,N,0.00000,0.00002,N,N,1,27
LOGHDEN,rf0029,2.12245,1.81633,2.93878,1.61224,3.24490,Y,Y,N,N,0.00000,0.00000,N,N,3,11
LOGQ,rf0029,7.61986,7.19129,8.15557,7.01271,8.51271,Y,Y,N,N,0.04966,0.00418,N,N,6,18
LOGZ,rf0029,8.37443,8.30904,8.50521,8.24365,8.63599,Y,Y,N,N,0.00000,0.00000,N,N,1,28
LOGHDEN,rf0030,2.22449,2.02041,3.14286,1.71429,3.55102,Y,Y,N,N,0.00000,0.00000,N,N,3,12
LOGQ,rf0030,7.22700,7.19129,8.19129,-inf,8.54843,Y,Y,N,N,0.05296,0.00594,N,N,4,7
LOGZ,rf0030,8.50521,8.40713,8.73408,8.34174,8.83216,Y,Y,N,N,0.00000,0.00007,N,N,1,32
LOGHDEN,rf0031,2.12245,1.91837,3.44898,1.61224,3.85714,Y,Y,N,N,0.00000,0.00000,N,N,3,11
LOGQ,rf0031,6.97700,7.19129,8.47700,7.01271,8.69129,N,N,Y,N,0.04802,0.03743,N,N,6,0
LOGZ,rf0031,8.89755,8.50521,8.93025,8.40713,9.02833,Y,Y,N,N,0.00000,0.03588,N,N,2,44
LOGHDEN,rf0032,2.32653,1.81633,2.83673,1.61224,3.14286,Y,Y,N,N,0.00000,0.00000,N,N,2,13
LOGQ,rf0032,7.58414,7.15557,8.08414,-inf,8.44129,Y,Y,N,N,0.05237,0.00192,N,N,5,17
LOGZ,rf0032,8.57060,8.47252,8.73408,8.37443,8.83216,Y,Y,N,N,0.00000,0.00006,N,N,1,34
LOGHDEN,rf0033,1.91837,1.81633,2.73469,1.51020,3.14286,Y,Y,N,N,0.00033,0.00000,N,N,2,9
LOGQ,rf0033,7.08414,7.11986,7.94129,-inf,8.33414,N,Y,N,N,0.07271,0.00121,N,N,4,3
LOGZ,rf0033,8.30904,8.21096,8.50521,8.14557,8.66869,Y,Y,N,N,0.00000,0.00000,N,N,1,26
LOGHDEN,rf0034,1.71429,1.61224,2.53061,1.40816,2.93878,Y,Y,N,N,0.00185,0.00000,N,N,1,7
LOGQ,rf0034,7.08414,7.11986,7.94129,-inf,8.36986,N,Y,N,N,0.07361,0.00169,N,N,3,3
LOGZ,rf0034,8.27635,8.17826,8.50521,8.11287,8.66869,Y,Y,N,N,0.00000,0.00000,N,N,1,25
LOGHDEN,rf0040,2.22449,1.91837,3.44898,1.61224,3.75510,Y,Y,N,N,0.00000,0.00000,N,N,4,12
LOGQ,rf0040,6.97700,7.19129,8.36986,-inf,8.65557,N,Y,Y,N,0.05258,0.02332,N,N,5,0
LOGZ,rf0040,8.89755,8.47252,8.93025,8.37443,9.02833,Y,Y,N,N,0.00000,0.03652,N,N,2,44
LOGHDEN,rf0042,1.81633,1.61224,2.83673,1.30612,3.24490,Y,Y,N,N,0.00735,0.00000,N,N,2,8
LOGQ,rf0042,7.36986,7.19129,8.26271,7.01271,8.61986,Y,Y,N,N,0.04818,0.01232,N,N,5,11
LOGZ,rf0042,8.24365,8.17826,8.47252,8.11287,8.66869,Y,Y,N,N,0.00000,0.00000,N,N,1,24
LOGHDEN,rf0043,3.65306,2.12245,3.75510,1.71429,3.95918,Y,Y,N,N,0.00000,0.00000,N,N,2,26
LOGQ,rf0043,8.72700,7.26271,8.58414,7.01271,inf,N,Y,N,Y,0.03762,0.07403,N,N,5,49
LOGZ,rf0043,8.89755,8.50521,8.93025,8.40713,9.02833,Y,Y,N,N,0.00000,0.04543,N,N,2,44
LOGHDEN,rf0045,1.91837,1.71429,2.73469,1.51020,3.14286,Y,Y,N,N,0.00003,0.00000,N,N,3,9
LOGQ,rf0045,7.11986,7.15557,8.08414,-inf,8.44129,N,Y,N,N,0.06081,0.00299,N,N,5,4
LOGZ,rf0045,8.24365,8.14557,8.40713,8.08018,8.53791,Y,Y,N,N,0.00000,0.00000,N,N,1,24
LOGHDEN,rf0048,1.91837,1.81633,2.73469,1.61224,3.14286,Y,Y,N,N,0.00000,0.00000,N,N,2,9
LOGQ,rf0048,7.08414,7.11986,7.97700,-inf,8.36986,N,Y,N,N,0.06538,0.00127,N,N,5,3
LOGZ,rf0048,8.34174,8.24365,8.47252,8.17826,8.60330,Y,Y,N,N,0.00000,0.00000,N,N,1,27
LOGHDEN,rf0049,1.91837,1.81633,2.73469,1.51020,3.14286,Y,Y,N,N,0.00027,0.00000,N,N,3,9
LOGQ,rf0049,7.08414,7.11986,8.04843,-inf,8.44129,N,Y,N,N,0.06274,0.00262,N,N,4,3
LOGZ,rf0049,8.27635,8.21096,8.47252,8.11287,8.66869,Y,Y,N,N,0.00000,0.00000,N,N,1,25
LOGHDEN,rf0051,1.71429,1.61224,2.73469,1.30612,3.14286,Y,Y,N,N,0.00503,0.00000,N,N,2,7
LOGQ,rf0051,7.11986,7.15557,8.15557,-inf,8.54843,N,Y,N,N,0.05510,0.00638,N,N,4,4
LOGZ,rf0051,8.17826,8.11287,8.40713,8.01479,8.60330,Y,Y,N,N,0.00000,0.00000,N,N,1,22
LOGHDEN,rf0053,2.12245,1.81633,2.83673,1.51020,3.24490,Y,Y,N,N,0.00000,0.00000,N,N,4,11
LOGQ,rf0053,7.36986,7.19129,8.19129,7.01271,8.54843,Y,Y,N,N,0.04971,0.00643,N,N,6,11
LOGZ,rf0053,8.24365,8.17826,8.40713,8.11287,8.50521,Y,Y,N,N,0.00000,0.00000,N,N,1,24
LOGHDEN,rf0058,2.32653,2.02041,3.14286,1.71429,3.44898,Y,Y,N,N,0.00002,0.00000,N,N,4,13
LOGQ,rf0058,7.83414,7.19129,8.19129,7.01271,8.54843,Y,Y,N,N,0.04682,0.00604,N,N,5,24
LOGZ,rf0058,8.40713,8.34174,8.60330,8.27635,8.76677,Y,Y,N,N,0.00000,0.00005,N,N,1,29
LOGHDEN,rf0059,1.91837,1.71429,2.63265,1.51020,3.04082,Y,Y,N,N,0.00002,0.00000,N,N,3,9
LOGQ,rf0059,7.36986,7.11986,7.97700,-inf,8.33414,Y,Y,N,N,0.06084,0.00078,N,N,5,11
LOGZ,rf0059,8.43982,8.37443,8.60330,8.30904,8.70138,Y,Y,N,N,0.00000,0.00000,N,N,1,30
LOGHDEN,rf0060,2.02041,1.91837,2.83673,1.71429,3.14286,Y,Y,N,N,0.00000,0.00000,N,N,3,10
LOGQ,rf0060,7.08414,7.11986,7.90557,-inf,8.29843,N,Y,N,N,0.07252,0.00056,N,N,5,3
LOGZ,rf0060,8.34174,8.27635,8.47252,8.17826,8.60330,Y,Y,N,N,0.00000,0.00000,N,N,1,27
LOGHDEN,rf0061,2.12245,1.81633,2.83673,1.61224,3.14286,Y,Y,N,N,0.00002,0.00000,N,N,2,11
LOGQ,rf0061,7.08414,7.11986,8.01271,-inf,8.40557,N,Y,N,N,0.06497,0.00158,N,N,5,3
LOGZ,rf0061,8.50521,8.40713,8.70138,8.34174,8.83216,Y,Y,N,N,0.00000,0.00018,N,N,1,32
LOGHDEN,rf0062,3.14286,2.22449,3.34694,1.91837,3.55102,Y,Y,N,N,0.00000,0.00000,N,N,3,21
LOGQ,rf0062,8.08414,7.29843,8.29843,7.01271,8.58414,Y,Y,N,N,0.02998,0.00624,N,N,6,31
LOGZ,rf0062,8.60330,8.50521,8.66869,8.43982,8.76677,Y,Y,N,N,0.00000,0.00000,N,N,1,35
LOGHDEN,rf0064,1.71429,1.71429,2.83673,1.51020,3.14286,Y,Y,N,N,0.00004,0.00000,N,N,4,7
LOGQ,rf0064,7.36986,7.15557,8.19129,-inf,8.54843,Y,Y,N,N,0.05179,0.00710,N,N,6,11
LOGZ,rf0064,8.21096,8.11287,8.34174,8.04748,8.47252,Y,Y,N,N,0.00000,0.00000,N,N,1,23
LOGHDEN,rf0065,1.91837,1.81633,2.73469,1.71429,3.14286,Y,Y,N,N,0.00000,0.00000,N,N,2,9
LOGQ,rf0065,7.08414,7.11986,7.90557,-inf,8.29843,N,Y,N,N,0.07025,0.00057,N,N,5,3
LOGZ,rf0065,8.34174,8.24365,8.47252,8.17826,8.57060,Y,Y,N,N,0.00000,0.00000,N,N,1,27
LOGHDEN,rf0068,1.91837,1.81633,2.63265,1.51020,3.04082,Y,Y,N,N,0.00185,0.00000,N,N,1,9
LOGQ,rf0068,7.08414,7.08414,7.90557,-inf,8.33414,Y,Y,N,N,0.07991,0.00143,N,N,3,3
LOGZ,rf0068,8.21096,8.14557,8.43982,8.04748,8.76677,Y,Y,N,N,0.00000,0.00001,N,N,1,23
LOGHDEN,rf0071,3.55102,2.02041,3.55102,1.71429,3.85714,Y,Y,N,N,0.00000,0.00000,N,N,2,25
LOGQ,rf0071,8.72700,7.26271,8.54843,7.01271,inf,N,Y,N,Y,0.03953,0.06423,N,N,5,49
LOGZ,rf0071,8.89755,8.57060,8.96294,8.43982,9.02833,Y,Y,N,N,0.00000,0.04660,N,N,2,44
LOGHDEN,rf0072,1.71429,1.30612,2.53061,1.10204,2.93878,Y,Y,N,N,0.04980,0.00000,N,N,3,7
LOGQ,rf0072,7.61986,7.22700,8.36986,7.01271,8.65557,Y,Y,N,N,0.03881,0.02428,N,N,6,18
LOGZ,rf0072,8.08018,8.01479,8.27635,7.94940,8.40713,Y,Y,N,N,0.00000,0.00000,N,N,1,19
LOGHDEN,rf0073,2.53061,1.71429,2.93878,1.40816,3.24490,Y,Y,N,N,0.00061,0.00000,N,N,4,15
LOGQ,rf0073,8.11986,7.26271,8.40557,7.01271,8.69129,Y,Y,N,N,0.03830,0.02600,N,N,6,32
LOGZ,rf0073,8.34174,8.24365,8.47252,8.17826,8.60330,Y,Y,N,N,0.00000,0.00000,N,N,1,27
LOGHDEN,rf0074,3.24490,2.12245,3.44898,1.71429,3.65306,Y,Y,N,N,0.00000,0.00000,N,N,1,22
LOGQ,rf0074,8.29843,7.29843,8.44129,7.01271,8.65557,Y,Y,N,N,0.03068,0.02261,N,N,4,37
LOGZ,rf0074,8.60330,8.50521,8.79947,8.43982,8.93025,Y,Y,N,N,0.00000,0.00608,N,N,1,35
LOGHDEN,rf0076,1.91837,1.81633,2.73469,1.61224,3.04082,Y,Y,N,N,0.00003,0.00000,N,N,2,9
LOGQ,rf0076,7.08414,7.11986,7.94129,-inf,8.33414,N,Y,N,N,0.07364,0.00086,N,N,4,3
LOGZ,rf0076,8.34174,8.27635,8.50521,8.17826,8.66869,Y,Y,N,N,0.00000,0.00000,N,N,1,27
LOGHDEN,rf0077,2.02041,1.91837,2.93878,1.61224,3.34694,Y,Y,N,N,0.00000,0.00000,N,N,2,10
LOGQ,rf0077,7.04843,7.15557,8.11986,-inf,8.51271,N,Y,Y,N,0.05635,0.00417,N,N,5,2
LOGZ,rf0077,8.30904,8.24365,8.50521,8.17826,8.63599,Y,Y,N,N,0.00000,0.00000,N,N,1,26
LOGHDEN,rf0079,2.12245,1.91837,2.93878,1.71429,3.34694,Y,Y,N,N,0.00002,0.00000,N,N,4,11
LOGQ,rf0079,7.11986,7.15557,8.04843,-inf,8.40557,N,Y,N,N,0.06121,0.00197,N,N,4,4
LOGZ,rf0079,8.37443,8.30904,8.57060,8.21096,8.76677,Y,Y,N,N,0.00000,0.00005,N,N,1,28
LOGHDEN,rf0083,1.91837,1.81633,2.63265,1.51020,3.04082,Y,Y,N,N,0.00015,0.00000,N,N,1,9
LOGQ,rf0083,7.04843,7.08414,7.83414,-inf,8.26271,N,Y,Y,N,0.08667,0.00059,N,N,3,2
LOGZ,rf0083,8.34174,8.24365,8.57060,8.17826,8.76677,Y,Y,N,N,0.00000,0.00000,N,N,1,27
