Line,Galaxy Name,In_lhood?,Obs,Model,Resid_Stds,Obs_S/N
oii3726,rf0001,Y,0.92327,1.16898,-1.11021,4.17169
oii3729,rf0001,Y,2.27738,1.60310,1.91779,6.47738
neiii3869,rf0001,Y,0.11448,0.52228,-7.92995,2.22611
oiii4363,rf0001,Y,0.05666,0.01027,1.33001,1.62450
hgamma,rf0001,Y,0.52991,0.46948,1.65992,14.55556
hbeta,rf0001,Y,1.00000,1.00000,0.00000,28.19290
oiii4959,rf0001,Y,0.54558,0.89713,-11.01461,17.09396
oiii5007,rf0001,Y,1.76289,2.70034,-21.53905,40.50475
hei5875,rf0001,Y,0.09350,0.13133,-1.36154,3.36562
oi6300,rf0001,Y,0.13946,0.07755,3.02995,6.82583
nii6548,rf0001,Y,0.09083,0.14630,-9.18718,15.04260
halpha,rf0001,Y,2.86000,2.96183,-2.61858,73.54457
nii6584,rf0001,Y,0.27383,0.43174,-8.67033,15.03557
sii6717,rf0001,Y,0.58942,0.45464,3.53856,15.47429
sii6731,rf0001,Y,0.38919,0.34765,1.70329,15.95580
ariii7136,rf0001,Y,0.04527,0.18915,-6.90372,2.17223
oii3726,rf0003,Y,0.18682,0.91231,-11.59259,2.98508
oii3729,rf0003,Y,1.45606,1.22714,1.08705,6.91420
neiii3869,rf0003,Y,0.06006,0.05371,0.62498,5.91296
oiii4363,rf0003,Y,-0.00825,0.00083,-1.41147,-1.28225
hgamma,rf0003,Y,0.53314,0.47224,6.93371,60.69958
hbeta,rf0003,Y,1.00000,1.00000,0.00000,93.61190
oiii4959,rf0003,Y,0.13398,0.13713,-0.48636,20.67520
oiii5007,rf0003,Y,0.44974,0.41277,4.60258,55.97656
hei5875,rf0003,Y,0.08950,0.14183,-9.20838,15.75087
oi6300,rf0003,Y,0.05355,0.03669,3.56804,11.32974
nii6548,rf0003,Y,0.31094,0.70016,-125.16119,99.99018
halpha,rf0003,Y,2.86000,3.00126,-7.15003,144.76171
nii6584,rf0003,Y,0.93472,2.06615,-120.62612,99.65387
sii6717,rf0003,Y,0.48393,0.50628,-2.97986,64.51704
sii6731,rf0003,Y,0.35272,0.39414,-5.52908,47.08458
ariii7136,rf0003,Y,0.04846,0.10210,-5.93901,5.36628
oii3726,rf0006,Y,-230.38744,2.94139,-inf,-inf
oii3729,rf0006,Y,0.00000,4.01130,-inf,
neiii3869,rf0006,Y,-0.00099,0.49994,-5.40604,-0.01071
oiii4363,rf0006,Y,-0.06320,0.00238,-1.16628,-1.12391
hgamma,rf0006,Y,0.44495,0.46868,-0.40388,7.57172
hbeta,rf0006,Y,1.00000,1.00000,0.00000,18.96895
oiii4959,rf0006,Y,0.39701,0.15026,5.10769,8.21789
oiii5007,rf0006,Y,1.20190,0.45228,13.34073,21.38981
hei5875,rf0006,Y,0.12894,0.12955,-0.01318,2.79729
oi6300,rf0006,Y,0.09483,0.48374,-11.60345,2.82920
nii6548,rf0006,Y,0.19688,0.21037,-1.20761,17.62266
halpha,rf0006,Y,2.86000,2.93683,-1.64851,61.36597
nii6584,rf0006,Y,0.59448,0.62080,-0.78100,17.64161
sii6717,rf0006,Y,0.75593,2.06744,-33.48997,19.30300
sii6731,rf0006,Y,0.57028,1.58361,-28.57312,16.08036
ariii7136,rf0006,Y,0.02808,0.24018,-6.21895,0.82322
oii3726,rf0007,Y,-407.05323,2.94139,-inf,-inf
oii3729,rf0007,Y,-406.93488,4.01130,-inf,-inf
neiii3869,rf0007,Y,-0.17408,0.49994,-7.87401,-2.03360
oiii4363,rf0007,Y,0.10169,0.00238,1.68826,1.72876
hgamma,rf0007,Y,0.31112,0.46868,-2.76954,5.46854
hbeta,rf0007,Y,1.00000,1.00000,0.00000,19.35663
oiii4959,rf0007,Y,0.21320,0.15026,1.29525,4.38720
oiii5007,rf0007,Y,0.47353,0.45228,0.43238,9.63494
hei5875,rf0007,Y,0.07936,0.12955,-1.13135,1.78922
oi6300,rf0007,Y,0.12910,0.48374,-9.71570,3.53686
nii6548,rf0007,Y,0.43462,0.21037,16.44554,31.87362
halpha,rf0007,Y,2.86000,2.93683,-1.58388,58.96004
nii6584,rf0007,Y,1.30974,0.62080,16.75106,31.84513
sii6717,rf0007,Y,0.83806,2.06744,-30.74731,20.96023
sii6731,rf0007,Y,0.41393,1.58361,-32.77541,11.59860
ariii7136,rf0007,Y,0.15869,0.24018,-1.95714,3.81119
oii3726,rf0008,Y,33.71086,2.85540,9.05518,9.89316
oii3729,rf0008,Y,2.87229,3.89655,-0.00022,0.00060
neiii3869,rf0008,Y,-0.15286,0.41421,-10.16917,-2.74122
oiii4363,rf0008,Y,-0.04229,0.00159,-1.21469,-1.17068
hgamma,rf0008,Y,0.66087,0.46870,5.43697,18.69788
hbeta,rf0008,Y,1.00000,1.00000,0.00000,31.01034
oiii4959,rf0008,Y,0.09624,0.10178,-0.19372,3.36936
oiii5007,rf0008,Y,0.21956,0.30635,-3.01505,7.62680
hei5875,rf0008,Y,0.09600,0.13031,-1.35605,3.79467
oi6300,rf0008,Y,0.02792,0.55185,-23.63840,1.25952
nii6548,rf0008,Y,0.29594,0.22263,7.62844,30.79445
halpha,rf0008,Y,2.86000,2.93865,-2.15225,78.26470
nii6584,rf0008,Y,0.89042,0.65699,8.05302,30.71795
sii6717,rf0008,Y,0.23359,2.28579,-82.56750,9.39814
sii6731,rf0008,Y,0.16906,1.74853,-68.96286,7.38173
ariii7136,rf0008,Y,-0.04334,0.23082,-11.60998,-1.83521
oii3726,rf0010,Y,-223.51843,2.94139,-inf,-inf
oii3729,rf0010,Y,0.00000,4.01130,-inf,
neiii3869,rf0010,Y,0.33755,0.49994,-7.06538,14.68607
oiii4363,rf0010,Y,0.05380,0.00238,3.35201,3.50733
hgamma,rf0010,Y,0.56584,0.46868,5.43955,31.68031
hbeta,rf0010,Y,1.00000,1.00000,0.00000,63.89095
oiii4959,rf0010,Y,0.73713,0.15026,38.39742,48.22810
oiii5007,rf0010,Y,2.21207,0.45228,89.19502,112.11878
hei5875,rf0010,Y,0.07194,0.12955,-4.47148,5.58470
oi6300,rf0010,Y,0.10549,0.48374,-38.25894,10.66992
nii6548,rf0010,Y,0.10365,0.21037,-34.84822,33.84628
halpha,rf0010,Y,2.86000,2.93683,-4.30772,160.35536
nii6584,rf0010,Y,0.31146,0.62080,-33.48897,33.71830
sii6717,rf0010,Y,0.53102,2.06744,-124.98282,43.19665
sii6731,rf0010,Y,0.35267,1.58361,-124.72330,35.73386
ariii7136,rf0010,Y,0.05753,0.24018,-18.91598,5.95743
oii3726,rf0011,Y,0.00000,1.63691,-inf,
oii3729,rf0011,Y,398942042601045705248311607296.00000,2.21883,825333.26469,825333.26469
neiii3869,rf0011,Y,0.12867,0.17691,-0.64829,1.72932
oiii4363,rf0011,Y,0.02680,0.00228,0.49570,0.54185
hgamma,rf0011,Y,0.43530,0.47163,-0.74155,8.88586
hbeta,rf0011,Y,1.00000,1.00000,0.00000,22.00847
oiii4959,rf0011,Y,0.24073,0.23599,0.11668,5.92682
oiii5007,rf0011,Y,0.71373,0.71033,0.07597,15.93762
hei5875,rf0011,Y,0.17514,0.13614,1.10160,4.94697
oi6300,rf0011,Y,0.16203,0.10125,2.04211,5.44355
nii6548,rf0011,Y,0.27308,0.43706,-14.65119,24.39870
halpha,rf0011,Y,2.86000,2.96299,-2.10495,58.45497
nii6584,rf0011,Y,0.82291,1.28977,-13.82939,24.37621
sii6717,rf0011,Y,0.78900,0.77426,0.39477,21.13751
sii6731,rf0011,Y,0.51171,0.59811,-2.66738,15.79741
ariii7136,rf0011,Y,0.01275,0.16880,-5.15368,0.42118
oii3726,rf0014,Y,0.00000,1.46519,-inf,
oii3729,rf0014,Y,0.00000,1.99267,-inf,
neiii3869,rf0014,Y,0.20552,0.26302,-0.57401,2.05172
oiii4363,rf0014,Y,-0.10978,0.00421,-1.56377,-1.50608
hgamma,rf0014,Y,0.76752,0.47107,4.08660,10.58021
hbeta,rf0014,Y,1.00000,1.00000,0.00000,14.52794
oiii4959,rf0014,Y,0.37366,0.42685,-0.84238,5.91693
oiii5007,rf0014,Y,1.21594,1.28483,-0.97720,17.24958
hei5875,rf0014,Y,0.13348,0.13610,-0.04454,2.27009
oi6300,rf0014,Y,0.12128,0.08034,0.84843,2.51381
nii6548,rf0014,Y,0.12454,0.32372,-14.28690,8.93338
halpha,rf0014,Y,2.86000,2.96426,-1.82000,49.92436
nii6584,rf0014,Y,0.37515,0.95528,-13.79621,8.92138
sii6717,rf0014,Y,0.79601,0.58679,4.10420,15.61499
sii6731,rf0014,Y,0.54925,0.45185,1.94122,10.94670
ariii7136,rf0014,Y,0.11952,0.17520,-0.94796,2.03474
oii3726,rf0015,Y,1147854754181710217216.00000,1.08201,4663402.89785,4663402.89785
oii3729,rf0015,Y,0.00000,1.47727,-inf,
neiii3869,rf0015,Y,0.04297,0.33123,-224.19570,33.41976
oiii4363,rf0015,Y,0.01575,0.00640,8.33942,14.04722
hgamma,rf0015,Y,0.51713,0.47044,38.41541,425.46172
hbeta,rf0015,Y,1.00000,1.00000,0.00000,636.90648
oiii4959,rf0015,Y,0.06927,0.66602,-575.65267,66.82230
oiii5007,rf0015,Y,0.15198,2.00473,-1673.23868,137.25983
hei5875,rf0015,Y,0.06261,0.13711,-76.74735,64.48947
oi6300,rf0015,Y,0.05717,0.05269,4.38658,55.95660
nii6548,rf0015,Y,0.36176,0.21221,222.92144,539.26360
halpha,rf0015,Y,2.86000,2.97189,-27.61040,705.72948
nii6584,rf0015,Y,1.08322,0.62623,225.85349,535.35149
sii6717,rf0015,Y,0.36495,0.37642,-7.60200,241.87136
sii6731,rf0015,Y,0.27992,0.28899,-6.59599,203.52668
ariii7136,rf0015,Y,0.00132,0.16903,-162.23151,1.27955
oii3726,rf0017,Y,0.00000,1.22150,-inf,
oii3729,rf0017,Y,0.00000,1.67430,-inf,
neiii3869,rf0017,Y,0.12890,0.51725,-13.96698,4.63609
oiii4363,rf0017,Y,0.06059,0.00994,2.74142,3.27960
hgamma,rf0017,Y,0.49076,0.46953,1.04216,24.08338
hbeta,rf0017,Y,1.00000,1.00000,0.00000,50.16413
oiii4959,rf0017,Y,0.53613,0.86739,-17.89607,28.96357
oiii5007,rf0017,Y,1.57151,2.61081,-43.89862,66.37883
hei5875,rf0017,Y,0.09506,0.13124,-2.48758,6.53435
oi6300,rf0017,Y,0.09850,0.08176,1.39974,8.23598
nii6548,rf0017,Y,0.14092,0.15399,-3.36257,36.27779
halpha,rf0017,Y,2.86000,2.96093,-4.56789,129.43444
nii6584,rf0017,Y,0.42499,0.45442,-2.51171,36.27146
sii6717,rf0017,Y,0.64452,0.47946,11.47961,44.82394
sii6731,rf0017,Y,0.45663,0.36674,7.21616,36.65669
ariii7136,rf0017,Y,0.05926,0.19045,-11.47900,5.18540
oii3726,rf0019,Y,0.00000,1.04745,-inf,
oii3729,rf0019,Y,89577571802559069290496.00000,1.43255,52982.03019,52982.03019
neiii3869,rf0019,Y,0.43510,0.37849,0.20959,1.61077
oiii4363,rf0019,Y,0.17096,0.00753,0.77987,0.81582
hgamma,rf0019,Y,0.14449,0.47013,-1.36363,0.60503
hbeta,rf0019,Y,1.00000,1.00000,0.00000,4.82090
oiii4959,rf0019,Y,0.34922,0.75251,-2.32464,2.01293
oiii5007,rf0019,Y,1.57156,2.26507,-3.91584,8.87361
hei5875,rf0019,Y,0.27991,0.13565,0.75932,1.47333
oi6300,rf0019,Y,-0.02741,0.05436,-0.64698,-0.21686
nii6548,rf0019,Y,0.10987,0.18038,-1.95171,3.04122
halpha,rf0019,Y,2.86000,2.97052,-0.68548,17.73887
nii6584,rf0019,Y,0.33119,0.53229,-1.84554,3.03936
sii6717,rf0019,Y,0.53327,0.36593,1.36159,4.33918
sii6731,rf0019,Y,0.45085,0.28051,1.48409,3.92809
ariii7136,rf0019,Y,0.11578,0.17280,-0.45471,0.92321
oii3726,rf0020,Y,48.55062,2.92906,14.14666,15.05492
oii3729,rf0020,Y,233799423707284635648.00000,3.99450,191337.59976,191337.59976
neiii3869,rf0020,Y,0.20571,0.51754,-2.73786,1.80611
oiii4363,rf0020,Y,0.30864,0.00274,3.83406,3.86836
hgamma,rf0020,Y,0.50890,0.46869,0.52681,6.66831
hbeta,rf0020,Y,1.00000,1.00000,0.00000,14.68163
oiii4959,rf0020,Y,0.20386,0.17304,0.47235,3.12484
oiii5007,rf0020,Y,0.60883,0.52087,1.35843,9.40275
hei5875,rf0020,Y,0.12465,0.12933,-0.07503,1.99902
oi6300,rf0020,Y,0.14851,0.46698,-6.29480,2.93547
nii6548,rf0020,Y,0.28387,0.20824,4.71347,17.69097
halpha,rf0020,Y,2.86000,2.93665,-1.32224,49.33613
nii6584,rf0020,Y,0.84922,0.61450,4.84968,17.54623
sii6717,rf0020,Y,0.84930,2.00834,-21.40537,15.68518
sii6731,rf0020,Y,0.59575,1.53850,-19.24559,12.16193
ariii7136,rf0020,Y,-0.00322,0.24116,-4.45471,-0.05869
oii3726,rf0023,Y,0.00000,1.16898,-inf,
oii3729,rf0023,Y,2510049535236129792.00000,1.60310,87923.20563,87923.20563
neiii3869,rf0023,Y,-0.04791,0.52228,-7.98393,-0.67084
oiii4363,rf0023,Y,0.05492,0.01027,1.03198,1.26939
hgamma,rf0023,Y,0.42912,0.46948,-0.86388,9.18498
hbeta,rf0023,Y,1.00000,1.00000,0.00000,24.83350
oiii4959,rf0023,Y,0.50898,0.89713,-9.83415,12.89524
oiii5007,rf0023,Y,1.80302,2.70034,-18.06628,36.30155
hei5875,rf0023,Y,0.08341,0.13133,-1.43242,2.49385
oi6300,rf0023,Y,0.09046,0.07755,0.55171,3.86750
nii6548,rf0023,Y,0.10965,0.14630,-4.69367,14.04329
halpha,rf0023,Y,2.86000,2.96183,-2.14549,60.25751
nii6584,rf0023,Y,0.32995,0.43174,-4.32197,14.00988
sii6717,rf0023,Y,0.61303,0.45464,5.11815,19.80836
sii6731,rf0023,Y,0.44710,0.34765,3.87440,17.41756
